Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,64.25,65.03,64.20,64.82,1672000,64.82
2014-03-27,64.81,64.82,63.72,64.11,2184400,64.11
2014-03-26,64.92,65.59,64.78,64.85,2186700,64.85
2014-03-25,64.61,65.31,63.98,64.56,1948600,64.56
2014-03-24,65.29,65.49,63.53,64.32,2792900,64.32
2014-03-21,66.55,66.63,64.56,64.82,3534800,64.82
2014-03-20,66.74,66.90,66.26,66.48,1526300,66.48
2014-03-19,68.05,68.10,66.59,66.87,1337700,66.87
2014-03-18,68.08,68.43,67.78,67.85,1604600,67.85
2014-03-17,67.73,68.18,67.64,68.08,1444600,68.08
2014-03-14,67.66,67.95,67.40,67.57,1672800,67.57
2014-03-13,68.01,68.21,67.55,67.79,1897100,67.79
2014-03-12,67.76,67.85,66.97,67.68,1944500,67.68
2014-03-11,69.11,69.47,68.17,68.34,1562700,68.34
2014-03-10,68.91,69.65,68.75,69.10,1232100,69.10
2014-03-07,69.25,69.27,68.56,68.94,1783400,68.94
2014-03-06,69.00,69.45,68.75,68.75,1495300,68.75
2014-03-05,69.00,69.15,68.70,68.89,1426900,68.89
2014-03-04,68.03,68.94,67.97,68.76,2309100,68.76
2014-03-03,67.11,67.69,66.97,67.50,1389800,67.50
2014-02-28,68.17,68.38,67.47,67.85,1681800,67.85
2014-02-27,68.01,68.31,67.65,68.01,1401600,68.01
2014-02-26,68.87,69.17,67.96,68.26,1539100,68.26
2014-02-25,68.39,68.99,68.24,68.72,1497200,68.72
2014-02-24,68.31,69.22,68.31,68.58,1363100,68.58
2014-02-21,68.42,69.15,68.16,68.40,1113100,68.40
2014-02-20,68.40,68.65,67.57,68.39,1469800,68.39
2014-02-19,68.12,69.02,67.98,68.11,1937400,68.11
2014-02-18,68.06,68.96,67.99,68.50,1544800,68.50
2014-02-14,67.73,68.36,67.60,68.00,1110500,68.00
2014-02-13,67.37,68.19,66.88,67.89,1286200,67.89
2014-02-12,67.81,68.82,67.58,67.74,1965400,67.50
2014-02-11,66.23,67.89,66.19,67.56,2487800,67.33
2014-02-10,66.46,66.48,65.72,66.37,2913600,66.14
2014-02-07,65.88,66.59,65.70,66.54,1551300,66.31
2014-02-06,64.86,65.61,64.40,65.51,1553900,65.28
2014-02-05,64.82,65.12,64.28,64.72,2421400,64.50
2014-02-04,65.38,65.68,64.86,65.01,1865000,64.78
2014-02-03,67.13,67.13,65.10,65.17,3542200,64.94
2014-01-31,66.60,67.49,66.13,67.22,3733500,66.99
2014-01-30,67.65,68.15,67.65,67.77,1437200,67.53
2014-01-29,66.67,67.92,66.67,67.26,1906900,67.03
2014-01-28,66.74,67.89,66.69,67.72,1897300,67.49
