Date,Open,High,Low,Close,Volume,Adj Close
2014-03-27,0.44,0.44,0.43,0.44,93500,0.44
2014-03-26,0.44,0.44,0.43,0.43,568800,0.43
2014-03-25,0.43,0.44,0.43,0.44,75300,0.44
2014-03-24,0.44,0.44,0.44,0.44,21000,0.44
2014-03-20,0.43,0.44,0.43,0.44,137300,0.43
2014-03-19,0.42,0.43,0.42,0.43,120700,0.41
2014-03-18,0.42,0.43,0.42,0.43,90000,0.41
2014-03-17,0.41,0.42,0.41,0.42,84000,0.41
2014-03-13,0.41,0.42,0.41,0.42,62400,0.41
2014-03-12,0.41,0.42,0.41,0.41,30600,0.40
2014-03-11,0.41,0.41,0.41,0.41,8000,0.40
2014-03-10,0.42,0.42,0.41,0.41,122300,0.40
2014-03-06,0.43,0.43,0.42,0.42,30000,0.41
2014-03-05,0.43,0.43,0.43,0.43,000,0.41
2014-03-04,0.42,0.43,0.42,0.43,34200,0.41
2014-03-03,0.43,0.43,0.41,0.42,1391800,0.41
2014-02-28,2.00,2.00,2.00,2.00,000,1.94
2014-02-27,0.43,0.43,0.41,0.41,1953300,0.40
2014-02-26,0.41,0.41,0.41,0.41,000,0.40
2014-02-25,0.41,0.41,0.41,0.41,000,0.40
2014-02-24,0.43,0.43,0.41,0.41,1953300,0.40
2014-02-21,2.00,2.00,2.00,2.00,000,1.94
2014-02-20,0.44,0.44,0.44,0.44,1500,0.43
2014-02-19,0.44,0.44,0.44,0.44,29000,0.43
2014-02-18,0.44,0.44,0.44,0.44,37600,0.43
2014-02-17,0.44,0.44,0.44,0.44,29000,0.43
2014-02-14,2.00,2.00,2.00,2.00,000,1.94
2014-02-13,0.44,0.44,0.44,0.44,173300,0.43
2014-02-12,0.44,0.45,0.44,0.44,445700,0.43
2014-02-11,0.43,0.44,0.43,0.44,754700,0.43
2014-02-10,0.43,0.43,0.43,0.43,148100,0.42
2014-02-07,2.00,2.00,2.00,2.00,000,1.94
2014-02-06,0.43,0.43,0.43,0.43,206500,0.41
2014-02-05,0.42,0.43,0.42,0.43,36000,0.41
