Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,38.58,38.99,38.21,38.31,6251400,38.31
2014-03-27,38.55,38.69,38.13,38.45,7404100,38.45
2014-03-26,38.55,39.14,38.39,38.56,8174800,38.56
2014-03-25,38.49,38.70,38.08,38.40,8209600,38.40
2014-03-24,38.66,38.66,38.13,38.43,11078000,38.43
2014-03-21,39.21,39.60,38.36,38.39,21663000,38.39
2014-03-20,39.46,39.64,38.78,38.87,11396600,38.87
2014-03-19,39.73,40.22,39.32,39.45,8679100,39.45
2014-03-18,39.50,39.89,39.48,39.73,5534300,39.73
2014-03-17,39.05,39.58,39.04,39.51,5768900,39.51
2014-03-14,39.19,39.52,38.91,38.97,7736000,38.97
2014-03-13,39.74,39.82,39.10,39.23,6964500,39.23
2014-03-12,39.44,39.89,39.44,39.66,6933000,39.66
2014-03-11,39.85,40.16,39.65,39.71,5117600,39.71
2014-03-10,39.50,39.89,39.41,39.82,5576300,39.82
2014-03-07,39.84,39.95,39.32,39.57,8630700,39.57
2014-03-06,39.92,40.23,39.73,39.73,6442000,39.73
2014-03-05,40.49,40.49,39.76,39.79,8285200,39.79
2014-03-04,39.74,40.32,39.67,40.12,9460200,40.12
2014-03-03,39.50,39.64,38.83,39.33,11006300,39.33
2014-02-28,39.62,39.98,39.42,39.78,8695700,39.78
2014-02-27,39.35,39.83,39.33,39.79,9189600,39.79
2014-02-26,39.29,39.66,39.03,39.39,8752600,39.39
2014-02-25,38.99,39.52,38.91,39.25,7952100,39.25
2014-02-24,38.87,39.35,38.82,38.98,8104600,38.98
2014-02-21,38.88,39.45,38.79,38.82,8335100,38.82
2014-02-20,38.82,39.09,38.53,38.95,8611900,38.95
2014-02-19,38.74,39.37,38.68,38.76,7093200,38.76
2014-02-18,38.96,39.19,38.80,38.93,6794100,38.93
2014-02-14,38.68,38.98,38.55,38.81,7253400,38.81
2014-02-13,38.07,38.81,38.06,38.72,7253200,38.72
2014-02-12,37.93,38.38,37.89,38.26,8793500,38.26
2014-02-11,37.05,38.00,37.05,37.95,8643000,37.95
2014-02-10,37.17,37.32,36.96,37.16,11207300,37.16
2014-02-07,36.77,37.21,36.65,37.18,12028000,37.18
2014-02-06,36.41,36.93,36.38,36.65,9982300,36.65
2014-02-05,36.12,36.60,35.98,36.35,7597300,36.35
2014-02-04,35.90,36.44,35.85,36.25,8237400,36.25
2014-02-03,36.58,36.95,35.80,35.85,12231900,35.85
2014-01-31,36.03,36.89,35.97,36.66,10845500,36.66
2014-01-30,36.24,36.62,36.14,36.53,9579800,36.53
2014-01-29,36.26,36.50,35.65,35.85,10404300,35.85
2014-01-28,36.54,36.87,36.28,36.37,7608200,36.37
2014-01-27,36.68,36.83,36.13,36.30,9128900,36.30
2014-01-24,37.20,37.20,36.57,36.58,9167400,36.58
2014-01-23,37.90,37.93,37.22,37.43,10207300,37.43
2014-01-22,38.02,38.87,36.94,38.07,12970000,38.07
2014-01-21,39.52,39.57,38.86,39.12,8229600,39.12
2014-01-17,39.86,39.86,39.21,39.40,7216400,39.40
2014-01-16,39.53,39.69,39.41,39.54,3716100,39.54
2014-01-15,39.60,39.62,39.25,39.53,5279000,39.53
2014-01-09,39.27,39.34,38.97,39.27,4996800,39.04
2014-01-08,38.85,39.22,38.72,39.20,6140700,38.97
2014-01-07,39.23,39.35,38.74,38.85,8329300,38.63
2014-01-06,39.19,39.69,39.11,39.15,10130400,38.93
2014-01-03,38.37,38.78,38.27,38.64,4301600,38.42
2014-01-02,38.09,38.40,38.00,38.23,4967500,38.01
2013-12-31,38.38,38.57,38.22,38.33,4594200,38.11
2013-12-30,38.48,38.50,38.17,38.41,3081600,38.19
2013-12-27,38.52,38.53,38.23,38.37,2705600,38.15
2013-12-26,38.22,38.49,38.20,38.35,3655800,38.13
2013-12-24,38.36,38.45,38.11,38.19,2207600,37.97
2013-12-23,37.97,38.55,37.95,38.44,6313200,38.22
2013-12-20,38.14,38.24,37.81,37.84,8140800,37.62
2013-12-19,38.08,38.23,37.78,38.03,7756400,37.81
2013-12-18,36.66,38.18,36.65,38.12,11548800,37.90
2013-12-17,36.45,36.64,36.31,36.61,6911800,36.40
2013-12-16,36.45,36.81,36.32,36.53,6704900,36.32
2013-12-13,36.38,36.61,36.30,36.40,4665200,36.19
2013-12-12,36.57,36.63,36.27,36.29,6417800,36.08
2013-12-11,37.00,37.10,36.52,36.58,6185600,36.37
2013-12-10,37.11,37.34,36.96,37.11,5381300,36.90
2013-12-09,37.57,37.58,37.16,37.20,4972400,36.99
2013-12-06,37.27,37.54,37.17,37.53,4055000,37.31
2013-12-05,37.29,37.32,36.89,36.92,5289800,36.71
2013-12-04,37.35,37.85,37.08,37.36,5092700,37.15
2013-12-03,37.95,37.98,37.26,37.60,7798700,37.38
2013-12-02,38.24,38.31,38.03,38.14,5641200,37.92
2013-11-29,38.44,38.50,38.08,38.19,3512700,37.97
2013-11-27,38.74,38.74,38.00,38.32,4510100,38.10
2013-11-26,38.29,38.29,37.90,38.07,4831200,37.85
2013-11-25,38.38,38.66,38.03,38.15,4592400,37.93
2013-11-22,38.13,38.37,38.04,38.25,4463500,38.03
2013-11-21,38.38,38.47,37.99,38.07,5049100,37.85
2013-11-20,38.75,38.81,37.91,38.18,6413400,37.96
2013-11-19,37.93,38.73,37.87,38.71,9906100,38.49
2013-11-18,38.04,38.15,37.88,37.94,4580900,37.72
2013-11-15,37.77,38.15,37.75,38.05,6520500,37.83
2013-11-14,37.89,38.08,37.67,37.76,4353100,37.54
2013-11-13,37.37,37.78,37.17,37.77,6144600,37.55
2013-11-12,37.83,37.97,37.29,37.47,6015600,37.25
2013-11-11,38.17,38.46,37.68,37.90,6867600,37.68
2013-11-08,37.51,38.14,37.22,38.12,8753900,37.90
2013-11-07,37.61,38.13,37.57,37.64,9474200,37.42
2013-11-06,37.45,37.80,37.04,37.56,7082400,37.34
2013-11-05,36.85,37.43,36.67,37.36,9035800,37.15
2013-11-04,36.98,37.02,36.69,36.98,5645300,36.77
2013-11-01,36.69,37.04,36.61,36.96,5557400,36.75
2013-10-31,37.01,37.14,36.55,36.55,8172100,36.34
2013-10-30,37.33,37.38,36.80,36.94,4969200,36.73
2013-10-29,37.36,37.46,37.26,37.28,5263700,37.07
2013-10-28,37.33,37.46,37.17,37.28,4799700,37.07
2013-10-25,37.24,37.37,36.98,37.25,6310200,37.04
2013-10-24,37.22,37.62,37.20,37.21,6311200,37.00
2013-10-23,36.91,37.26,36.81,37.23,7571500,37.02
2013-10-22,36.94,37.17,36.72,37.02,9726300,36.81
2013-10-21,37.17,37.17,36.78,36.86,7663800,36.65
2013-10-18,37.17,37.29,36.90,37.29,11752300,37.08
2013-10-17,35.89,37.27,35.89,37.17,17370200,36.96
2013-10-16,34.35,36.07,34.24,35.90,16953000,35.69
2013-10-15,33.91,34.18,33.61,33.71,11037300,33.52
2013-10-14,33.51,34.03,33.38,34.00,6817400,33.80
2013-10-11,33.63,33.90,33.44,33.76,5039200,33.57
2013-10-10,33.34,33.67,33.27,33.64,7731400,33.45
2013-10-09,33.03,33.39,32.75,33.17,8165400,32.84
2013-10-08,33.55,33.59,32.99,33.01,8158500,32.68
2013-10-07,33.22,33.69,33.12,33.50,5543300,33.17
2013-10-04,33.31,33.71,33.26,33.56,7477600,33.23
2013-10-03,33.79,33.80,33.27,33.29,8189800,32.96
2013-10-02,33.48,33.92,33.47,33.90,8420200,33.56
2013-10-01,33.17,33.80,33.12,33.78,7182000,33.44
2013-09-30,33.05,33.42,33.02,33.19,9418700,32.86
2013-09-27,33.45,33.45,33.05,33.14,11822900,32.81
2013-09-26,33.75,33.87,33.48,33.66,8040800,33.33
2013-09-25,34.32,34.35,33.35,33.67,26193500,33.34
2013-09-24,35.07,35.10,34.32,34.36,9829500,34.02
2013-09-23,35.25,35.26,35.07,35.12,5718700,34.77
2013-09-20,35.39,35.47,35.21,35.29,7915200,34.94
2013-09-19,35.66,35.72,35.29,35.34,6493500,34.99
2013-09-18,35.00,35.67,34.89,35.65,6753100,35.30
2013-09-17,35.00,35.02,34.82,34.97,4759700,34.62
2013-09-16,35.10,35.30,34.95,35.01,5714500,34.66
2013-09-13,34.90,34.90,34.57,34.87,4882300,34.52
2013-09-12,34.76,34.91,34.59,34.76,7105600,34.41
2013-09-11,34.11,34.95,34.09,34.75,9500200,34.40
2013-09-10,34.04,34.19,33.98,34.09,7285500,33.75
2013-09-09,33.50,33.80,33.46,33.80,5716200,33.46
2013-09-06,33.72,33.75,33.25,33.50,6664200,33.17
2013-09-05,33.50,33.75,33.49,33.74,6317400,33.40
2013-09-04,33.01,33.78,32.94,33.46,11838000,33.13
2013-09-03,33.68,33.78,32.70,32.93,14068300,32.60
2013-08-30,33.72,33.73,33.23,33.33,7336800,33.00
2013-08-29,33.63,34.13,33.52,33.73,5676100,33.39
2013-08-28,33.97,34.03,33.73,33.75,7262000,33.41
2013-08-27,34.32,34.33,33.99,34.01,5300700,33.67
2013-08-26,34.83,34.90,34.52,34.52,3405700,34.18
2013-08-23,34.85,34.87,34.43,34.84,4017400,34.49
2013-08-22,34.67,34.75,34.43,34.67,4197500,34.33
2013-08-21,34.68,34.86,34.44,34.64,5413200,34.30
2013-08-20,34.90,34.95,34.69,34.71,4494900,34.37
2013-08-19,34.85,34.96,34.70,34.88,5603500,34.53
2013-08-16,34.92,35.00,34.55,34.97,10522400,34.62
2013-08-15,35.51,35.57,34.95,35.03,6521200,34.68
2013-08-14,35.91,35.94,35.52,35.61,4960600,35.26
2013-08-13,35.93,36.03,35.74,35.94,4600200,35.58
2013-08-12,35.79,36.03,35.72,35.90,4986900,35.54
2013-08-09,35.80,36.04,35.75,35.89,5030400,35.53
2013-08-08,36.20,36.35,35.66,35.92,4804500,35.56
2013-08-07,36.07,36.29,35.83,35.93,7220100,35.57
2013-08-06,36.25,36.34,36.01,36.10,9510400,35.74
2013-08-05,36.64,36.78,36.44,36.45,6511300,36.09
2013-08-02,36.79,36.97,36.68,36.75,7944100,36.38
2013-08-01,36.89,37.07,36.68,36.84,7479900,36.47
2013-07-31,36.87,37.16,36.58,36.63,7966200,36.27
2013-07-30,36.98,37.11,36.66,36.88,6193400,36.51
2013-07-29,36.62,36.95,36.50,36.74,5587300,36.37
2013-07-26,36.59,36.85,36.15,36.78,5387400,36.41
2013-07-25,36.42,36.60,36.24,36.58,7492500,36.22
2013-07-24,36.70,36.70,36.20,36.45,6060600,36.09
2013-07-23,35.93,36.80,35.90,36.68,9104400,36.32
2013-07-22,35.76,35.94,35.58,35.80,4782400,35.44
2013-07-19,35.73,35.89,35.52,35.87,7137500,35.51
2013-07-18,35.92,36.03,35.60,35.70,6896400,35.35
2013-07-17,35.88,36.48,35.73,35.82,7979400,35.46
2013-07-16,35.43,35.71,35.33,35.70,8492000,35.35
2013-07-15,35.23,35.52,35.15,35.48,6487200,35.13
2013-07-12,35.45,35.57,35.11,35.32,6218100,34.97
2013-07-11,35.02,35.54,34.77,35.37,9019200,35.02
2013-07-10,34.80,35.21,34.71,34.74,9108500,34.26
2013-07-09,35.46,35.56,34.73,34.74,10291400,34.26
2013-07-08,34.95,35.47,34.94,35.41,7545600,34.92
2013-07-05,34.58,34.93,34.49,34.92,4664300,34.43
2013-07-03,34.72,34.72,33.72,34.25,8381100,33.77
2013-07-02,34.97,35.31,34.65,34.86,5793200,34.37
2013-07-01,34.97,35.47,34.90,35.03,6346900,34.54
2013-06-28,35.30,35.82,34.87,34.88,20356100,34.39
2013-06-27,35.77,35.78,35.22,35.36,5625400,34.87
2013-06-26,35.41,35.79,35.14,35.60,6877400,35.10
2013-06-25,35.28,35.38,34.87,35.11,6003700,34.62
2013-06-24,35.29,35.38,34.69,34.97,7535800,34.48
2013-06-21,35.40,35.86,35.31,35.58,10122700,35.08
2013-06-20,36.07,36.09,35.07,35.17,8336800,34.68
2013-06-19,37.27,37.27,36.21,36.21,6741400,35.71
2013-06-18,36.98,37.64,36.87,37.51,5541500,36.99
2013-06-17,37.07,37.33,36.72,36.89,6356000,36.38
2013-06-14,36.68,37.10,36.59,36.81,4817800,36.30
2013-06-13,36.33,36.80,36.12,36.70,6472000,36.19
2013-06-12,37.08,37.20,36.42,36.44,5271200,35.93
2013-06-11,37.14,37.31,36.82,36.83,5128500,36.32
2013-06-10,37.47,37.58,37.09,37.49,5029900,36.97
2013-06-07,36.95,37.55,36.90,37.51,5996500,36.99
