Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,98.07,98.21,97.57,97.89,935400,97.89
2014-03-27,97.57,97.82,97.14,97.59,1571000,97.59
2014-03-26,95.00,99.10,95.00,97.69,1176200,97.69
2014-03-25,99.34,99.56,98.89,99.13,1273600,98.50
2014-03-24,99.55,99.75,98.63,99.07,1793200,98.44
2014-03-21,98.62,100.59,98.00,99.26,2472600,98.63
2014-03-20,97.92,98.58,97.42,98.41,1861800,97.78
2014-03-19,99.26,99.57,97.81,98.17,1273100,97.55
2014-03-18,98.93,99.23,98.62,99.20,1433000,98.57
2014-03-17,98.18,98.88,97.91,98.78,1269900,98.15
2014-03-14,97.37,98.02,97.22,97.78,1647900,97.16
2014-03-13,97.93,97.93,97.00,97.55,2275600,96.93
2014-03-12,97.06,97.61,96.61,97.51,1149100,96.89
2014-03-11,98.10,98.32,97.17,97.34,814400,96.72
2014-03-10,97.49,98.11,97.37,97.80,1744400,97.18
2014-03-07,98.44,98.76,97.55,97.77,1789800,97.15
2014-03-06,97.78,98.57,97.48,98.15,1331100,97.53
2014-03-05,97.53,97.93,97.16,97.66,1172400,97.04
2014-03-04,97.44,97.60,97.05,97.47,1918600,96.85
2014-03-03,96.72,97.01,95.85,96.42,1376200,95.81
2014-02-28,97.00,98.10,96.85,97.87,1780000,97.25
2014-02-27,96.02,96.98,95.96,96.76,1250200,96.15
2014-02-26,96.38,96.80,95.97,96.10,1126600,95.49
2014-02-25,96.73,96.91,96.34,96.53,1268500,95.92
2014-02-24,97.10,97.86,96.78,96.79,1409700,96.17
2014-02-21,97.08,97.85,96.67,97.19,1264100,96.57
2014-02-20,96.60,97.28,95.89,96.78,1579200,96.16
2014-02-19,97.27,97.87,96.64,96.67,1517300,96.06
2014-02-18,97.10,97.60,96.84,97.46,1450400,96.84
2014-02-14,96.14,96.99,96.00,96.97,1426200,96.35
2014-02-13,95.00,96.20,94.95,96.14,1339900,95.53
2014-02-12,96.20,96.56,95.62,95.71,1676800,95.10
2014-02-11,95.33,96.85,95.22,96.81,2353900,96.19
2014-02-10,94.19,95.03,93.93,95.03,1712500,94.43
2014-02-07,94.08,94.65,93.65,94.60,2124700,94.00
2014-02-06,93.39,94.19,93.03,93.49,2986500,92.90
2014-02-05,92.54,93.57,92.52,93.25,2561300,92.66
2014-02-04,93.21,93.63,92.59,92.84,2569000,92.25
2014-02-03,93.44,93.88,92.26,92.60,3813700,92.01
2014-01-31,93.74,94.45,93.52,93.81,2871400,93.21
2014-01-30,94.64,95.37,94.04,95.14,2339300,94.54
2014-01-29,93.89,94.53,92.89,94.03,3466700,93.43
2014-01-28,93.19,94.85,93.11,94.57,2603200,93.97
2014-01-27,92.02,93.80,92.00,93.05,3022500,92.46
2014-01-24,94.18,94.18,92.19,92.19,2526500,91.60
2014-01-23,96.24,96.24,94.01,94.18,2879500,93.58
2014-01-22,96.61,96.99,95.97,96.01,1615500,95.40
2014-01-21,97.28,97.56,96.01,96.37,2649000,95.76
2014-01-17,97.32,97.72,96.84,97.10,4253700,96.48
2014-01-16,97.79,98.16,97.15,97.30,1564900,96.68
2014-01-15,98.14,98.61,97.66,97.99,1583900,97.37
2014-01-14,96.87,98.05,96.73,97.70,1878300,97.08
2014-01-13,98.34,98.68,96.71,96.92,2459200,96.30
2014-01-09,99.32,99.46,98.15,98.90,2097000,97.65
2014-01-08,100.11,100.36,98.53,99.03,2781700,97.77
2014-01-07,101.01,101.36,100.17,100.27,2214100,99.00
2014-01-06,102.42,102.52,100.74,101.09,1304100,99.81
2014-01-03,101.91,102.15,101.23,101.44,1120800,100.15
2014-01-02,102.78,103.39,101.33,101.70,1112600,100.41
2013-12-31,103.16,103.76,103.06,103.53,686400,102.22
2013-12-30,102.64,103.21,102.61,102.92,518900,101.61
2013-12-27,102.88,102.88,102.32,102.62,527700,101.32
2013-12-26,102.16,102.85,101.95,102.69,586200,101.39
2013-12-24,101.60,102.07,101.35,102.07,492200,100.78
2013-12-23,101.83,101.91,101.14,101.75,904100,100.46
2013-12-20,100.42,101.55,100.29,101.19,1362600,99.91
2013-12-19,99.85,100.42,99.63,100.36,1811200,99.09
2013-12-18,98.99,100.06,98.22,100.04,1757200,98.77
2013-12-17,99.61,99.66,98.76,98.80,1233300,97.55
2013-12-16,99.30,99.96,99.00,99.20,1156200,97.94
2013-12-13,99.69,100.01,99.18,99.26,1121000,98.00
2013-12-12,99.83,100.26,99.47,99.57,1461300,98.31
2013-12-11,101.14,101.35,99.69,99.90,1321900,98.63
2013-12-10,101.25,101.71,101.12,101.25,921400,99.97
