Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,43.28,43.60,42.94,43.21,2773300,43.21
2014-03-27,42.80,43.16,42.61,43.10,3247200,43.10
2014-03-26,42.48,43.05,42.43,42.70,3909400,42.70
2014-03-25,42.54,42.64,42.22,42.41,3605800,42.41
2014-03-24,42.82,42.99,42.18,42.30,2586800,42.30
2014-03-21,43.08,43.09,42.43,42.67,8359100,42.67
2014-03-20,42.58,42.79,42.28,42.70,2430300,42.70
2014-03-19,42.93,43.22,42.31,42.66,3514300,42.66
2014-03-18,42.69,43.00,42.51,42.93,2202200,42.93
2014-03-17,42.78,43.08,42.44,42.56,4392500,42.56
2014-03-14,42.26,42.71,42.19,42.51,3792400,42.51
2014-03-13,43.03,43.21,42.38,42.40,3983900,42.40
2014-03-12,42.14,43.18,42.09,42.93,5485300,42.93
2014-03-11,42.52,42.77,42.32,42.45,4258500,42.45
2014-03-10,41.61,42.45,41.61,42.45,5695100,42.45
2014-03-07,41.14,41.54,40.99,41.33,3008400,41.33
2014-03-06,40.70,41.10,40.60,40.94,3845100,40.94
2014-03-05,40.66,40.88,40.37,40.67,2790700,40.67
2014-03-04,40.29,40.93,40.29,40.70,3666300,40.70
2014-03-03,40.14,40.19,39.53,39.88,5021600,39.88
2014-02-28,39.90,40.80,39.87,40.60,4379800,40.60
2014-02-27,40.32,40.54,39.79,39.89,5100100,39.89
2014-02-26,40.49,40.67,40.28,40.39,2649300,40.39
2014-02-25,40.25,40.75,40.15,40.39,3407200,40.39
2014-02-24,40.10,40.67,39.99,40.16,3499000,40.16
2014-02-21,40.11,40.17,39.78,39.99,3919600,39.99
2014-02-20,39.95,40.26,39.86,40.12,3709600,40.12
2014-02-19,40.50,40.53,39.89,39.95,4449300,39.95
2014-02-18,40.66,40.91,40.47,40.53,4295900,40.53
2014-02-14,40.71,40.97,40.51,40.78,3791300,40.54
2014-02-13,40.50,40.90,40.22,40.67,3070900,40.43
2014-02-12,40.43,40.83,40.28,40.65,7035400,40.41
2014-02-11,40.12,40.55,39.76,40.53,6508400,40.29
2014-02-10,39.81,40.25,39.51,40.11,6795700,39.87
2014-02-07,39.60,39.98,39.15,39.89,6597500,39.66
2014-02-06,38.82,39.26,38.74,39.11,5759000,38.88
2014-02-05,38.75,38.83,37.92,38.66,8798900,38.43
2014-02-04,39.81,39.84,38.06,38.23,7340600,38.01
2014-02-03,39.28,39.82,38.77,38.91,7878300,38.68
2014-01-31,39.09,39.73,39.02,39.48,4334000,39.25
2014-01-30,39.59,39.69,39.17,39.51,3987000,39.28
2014-01-29,39.62,39.85,38.96,39.22,5240800,38.99
