Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,48.44,48.96,47.92,48.34,2210600,48.34
2014-03-27,48.60,48.60,47.91,48.28,4610800,48.28
2014-03-26,49.85,50.37,48.63,48.68,2973600,48.68
2014-03-25,49.87,50.75,49.46,49.78,2555800,49.78
2014-03-24,50.11,50.49,49.14,49.74,2705400,49.74
2014-03-21,52.07,52.07,50.04,50.04,3862700,50.04
2014-03-20,50.91,51.79,50.78,51.61,2717400,51.61
2014-03-19,52.66,52.90,50.86,51.05,3824900,51.05
2014-03-18,51.38,52.47,51.30,52.43,1678800,52.43
2014-03-17,50.88,51.74,50.69,51.28,1956900,51.28
2014-03-14,50.52,51.03,50.32,50.47,2811700,50.47
2014-03-13,52.62,52.73,50.13,50.47,4004700,50.47
2014-03-12,52.59,52.61,51.63,52.34,1982500,52.34
2014-03-11,52.66,53.26,52.52,52.81,2126500,52.81
2014-03-10,53.61,53.65,52.57,52.59,1839300,52.59
2014-03-07,53.68,53.92,53.25,53.61,1477900,53.61
2014-03-06,53.60,53.94,53.42,53.74,2273900,53.74
2014-03-05,53.15,53.70,52.99,53.44,2133800,53.44
2014-03-04,52.32,53.53,52.05,53.50,3840300,53.50
2014-03-03,51.32,51.72,50.59,51.67,6328700,51.67
2014-02-28,54.10,54.16,51.89,52.48,6954000,52.48
2014-02-27,57.20,58.68,53.72,54.28,11608800,54.28
2014-02-26,54.82,55.03,53.89,54.72,3835000,54.72
2014-02-25,54.45,54.77,54.03,54.66,2481200,54.66
2014-02-24,55.40,55.98,54.45,54.47,4212900,54.47
2014-02-21,55.10,55.55,54.62,55.40,2534700,55.40
2014-02-20,54.37,54.98,53.60,54.90,1847400,54.90
2014-02-19,54.52,55.17,54.37,54.47,2309600,54.47
2014-02-18,54.17,54.86,53.80,54.52,2750800,54.52
2014-02-14,53.94,54.97,53.94,54.17,3345400,54.17
2014-02-13,53.51,54.49,53.39,54.13,3033100,54.13
2014-02-12,52.93,53.88,52.76,53.77,3001500,53.77
2014-02-11,52.55,53.09,52.30,52.92,1961000,52.92
2014-02-10,51.84,52.49,51.75,52.28,2340700,52.28
2014-02-07,51.05,52.19,50.82,51.99,2649700,51.99
2014-02-06,49.89,51.11,49.70,50.96,1827300,50.96
2014-02-05,49.87,50.11,49.37,49.96,1699200,49.96
2014-02-04,49.79,50.38,49.63,50.12,2032300,50.12
2014-02-03,51.01,51.49,48.93,49.33,4320300,49.33
2014-01-31,50.77,51.63,50.70,51.25,2155300,51.25
2014-01-30,51.55,51.90,50.71,51.52,4046100,51.52
2014-01-29,50.76,51.00,49.61,49.65,2729000,49.65
2014-01-28,50.48,51.29,50.46,51.24,1818700,51.24
2014-01-27,50.63,50.95,49.33,50.59,3640900,50.59
2014-01-24,51.65,51.65,50.25,50.44,4245200,50.44
2014-01-23,52.68,52.68,51.71,51.86,3593200,51.86
2014-01-22,53.18,53.50,52.31,52.37,3108300,52.37
2014-01-21,53.42,54.18,53.03,53.30,2153300,53.30
2014-01-17,53.63,53.73,53.04,53.24,2123200,53.24
