Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,40.48,40.83,40.38,40.80,1330700,40.80
2014-03-27,40.23,40.54,39.99,40.51,1255500,40.51
2014-03-26,40.55,40.84,40.24,40.26,1284000,40.26
2014-03-25,40.61,40.69,40.28,40.51,1624700,40.51
2014-03-24,40.48,40.74,40.14,40.55,1596200,40.55
2014-03-21,40.32,40.77,40.24,40.48,3326600,40.48
2014-03-20,39.82,40.19,39.43,40.13,2750700,40.13
2014-03-19,41.15,41.28,40.22,40.49,1356000,40.49
2014-03-18,41.16,41.35,41.02,41.10,1768100,41.10
2014-03-17,41.20,41.31,40.88,41.14,1774400,41.14
2014-03-14,40.82,41.26,40.68,41.14,1635700,41.14
2014-03-13,40.22,40.88,40.15,40.84,1988200,40.84
2014-03-12,39.64,40.20,39.57,40.19,1371200,40.19
2014-03-11,39.66,39.74,39.30,39.65,1317400,39.65
2014-03-10,39.46,39.76,39.41,39.65,1649400,39.65
2014-03-07,40.29,40.38,39.59,39.89,4070700,39.49
2014-03-06,40.64,40.75,40.16,40.30,1072800,39.90
2014-03-05,40.84,40.88,40.48,40.59,1322200,40.18
2014-03-04,40.70,40.99,40.66,40.90,2014600,40.49
2014-03-03,40.33,40.60,40.13,40.36,1695600,39.96
2014-02-28,40.23,40.62,40.16,40.41,1146800,40.00
2014-02-27,40.41,40.70,40.03,40.15,1298500,39.75
2014-02-26,40.59,40.67,40.28,40.44,1246300,40.03
2014-02-25,40.44,40.88,40.38,40.49,2362500,40.08
2014-02-24,40.98,41.56,40.86,40.90,3494300,40.49
2014-02-21,41.00,42.24,39.92,40.88,5257700,40.47
2014-02-20,38.42,38.90,38.27,38.81,2454400,38.42
2014-02-19,38.78,39.00,38.16,38.27,2192000,37.89
2014-02-18,38.74,39.03,38.66,38.89,1224400,38.50
2014-02-14,38.34,38.65,38.25,38.63,761900,38.24
2014-02-13,37.93,38.40,37.85,38.39,1349000,38.01
2014-02-12,38.10,38.25,37.97,38.04,814500,37.66
2014-02-11,37.60,38.19,37.56,38.14,1262500,37.76
2014-02-10,37.34,37.67,37.00,37.67,1242800,37.29
2014-02-07,37.29,37.47,37.17,37.44,1225400,37.06
2014-02-06,36.93,37.21,36.78,37.17,1439300,36.80
2014-02-05,37.18,37.21,36.74,36.93,2168200,36.56
2014-02-04,37.80,37.80,37.10,37.22,3733400,36.85
2014-02-03,37.85,38.34,37.59,37.66,3280600,37.28
2014-01-31,37.07,37.94,36.85,37.84,2720100,37.46
2014-01-30,36.71,37.29,36.64,37.26,1209600,36.89
2014-01-29,36.43,36.74,36.33,36.62,1613100,36.25
2014-01-28,36.28,36.55,36.20,36.53,1117400,36.16
2014-01-27,35.99,36.42,35.88,36.25,2037000,35.89
2014-01-24,36.35,36.54,35.91,35.91,1787600,35.55
2014-01-23,36.47,36.59,36.23,36.47,1414400,36.10
2014-01-22,36.68,36.84,36.46,36.63,1688200,36.26
2014-01-21,36.32,36.66,36.24,36.64,914000,36.27
2014-01-17,36.20,36.25,36.08,36.15,826200,35.79
2014-01-16,35.95,36.19,35.89,36.17,1057000,35.81
2014-01-15,36.31,36.40,35.93,35.95,1351800,35.59
2014-01-14,36.25,36.49,36.16,36.31,1420000,35.95
2014-01-09,36.02,36.09,35.86,36.04,1226300,35.68
2014-01-08,36.14,36.19,35.80,35.94,1618500,35.58
2014-01-07,35.81,36.25,35.81,36.22,1653700,35.86
2014-01-06,35.70,35.82,35.42,35.76,2837500,35.40
2014-01-03,35.63,35.69,35.22,35.40,1206500,35.05
2014-01-02,36.05,36.11,35.47,35.53,1394300,35.17
2013-12-31,36.25,36.33,36.07,36.16,1051300,35.80
2013-12-30,35.92,36.21,35.89,36.14,872000,35.78
2013-12-27,35.94,36.10,35.76,36.00,656000,35.64
2013-12-26,36.10,36.18,35.80,35.95,767600,35.59
2013-12-24,35.86,36.14,35.67,36.04,373500,35.68
2013-12-23,36.28,36.44,35.80,35.86,1715600,35.50
2013-12-20,35.88,36.43,35.86,36.15,3266300,35.79
2013-12-19,35.80,35.85,35.37,35.79,1706100,35.43
2013-12-18,35.26,35.96,34.84,35.90,1906000,35.54
2013-12-17,35.23,35.46,35.11,35.25,1365300,34.90
2013-12-16,35.07,35.43,35.07,35.25,2542800,34.90
2013-12-13,35.22,35.24,34.92,35.02,1489400,34.67
2013-12-12,34.77,35.34,34.71,35.12,2299700,34.77
2013-12-11,35.29,35.38,34.78,34.81,1512600,34.46
2013-12-10,35.69,35.78,35.20,35.24,2581100,34.89
2013-12-09,36.04,36.16,35.65,35.72,1956900,35.36
2013-12-06,36.28,36.64,35.91,36.44,1790400,35.68
2013-12-05,36.41,36.50,36.02,36.09,1704900,35.34
2013-12-04,36.11,36.59,35.97,36.55,1427400,35.79
2013-12-03,35.97,36.32,35.87,36.31,1987300,35.55
2013-12-02,35.93,36.24,35.56,36.06,1427700,35.31
2013-11-29,35.92,36.08,35.78,35.85,766700,35.10
2013-11-27,36.25,36.36,35.81,35.97,948800,35.22
2013-11-26,36.53,36.64,36.21,36.22,1370800,35.46
2013-11-25,36.79,36.88,36.52,36.59,791200,35.83
2013-11-22,36.70,36.92,36.59,36.67,1858700,35.90
2013-11-21,36.68,37.31,36.43,36.74,2145600,35.97
2013-11-20,36.92,37.12,36.64,36.67,1519100,35.90
2013-11-19,36.94,37.14,36.81,36.97,1371300,36.20
2013-11-18,36.95,37.20,36.75,37.03,1309800,36.26
2013-11-15,36.56,36.95,36.44,36.95,1253000,36.18
2013-11-14,36.30,36.96,36.13,36.67,2148500,35.90
2013-11-13,35.73,36.18,35.26,36.18,1246300,35.42
2013-11-12,36.26,36.32,35.70,35.97,1004700,35.22
2013-11-11,36.40,36.46,36.15,36.36,1034000,35.60
2013-11-08,36.12,36.44,35.52,36.41,1644600,35.65
2013-11-07,36.50,36.85,36.17,36.26,1190800,35.50
2013-11-06,36.25,36.64,36.22,36.63,971300,35.86
2013-11-05,36.51,36.73,36.18,36.19,974000,35.43
2013-11-04,36.55,36.63,36.11,36.57,741600,35.81
2013-11-01,36.28,36.48,36.10,36.48,1149600,35.72
2013-10-31,36.24,36.28,35.46,36.18,1727200,35.42
2013-10-30,36.60,36.78,36.12,36.22,1063100,35.46
2013-10-29,36.61,36.67,36.38,36.58,1020100,35.82
2013-10-28,36.50,36.64,36.30,36.52,1058600,35.76
2013-10-25,36.04,36.52,35.93,36.48,945000,35.72
2013-10-24,36.25,36.25,35.88,36.01,1557200,35.26
2013-10-23,35.94,36.53,35.90,36.12,1184300,35.37
2013-10-22,35.72,36.10,35.64,35.96,2822200,35.21
2013-10-21,35.87,35.95,35.50,35.72,1816600,34.97
2013-10-18,35.92,36.07,35.79,35.88,1299800,35.13
2013-10-17,35.08,35.91,34.96,35.84,2447800,35.09
2013-10-16,35.10,35.29,34.83,35.14,1708700,34.41
2013-10-15,35.37,35.42,34.82,35.09,1619500,34.36
2013-10-14,35.60,35.60,34.98,35.53,1407000,34.79
2013-10-11,35.25,35.66,35.15,35.54,1047200,34.80
2013-10-10,34.88,35.41,34.53,35.35,1272900,34.61
2013-10-09,34.39,34.92,34.39,34.70,1676900,33.97
2013-10-08,34.32,34.92,34.18,34.39,1248600,33.67
2013-10-07,34.42,34.59,34.22,34.23,903000,33.51
2013-10-04,34.53,34.87,34.45,34.54,644500,33.82
2013-10-03,34.80,34.80,34.31,34.53,1413700,33.81
2013-10-02,34.75,34.99,34.53,34.94,1629800,34.21
2013-10-01,34.91,35.08,34.72,34.87,1225100,34.14
2013-09-30,34.87,35.13,34.73,34.84,1633900,34.11
2013-09-27,35.03,35.29,34.82,35.01,1937400,34.28
2013-09-26,35.44,35.59,34.98,35.16,1677300,34.43
2013-09-25,35.40,35.97,35.37,35.44,4381300,34.70
