Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.82,50.17,49.65,50.00,2668100,50.00
2014-03-27,49.28,49.95,48.99,49.80,4253000,49.80
2014-03-26,49.43,49.65,49.19,49.32,2936300,49.32
2014-03-25,48.85,49.47,48.53,49.37,4703000,49.37
2014-03-24,48.86,49.29,48.73,48.76,4289500,48.76
2014-03-21,48.95,49.61,48.69,48.89,5434900,48.89
2014-03-20,48.83,48.95,48.31,48.75,3756500,48.75
2014-03-19,50.17,50.26,48.88,48.94,4187000,48.94
2014-03-18,50.41,50.49,50.06,50.16,2129600,50.16
2014-03-17,50.21,50.40,49.83,50.29,2324000,50.29
2014-03-14,49.90,50.38,49.76,50.11,1993200,50.11
2014-03-13,49.55,50.10,49.41,49.91,2395000,49.91
2014-03-12,48.63,49.51,48.57,49.50,2037500,49.50
2014-03-11,49.31,49.36,48.56,48.70,3522500,48.70
2014-03-10,49.32,49.58,48.97,49.21,2497800,49.21
2014-03-07,49.08,49.38,48.63,49.33,2484000,49.33
2014-03-06,49.77,49.89,49.19,49.25,2104200,49.25
2014-03-05,50.11,50.30,49.62,49.68,2044800,49.68
2014-03-04,50.10,50.33,49.88,50.05,2507500,50.05
2014-03-03,49.97,50.20,49.64,49.72,2023600,49.72
2014-02-28,49.91,50.43,49.89,50.20,2665000,50.20
2014-02-27,50.22,50.38,49.61,49.80,2966800,49.80
2014-02-26,50.29,50.56,50.02,50.27,2034200,50.27
2014-02-25,50.18,50.57,49.93,50.06,2398700,50.06
2014-02-24,50.60,50.87,50.05,50.07,2823000,50.07
2014-02-21,50.37,50.89,50.36,50.56,2979800,50.56
2014-02-20,50.08,50.76,49.80,50.34,3151700,50.34
2014-02-19,50.25,50.76,50.08,50.15,2344900,50.15
2014-02-18,50.16,50.50,50.09,50.39,3077700,50.39
2014-02-14,49.56,50.12,49.41,50.11,2310500,50.11
2014-02-13,48.81,49.74,48.75,49.70,2801700,49.70
2014-02-12,48.54,48.98,48.41,48.98,2707200,48.98
2014-02-11,48.19,48.79,48.15,48.64,2198900,48.64
2014-02-10,47.93,48.28,47.53,48.25,3114400,48.25
2014-02-07,47.75,48.06,47.61,48.03,2486100,48.03
2014-02-06,47.43,47.62,47.23,47.60,3646000,47.60
2014-02-05,48.34,48.37,47.79,47.95,3380500,47.45
2014-02-04,48.57,48.61,48.05,48.50,4266200,47.99
2014-02-03,48.93,49.39,48.21,48.31,5001600,47.81
2014-01-31,47.95,48.98,47.82,48.81,4221400,48.30
2014-01-30,47.68,48.42,47.67,48.24,2793400,47.74
2014-01-29,47.33,47.97,47.27,47.59,3303000,47.09
2014-01-28,47.25,47.52,47.06,47.51,2319300,47.01
2014-01-27,46.81,47.39,46.61,47.18,3434500,46.69
2014-01-24,47.46,47.69,46.77,46.77,3718700,46.28
2014-01-23,47.45,47.65,47.15,47.63,3335200,47.13
2014-01-22,47.35,47.59,47.23,47.52,2142400,47.02
2014-01-21,46.93,47.36,46.93,47.34,1847800,46.85
2014-01-17,46.68,46.79,46.43,46.77,2179900,46.28
2014-01-16,46.45,46.67,46.34,46.58,1593700,46.09
2014-01-15,46.51,46.58,46.27,46.45,1742900,45.97
2014-01-14,46.70,46.82,46.38,46.51,2192000,46.03
