Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,14.10,14.31,14.07,14.29,5875900,14.29
2014-03-27,13.76,14.06,13.75,14.02,4550100,14.02
2014-03-26,13.97,14.03,13.72,13.73,4108700,13.73
2014-03-25,13.91,13.99,13.84,13.93,3997900,13.93
2014-03-24,13.94,14.03,13.75,13.87,4508800,13.87
2014-03-21,14.13,14.17,13.88,13.89,6004500,13.89
2014-03-20,13.82,14.00,13.70,13.97,4092300,13.97
2014-03-19,14.06,14.12,13.77,13.83,4115500,13.83
2014-03-18,13.94,14.09,13.93,14.02,3010500,14.02
2014-03-17,13.85,13.99,13.79,13.91,2971400,13.91
2014-03-14,13.80,13.98,13.79,13.81,3308400,13.81
2014-03-13,13.84,13.94,13.78,13.84,3937800,13.84
2014-03-12,13.54,13.85,13.53,13.84,3456300,13.84
2014-03-11,13.85,13.87,13.54,13.61,5951700,13.61
2014-03-10,14.03,14.03,13.84,13.84,5844300,13.84
2014-03-07,13.99,14.06,13.86,14.05,6189800,14.05
2014-03-06,14.04,14.14,13.91,13.99,5778800,13.99
2014-03-05,13.91,14.05,13.88,14.04,4721700,14.04
2014-03-04,13.90,14.09,13.88,13.95,5669400,13.95
2014-03-03,13.58,13.94,13.55,13.86,7896500,13.86
2014-02-28,13.80,13.86,13.57,13.65,9202800,13.65
2014-02-27,14.08,14.10,13.74,13.78,10288000,13.78
2014-02-26,14.17,14.37,14.02,14.17,9411200,14.17
2014-02-25,14.26,14.39,14.15,14.29,4971900,14.29
2014-02-24,14.62,14.68,14.23,14.27,9062200,14.27
2014-02-21,14.53,14.78,14.46,14.63,4392900,14.63
2014-02-20,14.37,14.76,14.37,14.52,5707300,14.52
2014-02-19,14.67,14.81,14.36,14.41,6897500,14.41
2014-02-18,14.65,14.94,14.62,14.76,4366100,14.76
2014-02-14,14.44,14.62,14.42,14.62,2871900,14.62
2014-02-13,14.21,14.60,14.20,14.49,3640600,14.49
2014-02-12,14.33,14.36,14.17,14.31,4655900,14.31
2014-02-11,14.05,14.49,14.03,14.33,4940400,14.33
2014-02-10,14.02,14.11,13.82,14.05,3095300,14.05
2014-02-07,14.00,14.10,13.92,14.06,3439100,14.06
2014-02-06,13.85,13.99,13.79,13.96,3388800,13.96
2014-02-05,13.74,13.92,13.58,13.84,3564300,13.84
2014-02-04,13.76,13.89,13.62,13.83,4359500,13.83
2014-02-03,14.06,14.22,13.68,13.71,5421100,13.71
2014-01-31,13.78,14.10,13.71,14.06,7542400,14.06
2014-01-30,13.80,13.97,13.73,13.95,3184900,13.95
2014-01-29,13.80,13.96,13.68,13.75,7127300,13.70
2014-01-28,13.65,13.97,13.62,13.97,5337000,13.92
