Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,62.46,63.15,62.35,62.66,1235100,62.66
2014-03-27,62.66,62.71,62.10,62.27,1563200,62.27
2014-03-26,63.37,63.44,62.68,62.71,1992400,62.71
2014-03-25,63.06,63.39,62.85,62.94,1853300,62.94
2014-03-24,63.23,63.49,62.69,62.69,2201600,62.69
2014-03-21,63.35,63.54,62.93,62.98,5794100,62.98
2014-03-20,63.23,63.65,62.94,63.21,2886100,63.21
2014-03-19,64.34,64.45,63.00,63.36,2151300,63.36
2014-03-18,64.02,64.58,63.98,64.31,1105200,64.31
2014-03-17,64.44,64.61,63.66,63.82,1764300,63.82
2014-03-14,64.07,64.59,63.90,64.11,1183200,64.11
2014-03-13,65.08,65.20,64.03,64.18,1527800,64.18
2014-03-12,64.61,65.05,64.50,64.89,1006600,64.89
2014-03-11,65.66,65.66,64.73,64.95,1509700,64.95
2014-03-10,65.62,65.88,65.20,65.54,1094000,65.54
2014-03-07,65.57,66.01,65.29,65.61,1365600,65.61
2014-03-06,65.11,65.62,65.09,65.22,1355900,65.22
2014-03-05,64.97,65.09,64.59,65.01,1428400,65.01
2014-03-04,64.58,65.28,64.44,65.13,2138200,65.13
2014-03-03,63.37,64.30,63.00,64.02,2119200,64.02
2014-02-28,63.39,64.48,63.38,64.08,2534700,64.08
2014-02-27,62.50,63.40,62.49,63.38,1530500,63.38
2014-02-26,62.78,62.99,62.41,62.60,1480400,62.60
2014-02-25,62.33,62.84,62.15,62.52,1827700,62.52
2014-02-24,62.26,62.88,62.26,62.30,1881200,62.30
2014-02-21,62.97,63.00,62.13,62.32,2372300,62.32
2014-02-20,62.57,63.06,62.34,62.92,1529000,62.92
2014-02-19,62.74,63.65,62.40,62.44,1585700,62.44
2014-02-18,63.09,63.15,62.84,63.03,1389700,63.03
2014-02-14,62.67,63.25,62.66,63.13,1479500,63.13
2014-02-13,62.18,62.82,62.00,62.79,1303400,62.79
2014-02-12,62.33,62.95,62.30,62.75,1617900,62.75
2014-02-11,62.42,62.62,61.79,62.41,2350000,62.04
2014-02-10,62.51,63.00,62.15,62.43,1874000,62.06
2014-02-07,61.77,62.79,61.48,62.68,2314600,62.31
2014-02-06,61.60,62.00,61.37,61.73,2172100,61.36
2014-02-05,61.90,62.31,60.45,61.76,2716100,61.39
2014-02-04,60.98,61.64,60.81,61.47,2436700,61.11
2014-02-03,62.86,62.92,60.69,60.72,3034100,60.36
2014-01-31,62.24,63.35,62.02,62.78,2203400,62.41
2014-01-30,62.55,63.35,62.45,63.20,1574000,62.83
2014-01-29,61.74,62.85,61.73,62.12,2498200,61.75
2014-01-28,61.84,62.54,61.84,62.45,1788200,62.08
2014-01-27,62.18,62.57,61.34,61.79,2818300,61.42
2014-01-24,63.29,63.61,62.29,62.29,3171900,61.92
2014-01-23,64.20,64.30,63.26,63.56,2022700,63.18
2014-01-22,64.86,64.99,64.25,64.40,1396100,64.02
2014-01-21,64.92,65.28,64.41,64.83,2177600,64.45
2014-01-17,64.81,65.47,64.62,64.71,2144400,64.33
2014-01-16,64.79,65.15,64.55,64.83,1658300,64.45
2014-01-15,64.71,65.11,64.68,64.94,2019900,64.56
2014-01-14,64.39,64.81,64.22,64.70,1777800,64.32
2014-01-09,64.69,64.85,64.09,64.27,2311900,63.89
2014-01-08,64.98,65.17,64.41,64.63,1725900,64.25
2014-01-07,65.03,65.53,64.87,65.09,1913100,64.70
2014-01-06,66.20,66.28,64.32,64.88,4244200,64.50
2014-01-03,66.08,66.54,66.05,66.15,1279100,65.76
2014-01-02,66.63,66.69,65.81,65.96,1914700,65.57
2013-12-31,66.87,67.01,66.58,66.80,1210100,66.40
2013-12-30,67.25,67.62,66.65,66.69,1950600,66.29
2013-12-27,67.15,67.38,66.87,67.25,990300,66.85
2013-12-26,66.41,67.43,66.32,67.11,1313400,66.71
2013-12-24,66.23,66.54,66.15,66.48,884100,66.09
2013-12-23,66.09,66.60,65.99,66.35,2238300,65.96
2013-12-20,65.92,66.50,65.55,65.65,4240400,65.26
2013-12-19,66.24,66.40,65.90,66.00,2466100,65.61
2013-12-18,66.27,66.68,65.47,66.59,3184700,66.20
2013-12-17,66.37,66.44,65.87,66.01,1446700,65.62
2013-12-16,66.18,66.62,65.97,66.36,1451900,65.97
2013-12-13,65.92,66.25,65.61,65.96,1316300,65.57
2013-12-12,65.82,65.99,65.54,65.64,2286000,65.25
2013-12-11,66.25,66.25,65.59,65.72,1913700,65.33
2013-12-10,66.22,66.39,66.00,66.27,1694000,65.88
2013-12-09,66.58,66.81,66.24,66.45,1692400,66.06
2013-12-06,66.42,66.73,66.11,66.64,1460100,66.24
2013-12-05,65.45,66.35,65.35,65.70,1938900,65.31
2013-12-04,65.52,66.14,65.22,65.71,1674600,65.32
2013-12-03,66.02,66.31,65.13,65.54,2298000,65.15
2013-12-02,66.35,67.23,66.11,66.25,1886400,65.86
2013-11-29,66.56,66.96,66.35,66.37,941000,65.98
2013-11-27,66.67,66.70,66.26,66.44,1170100,66.05
2013-11-26,66.25,66.78,66.25,66.44,1612400,66.05
2013-11-25,66.50,66.81,66.11,66.22,1091500,65.83
2013-11-22,66.23,66.69,66.19,66.57,1379400,66.18
2013-11-21,66.22,66.79,66.08,66.54,1922700,66.15
2013-11-20,66.34,66.58,66.03,66.21,1378400,65.82
2013-11-19,66.90,67.01,66.22,66.28,1649000,65.89
2013-11-18,67.19,67.47,66.77,66.90,2248600,66.50
2013-11-15,67.20,67.52,66.42,67.48,2768800,66.71
2013-11-14,66.28,67.50,66.20,67.47,2148800,66.70
2013-11-13,65.39,66.27,65.24,66.27,2086400,65.52
2013-11-12,65.40,65.79,64.99,65.25,1709400,64.51
2013-11-11,65.57,65.99,65.50,65.68,1396000,64.93
2013-11-08,64.44,65.82,64.37,65.75,2731000,65.00
2013-11-07,64.92,65.58,64.22,64.26,2229000,63.53
2013-11-06,64.58,65.04,64.48,64.82,1797700,64.08
2013-11-05,65.00,65.06,64.38,64.45,2310900,63.72
2013-11-04,65.01,65.15,64.49,65.06,2504900,64.32
2013-11-01,65.17,65.45,64.90,65.10,2028800,64.36
2013-10-31,64.77,65.33,64.65,64.98,3363800,64.24
2013-10-30,64.68,65.78,64.01,65.02,6336700,64.28
