Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,121.28,123.75,120.75,121.05,3295800,121.05
2014-03-27,121.91,122.50,120.22,120.53,3602900,120.53
2014-03-26,124.88,125.13,122.33,122.34,6014000,122.34
2014-03-25,125.04,127.31,123.72,124.57,3388000,124.57
2014-03-24,125.31,125.56,122.79,124.38,2407700,124.38
2014-03-21,131.10,132.04,124.86,125.05,5544000,125.05
2014-03-20,131.16,131.26,129.64,130.00,2616800,130.00
2014-03-19,131.36,131.66,130.56,131.43,2211500,131.43
2014-03-18,129.96,131.36,129.96,131.21,2304600,131.21
2014-03-17,128.85,131.00,128.05,129.91,2693200,129.91
2014-03-14,127.42,128.91,127.11,128.34,2581200,128.34
2014-03-13,128.70,129.89,127.69,127.76,2545500,127.76
2014-03-12,127.47,128.69,126.28,128.65,2784400,128.65
2014-03-11,129.08,130.00,128.06,128.55,1693600,128.55
2014-03-10,127.75,129.40,127.25,129.25,1702200,129.25
2014-03-07,127.19,128.25,126.14,127.99,2113300,127.99
2014-03-06,129.04,129.69,126.51,126.87,1795900,126.87
2014-03-05,129.24,129.62,128.19,128.55,1755800,128.55
2014-03-04,127.33,129.21,127.24,128.90,2108500,128.90
2014-03-03,126.01,126.85,125.24,126.32,2209500,126.32
2014-02-28,128.50,129.48,126.09,127.00,2441500,127.00
2014-02-27,126.39,128.61,126.02,128.55,2787400,128.55
2014-02-26,125.41,128.40,125.18,127.29,3207300,127.29
2014-02-25,124.47,125.60,124.32,125.54,1654900,125.49
2014-02-24,123.85,126.23,123.41,124.50,2376200,124.45
2014-02-21,126.91,127.08,124.88,125.07,1794700,125.02
2014-02-20,125.87,127.40,124.83,127.25,1966100,127.20
2014-02-19,125.13,127.98,124.80,125.00,2867900,124.95
2014-02-18,123.69,126.77,123.07,125.59,2591800,125.54
2014-02-14,125.00,125.44,123.90,124.57,1927600,124.52
2014-02-13,122.19,125.04,122.00,124.97,2417900,124.92
2014-02-12,122.75,124.93,122.63,123.21,2678100,123.16
2014-02-11,121.83,123.12,119.00,122.71,2935800,122.66
2014-02-10,118.75,123.79,118.49,122.96,4582100,122.91
2014-02-07,116.92,118.88,115.74,118.84,2405500,118.79
2014-02-06,116.98,118.50,116.31,117.37,2353200,117.32
2014-02-05,115.56,116.56,110.62,115.20,3295600,115.15
2014-02-04,113.69,115.84,113.61,114.69,2339300,114.64
2014-02-03,115.00,115.93,111.95,112.26,2363300,112.22
2014-01-31,113.68,115.84,112.92,114.60,2541200,114.55
2014-01-30,115.47,116.07,114.62,115.11,1816500,115.06
2014-01-29,113.70,115.73,113.25,114.24,1834400,114.19
2014-01-28,113.80,115.26,112.44,113.99,2364900,113.94
2014-01-27,115.25,115.67,113.65,113.90,1851100,113.85
2014-01-24,116.00,116.63,114.20,114.87,3014300,114.82
2014-01-23,117.74,117.74,114.16,116.36,3310100,116.31
