Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.52,50.02,49.28,49.88,7118400,49.88
2014-03-27,49.55,49.67,48.85,49.41,8736800,49.41
2014-03-26,50.46,50.66,49.70,49.70,6910100,49.70
2014-03-25,50.32,50.51,49.88,50.21,6949800,50.21
2014-03-24,50.12,50.28,49.42,49.71,6328900,49.71
2014-03-21,50.86,50.91,49.83,50.02,9942300,50.02
2014-03-20,49.80,50.50,49.74,50.38,8102300,50.38
2014-03-19,49.67,50.06,49.46,49.73,8075400,49.73
2014-03-18,49.18,49.80,49.08,49.76,8960800,49.76
2014-03-17,48.91,49.25,48.74,48.92,8936600,48.92
2014-03-14,48.72,49.10,48.27,48.59,9028400,48.59
2014-03-13,50.24,50.24,48.65,48.74,12580600,48.74
2014-03-12,49.40,50.33,49.36,49.93,13730900,49.93
2014-03-11,51.19,51.39,50.41,50.53,8519100,50.53
2014-03-10,51.26,51.31,50.62,51.02,6972500,51.02
2014-03-07,51.64,51.86,50.89,51.25,8327900,51.25
2014-03-06,51.27,51.46,50.87,51.26,11056800,51.13
2014-03-05,50.23,51.32,50.21,50.89,11290400,50.77
2014-03-04,50.05,50.43,49.94,50.25,10146000,50.13
2014-03-03,49.13,49.55,49.00,49.45,6970800,49.33
2014-02-28,49.31,50.20,49.20,49.77,11428800,49.65
2014-02-27,48.70,49.36,48.46,49.31,9634600,49.19
2014-02-26,48.99,49.01,48.28,48.72,13389700,48.60
2014-02-25,49.45,49.46,48.81,49.01,9343400,48.89
2014-02-24,49.10,49.80,49.00,49.45,10042200,49.33
2014-02-21,49.23,49.30,48.98,48.98,10718800,48.86
2014-02-20,49.20,49.47,48.91,49.22,9824800,49.10
2014-02-19,49.96,50.23,49.18,49.25,10267300,49.13
2014-02-18,49.15,50.43,49.00,50.17,14941000,50.05
2014-02-14,48.90,49.23,48.00,48.98,26846200,48.86
2014-02-13,48.75,49.74,48.30,49.59,11815500,49.47
2014-02-12,49.25,49.72,48.83,49.04,10448900,48.92
2014-02-11,48.90,49.31,48.26,49.00,10560200,48.88
2014-02-10,49.02,49.26,48.62,48.88,5927900,48.76
2014-02-07,48.15,49.05,47.64,49.01,9367800,48.89
2014-02-06,47.82,48.28,47.56,47.72,9026300,47.60
2014-02-05,47.28,47.89,47.02,47.64,8655000,47.52
2014-02-04,46.87,48.09,46.85,47.62,9050700,47.50
2014-02-03,48.00,48.24,46.80,46.88,12990400,46.77
2014-01-31,48.01,48.59,47.77,47.96,12707000,47.84
2014-01-30,48.45,49.09,48.44,48.88,7203300,48.76
2014-01-29,48.12,48.53,47.80,47.95,9845100,47.83
2014-01-28,48.56,49.13,48.10,48.46,13377900,48.34
2014-01-27,48.02,48.59,46.81,47.29,17878200,47.17
2014-01-24,48.78,49.15,47.85,47.86,11843000,47.74
2014-01-23,50.02,50.02,48.71,49.21,10797000,49.09
2014-01-22,50.80,51.07,50.11,50.29,9958500,50.17
2014-01-09,51.88,52.29,51.71,52.11,8165200,51.98
2014-01-08,51.23,51.93,51.02,51.81,9960600,51.68
2014-01-07,50.67,51.37,50.61,51.21,9061100,51.09
2014-01-06,51.55,51.58,50.48,50.52,9264200,50.40
2014-01-03,50.67,51.23,50.61,50.92,7277400,50.80
2014-01-02,50.81,51.30,50.47,50.71,9196100,50.59
2013-12-31,51.21,51.34,50.91,51.05,4956300,50.93
2013-12-30,51.10,51.31,51.02,51.11,4159600,50.99
2013-12-27,50.99,51.33,50.90,51.18,4297500,51.06
2013-12-26,51.30,51.38,50.93,51.00,4185100,50.88
2013-12-24,51.23,51.31,50.98,51.28,2338000,51.15
2013-12-23,51.42,51.47,51.08,51.24,5408800,51.12
2013-12-20,50.33,51.11,50.26,51.03,10954900,50.91
2013-12-19,50.00,50.62,49.86,50.36,9069900,50.24
2013-12-18,49.33,50.27,49.00,50.25,15302100,50.13
2013-12-17,50.03,50.10,49.24,49.36,14939500,49.24
2013-12-16,50.86,51.05,50.17,50.28,15584100,50.16
2013-12-13,49.44,49.96,49.19,49.73,8262500,49.61
2013-12-12,48.56,49.97,48.42,49.42,14566800,49.30
2013-12-11,49.14,49.26,48.59,48.70,8684900,48.58
2013-12-10,49.46,49.72,49.18,49.30,9262500,49.18
2013-12-09,49.69,50.21,49.45,49.56,6949400,49.44
2013-12-06,48.74,49.71,48.61,49.55,9826800,49.43
2013-12-05,48.70,48.84,48.03,48.19,9131500,48.07
2013-12-04,48.45,49.22,48.30,48.94,8267000,48.82
2013-12-03,49.43,49.55,48.47,48.65,12229800,48.53
2013-12-02,49.77,50.25,49.61,49.71,8425600,49.49
2013-11-29,49.74,50.15,49.54,49.75,4413400,49.53
2013-11-27,49.39,49.71,49.11,49.65,6177500,49.43
2013-11-26,50.02,50.05,49.35,49.39,6384300,49.17
2013-11-25,49.59,50.40,49.56,49.80,8023700,49.58
2013-11-22,48.97,49.67,48.92,49.59,9173300,49.37
2013-11-21,48.47,49.11,48.45,48.92,9811700,48.70
2013-11-20,48.87,48.90,48.03,48.26,10474100,48.05
2013-11-19,48.81,49.13,48.51,48.78,7254200,48.56
2013-11-18,49.47,49.52,48.80,48.96,7130900,48.74
2013-11-15,49.20,49.59,49.01,49.30,10091900,49.08
2013-11-14,48.74,49.33,48.40,49.31,10289700,49.09
2013-11-13,48.13,48.66,47.90,48.58,12084300,48.36
