Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,55.87,56.06,55.51,55.80,1468000,55.80
2014-03-27,55.60,55.80,55.45,55.64,1918800,55.64
2014-03-26,56.33,56.37,55.69,55.70,1991900,55.70
2014-03-25,56.42,56.48,55.63,56.00,3152100,56.00
2014-03-24,56.33,56.60,55.99,56.18,2366200,56.18
2014-03-21,55.86,56.41,55.70,56.06,3903200,56.06
2014-03-20,55.07,55.79,55.01,55.56,2539200,55.56
2014-03-19,55.54,55.67,55.02,55.31,3238800,55.31
2014-03-18,55.65,55.71,55.38,55.47,2038300,55.47
2014-03-17,55.52,55.68,55.33,55.52,1338000,55.52
2014-03-14,55.06,55.38,55.06,55.13,2695300,55.13
2014-03-13,55.63,55.71,55.07,55.11,2762500,55.11
2014-03-12,55.38,55.66,55.13,55.49,2210400,55.49
2014-03-11,55.90,55.93,55.50,55.61,2361500,55.61
2014-03-10,55.68,55.81,55.37,55.80,1956900,55.80
2014-03-07,55.42,55.73,55.18,55.71,2471700,55.71
2014-03-06,55.20,55.48,54.96,55.17,2414200,55.17
2014-03-05,54.80,55.10,54.56,55.07,2218900,55.07
2014-03-04,54.68,54.90,54.37,54.85,3531400,54.85
2014-03-03,53.71,54.32,53.60,54.05,3281600,54.05
2014-02-28,54.27,54.80,54.01,54.26,3521100,54.26
2014-02-27,53.57,54.24,53.34,54.23,2373200,54.23
2014-02-26,53.78,54.05,53.47,53.85,2025700,53.57
2014-02-25,53.77,53.96,53.51,53.65,2714500,53.37
2014-02-24,53.59,54.30,53.25,53.86,3995900,53.58
2014-02-21,53.40,54.01,53.21,53.86,3665700,53.58
2014-02-20,53.22,53.65,52.43,53.47,4347800,53.19
2014-02-19,52.00,52.22,51.64,51.79,3504900,51.52
2014-02-18,53.09,53.17,52.17,52.18,3507200,51.91
2014-02-14,52.66,53.06,52.39,52.96,2183400,52.68
2014-02-13,52.25,52.71,52.06,52.70,1671300,52.43
2014-02-12,52.61,52.75,52.28,52.53,3991600,52.26
2014-02-11,51.77,53.02,51.68,52.81,3150500,52.54
2014-02-10,52.62,52.62,51.50,52.09,4023500,51.82
2014-02-07,52.63,52.82,51.91,52.76,4101000,52.49
2014-02-06,50.87,52.39,50.24,52.36,6487400,52.09
2014-02-05,49.78,50.00,49.18,49.55,3798600,49.29
2014-02-04,50.19,50.38,49.68,49.90,3540400,49.64
2014-02-03,51.20,51.20,49.87,49.96,3147400,49.70
2014-01-31,51.56,51.85,51.16,51.20,3877000,50.93
2014-01-30,52.05,52.37,51.84,52.30,1801700,52.03
2014-01-29,51.27,52.14,51.27,51.74,3602000,51.47
2014-01-28,50.86,51.89,50.80,51.77,3156000,51.50
2014-01-27,50.62,51.11,50.35,50.70,3864200,50.44
2014-01-24,51.22,51.65,50.62,50.62,3359800,50.36
2014-01-23,52.01,52.18,51.33,51.64,2879600,51.37
2014-01-22,52.75,52.92,51.99,52.41,3169800,52.14
2014-01-21,53.28,53.42,52.33,52.68,2973900,52.41
2014-01-17,53.24,53.29,52.85,52.90,1847000,52.62
2014-01-16,53.82,53.89,53.08,53.18,3703800,52.90
2014-01-15,54.01,54.08,53.53,53.89,2235700,53.61
2014-01-14,53.59,54.04,53.46,53.99,2132800,53.71
2014-01-09,53.62,54.00,53.55,53.83,1991600,53.55
2014-01-08,53.24,53.71,53.05,53.52,3075400,53.24
2014-01-07,53.35,53.48,53.14,53.35,1882600,53.07
2014-01-06,53.54,53.68,52.83,53.12,2696000,52.84
2014-01-03,53.65,53.80,53.11,53.33,1570200,53.05
2014-01-02,54.09,54.45,53.50,53.55,1909100,53.27
2013-12-31,54.32,54.60,54.20,54.54,1562200,54.26
2013-12-30,53.68,54.33,53.64,54.23,2375700,53.95
2013-12-27,53.79,53.95,53.46,53.65,1886300,53.37
2013-12-26,54.03,54.07,53.66,53.77,1297100,53.49
2013-12-24,53.69,53.97,53.64,53.97,692600,53.69
2013-12-23,54.00,54.07,53.61,53.70,1816900,53.42
2013-12-20,53.08,54.05,53.08,53.77,5598000,53.49
2013-12-19,52.45,53.33,52.33,53.25,3017300,52.97
2013-12-18,52.50,52.75,51.75,52.74,3144900,52.47
2013-12-17,52.70,52.75,52.00,52.18,2275000,51.91
2013-12-16,53.19,53.22,52.67,52.83,1895900,52.56
2013-12-13,52.91,53.28,52.73,52.81,1535500,52.54
2013-12-12,52.96,53.19,52.76,52.79,2065600,52.52
2013-12-11,53.78,53.98,52.97,53.07,2740700,52.79
2013-12-10,53.91,54.21,53.78,53.78,1371700,53.50
2013-12-09,54.05,54.45,54.05,54.11,1586600,53.83
2013-12-06,53.98,54.46,53.95,54.32,2106100,54.04
2013-12-05,53.46,53.71,53.17,53.40,2607900,53.12
