Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,35.09,36.09,34.96,35.45,2192400,35.45
2014-03-27,35.80,36.08,35.56,35.63,1247000,35.63
2014-03-26,36.60,36.77,35.91,35.91,1767200,35.91
2014-03-25,36.01,36.64,35.96,36.43,2630500,36.43
2014-03-24,36.32,36.51,35.65,35.76,2967700,35.76
2014-03-21,37.37,37.56,36.16,36.35,6507300,36.35
2014-03-20,36.30,37.05,36.25,37.04,3707400,37.04
2014-03-19,35.94,36.32,35.74,35.99,2044400,35.99
2014-03-18,35.63,35.97,35.41,35.96,2366400,35.96
2014-03-17,35.60,35.80,35.43,35.51,1956800,35.51
2014-03-14,35.53,35.93,35.27,35.29,1842000,35.29
2014-03-13,36.16,36.32,35.34,35.51,3022700,35.51
2014-03-12,35.79,36.05,35.62,36.00,2237100,36.00
2014-03-11,36.53,36.70,35.84,35.97,2817600,35.97
2014-03-10,36.56,36.71,36.34,36.44,2253500,36.44
2014-03-07,36.46,36.66,36.20,36.53,2618700,36.53
2014-03-06,36.48,36.71,36.23,36.29,4304100,36.29
2014-03-05,36.50,36.50,36.12,36.41,1808900,36.41
2014-03-04,36.15,36.68,35.83,36.60,2773200,36.60
2014-03-03,36.06,36.20,35.38,35.82,4594000,35.82
2014-02-28,36.33,36.69,36.05,36.31,4289700,36.31
2014-02-27,36.46,36.46,36.03,36.25,2415500,36.25
2014-02-26,35.85,36.41,35.79,36.14,2303100,36.14
2014-02-25,36.02,36.18,35.73,35.90,3264400,35.90
2014-02-24,35.84,36.15,35.70,35.91,2759700,35.91
2014-02-21,35.78,35.89,35.50,35.70,3245500,35.70
2014-02-20,35.79,35.82,35.27,35.65,3001600,35.65
2014-02-19,34.88,35.82,34.80,35.75,5182300,35.75
2014-02-18,34.61,34.97,34.41,34.89,3347900,34.89
2014-02-14,34.75,34.97,34.55,34.76,3573800,34.76
2014-02-13,34.60,35.05,34.37,34.73,2898100,34.73
2014-02-12,34.40,34.92,34.24,34.72,3902500,34.72
2014-02-11,33.88,34.55,33.82,34.39,3860000,34.39
2014-02-10,33.60,34.06,33.53,33.91,3167500,33.91
2014-02-07,33.25,33.71,33.01,33.69,3375000,33.69
2014-02-06,32.33,33.10,32.33,33.08,6095500,33.08
2014-02-05,32.35,32.63,32.01,32.34,3125800,32.19
2014-02-04,32.74,32.79,32.41,32.51,3129600,32.36
2014-02-03,33.38,33.38,32.46,32.53,3831100,32.38
2014-01-31,33.19,33.69,33.00,33.43,3964700,33.27
2014-01-30,33.23,33.66,32.87,33.54,4160400,33.38
2014-01-29,32.20,33.28,32.09,32.97,5704300,32.82
