Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,19.75,20.29,19.69,20.18,12615700,20.18
2014-03-27,19.86,20.02,19.64,19.69,12449600,19.69
2014-03-26,20.45,20.63,19.86,19.86,16214100,19.86
2014-03-25,20.25,20.40,20.02,20.36,13018700,20.36
2014-03-24,20.45,20.46,19.79,20.10,15100300,20.10
2014-03-21,20.20,20.81,20.12,20.17,25859800,20.17
2014-03-20,19.46,20.20,19.38,20.19,27535600,20.19
2014-03-19,19.36,19.76,19.26,19.47,16491700,19.47
2014-03-18,18.98,19.39,18.89,19.37,10686100,19.37
2014-03-17,18.88,19.07,18.85,18.98,6793300,18.98
2014-03-14,18.82,18.97,18.71,18.72,13071700,18.72
2014-03-13,19.58,19.67,18.77,18.88,19390700,18.88
2014-03-12,19.10,19.52,18.92,19.51,10189800,19.51
2014-03-11,19.40,19.50,19.07,19.13,12202400,19.13
2014-03-10,19.71,19.71,19.27,19.38,11602700,19.38
2014-03-07,19.49,19.67,19.41,19.64,16734400,19.64
2014-03-06,19.18,19.38,19.11,19.38,13370400,19.38
2014-03-05,18.80,19.19,18.70,19.17,17568300,19.17
2014-03-04,18.96,19.02,18.65,18.84,11363400,18.84
2014-03-03,18.70,18.89,18.55,18.71,9200300,18.71
2014-02-28,19.03,19.04,18.79,18.96,14745700,18.96
2014-02-27,19.00,19.07,18.85,19.01,12154500,19.01
2014-02-26,19.00,19.41,18.94,19.10,14862900,19.10
2014-02-25,19.13,19.13,18.75,19.02,12104600,19.02
2014-02-24,19.25,19.38,19.07,19.07,13388800,19.07
2014-02-21,19.12,19.24,18.91,19.10,14790200,19.10
2014-02-20,18.75,19.00,18.72,18.99,16165800,18.99
2014-02-19,18.84,18.99,18.65,18.75,13025100,18.75
2014-02-18,18.88,18.96,18.71,18.85,13689100,18.85
2014-02-14,18.72,19.09,18.49,18.96,22145900,18.96
2014-02-13,17.79,19.00,17.73,18.87,31620000,18.77
2014-02-12,17.79,18.09,17.76,17.91,18138300,17.82
2014-02-11,17.34,17.97,17.20,17.78,23030000,17.69
2014-02-10,17.20,17.30,17.11,17.25,7728600,17.16
2014-02-07,17.07,17.23,16.93,17.18,12577000,17.09
2014-02-06,16.91,17.18,16.88,17.05,7920300,16.96
2014-02-05,16.69,16.96,16.64,16.89,16304000,16.80
2014-02-04,16.78,16.85,16.65,16.78,18623100,16.69
2014-02-03,16.60,16.83,16.55,16.76,24873400,16.67
2014-01-31,16.41,16.85,16.40,16.82,20152200,16.73
2014-01-30,16.92,16.93,16.68,16.78,10336300,16.69
2014-01-29,16.68,16.83,16.62,16.73,8983500,16.64
2014-01-28,16.68,16.83,16.56,16.75,9863600,16.66
2014-01-27,17.13,17.21,16.64,16.72,15391200,16.63
2014-01-24,17.25,17.42,17.07,17.17,19669900,17.08
2014-01-23,17.51,17.56,17.40,17.53,8232200,17.44
2014-01-22,17.69,17.72,17.56,17.66,5769500,17.57
2014-01-09,17.42,17.50,17.32,17.40,8838000,17.31
2014-01-08,17.40,17.45,17.18,17.42,8026100,17.33
2014-01-07,17.37,17.43,17.26,17.37,8133200,17.28
2014-01-06,17.50,17.51,17.22,17.29,9975500,17.20
2014-01-03,17.54,17.70,17.47,17.51,6773000,17.42
2014-01-02,17.69,17.69,17.37,17.55,7785900,17.46
2013-12-31,17.53,17.70,17.43,17.68,5533900,17.59
2013-12-30,17.43,17.55,17.40,17.49,3601800,17.40
2013-12-27,17.52,17.52,17.36,17.43,3655700,17.34
2013-12-26,17.41,17.48,17.38,17.44,3836300,17.35
2013-12-24,17.43,17.54,17.39,17.39,4504900,17.30
2013-12-23,17.25,17.53,17.25,17.51,10214000,17.42
2013-12-20,16.83,17.26,16.83,17.19,17970700,17.10
2013-12-19,16.94,17.03,16.79,16.88,9392500,16.79
2013-12-18,16.83,17.07,16.69,17.03,11832300,16.94
2013-12-17,16.63,16.91,16.62,16.80,8851700,16.71
2013-12-16,16.80,16.81,16.64,16.66,11428800,16.57
2013-12-13,16.86,16.87,16.63,16.70,9167100,16.61
2013-12-12,16.83,16.85,16.69,16.72,9532700,16.63
2013-12-11,16.91,17.02,16.81,16.83,10718900,16.74
2013-12-10,16.80,16.91,16.61,16.83,14962400,16.74
2013-12-09,16.81,17.02,16.60,16.83,15108500,16.74
2013-12-06,16.66,16.84,16.61,16.83,11892500,16.74
2013-12-05,16.63,16.82,16.41,16.50,14029600,16.41
2013-12-04,17.11,17.11,16.46,16.61,24734900,16.52
2013-12-03,17.03,17.19,16.81,17.12,11605000,17.03
2013-12-02,17.27,17.27,17.10,17.11,7517600,17.02
2013-11-29,17.40,17.45,17.28,17.30,3493600,17.21
2013-11-27,17.49,17.51,17.27,17.35,9707000,17.26
2013-11-26,17.26,17.63,17.17,17.52,12534300,17.43
2013-11-25,17.30,17.31,17.16,17.27,5810100,17.18
2013-11-22,17.27,17.27,17.08,17.25,6782100,17.16
2013-11-21,16.88,17.30,16.82,17.27,13571500,17.18
2013-11-20,16.83,16.97,16.75,16.83,10679700,16.74
2013-11-19,16.86,17.01,16.76,16.82,9281500,16.73
2013-11-18,17.38,17.52,16.89,16.94,15640500,16.75
2013-11-15,17.70,17.74,17.11,17.52,14485600,17.32
2013-11-14,17.86,17.87,17.50,17.56,12172700,17.36
2013-11-13,17.53,17.67,17.40,17.67,11174500,17.47
2013-11-12,17.71,17.76,17.57,17.64,7535700,17.44
2013-11-11,17.75,17.99,17.64,17.80,9599800,17.60
2013-11-08,17.45,17.80,17.27,17.75,12424600,17.55
2013-11-07,17.89,17.93,17.33,17.36,11617200,17.17
2013-11-06,17.85,17.94,17.60,17.92,7458500,17.72
2013-11-05,17.60,17.90,17.44,17.77,11222700,17.57
2013-11-04,17.78,17.80,17.61,17.75,7987800,17.55
2013-11-01,17.85,17.85,17.59,17.70,9637700,17.50
2013-10-31,17.82,18.05,17.81,17.86,10982700,17.66
2013-10-30,18.02,18.09,17.74,17.88,6476000,17.68
2013-10-29,17.85,18.14,17.76,18.01,11641400,17.81
2013-10-28,17.67,17.81,17.67,17.73,7463500,17.53
2013-10-25,17.74,17.77,17.56,17.70,8395100,17.50
2013-10-24,17.67,17.85,17.54,17.82,12099000,17.62
2013-10-23,17.92,17.98,17.32,17.40,14888200,17.21
2013-10-22,17.94,18.10,17.86,18.07,10795700,17.87
2013-10-21,18.10,18.10,17.82,17.87,8772500,17.67
2013-10-18,18.03,18.10,17.94,18.05,8948200,17.85
2013-10-17,17.73,18.12,17.72,18.09,11486200,17.89
2013-10-16,17.88,18.17,17.84,17.96,13369600,17.76
2013-10-15,18.08,18.17,17.81,17.82,11641500,17.62
2013-10-14,17.88,18.18,17.73,18.10,9525900,17.90
2013-10-11,17.74,18.09,17.67,18.00,9161200,17.80
2013-10-10,17.48,17.93,17.45,17.89,10925800,17.69
2013-10-09,17.57,17.58,17.15,17.34,13941000,17.15
2013-10-08,17.73,17.92,17.39,17.51,16676600,17.31
2013-10-07,17.34,17.98,17.25,17.77,16581100,17.57
2013-10-04,17.33,17.66,17.32,17.57,11027200,17.37
2013-10-03,17.50,17.51,17.24,17.33,13018900,17.14
2013-10-02,17.41,17.71,17.30,17.51,16213800,17.31
2013-10-01,17.58,17.59,17.28,17.47,13296800,17.27
2013-09-30,17.40,17.66,17.30,17.53,15514100,17.33
2013-09-27,17.67,17.77,17.38,17.60,14484200,17.40
2013-09-26,17.86,17.90,17.58,17.77,16844800,17.57
2013-09-25,17.28,17.94,17.25,17.84,34664700,17.64
2013-09-24,17.33,17.52,16.95,17.45,88903900,17.26
2013-09-23,15.87,16.07,15.83,15.99,10665700,15.81
2013-09-20,16.07,16.24,15.89,15.93,12211300,15.75
2013-09-19,16.28,16.43,16.08,16.09,7989400,15.91
2013-09-18,15.89,16.23,15.82,16.21,10683000,16.03
2013-09-17,15.95,16.00,15.87,15.90,10549000,15.72
2013-09-16,16.08,16.16,15.91,15.95,10413600,15.77
2013-09-13,15.94,16.02,15.76,15.91,7920600,15.73
2013-09-12,15.95,16.00,15.83,15.93,8891700,15.75
2013-09-11,15.99,16.03,15.76,15.93,11350700,15.75
2013-09-10,15.67,15.99,15.64,15.98,8639400,15.80
2013-09-09,15.53,15.62,15.46,15.59,10043300,15.42
2013-09-06,15.69,15.70,15.35,15.51,10748200,15.34
2013-09-05,15.63,15.70,15.52,15.68,9344700,15.50
2013-09-04,15.09,15.62,15.08,15.62,15005000,15.45
2013-09-03,15.20,15.29,14.99,15.11,8697700,14.94
2013-08-30,15.10,15.12,14.85,15.01,9689300,14.84
2013-08-29,14.92,15.15,14.90,15.14,12229800,14.97
2013-08-28,15.05,15.14,14.96,14.96,12505900,14.79
2013-08-27,15.30,15.32,15.02,15.07,10480900,14.90
2013-08-26,15.60,15.68,15.41,15.45,7602600,15.28
2013-08-23,15.74,15.75,15.54,15.62,7075900,15.45
2013-08-22,15.61,15.74,15.58,15.66,9568300,15.49
2013-08-21,15.50,15.73,15.44,15.55,11539300,15.38
2013-08-20,15.49,15.62,15.38,15.56,9276000,15.39
2013-08-19,15.50,15.68,15.34,15.55,16067100,15.28
2013-08-16,15.22,16.06,15.04,15.62,30578100,15.35
2013-08-15,15.42,15.59,15.28,15.32,11225700,15.05
2013-08-14,15.64,15.78,15.52,15.73,12888500,15.45
2013-08-13,15.76,15.79,15.42,15.73,7797600,15.45
2013-08-12,15.62,15.75,15.58,15.65,8656600,15.38
2013-08-09,15.56,15.69,15.47,15.67,10719500,15.40
2013-08-08,16.02,16.02,15.58,15.65,19917900,15.38
2013-08-07,16.07,16.16,15.88,15.89,11614700,15.61
2013-08-06,16.13,16.29,16.07,16.16,8928000,15.88
2013-08-05,16.18,16.34,16.05,16.10,8098300,15.82
2013-08-02,16.36,16.41,16.22,16.32,10730300,16.03
2013-08-01,16.45,16.64,16.38,16.49,10080400,16.20
2013-07-31,16.27,16.46,16.18,16.32,10145000,16.03
2013-07-30,16.20,16.46,16.15,16.27,10455500,15.98
2013-07-29,16.05,16.21,16.00,16.02,5858000,15.74
2013-07-26,15.97,16.13,15.92,16.13,6531300,15.85
2013-07-25,16.06,16.19,15.92,16.13,6567900,15.85
2013-07-24,16.33,16.44,16.05,16.10,8419600,15.82
2013-07-23,16.38,16.51,16.23,16.26,9116600,15.97
2013-07-22,16.71,16.71,16.27,16.35,8969400,16.06
2013-07-19,16.64,16.64,16.39,16.56,8097400,16.27
2013-07-18,16.64,16.70,16.41,16.56,10658200,16.27
2013-07-17,16.64,16.78,16.57,16.69,7863900,16.40
2013-07-16,16.55,16.71,16.50,16.58,8318800,16.29
2013-07-15,16.61,16.72,16.45,16.47,9482200,16.18
2013-07-12,16.46,16.66,16.43,16.66,10329400,16.37
2013-07-11,16.47,16.50,16.28,16.49,14302300,16.20
2013-07-10,15.60,16.47,15.60,16.30,30007600,16.01
2013-07-09,15.41,15.73,15.37,15.66,26328800,15.39
2013-07-08,15.36,15.41,15.04,15.14,10152800,14.87
2013-07-05,15.12,15.31,14.97,15.22,8382900,14.95
2013-07-03,14.75,15.05,14.67,15.00,5556600,14.74
2013-07-02,14.78,14.99,14.68,14.82,9789100,14.56
2013-07-01,15.06,15.18,14.79,14.82,8993800,14.56
2013-06-28,14.87,14.99,14.62,14.92,25016600,14.66
2013-06-27,15.13,15.14,14.88,14.91,9374800,14.65
2013-06-26,15.37,15.42,14.92,14.97,18520800,14.71
2013-06-25,15.10,15.32,15.02,15.27,12763100,15.00
2013-06-24,14.96,15.06,14.81,14.98,14138800,14.72
2013-06-21,15.07,15.19,14.79,15.08,22344300,14.82
2013-06-20,15.51,15.53,15.02,15.07,18635500,14.81
2013-06-19,15.97,16.05,15.66,15.70,19500400,15.42
2013-06-18,15.77,16.09,15.77,15.97,13865400,15.69
2013-06-17,15.56,15.90,15.56,15.78,13251000,15.50
2013-06-14,15.62,15.75,15.38,15.41,10417700,15.14
2013-06-13,15.29,15.61,15.24,15.60,11424400,15.33
2013-06-12,15.61,15.81,15.16,15.25,24026500,14.98
2013-06-11,15.34,15.44,15.17,15.19,8689400,14.92
2013-06-10,15.50,15.60,15.37,15.46,9489600,15.19
2013-06-07,15.03,15.52,15.01,15.49,12485500,15.22
