Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,3.93,3.97,3.87,3.88,13183900,3.88
2014-03-27,3.99,4.07,3.87,3.91,24532000,3.91
2014-03-26,4.08,4.10,4.02,4.05,14799700,4.05
2014-03-25,4.09,4.12,4.02,4.05,14517000,4.05
2014-03-24,4.05,4.14,3.98,4.05,20669500,4.05
2014-03-21,4.07,4.14,4.01,4.04,23985300,4.04
2014-03-20,3.96,4.05,3.90,4.05,23600600,4.05
2014-03-19,3.91,4.00,3.90,3.98,28516900,3.98
2014-03-18,3.82,3.91,3.81,3.89,15273700,3.89
2014-03-17,3.88,3.91,3.78,3.80,20004100,3.80
2014-03-14,3.84,3.90,3.82,3.85,18161500,3.85
2014-03-13,3.94,3.99,3.84,3.86,19803000,3.86
2014-03-12,3.86,3.93,3.85,3.91,14745300,3.91
2014-03-11,3.86,4.01,3.83,3.85,34992900,3.85
2014-03-10,4.04,4.06,3.80,3.81,42135800,3.81
2014-03-07,3.75,4.02,3.75,3.95,55435800,3.95
2014-03-06,3.72,3.75,3.71,3.73,10713000,3.73
2014-03-05,3.70,3.73,3.69,3.71,10740200,3.71
2014-03-04,3.70,3.73,3.68,3.70,10516100,3.70
2014-03-03,3.66,3.70,3.60,3.67,19555800,3.67
2014-02-28,3.73,3.77,3.70,3.71,14643200,3.71
2014-02-27,3.69,3.77,3.68,3.71,18218000,3.71
2014-02-26,3.70,3.72,3.63,3.70,13211700,3.70
2014-02-25,3.73,3.74,3.66,3.69,9173500,3.69
2014-02-24,3.71,3.73,3.70,3.71,10717900,3.71
2014-02-21,3.71,3.75,3.66,3.69,13606800,3.69
2014-02-20,3.72,3.75,3.66,3.69,13276100,3.69
2014-02-19,3.70,3.74,3.68,3.72,14175500,3.72
2014-02-18,3.69,3.72,3.65,3.70,11956700,3.70
2014-02-14,3.70,3.72,3.64,3.69,12387900,3.69
2014-02-13,3.64,3.71,3.64,3.70,13368600,3.70
2014-02-12,3.71,3.73,3.63,3.69,18321300,3.69
2014-02-11,3.66,3.75,3.65,3.70,34198100,3.70
2014-02-10,3.50,3.64,3.45,3.63,21241100,3.63
2014-02-07,3.46,3.50,3.42,3.47,23119700,3.47
2014-02-06,3.32,3.46,3.32,3.41,16072900,3.41
2014-02-05,3.36,3.37,3.29,3.31,14858900,3.31
2014-02-04,3.35,3.43,3.30,3.37,22681000,3.37
