Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,80.98,82.62,80.91,82.13,2467900,82.13
2014-03-27,80.70,81.08,80.01,80.67,1889600,80.67
2014-03-26,81.86,82.42,80.74,80.81,2478300,80.81
2014-03-25,81.59,81.85,81.02,81.71,1988300,81.71
2014-03-24,81.43,81.86,80.17,80.90,2142800,80.90
2014-03-21,81.84,81.93,80.77,81.07,3506100,81.07
2014-03-20,80.55,81.27,80.11,81.23,1815500,81.23
2014-03-19,81.86,82.99,80.30,80.68,1997000,80.68
2014-03-18,81.80,82.29,81.50,81.80,1464100,81.80
2014-03-17,80.78,81.99,80.78,81.74,2480800,81.74
2014-03-14,80.11,81.06,80.05,80.39,1696000,80.39
2014-03-13,81.01,81.24,80.27,80.35,2444100,80.35
2014-03-12,81.25,81.54,80.52,80.84,2458100,80.84
2014-03-11,81.06,81.86,80.81,81.70,1550000,81.70
2014-03-10,81.09,81.49,80.48,81.18,1293500,81.18
2014-03-07,81.92,81.92,80.29,81.31,1809300,81.31
2014-03-06,80.98,82.43,80.90,81.92,2184000,81.92
2014-03-05,81.55,81.56,80.33,80.80,2809300,80.80
2014-03-04,81.92,82.03,81.29,81.54,2592900,81.54
2014-03-03,81.08,81.54,80.71,81.46,1735000,81.46
2014-02-28,81.48,81.65,80.73,81.47,2650700,81.47
2014-02-27,80.88,81.58,80.86,81.46,2251500,81.46
2014-02-26,80.56,81.41,80.08,80.83,2996000,80.83
2014-02-25,83.70,83.70,79.76,80.16,5612200,80.16
2014-02-24,84.06,84.52,82.92,82.98,3105700,82.98
2014-02-21,84.51,84.90,83.93,84.05,2852100,84.05
2014-02-20,83.63,84.58,83.12,84.51,1829300,84.51
2014-02-19,83.32,84.35,83.32,83.75,1827400,83.75
2014-02-18,83.30,83.56,82.62,83.53,1670100,83.53
2014-02-14,82.57,83.35,82.52,83.20,1088100,83.20
2014-02-13,81.31,82.91,81.16,82.49,1485000,82.49
2014-02-12,81.82,81.93,81.03,81.79,1109700,81.79
2014-02-11,81.55,82.00,80.98,81.92,1371900,81.92
2014-02-10,80.48,81.59,80.40,81.52,2134300,81.52
2014-02-07,80.10,80.70,79.39,80.38,2222400,80.38
2014-02-06,79.22,79.79,78.83,79.76,1931000,79.76
2014-02-05,78.95,79.63,78.80,79.01,1455400,79.01
2014-02-04,79.16,79.49,78.38,79.14,2202400,79.14
2014-02-03,80.74,81.01,78.67,78.83,3040200,78.83
2014-01-31,80.49,81.43,80.02,80.88,2398300,80.88
2014-01-30,80.03,81.80,80.03,81.18,2179400,81.18
2014-01-29,80.01,80.13,79.14,79.56,2990600,79.56
2014-01-28,79.25,80.67,79.18,80.56,2188700,80.56
2014-01-27,79.76,80.56,78.60,79.25,2614600,79.25
2014-01-24,82.45,82.98,78.77,79.62,7207200,79.62
2014-01-23,83.17,84.14,82.61,83.28,3796600,83.28
2014-01-22,83.69,84.65,83.42,83.42,2139800,83.42
2014-01-21,83.47,83.94,82.98,83.63,1583700,83.63
2014-01-17,83.53,83.68,82.88,83.15,2636800,83.15
2014-01-16,83.29,83.63,82.65,83.27,1301800,83.27
2014-01-15,82.70,83.64,82.65,83.26,1772900,83.26
2014-01-14,82.52,82.77,82.18,82.66,1957200,82.66
2014-01-13,82.33,82.75,81.96,82.14,1880000,82.14
2014-01-09,82.27,82.31,81.63,82.10,2084200,82.10
2014-01-08,81.36,82.28,80.93,81.94,2469300,81.94
2014-01-07,80.07,81.39,80.04,81.30,2570500,81.30
2014-01-06,79.86,80.28,79.39,80.19,2426700,80.19
2014-01-03,79.33,80.04,79.32,79.68,1790100,79.68
2014-01-02,79.51,79.74,78.85,79.45,1701100,79.45
2013-12-31,79.94,80.13,79.30,79.82,1438500,79.82
2013-12-30,78.95,79.88,78.94,79.80,1201000,79.80
2013-12-27,79.11,79.11,78.34,78.82,1444900,78.82
2013-12-26,78.88,79.07,78.42,78.84,951300,78.84
2013-12-24,78.34,78.79,78.22,78.71,559700,78.71
2013-12-23,79.02,79.30,78.25,78.42,1785300,78.42
2013-12-20,78.27,78.76,77.76,77.95,3072900,77.95
2013-12-19,78.08,78.60,77.47,78.11,2554500,78.11
2013-12-18,77.22,78.37,75.91,78.22,3121900,78.22
2013-12-17,76.17,76.82,75.88,76.39,2656100,76.39
2013-12-16,76.86,76.98,75.65,76.09,3439600,76.09
2013-12-13,77.00,77.74,76.50,76.76,2253300,76.76
2013-12-12,77.25,77.45,76.60,76.69,2299700,76.69
2013-12-11,79.09,79.20,77.55,77.81,2760500,77.52
2013-12-10,78.71,79.48,78.39,79.21,1794200,78.91
2013-12-09,78.17,78.90,77.69,78.84,2165300,78.55
2013-12-06,78.31,78.49,77.47,78.08,1465300,77.79
2013-12-05,77.37,78.16,76.72,77.75,2018900,77.46
2013-12-04,77.33,78.41,77.14,77.43,2197200,77.14
2013-12-03,77.83,78.12,77.55,77.71,2039300,77.42
2013-12-02,77.63,78.63,77.30,78.21,2036400,77.92
2013-11-29,78.36,78.88,77.61,77.77,834800,77.48
