Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,82.33,83.36,82.04,83.02,3210100,83.02
2014-03-27,81.58,82.48,81.17,82.08,2516100,82.08
2014-03-26,82.24,82.49,81.39,81.46,2575000,81.46
2014-03-25,81.32,81.99,81.21,81.93,3133400,81.93
2014-03-24,80.89,81.39,80.63,80.77,2203900,80.77
2014-03-21,80.66,81.39,80.29,80.71,4360500,80.71
2014-03-20,79.33,80.21,78.84,80.05,1806000,80.05
2014-03-19,80.16,80.24,79.00,79.33,1945500,79.33
2014-03-18,79.35,80.48,79.23,80.04,2447800,80.04
2014-03-17,79.50,79.76,79.00,79.37,1569400,79.37
2014-03-14,79.03,79.36,78.40,79.23,2448600,79.23
2014-03-13,79.22,79.58,78.58,78.99,2519500,78.99
2014-03-12,78.94,79.67,78.70,79.19,2445000,79.19
2014-03-11,80.49,81.26,79.36,79.55,2187700,79.55
2014-03-10,79.85,80.61,79.55,80.50,2781800,80.50
2014-03-07,79.98,80.26,79.60,80.05,2125700,80.05
2014-03-06,79.04,79.85,78.76,79.52,3457900,79.52
2014-03-05,80.17,80.37,78.83,79.01,3976200,79.01
2014-03-04,80.24,80.77,79.51,80.48,3578500,80.48
2014-03-03,79.00,80.78,78.98,79.86,4064800,79.86
2014-02-28,79.71,80.14,79.05,79.29,5018700,79.29
2014-02-27,79.61,79.85,79.08,79.59,4270800,79.59
2014-02-26,83.01,83.10,79.78,79.82,6759500,79.82
2014-02-25,84.06,84.06,82.24,83.09,3982600,83.09
2014-02-24,85.01,85.83,84.25,84.33,3861200,84.33
2014-02-21,84.91,85.95,84.53,84.56,3571100,84.56
2014-02-20,84.17,84.58,83.74,84.36,2835100,84.36
2014-02-19,83.26,85.29,82.81,84.07,3748800,84.07
2014-02-18,83.42,83.76,82.53,83.32,3364600,83.32
2014-02-14,81.15,83.82,81.05,83.39,4383600,83.39
2014-02-13,79.53,81.17,78.53,80.96,5583300,80.96
2014-02-12,81.78,81.98,81.10,81.28,2317900,81.28
