Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,97.56,98.52,97.27,98.09,499000,98.09
2014-03-27,97.46,97.71,96.91,97.35,431800,97.35
2014-03-26,99.99,100.00,97.50,97.56,688800,97.56
2014-03-25,98.50,99.82,98.50,99.77,1268800,99.77
2014-03-24,97.91,98.44,96.93,98.28,691800,98.28
2014-03-21,98.32,98.32,97.55,97.69,1058200,97.69
2014-03-20,96.49,97.59,96.01,97.49,524400,97.49
2014-03-19,95.92,97.64,95.56,96.61,643900,96.61
2014-03-18,95.63,96.46,95.13,96.36,437300,96.36
2014-03-17,95.14,95.68,94.93,95.53,437300,95.53
2014-03-14,93.76,94.77,93.76,94.58,771300,94.58
2014-03-13,95.77,95.87,93.76,93.98,632000,93.98
2014-03-12,95.14,95.71,95.00,95.38,723900,95.38
2014-03-11,96.13,96.37,95.65,95.88,693700,95.88
2014-03-10,96.99,97.38,95.97,96.05,573700,96.05
2014-03-07,97.24,97.82,96.81,97.05,653600,97.05
2014-03-06,94.80,97.23,94.51,96.85,1154100,96.85
2014-03-05,94.30,94.98,93.83,94.60,621200,94.60
2014-03-04,93.23,94.46,93.11,94.46,1146800,94.46
2014-03-03,93.74,93.75,92.40,92.88,1344800,92.88
2014-02-28,95.67,96.00,94.12,94.37,663800,94.37
2014-02-27,94.70,95.79,94.43,95.49,585000,95.49
2014-02-26,93.92,95.24,93.61,95.00,1428100,95.00
2014-02-25,94.44,94.89,93.76,93.92,645500,93.92
2014-02-24,94.83,95.30,94.04,94.16,718900,94.16
2014-02-21,95.26,95.66,94.58,94.63,952600,94.63
2014-02-20,94.88,95.36,94.01,94.89,937600,94.89
2014-02-19,95.45,96.06,94.79,94.82,718900,94.82
2014-02-18,97.40,98.40,95.68,95.88,1227300,95.88
2014-02-14,95.86,96.42,95.61,96.18,537700,96.18
2014-02-13,95.33,96.39,95.21,96.02,617500,96.02
2014-02-12,95.39,96.30,95.05,95.81,1006900,95.81
2014-02-11,94.14,94.88,93.30,94.75,838500,94.41
2014-02-10,94.26,95.00,93.76,93.93,1027300,93.59
2014-02-07,93.62,94.68,93.60,94.51,655600,94.17
2014-02-06,90.25,94.05,90.15,93.36,1145300,93.02
2014-02-05,89.34,90.61,88.76,90.15,853800,89.83
2014-02-04,89.65,90.21,88.94,89.46,894100,89.14
2014-02-03,92.50,92.56,88.97,89.09,1387500,88.77
2014-01-31,93.23,94.07,92.54,92.81,652600,92.48
2014-01-30,94.16,94.97,93.38,94.12,522500,93.78
2014-01-29,93.97,95.10,93.40,94.06,630600,93.72
2014-01-28,93.84,95.95,92.71,94.19,1613300,93.85
2014-01-27,95.08,96.43,93.57,95.29,1031300,94.95
2014-01-24,96.61,96.78,95.02,95.16,764300,94.82
2014-01-23,97.01,97.17,96.07,97.04,899300,96.69
2014-01-22,98.78,99.37,97.17,97.65,730100,97.30
2014-01-21,99.87,100.00,98.69,98.79,452800,98.44
2014-01-17,99.19,99.74,98.59,98.90,459800,98.55
2014-01-16,99.71,100.18,99.16,99.41,442800,99.05
2014-01-15,100.24,100.87,99.93,100.12,626400,99.76
2014-01-14,98.42,99.77,98.00,99.72,463100,99.36
2014-01-09,99.30,99.99,98.76,99.09,712900,98.73
2014-01-08,98.14,99.05,97.26,99.01,756100,98.65
2014-01-07,96.96,98.35,96.94,98.26,649400,97.91
2014-01-06,97.31,97.61,96.38,97.08,1085200,96.73
2014-01-03,97.27,97.39,96.36,97.00,623000,96.65
2014-01-02,96.55,97.47,96.33,96.95,630600,96.60
2013-12-31,96.69,97.27,96.09,97.04,355700,96.69
2013-12-30,97.00,97.39,96.50,96.56,250700,96.21
2013-12-27,97.58,97.68,97.00,97.05,165600,96.70
2013-12-26,96.76,96.87,96.00,96.58,465300,96.23
2013-12-24,96.01,96.85,96.01,96.62,104000,96.27
2013-12-23,95.07,96.45,94.74,95.90,457100,95.56
2013-12-20,94.35,95.24,94.13,94.99,952700,94.65
2013-12-19,94.91,95.16,93.73,94.29,518600,93.95
2013-12-18,94.21,94.98,92.90,94.91,439700,94.57
2013-12-17,93.14,94.07,92.64,93.77,745400,93.43
2013-12-16,93.00,94.16,92.97,93.41,785800,93.07
2013-12-13,93.24,94.03,93.01,93.84,405800,93.50
2013-12-12,92.63,93.52,92.14,93.14,603800,92.81
2013-12-11,93.79,93.79,92.21,92.54,401600,92.21
2013-12-10,94.38,94.86,93.62,93.64,769400,93.30
2013-12-09,93.81,95.15,93.78,94.90,703400,94.56
2013-12-06,93.45,95.00,93.45,93.71,794900,93.37
2013-12-05,92.37,93.43,92.07,92.90,505300,92.57
2013-12-04,91.54,92.91,91.23,92.72,542200,92.39
2013-12-03,91.80,92.61,91.12,91.63,668900,91.30
2013-12-02,90.90,93.47,90.90,92.15,859800,91.82
2013-11-29,91.35,91.84,91.01,91.08,162400,90.75
2013-11-27,91.65,91.75,90.78,91.12,355600,90.79
2013-11-26,91.06,91.36,90.10,91.11,759500,90.44
2013-11-25,91.01,91.20,90.38,90.87,323100,90.21
2013-11-22,90.71,90.81,90.02,90.74,266900,90.08
2013-11-21,90.25,90.88,89.94,90.72,409500,90.06
2013-11-20,90.51,91.30,89.64,90.32,461600,89.66
2013-11-19,88.88,90.63,88.31,89.75,608500,89.09
2013-11-18,91.76,91.76,88.95,89.17,577400,88.52
2013-11-15,91.25,92.00,90.95,91.76,597000,91.09
2013-11-14,89.58,91.01,89.51,90.91,584200,90.25
2013-11-13,89.09,89.71,88.71,89.69,629300,89.03
2013-11-12,88.89,89.54,88.38,89.48,633100,88.83
2013-11-11,88.78,89.29,88.41,88.98,293400,88.33
2013-11-08,88.07,88.70,87.52,88.68,480100,88.03
2013-11-07,88.37,88.94,86.90,88.03,816900,87.39
2013-11-06,88.04,89.68,87.81,88.36,1336300,87.71
2013-11-05,92.12,93.35,87.08,87.67,4145100,87.03
2013-11-04,92.54,93.85,92.49,93.85,672100,93.16
2013-11-01,92.45,93.08,92.00,92.46,748000,91.78
2013-10-31,92.82,93.10,92.25,92.55,569900,91.87
2013-10-30,92.60,93.10,92.32,92.72,685800,92.04
2013-10-29,91.88,92.87,91.52,92.59,777500,91.91
2013-10-28,91.65,92.17,91.28,91.86,413400,91.19
2013-10-25,91.64,91.69,90.59,91.50,291800,90.83
2013-10-24,91.23,91.77,90.63,91.34,343800,90.67
2013-10-23,90.71,91.06,89.73,90.92,526800,90.26
2013-10-22,91.36,92.04,90.64,91.05,771700,90.38
2013-10-21,91.42,91.84,90.76,91.27,361500,90.60
2013-10-18,91.67,91.99,91.02,91.52,661400,90.85
2013-10-17,89.15,91.58,88.80,91.51,713900,90.84
2013-10-16,88.78,89.47,88.51,89.41,522100,88.76
2013-10-15,87.59,88.77,87.59,88.18,642400,87.54
2013-10-14,86.69,88.69,86.44,88.39,716700,87.74
2013-10-11,86.77,87.65,86.45,87.48,459400,86.84
2013-10-10,85.96,87.11,85.86,87.10,721900,86.46
2013-10-09,85.28,85.58,84.43,85.09,833100,84.47
2013-10-08,86.16,86.53,84.66,85.09,835000,84.47
2013-10-07,86.75,87.18,86.06,86.11,901300,85.48
2013-10-04,86.83,88.17,86.32,87.59,863300,86.95
2013-10-03,86.85,87.70,85.18,86.97,2206400,86.33
2013-10-02,89.07,89.67,88.34,88.47,1375300,87.82
2013-10-01,90.47,91.81,89.17,90.00,2187400,89.34
2013-09-30,90.77,92.92,90.21,92.48,703300,91.80
2013-09-27,91.75,92.28,90.99,91.35,424000,90.68
2013-09-26,92.30,93.50,91.97,92.38,297200,91.70
2013-09-25,91.98,93.37,91.60,91.94,428200,91.27
2013-09-24,91.90,92.55,91.44,91.97,377300,91.30
2013-09-23,91.57,92.75,90.94,91.87,484100,91.20
2013-09-20,93.63,94.65,91.56,91.57,891600,90.90
2013-09-19,93.50,94.00,92.88,93.00,399200,92.32
2013-09-18,91.88,93.67,91.65,93.42,581500,92.74
2013-09-17,91.69,92.28,91.43,92.06,281000,91.39
2013-09-16,92.15,92.86,91.50,91.74,524300,91.07
2013-09-13,91.64,91.80,90.21,91.41,479600,90.74
2013-09-12,90.01,91.92,90.01,91.25,1058600,90.58
2013-09-11,88.36,90.31,87.87,90.28,602600,89.62
2013-09-10,89.03,89.52,88.50,88.59,472000,87.94
2013-09-09,87.94,88.83,87.55,88.50,334300,87.85
2013-09-06,87.66,88.33,86.27,87.50,559100,86.86
2013-09-05,87.65,88.21,87.31,87.33,472500,86.69
2013-09-04,87.34,88.23,87.04,87.71,861500,87.07
2013-09-03,88.46,88.68,86.54,87.47,769000,86.83
2013-08-30,87.53,87.98,86.21,87.21,510500,86.57
2013-08-29,86.63,88.14,86.63,87.51,337200,86.87
2013-08-28,86.40,87.08,86.04,86.60,615500,85.97
2013-08-27,86.35,87.26,86.12,86.23,681800,85.60
2013-08-26,87.35,87.99,87.17,87.32,602800,86.68
2013-08-23,87.60,88.04,86.66,87.41,500300,86.77
2013-08-22,87.08,87.77,86.35,87.57,756700,86.93
2013-08-21,87.60,88.33,87.17,87.49,672900,86.85
2013-08-20,86.04,87.91,85.76,87.71,652600,87.07
2013-08-19,87.79,88.00,85.69,85.92,626300,85.29
2013-08-16,87.64,88.89,87.40,88.17,433200,87.53
2013-08-15,89.23,89.23,87.59,88.02,304700,87.38
2013-08-14,91.95,91.95,89.74,90.03,566500,89.37
2013-08-13,90.39,91.13,90.09,90.87,444300,89.87
2013-08-12,89.27,91.00,88.80,90.41,632400,89.41
2013-08-09,88.90,89.96,88.39,89.73,397800,88.74
2013-08-08,88.24,89.18,88.11,89.04,618800,88.06
2013-08-07,87.96,88.04,87.11,87.81,568800,86.84
2013-08-06,87.69,88.14,86.73,88.10,635800,87.13
2013-08-05,87.19,88.03,85.85,87.75,358900,86.78
2013-08-02,87.33,87.72,86.23,87.44,707400,86.48
2013-08-01,87.61,88.46,86.93,87.40,1061300,86.44
2013-07-31,87.05,87.54,86.43,86.84,493500,85.88
2013-07-30,86.08,86.95,85.50,86.62,450400,85.67
2013-07-29,86.82,87.78,85.84,86.00,542900,85.05
2013-07-26,88.01,88.01,86.37,86.79,697700,85.83
2013-07-25,87.22,90.03,85.76,88.45,1494500,87.48
2013-07-24,88.39,88.63,85.54,86.43,1362900,85.48
2013-07-23,88.23,88.62,87.87,88.39,701300,87.42
2013-07-22,87.40,88.08,87.27,88.08,614400,87.11
2013-07-19,86.25,87.70,86.06,87.67,557300,86.70
2013-07-18,86.00,86.74,85.91,86.71,563000,85.75
2013-07-17,85.10,86.09,84.68,86.07,658700,85.12
2013-07-16,86.13,86.13,84.17,84.96,751700,84.02
2013-07-15,86.55,86.81,85.87,86.02,430300,85.07
2013-07-12,85.83,86.62,85.27,86.09,441100,85.14
2013-07-11,86.21,86.41,85.23,86.01,657200,85.06
2013-07-10,85.38,85.81,85.14,85.42,453000,84.48
2013-07-09,85.59,86.09,85.34,85.38,518200,84.44
2013-07-08,85.10,85.51,84.68,84.83,395100,83.90
2013-07-05,84.08,84.91,83.71,84.74,375700,83.81
2013-07-03,83.16,83.81,82.79,83.33,226300,82.41
2013-07-02,84.29,85.14,83.44,83.72,567200,82.80
2013-07-01,83.79,85.19,83.70,84.47,812100,83.54
2013-06-28,84.44,84.73,83.21,83.50,1120300,82.58
2013-06-27,84.69,85.05,84.03,84.81,483100,83.88
2013-06-26,83.70,84.34,82.65,83.85,520000,82.93
2013-06-25,82.20,82.84,81.42,82.84,643900,81.93
2013-06-24,83.13,83.31,81.00,81.93,1226400,81.03
2013-06-21,84.36,84.68,83.28,84.19,1262700,83.26
2013-06-20,84.77,85.09,83.93,84.36,888500,83.43
2013-06-19,86.84,87.13,85.86,85.92,606300,84.97
2013-06-18,86.25,87.32,86.19,86.74,609300,85.78
2013-06-17,86.69,87.05,85.88,86.10,521600,85.15
2013-06-14,86.77,87.03,85.88,86.22,411900,85.27
2013-06-13,85.26,87.52,85.07,86.97,513500,86.01
2013-06-12,86.91,86.96,85.00,85.47,542200,84.53
2013-06-11,86.10,87.72,85.92,86.07,912600,85.12
2013-06-10,86.85,86.85,85.70,86.43,615400,85.48
2013-06-07,86.12,87.06,85.46,86.82,587000,85.86
2013-06-06,85.65,86.40,84.48,85.65,933500,84.71
2013-06-05,87.44,87.66,85.32,85.58,988700,84.64
2013-06-04,85.85,88.57,85.48,87.63,785600,86.66
2013-06-03,88.94,89.20,87.35,88.47,1076300,87.49
2013-05-31,87.52,89.91,87.52,88.92,3438600,87.94
2013-05-30,87.98,88.46,87.51,88.21,908400,87.24
2013-05-29,89.07,89.19,87.57,88.21,943900,87.24
2013-05-28,89.73,90.73,88.93,89.31,1164100,87.99
2013-05-24,88.18,88.79,87.61,88.77,989900,87.46
2013-05-23,87.58,89.37,87.00,89.10,1596200,87.78
2013-05-22,89.52,90.78,88.22,88.82,1080200,87.51
2013-05-21,89.54,91.11,89.41,89.52,1086600,88.20
2013-05-20,88.91,89.62,88.36,88.94,1044200,87.62
2013-05-17,89.27,89.50,88.04,89.11,938200,87.79
2013-05-16,89.97,90.01,88.40,88.67,1038900,87.36
2013-05-15,88.41,90.71,88.41,90.02,1538600,88.69
2013-05-14,87.40,88.47,87.40,88.26,774800,86.95
2013-05-13,88.25,88.32,86.95,87.18,556400,85.89
2013-05-10,88.52,88.87,87.77,88.28,908400,86.97
2013-05-09,89.00,89.05,88.25,88.55,681000,87.24
2013-05-08,87.88,89.41,87.55,89.41,673000,88.09
2013-05-07,88.60,88.84,87.45,87.99,755500,86.69
2013-05-06,87.66,88.36,87.03,87.96,696800,86.66
2013-05-03,85.90,88.29,85.01,87.86,1040600,86.56
2013-05-02,84.77,86.12,84.63,85.76,658700,84.49
2013-05-01,85.39,85.61,84.43,84.62,1178100,83.37
2013-04-30,85.61,85.89,84.83,85.21,1097900,83.95
2013-04-29,86.22,86.32,85.00,85.48,1075600,84.22
2013-04-26,86.84,86.94,85.25,85.89,1006100,84.62
2013-04-25,85.99,87.67,85.65,86.88,1195200,85.60
2013-04-24,87.71,90.21,86.23,87.16,2251200,85.87
2013-04-23,87.02,87.67,85.99,87.00,1434600,85.71
2013-04-22,86.88,87.31,85.49,86.47,1073700,85.19
2013-04-19,84.49,87.05,84.25,86.71,1273700,85.43
2013-04-18,85.38,86.22,84.08,84.25,1757100,83.00
2013-04-17,84.89,85.60,84.00,85.27,1713600,84.01
2013-04-16,86.50,86.50,84.65,85.38,2127700,84.12
2013-04-15,86.47,87.21,83.54,84.50,2367900,83.25
2013-04-12,83.36,87.17,83.25,86.66,5845700,85.38
2013-04-11,77.11,78.89,77.11,78.83,1206000,77.66
2013-04-10,76.49,77.35,75.98,77.12,1230800,75.98
2013-04-09,75.37,76.52,74.81,76.32,766500,75.19
2013-04-08,75.27,75.47,74.27,75.09,698600,73.98
