Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,37.55,37.92,37.25,37.49,998600,37.49
2014-03-27,37.21,37.69,37.14,37.40,899000,37.40
2014-03-26,38.01,38.30,37.12,37.28,1419200,37.28
2014-03-25,37.53,38.05,37.47,37.71,1185600,37.71
2014-03-24,37.38,37.59,36.96,37.28,1034100,37.28
2014-03-21,36.64,37.48,36.40,37.29,1460300,37.29
2014-03-20,35.78,36.39,35.76,36.20,1098100,36.20
2014-03-19,35.96,36.47,35.72,36.04,1239400,36.04
2014-03-18,35.00,36.16,35.00,36.08,1485200,36.08
2014-03-17,34.50,35.40,34.50,35.10,1524400,35.10
2014-03-14,33.19,34.44,33.13,34.26,1424200,34.26
2014-03-13,34.00,34.33,32.97,33.21,912000,33.21
2014-03-12,33.32,34.00,33.32,33.86,1084200,33.86
2014-03-11,33.58,34.28,33.34,33.45,1149500,33.45
2014-03-10,33.45,33.52,32.72,33.37,906200,33.37
2014-03-07,34.28,34.35,33.31,33.97,1214800,33.79
2014-03-06,34.03,34.90,34.03,34.31,1399300,34.13
2014-03-05,32.53,33.93,32.49,33.86,1722000,33.68
2014-03-04,31.70,32.68,31.68,32.59,1213200,32.42
2014-03-03,31.42,31.74,31.13,31.33,703100,31.16
2014-02-28,31.90,31.98,31.63,31.78,896700,31.61
2014-02-27,31.36,31.95,31.18,31.92,811100,31.75
2014-02-26,31.09,31.62,30.81,31.36,979300,31.19
2014-02-25,31.33,31.57,30.66,31.04,1864400,30.88
2014-02-24,31.51,31.82,31.20,31.45,861500,31.28
2014-02-21,31.64,31.88,31.23,31.60,1061400,31.43
2014-02-20,31.21,31.60,31.13,31.49,1028800,31.32
2014-02-19,31.26,31.82,31.01,31.23,986200,31.06
2014-02-18,32.06,32.06,31.02,31.39,1447600,31.22
2014-02-14,31.34,32.11,31.31,32.03,1083200,31.86
2014-02-13,31.47,31.92,30.94,31.34,1742200,31.17
2014-02-12,31.91,32.15,31.61,31.73,901800,31.56
2014-02-11,31.29,31.95,31.29,31.85,776300,31.68
2014-02-10,31.15,31.35,31.00,31.25,855100,31.08
2014-02-07,31.10,31.30,30.68,31.17,877400,31.00
2014-02-06,30.46,30.94,30.36,30.79,903800,30.63
2014-02-05,30.21,30.61,29.82,30.33,1115900,30.17
2014-02-04,29.99,30.65,29.75,30.37,1508400,30.21
2014-02-03,31.38,31.49,29.74,29.86,1999400,29.70
2014-01-31,31.43,31.85,31.39,31.44,1037900,31.27
2014-01-30,31.94,32.27,31.62,32.01,1268800,31.84
2014-01-29,31.83,32.69,31.64,31.91,1208700,31.74
2014-01-28,32.12,32.34,31.86,32.31,1583700,32.14
2014-01-27,32.11,32.30,31.32,31.91,1642000,31.74
2014-01-24,32.61,32.69,31.88,31.93,2368200,31.76
2014-01-23,32.40,33.12,31.66,33.02,3299600,32.85
2014-01-22,34.37,34.91,31.71,32.01,4324600,31.84
2014-01-21,35.79,35.80,34.12,34.18,3334400,34.00
2014-01-17,36.07,36.55,36.02,36.30,772300,36.11
2014-01-16,36.28,36.70,36.11,36.18,687300,35.99
2014-01-15,35.50,36.27,35.37,36.15,1088600,35.96
2014-01-14,35.09,35.53,35.09,35.35,683300,35.16
2014-01-13,35.17,35.62,34.82,35.00,1108300,34.81
2014-01-09,35.50,35.65,34.94,35.49,862200,35.30
2014-01-08,35.15,35.54,35.00,35.51,869100,35.32
2014-01-07,35.21,35.56,35.07,35.16,675200,34.97
2014-01-06,35.57,35.57,34.80,35.21,1032200,35.02
2014-01-03,35.37,35.53,35.18,35.47,701500,35.28
2014-01-02,35.47,35.54,35.00,35.26,730200,35.07
2013-12-31,35.46,35.84,35.35,35.63,588300,35.44
2013-12-30,35.72,35.89,35.27,35.47,769200,35.28
2013-12-27,35.03,35.82,35.03,35.64,784700,35.45
2013-12-26,34.68,35.21,34.51,35.03,674900,34.84
2013-12-24,34.08,34.80,34.01,34.66,395200,34.48
2013-12-23,33.46,34.17,33.35,34.07,775100,33.89
2013-12-20,33.77,33.93,33.04,33.10,1373900,32.92
2013-12-19,32.90,34.20,32.77,33.78,1411600,33.60
2013-12-18,32.61,33.14,32.32,32.92,868800,32.75
2013-12-17,33.04,33.10,32.67,32.79,818400,32.44
2013-12-16,33.11,33.23,32.78,33.09,677000,32.73
2013-12-13,32.22,32.79,32.16,32.77,893100,32.42
2013-12-12,31.89,32.34,31.82,32.23,701100,31.88
2013-12-11,33.10,33.19,31.84,31.93,1096700,31.59
2013-12-10,33.83,34.13,33.11,33.13,1047900,32.77
2013-12-09,33.24,33.88,33.10,33.82,1228100,33.46
2013-12-06,33.37,33.46,32.64,32.77,743300,32.42
2013-12-05,32.41,33.22,32.30,32.95,844000,32.60
2013-12-04,32.32,32.84,32.18,32.44,1215400,32.09
2013-12-03,32.61,33.00,31.94,32.39,1753700,32.04
2013-12-02,33.31,33.42,32.78,32.83,772000,32.48
2013-11-29,33.39,33.57,33.08,33.22,461300,32.86
2013-11-27,33.18,33.45,32.90,33.14,809100,32.78
2013-11-26,33.38,33.49,32.80,32.94,1093700,32.59
2013-11-25,33.85,33.90,33.39,33.55,627100,33.19
2013-11-22,33.68,33.96,33.27,33.93,705900,33.56
2013-11-21,33.58,33.88,33.28,33.70,1035500,33.34
2013-11-20,34.25,34.49,33.35,33.57,1603300,33.21
2013-11-19,33.88,34.39,33.81,34.17,1727500,33.80
2013-11-18,33.78,34.33,33.57,33.94,1435800,33.57
2013-11-15,33.69,33.97,33.52,33.75,834700,33.39
2013-11-14,33.32,33.68,33.05,33.53,684600,33.17
2013-11-13,32.74,33.24,32.37,33.22,1138000,32.86
2013-11-12,33.57,33.70,32.96,33.10,1030400,32.74
2013-11-11,33.72,33.92,33.53,33.81,602300,33.45
2013-11-08,33.09,33.83,32.92,33.82,996200,33.46
2013-11-07,34.01,34.30,33.04,33.13,1413300,32.77
2013-11-06,33.95,34.06,33.70,33.93,993100,33.56
2013-11-05,33.56,33.85,33.17,33.71,1410400,33.35
2013-11-04,33.63,34.00,33.49,33.72,1323900,33.36
2013-11-01,33.16,33.67,33.11,33.36,1212200,33.00
2013-10-31,33.29,33.67,33.10,33.10,1504800,32.74
