Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.61,50.42,49.58,49.98,574100,49.98
2014-03-27,49.53,49.65,48.94,49.55,862000,49.55
2014-03-26,50.76,50.90,49.54,49.54,571000,49.54
2014-03-25,51.00,51.06,50.16,50.47,576300,50.47
2014-03-24,51.26,51.62,50.27,50.57,725800,50.57
2014-03-21,51.03,51.55,50.97,51.15,790600,51.15
2014-03-20,50.64,50.90,50.20,50.87,423600,50.87
2014-03-19,50.86,51.28,50.29,50.55,903100,50.55
2014-03-18,50.58,51.11,50.58,50.94,443100,50.94
2014-03-17,50.65,50.98,50.37,50.48,846900,50.48
2014-03-14,50.17,50.95,50.17,50.48,781100,50.48
2014-03-13,50.97,51.16,50.24,50.28,792000,50.28
2014-03-12,50.34,50.87,50.27,50.67,1058800,50.67
2014-03-11,51.40,51.48,50.55,50.58,855400,50.58
2014-03-10,51.50,51.53,50.65,51.21,859500,51.21
2014-03-07,51.38,51.81,51.25,51.56,837100,51.56
2014-03-06,51.23,51.40,50.89,51.09,715400,51.09
2014-03-05,51.40,51.56,50.60,51.06,1408600,51.06
2014-03-04,51.17,52.10,50.78,51.79,1517600,51.79
2014-03-03,49.05,49.67,48.99,49.40,746700,49.40
2014-02-28,49.13,50.06,48.95,49.82,975900,49.53
2014-02-27,49.38,49.58,48.91,49.11,803200,48.82
2014-02-26,49.09,49.76,49.09,49.51,707200,49.22
2014-02-25,48.80,49.07,48.43,48.84,672900,48.56
2014-02-24,48.97,49.17,48.64,48.79,819000,48.51
2014-02-21,49.40,49.40,48.86,48.89,593200,48.61
2014-02-20,49.34,49.50,48.91,49.30,628100,49.01
2014-02-19,49.49,50.05,49.15,49.24,643900,48.95
2014-02-18,49.49,49.63,49.20,49.52,445900,49.23
2014-02-14,49.41,49.71,49.19,49.40,608300,49.11
2014-02-13,48.96,49.50,48.75,49.45,748700,49.16
2014-02-12,49.29,49.71,49.11,49.26,1148000,48.97
2014-02-11,49.25,49.50,47.83,49.24,926700,48.95
2014-02-10,47.98,49.15,47.82,49.06,1266100,48.77
2014-02-07,47.85,48.06,47.32,47.89,983100,47.61
2014-02-06,46.93,47.63,46.84,47.58,785800,47.30
2014-02-05,47.19,47.36,46.25,46.99,1383800,46.72
2014-02-04,48.11,48.30,47.41,47.58,1080900,47.30
2014-02-03,49.44,49.90,47.74,47.81,1273600,47.53
2014-01-31,48.36,49.51,47.90,49.27,1352700,48.98
2014-01-30,49.51,49.85,48.72,49.72,879400,49.43
2014-01-29,48.80,49.76,48.65,48.93,912400,48.65
2014-01-28,48.91,49.35,48.81,49.27,656700,48.98
2014-01-27,49.17,49.21,48.37,48.91,1196900,48.63
2014-01-24,50.78,50.99,49.11,49.13,1039600,48.84
2014-01-23,51.70,51.76,50.70,51.24,988300,50.94
2014-01-22,51.50,52.17,51.40,52.14,1018900,51.84
2014-01-21,51.53,51.63,50.84,51.31,644800,51.01
2014-01-17,51.31,51.34,50.89,51.15,591900,50.85
2014-01-16,51.32,51.32,50.54,51.23,1041600,50.93
2014-01-15,51.28,51.37,50.97,51.26,674000,50.96
2014-01-14,50.39,51.27,50.38,51.27,809200,50.97
2014-01-13,50.58,51.12,50.19,50.36,841200,50.07
2014-01-09,49.85,50.64,49.85,49.88,1555100,49.59
2014-01-08,49.75,49.87,49.26,49.46,1169900,49.17
2014-01-07,49.51,49.78,49.34,49.62,1210200,49.33
2014-01-06,49.79,50.00,49.33,49.43,976400,49.14
