Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,73.23,73.75,72.43,72.85,6640000,72.85
2014-03-27,75.68,75.68,72.69,72.80,19991700,72.80
2014-03-26,68.65,70.75,68.39,70.08,8150900,70.08
2014-03-25,67.02,68.42,66.96,68.39,4171200,68.39
2014-03-24,67.75,67.86,66.51,66.86,3542700,66.86
2014-03-21,68.32,68.64,67.42,67.71,4549300,67.71
2014-03-20,67.29,67.86,67.04,67.84,3069800,67.84
2014-03-19,67.41,67.95,67.21,67.42,2660300,67.42
2014-03-18,66.64,67.54,66.57,67.31,3544900,67.31
2014-03-17,66.35,67.14,66.34,66.50,2719700,66.50
2014-03-14,66.81,67.25,66.44,66.49,2707600,66.49
2014-03-13,67.77,67.83,66.90,66.97,1748300,66.97
2014-03-12,67.52,67.90,67.41,67.62,2177400,67.62
2014-03-11,67.67,68.27,67.31,67.75,3069600,67.75
2014-03-10,67.50,67.85,67.01,67.69,3519200,67.69
2014-03-07,67.79,67.90,67.39,67.50,4298100,67.50
2014-03-06,68.00,68.09,67.50,67.57,3226600,67.57
2014-03-05,68.54,68.59,67.68,67.94,4272300,67.94
2014-03-04,69.36,69.45,69.00,69.03,3684700,68.54
2014-03-03,68.91,69.11,68.27,68.89,2839300,68.40
2014-02-28,69.00,69.73,68.77,69.50,3864400,69.01
2014-02-27,69.15,69.49,68.06,68.89,3614000,68.40
2014-02-26,68.63,69.72,68.53,69.21,4075800,68.72
2014-02-25,69.47,69.47,68.58,68.66,2555400,68.17
2014-02-24,69.48,70.15,69.45,69.48,2624000,68.99
2014-02-21,69.39,69.95,69.13,69.29,3905400,68.80
2014-02-20,69.10,69.68,69.09,69.35,2567800,68.86
2014-02-19,69.01,70.03,69.01,69.12,2500400,68.63
2014-02-18,69.45,69.61,69.02,69.29,2353600,68.80
2014-02-14,68.89,69.31,68.83,69.08,2462500,68.59
2014-02-13,68.96,69.35,68.62,69.26,2267100,68.77
2014-02-12,69.66,69.82,69.06,69.12,2515700,68.63
2014-02-11,68.30,69.69,68.16,69.45,2382800,68.96
2014-02-10,67.77,68.39,67.65,68.30,2087600,67.82
2014-02-07,67.29,68.21,67.14,67.90,3076100,67.42
2014-02-06,67.54,67.67,67.04,67.09,3559900,66.61
2014-02-05,66.78,67.60,66.68,67.30,2628700,66.82
2014-02-04,66.65,67.07,66.44,66.95,2715400,66.47
2014-02-03,68.35,68.49,66.44,66.55,4812900,66.08
