Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,39.79,40.31,39.69,39.83,4549800,39.83
2014-03-27,40.36,40.69,39.50,39.69,7704800,39.69
2014-03-26,40.80,41.04,40.53,40.53,7187400,40.53
2014-03-25,40.27,40.81,40.12,40.77,6860200,40.77
2014-03-24,40.20,40.53,40.01,40.18,5048200,40.18
2014-03-21,40.10,40.60,39.92,40.19,8293400,40.19
2014-03-20,39.08,39.95,39.06,39.78,3763300,39.78
2014-03-19,38.95,39.49,38.87,39.19,3327100,39.19
2014-03-18,38.86,39.10,38.76,39.06,2326200,39.06
2014-03-17,38.67,38.91,38.61,38.86,2397800,38.86
2014-03-14,38.49,38.83,38.42,38.47,2284000,38.47
2014-03-13,38.99,39.21,38.51,38.59,4414300,38.59
2014-03-12,38.77,39.02,38.76,39.02,2690000,39.02
2014-03-11,39.20,39.27,38.77,38.99,2702800,38.99
2014-03-10,38.96,39.23,38.80,39.23,2873500,39.23
2014-03-07,38.92,39.35,38.92,39.18,3936400,39.18
2014-03-06,38.52,38.98,38.52,38.77,3412700,38.77
2014-03-05,38.00,38.51,37.90,38.39,2963600,38.39
2014-03-04,37.82,38.03,37.65,37.94,2653200,37.94
2014-03-03,37.19,37.47,37.12,37.39,2546600,37.39
2014-02-28,37.54,38.21,37.50,37.80,3996200,37.80
2014-02-27,37.33,37.72,37.21,37.51,4075100,37.51
2014-02-26,37.62,37.89,37.55,37.81,1904000,37.81
2014-02-25,37.63,37.79,37.49,37.55,2189600,37.55
2014-02-24,37.03,37.86,37.02,37.70,3577100,37.70
2014-02-21,37.24,37.40,37.05,37.22,3957700,37.22
2014-02-20,36.88,37.29,36.57,37.18,2703000,37.18
2014-02-19,37.44,37.59,36.73,36.81,3926300,36.81
2014-02-18,37.56,37.70,37.40,37.56,1785600,37.56
2014-02-14,37.40,37.70,37.28,37.60,2203500,37.60
2014-02-13,36.89,37.47,36.89,37.43,2834000,37.43
2014-02-12,37.37,37.66,37.03,37.24,3190600,37.24
2014-02-11,37.50,37.73,37.35,37.62,3536700,37.39
2014-02-10,37.21,37.58,37.03,37.55,2758600,37.32
2014-02-07,37.28,37.44,36.92,37.29,2282600,37.06
