Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,25.78,26.70,25.74,26.07,5550900,26.07
2014-03-27,25.72,25.79,25.13,25.73,5647500,25.73
2014-03-26,26.32,26.36,25.59,25.77,4241200,25.77
2014-03-25,26.53,26.60,26.10,26.19,4804300,26.19
2014-03-24,26.93,27.20,26.14,26.35,6864800,26.35
2014-03-21,26.09,26.96,25.91,26.96,12203400,26.96
2014-03-20,25.67,26.07,25.32,25.84,4625100,25.84
2014-03-19,25.91,26.01,25.65,25.75,3534500,25.75
2014-03-18,25.98,25.99,25.63,25.88,4430100,25.88
2014-03-17,25.82,26.17,25.63,26.01,4242500,25.84
2014-03-14,25.28,25.80,25.24,25.70,3853200,25.53
2014-03-13,25.91,26.03,25.22,25.29,5826400,25.12
2014-03-12,25.86,25.93,25.50,25.74,4729900,25.57
2014-03-11,26.17,26.23,25.74,25.97,5578000,25.80
2014-03-10,25.78,26.31,25.53,26.24,7770400,26.07
2014-03-07,25.55,25.97,25.19,25.80,6718800,25.63
2014-03-06,25.62,25.62,24.70,25.44,10357200,25.27
2014-03-05,25.98,26.38,25.39,25.54,8706700,25.37
2014-03-04,26.46,26.54,25.60,25.80,9928800,25.63
2014-03-03,26.40,26.67,26.02,26.15,8043400,25.98
2014-02-28,25.85,26.96,25.68,26.63,15418900,26.46
2014-02-27,27.70,28.20,25.42,25.57,33924600,25.40
2014-02-26,25.54,26.20,25.26,25.82,14597600,25.65
2014-02-25,25.08,26.07,25.07,25.31,12967200,25.14
2014-02-24,24.75,25.34,24.59,25.17,6028600,25.01
2014-02-21,24.80,25.03,24.58,24.64,4626900,24.48
2014-02-20,24.73,25.05,24.66,24.84,5198000,24.68
2014-02-19,24.98,25.11,24.77,24.88,6869500,24.72
2014-02-18,24.94,25.17,24.61,24.99,4403200,24.83
2014-02-14,24.69,24.94,24.47,24.78,4055800,24.62
2014-02-13,24.73,24.82,24.45,24.68,5996500,24.52
2014-02-12,25.42,25.54,24.61,24.89,8324400,24.73
2014-02-11,25.29,25.66,25.16,25.42,10683700,25.25
2014-02-10,24.51,25.33,24.16,25.24,12057100,25.08
2014-02-07,23.81,24.78,23.79,24.55,9197900,24.39
2014-02-06,23.05,23.99,23.03,23.71,6581900,23.56
