Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,44.61,45.51,44.48,44.65,696900,44.65
2014-03-27,45.20,45.23,44.28,44.59,1039400,44.59
2014-03-26,46.48,46.61,45.28,45.42,643900,45.42
2014-03-25,46.20,46.49,45.33,46.05,539700,46.05
2014-03-24,46.82,46.91,45.78,46.00,984100,46.00
2014-03-21,46.82,47.69,46.52,46.67,1768700,46.67
2014-03-20,45.99,46.78,45.97,46.74,924500,46.74
2014-03-19,45.96,46.33,45.75,46.08,735300,46.08
2014-03-18,45.43,46.03,45.20,45.99,768000,45.99
2014-03-17,44.91,45.79,44.83,45.38,666800,45.38
2014-03-14,44.53,45.18,44.43,44.74,652800,44.74
2014-03-13,45.54,45.75,44.44,44.63,694500,44.63
2014-03-12,45.11,45.39,44.90,45.38,545600,45.38
2014-03-11,45.97,46.14,45.29,45.44,513300,45.44
2014-03-10,45.70,46.04,45.34,45.94,716800,45.94
2014-03-07,46.05,46.26,45.45,45.74,598000,45.74
2014-03-06,45.89,46.00,45.54,45.79,889400,45.79
2014-03-05,45.54,45.83,45.22,45.68,695600,45.68
2014-03-04,44.99,46.01,44.94,45.65,1344400,45.65
2014-03-03,44.34,44.81,43.96,44.73,1167200,44.73
2014-02-28,44.85,45.26,44.46,44.79,815300,44.79
2014-02-27,44.63,44.88,44.21,44.74,869300,44.74
2014-02-26,43.87,44.89,43.87,44.67,715800,44.67
2014-02-25,43.85,43.88,43.27,43.70,651500,43.70
2014-02-24,43.35,44.14,43.34,43.61,583100,43.61
2014-02-21,43.26,43.33,42.92,43.23,782800,43.23
2014-02-20,43.20,43.64,42.88,43.15,674100,43.05
2014-02-19,43.00,43.77,42.92,43.26,1067800,43.16
2014-02-18,43.34,43.91,43.06,43.21,814400,43.11
2014-02-14,43.07,43.46,42.76,43.31,660000,43.21
2014-02-13,42.01,43.14,42.00,43.04,826900,42.94
2014-02-12,42.28,42.70,42.01,42.43,768500,42.33
2014-02-11,42.07,42.42,41.83,42.19,457300,42.09
2014-02-10,41.81,42.13,41.42,42.09,852200,41.99
2014-02-07,41.46,42.27,41.09,41.81,945800,41.71
2014-02-06,40.27,41.26,40.27,41.15,892300,41.05
2014-02-05,40.35,40.46,39.29,40.13,1003000,40.04
2014-02-04,40.56,40.78,39.49,40.61,2049500,40.52
2014-02-03,41.47,41.64,40.02,40.44,2094100,40.35
2014-01-31,41.48,42.52,41.26,41.46,1413900,41.36
2014-01-30,41.88,44.50,41.80,42.51,2044500,42.41
2014-01-29,40.71,41.08,40.14,40.42,831200,40.33
2014-01-28,40.62,41.58,40.55,41.15,1032400,41.05
2014-01-27,41.55,41.68,40.12,40.66,918600,40.57
2014-01-24,42.36,42.36,41.40,41.41,1173600,41.31
2014-01-23,42.73,42.73,41.76,42.72,937500,42.62
2014-01-22,42.62,43.22,42.27,43.08,773900,42.98
2014-01-21,43.37,43.55,42.41,42.51,855300,42.41
2014-01-17,44.18,44.18,42.96,43.01,935800,42.91
2014-01-16,44.89,45.03,43.92,44.14,789800,44.04
2014-01-15,45.33,45.47,44.85,45.04,574000,44.94
2014-01-14,44.31,45.33,44.19,45.24,1027800,45.14
2014-01-13,45.56,45.88,43.92,44.07,744200,43.97
2014-01-09,46.11,46.25,45.08,45.86,678200,45.75
2014-01-08,45.66,46.12,45.55,45.83,1131100,45.72
2014-01-07,45.62,46.42,45.27,45.75,813500,45.64
2014-01-06,45.49,46.24,45.13,45.54,805000,45.43
2014-01-03,45.37,45.75,45.27,45.28,756700,45.18
2014-01-02,45.78,45.85,45.21,45.31,583000,45.20
2013-12-31,45.43,46.15,45.25,46.06,733500,45.95
2013-12-30,45.56,45.70,45.19,45.31,814000,45.20
2013-12-27,46.00,46.97,45.39,45.71,613600,45.60
2013-12-26,46.15,46.33,45.70,45.70,470600,45.59
2013-12-24,45.94,46.25,45.68,45.87,313100,45.76
2013-12-23,45.65,45.99,45.11,45.83,1151800,45.72
2013-12-20,45.60,45.98,45.32,45.37,9081200,45.26
2013-12-19,45.91,45.91,44.98,45.38,1569500,45.27
2013-12-18,45.82,46.21,44.86,46.12,1080400,46.01
2013-12-17,45.62,45.87,44.98,45.87,1205000,45.76
2013-12-16,46.25,46.42,45.64,45.72,1295500,45.61
2013-12-13,46.54,46.85,45.83,46.05,1313500,45.94
2013-12-12,44.97,46.38,44.93,46.36,1667500,46.25
2013-12-11,46.21,46.21,44.38,44.85,1078100,44.75
2013-12-10,46.38,47.08,46.26,46.28,565200,46.17
2013-12-09,45.65,46.72,45.65,46.48,930300,46.37
2013-12-06,45.11,45.87,44.89,45.67,534800,45.56
2013-12-05,44.53,44.63,43.76,44.49,558200,44.39
2013-12-04,44.25,44.72,43.66,44.06,849100,43.96
2013-12-03,44.82,45.06,44.25,44.55,626200,44.45
2013-12-02,45.59,45.89,44.91,45.03,478800,44.93
2013-11-29,45.95,45.99,45.48,45.70,372500,45.59
2013-11-27,45.47,45.77,45.14,45.70,467000,45.59
2013-11-26,45.23,45.58,45.07,45.49,453300,45.38
2013-11-25,44.99,45.20,44.50,45.14,479300,45.04
2013-11-22,44.86,45.00,44.42,44.78,432100,44.68
2013-11-21,44.49,44.96,44.35,44.79,788000,44.69
2013-11-20,44.36,44.53,44.08,44.19,502200,44.09
2013-11-19,44.16,44.60,44.00,44.22,734900,44.12
2013-11-18,45.40,45.78,44.08,44.26,573500,44.16
2013-11-15,45.03,45.53,44.83,45.41,506000,45.20
2013-11-14,44.63,45.15,44.06,45.04,641900,44.84
2013-11-13,43.40,44.73,43.32,44.56,1195900,44.36
2013-11-12,45.33,45.54,43.42,44.07,2134500,43.87
2013-11-11,45.05,45.91,44.99,45.44,996900,45.23
2013-11-08,44.58,45.73,44.46,45.04,1120700,44.84
2013-11-07,46.00,46.48,44.59,44.61,701100,44.41
2013-11-06,46.46,46.56,45.31,45.80,503200,45.59
2013-11-05,45.66,46.37,45.18,46.19,506200,45.98
2013-11-04,45.24,46.19,45.24,46.09,846200,45.88
2013-11-01,45.04,46.00,44.95,45.16,849200,44.96
2013-10-31,45.16,45.43,44.58,45.13,1118900,44.93
2013-10-30,45.44,45.45,44.71,45.29,804500,45.09
