Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,145.80,146.84,144.89,145.50,443100,145.50
2014-03-27,146.78,147.19,144.92,145.20,782100,145.20
2014-03-26,145.63,147.24,145.48,146.35,770700,146.35
2014-03-25,142.86,145.31,142.46,144.90,658400,144.90
2014-03-24,146.56,146.62,142.60,142.70,484700,142.70
2014-03-21,147.64,148.34,145.59,145.84,889200,145.84
2014-03-20,145.18,146.72,144.27,146.57,645400,146.57
2014-03-19,146.06,146.92,144.17,145.24,499100,145.24
2014-03-18,145.92,146.42,144.92,145.92,603500,145.92
2014-03-17,145.55,147.85,144.93,145.97,766300,145.97
2014-03-14,143.73,145.34,143.61,144.92,558900,144.92
2014-03-13,146.53,147.00,143.59,143.92,749000,143.92
2014-03-12,144.92,146.48,144.86,146.43,864800,146.43
2014-03-11,145.34,146.35,144.94,145.78,465700,145.78
2014-03-10,143.90,145.86,143.50,145.36,788300,145.36
2014-03-07,144.96,144.98,142.89,143.71,885400,143.71
2014-03-06,144.89,145.55,143.50,143.71,479900,143.71
2014-03-05,143.43,144.27,143.36,144.12,771100,144.12
2014-03-04,143.10,143.78,142.61,143.64,939500,143.64
2014-03-03,143.30,143.99,141.43,141.85,771900,141.85
2014-02-28,144.62,145.62,142.97,144.16,656700,144.16
2014-02-27,142.68,145.21,142.68,144.69,823600,144.69
2014-02-26,142.04,144.06,141.68,143.04,911900,143.04
2014-02-25,143.01,143.78,140.65,141.96,1094800,141.96
2014-02-24,141.54,143.00,141.41,142.44,883300,142.44
2014-02-21,140.85,142.24,140.18,141.57,709600,141.57
2014-02-20,139.06,140.96,139.05,140.30,812300,140.30
2014-02-19,140.32,140.79,138.95,139.13,579300,139.13
2014-02-18,139.18,141.57,138.97,140.39,871400,140.39
2014-02-14,137.47,139.39,137.10,139.19,750500,139.19
2014-02-13,135.79,138.02,135.57,137.89,682500,137.89
2014-02-12,136.50,137.37,135.49,136.66,855200,136.66
2014-02-11,132.93,136.65,132.66,136.65,1237300,136.65
2014-02-10,130.93,133.23,130.33,133.14,1359600,133.14
2014-02-07,128.62,131.20,128.62,131.02,719400,131.02
2014-02-06,129.13,130.10,128.10,128.40,755300,128.40
2014-02-05,127.82,130.13,127.25,129.14,995400,129.14
2014-02-04,126.09,128.29,125.48,128.11,998900,128.11
2014-02-03,129.14,130.20,125.00,125.42,839700,125.42
2014-01-31,130.00,131.26,125.53,129.59,1479700,129.59
2014-01-30,131.47,131.84,129.78,131.02,885400,131.02
2014-01-29,130.44,132.12,129.67,130.31,745200,130.31
2014-01-28,130.04,131.83,129.83,130.75,693000,130.75
2014-01-27,132.69,132.71,129.82,129.87,821500,129.87
2014-01-24,135.52,135.52,133.06,133.09,636300,133.09
2014-01-23,135.44,136.16,134.79,135.94,640600,135.94
2014-01-22,136.00,136.62,135.93,136.32,339800,136.32
2014-01-21,136.38,136.89,135.56,136.02,505000,136.02
2014-01-17,136.30,137.00,134.81,135.21,722100,135.21
2014-01-16,135.62,136.53,134.26,136.39,566300,136.39
2014-01-15,135.26,136.00,134.88,136.00,538600,135.79
2014-01-14,133.65,135.55,133.56,135.41,464200,135.20
2014-01-13,133.82,135.12,133.24,133.69,648900,133.48
2014-01-09,132.91,134.76,132.75,134.75,523000,134.54
2014-01-08,132.05,132.75,131.37,132.73,794800,132.53
2014-01-07,130.02,132.23,130.02,130.89,733800,130.69
2014-01-06,130.24,130.24,128.14,129.31,1831900,129.11
2014-01-03,131.81,132.46,130.99,131.13,655200,130.93
2014-01-02,134.00,134.15,131.60,131.83,558600,131.63
2013-12-31,133.54,134.43,133.09,133.94,279700,133.73
2013-12-30,133.42,134.76,133.02,133.64,612700,133.43
2013-12-27,133.99,133.99,133.23,133.29,209200,133.08
2013-12-26,133.48,134.10,133.11,133.74,189100,133.53
2013-12-24,132.48,133.59,132.35,133.29,196000,133.08
2013-12-23,132.31,133.10,130.73,132.32,539600,132.12
2013-12-20,132.34,132.36,131.75,132.15,740700,131.95
2013-12-19,132.86,133.33,131.39,131.96,597300,131.76
2013-12-18,131.87,134.03,131.58,133.67,471700,133.46
2013-12-17,133.10,133.47,131.86,132.17,444000,131.97
2013-12-16,133.64,134.62,133.07,133.32,399200,133.11
