Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,115.69,116.71,115.22,115.54,809600,115.54
2014-03-27,114.78,115.39,114.03,115.14,709200,115.14
2014-03-26,114.92,115.94,114.52,114.53,630100,114.53
2014-03-25,114.00,114.56,113.14,114.31,552800,114.31
2014-03-24,115.16,115.75,113.17,113.56,906300,113.56
2014-03-21,116.50,117.07,114.51,114.57,1295000,114.57
2014-03-20,115.61,115.81,115.00,115.66,600800,115.66
2014-03-19,116.72,117.03,115.05,115.66,657200,115.66
2014-03-18,115.62,116.86,115.46,116.81,589300,116.81
2014-03-17,115.55,116.25,115.47,115.62,605000,115.62
2014-03-14,115.00,116.13,114.84,115.35,1011100,115.35
2014-03-13,115.74,115.98,114.88,115.19,1021300,115.19
2014-03-12,114.90,115.52,114.52,115.47,678300,115.47
2014-03-11,115.62,115.62,115.06,115.34,909400,115.34
2014-03-10,115.37,116.00,115.18,115.61,672200,115.61
2014-03-07,115.83,115.83,114.95,115.57,894400,115.57
2014-03-06,116.22,116.36,115.10,115.16,791900,115.16
2014-03-05,116.70,116.70,115.36,116.28,740200,115.74
2014-03-04,116.25,116.85,115.97,116.70,1160700,116.15
2014-03-03,114.68,116.34,114.15,114.94,971400,114.40
2014-02-28,115.07,116.36,114.46,115.22,1022900,114.68
2014-02-27,115.00,115.33,114.50,115.10,763800,114.56
2014-02-26,114.46,115.62,114.20,114.89,932100,114.35
2014-02-25,114.98,115.63,113.99,114.53,881400,113.99
2014-02-24,115.04,115.95,114.99,115.00,825200,114.46
2014-02-21,115.68,115.85,114.88,114.98,628500,114.44
2014-02-20,114.29,115.83,114.00,115.52,1074400,114.98
2014-02-19,115.06,115.91,113.89,113.99,944500,113.46
2014-02-18,114.50,115.52,114.13,115.37,1074400,114.83
2014-02-14,114.00,114.49,113.68,114.40,722800,113.86
2014-02-13,112.81,114.38,112.43,114.34,964300,113.80
2014-02-12,112.84,113.37,112.48,113.31,1251700,112.78
2014-02-11,110.51,113.00,110.48,112.99,1396800,112.46
2014-02-10,109.81,111.09,109.58,110.94,1393900,110.42
2014-02-07,107.59,110.16,107.50,110.12,1267800,109.60
2014-02-06,107.33,107.75,106.86,107.17,1081000,106.67
2014-02-05,106.25,107.57,105.89,107.25,1416900,106.75
2014-02-04,107.29,108.35,105.57,106.01,1426400,105.51
2014-02-03,108.32,108.46,105.21,105.40,1911500,104.91
2014-01-31,106.89,108.50,106.33,108.12,1475000,107.61
2014-01-30,108.37,108.66,107.64,107.98,1070600,107.47
2014-01-29,107.49,108.47,107.23,107.74,869500,107.24
2014-01-28,107.02,108.35,106.91,108.21,709200,107.70
2014-01-27,108.25,108.34,106.65,106.90,989800,106.40
2014-01-24,108.85,110.02,107.74,107.75,1070300,107.24
