Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,35.25,35.42,35.01,35.10,3842000,35.10
2014-03-27,35.20,35.46,34.72,35.00,7890200,35.00
2014-03-26,35.60,35.61,35.10,35.15,5191800,35.15
2014-03-25,35.68,35.74,34.88,35.40,17410500,35.40
2014-03-24,35.46,35.88,35.35,35.58,7284800,35.58
2014-03-21,35.65,35.85,35.11,35.25,15036900,35.25
2014-03-20,34.16,35.30,34.10,35.22,10652700,35.22
2014-03-19,33.49,34.22,33.32,34.19,8468200,34.19
2014-03-18,33.42,33.56,33.33,33.49,4420700,33.49
2014-03-17,33.33,33.71,33.28,33.37,4961100,33.37
2014-03-14,33.14,33.23,32.89,33.13,10727300,33.13
2014-03-13,33.36,33.47,33.00,33.17,10375300,33.17
2014-03-12,32.58,33.31,32.58,33.30,5984800,33.30
2014-03-11,33.48,33.53,33.08,33.22,5377600,33.22
2014-03-10,33.37,33.43,33.19,33.34,3664600,33.34
2014-03-07,33.00,33.56,32.92,33.51,8248100,33.51
2014-03-06,32.51,32.90,32.47,32.76,3488600,32.76
2014-03-05,32.41,32.57,32.24,32.44,3789000,32.44
2014-03-04,32.24,32.49,32.17,32.40,5279300,32.40
2014-03-03,31.64,31.94,31.40,31.87,5903100,31.87
2014-02-28,31.84,32.11,31.70,32.00,6393600,32.00
2014-02-27,31.40,31.89,31.32,31.87,4527900,31.87
2014-02-26,31.50,31.58,31.14,31.40,4516900,31.40
2014-02-25,31.73,31.75,31.38,31.45,5111000,31.45
2014-02-24,31.13,31.98,31.13,31.80,4555200,31.80
2014-02-21,31.22,31.58,31.12,31.35,4638800,31.35
2014-02-20,31.18,31.28,30.82,31.18,6169800,31.18
2014-02-19,31.63,31.83,31.10,31.13,4369600,31.13
2014-02-18,31.85,31.95,31.69,31.76,3527900,31.76
2014-02-14,31.91,32.02,31.71,31.79,4948800,31.79
2014-02-13,31.74,32.01,31.68,31.98,3479700,31.98
2014-02-12,32.04,32.27,31.82,31.98,2545100,31.98
2014-02-11,31.53,32.04,31.33,31.97,4739400,31.97
2014-02-10,31.75,31.77,31.34,31.51,4695200,31.51
2014-02-07,31.64,31.84,31.39,31.79,5264100,31.79
2014-02-06,31.01,31.49,30.96,31.47,3671700,31.47
2014-02-05,31.14,31.27,30.84,30.93,4187800,30.93
2014-02-04,31.17,31.35,30.94,31.19,8462300,31.19
2014-02-03,31.89,32.02,30.88,30.91,7765000,30.91
2014-01-31,31.77,32.23,31.66,31.96,5236300,31.96
2014-01-30,32.05,32.59,32.04,32.41,4798100,32.41
2014-01-29,31.78,32.29,31.67,31.73,6445400,31.73
2014-01-28,32.18,32.32,32.01,32.22,5983300,32.07
2014-01-27,32.34,32.55,31.90,32.04,6479600,31.89
2014-01-24,32.71,33.00,32.31,32.34,7131300,32.19
2014-01-23,33.08,33.21,32.84,33.12,8123400,32.97
2014-01-22,33.07,33.44,33.03,33.41,6127200,33.25
2014-01-21,32.99,33.12,32.75,33.09,7714800,32.94
2014-01-17,33.45,33.48,32.63,32.70,8525200,32.55
2014-01-16,34.14,34.18,33.80,33.92,6850700,33.76
2014-01-15,34.07,34.17,33.79,34.16,6027600,34.00
2014-01-09,34.71,34.83,34.32,34.70,3673700,34.54
2014-01-08,34.64,34.84,34.31,34.66,4855000,34.50
2014-01-07,35.10,35.17,34.33,34.54,6967500,34.38
2014-01-06,35.28,35.66,34.88,34.95,6204400,34.79
2014-01-03,34.61,35.34,34.58,34.96,4000300,34.80
2014-01-02,34.30,35.03,34.30,34.56,3469400,34.40
2013-12-31,34.64,34.99,34.57,34.94,2777100,34.78
2013-12-30,34.63,34.65,34.44,34.54,1877500,34.38
2013-12-27,34.55,34.64,34.40,34.50,1940800,34.34
2013-12-26,34.43,34.64,34.39,34.56,1854700,34.40
2013-12-24,34.47,34.49,34.25,34.41,1066700,34.25
2013-12-23,34.09,34.42,33.99,34.37,3397600,34.21
2013-12-20,33.96,34.13,33.84,33.88,6917200,33.72
2013-12-19,33.80,33.97,33.59,33.87,3680100,33.71
2013-12-18,33.40,33.92,32.85,33.89,7289600,33.73
2013-12-17,33.13,33.15,32.84,32.86,3270300,32.71
2013-12-16,33.04,33.24,32.99,33.14,3041100,32.99
2013-12-13,32.90,33.20,32.78,32.91,3660600,32.76
2013-12-12,32.86,33.10,32.81,32.84,5509700,32.69
2013-12-11,33.47,33.59,32.74,32.84,5264700,32.69
2013-12-10,33.49,33.87,33.49,33.50,2639400,33.34
2013-12-09,33.79,33.87,33.50,33.65,3454200,33.49
2013-12-06,33.56,33.67,33.28,33.62,3764600,33.46
2013-12-05,33.13,33.28,33.03,33.13,3538900,32.98
2013-12-04,33.12,33.62,33.02,33.37,3526800,33.21
2013-12-03,33.39,33.64,33.01,33.20,4393600,33.05
2013-12-02,33.79,34.04,33.58,33.64,3786000,33.48
2013-11-29,34.00,34.10,33.65,33.70,2453300,33.54
2013-11-27,34.18,34.18,33.62,33.91,3556900,33.75
2013-11-26,33.82,34.06,33.64,33.65,3762000,33.49
2013-11-25,33.75,34.26,33.72,33.78,3974900,33.62
2013-11-22,33.72,33.75,33.39,33.63,4445100,33.47
2013-11-21,33.41,33.77,33.21,33.72,4572100,33.56
2013-11-20,33.17,33.59,33.01,33.33,5230400,33.17
2013-11-19,33.08,33.40,32.93,32.98,5575600,32.83
2013-11-18,33.47,33.51,33.04,33.13,3507400,32.98
2013-11-15,33.12,33.48,33.09,33.42,3972900,33.26
2013-11-14,33.15,33.32,32.90,33.13,3501800,32.98
2013-11-13,32.35,33.00,32.28,33.00,4853200,32.85
2013-11-12,32.93,33.07,32.50,32.56,3295900,32.41
2013-11-11,33.20,33.33,32.99,33.08,2960500,32.93
2013-11-08,31.96,33.17,31.96,33.15,6372300,33.00
2013-11-07,32.43,32.59,31.95,32.01,4937200,31.86
2013-11-06,32.56,32.56,32.20,32.37,5630300,32.22
2013-11-05,32.30,32.52,32.11,32.35,3148900,32.20
2013-11-04,32.40,32.60,32.21,32.51,5839600,32.36
2013-11-01,31.93,32.49,31.90,32.36,8965100,32.21
2013-10-31,31.91,32.13,31.76,31.80,6169900,31.65
2013-10-30,32.20,32.23,31.88,31.99,3656500,31.84
2013-10-29,31.85,32.15,31.81,32.13,4825100,31.98
2013-10-28,31.87,32.13,31.74,31.83,6677300,31.68
2013-10-25,31.80,31.90,31.64,31.83,4929100,31.68
2013-10-24,31.54,31.70,31.47,31.66,4743000,31.51
2013-10-23,31.37,31.61,31.34,31.58,7278000,31.28
2013-10-22,31.66,31.69,31.37,31.59,4849100,31.29
2013-10-21,31.45,31.67,31.34,31.62,4621900,31.32
2013-10-18,31.38,31.55,31.22,31.48,3775800,31.18
2013-10-17,30.45,31.44,30.45,31.33,7459500,31.04
2013-10-16,31.17,31.39,30.52,30.76,6999500,30.47
2013-10-15,31.11,31.20,30.73,30.85,5497900,30.56
2013-10-14,30.61,31.19,30.48,31.18,4033900,30.89
2013-10-11,30.69,30.95,30.42,30.77,6441300,30.48
2013-10-10,30.23,30.81,30.19,30.81,5003200,30.52
2013-10-09,29.65,29.94,29.58,29.78,4031400,29.50
2013-10-08,30.24,30.30,29.55,29.57,4895900,29.29
2013-10-07,30.17,30.48,30.05,30.23,3684500,29.95
2013-10-04,29.96,30.56,29.85,30.50,4028400,30.21
2013-10-03,30.40,30.41,29.72,29.92,6022000,29.64
2013-10-02,30.47,30.61,30.25,30.46,3682100,30.17
2013-10-01,30.29,30.76,30.22,30.75,4954600,30.46
2013-09-30,29.97,30.34,29.82,30.19,5629700,29.91
2013-09-27,30.25,30.37,30.11,30.24,3076800,29.96
2013-09-26,30.53,30.81,30.48,30.59,3465000,30.30
2013-09-25,30.23,30.72,30.06,30.52,4710900,30.23
2013-09-24,30.37,30.52,30.09,30.19,3509900,29.91
2013-09-23,30.71,30.75,30.20,30.30,4990100,30.02
2013-09-20,31.21,31.38,30.73,30.85,6665800,30.56
2013-09-19,31.53,31.57,30.69,31.08,5793600,30.79
2013-09-18,31.45,31.91,31.30,31.38,7073300,31.09
2013-09-17,31.42,31.49,31.25,31.45,2845800,31.15
2013-09-16,31.49,31.59,31.20,31.40,3653500,31.11
2013-09-13,31.09,31.20,30.86,31.11,2481800,30.82
2013-09-12,31.20,31.30,31.00,31.04,3083500,30.75
2013-09-11,31.27,31.32,31.05,31.23,3315300,30.94
2013-09-10,31.08,31.37,31.05,31.28,3826400,30.99
2013-09-09,30.55,30.79,30.40,30.79,2640400,30.50
2013-09-06,30.76,30.80,29.98,30.46,4125200,30.17
2013-09-05,30.39,30.80,30.34,30.66,3879600,30.37
2013-09-04,30.07,30.55,30.01,30.39,4642900,30.10
2013-09-03,30.13,30.54,29.93,30.12,4030000,29.84
2013-08-30,29.89,29.90,29.61,29.74,3714600,29.46
2013-08-29,29.69,30.07,29.59,29.83,3549500,29.55
2013-08-28,29.63,29.90,29.52,29.75,3764700,29.47
2013-08-27,30.21,30.30,29.62,29.66,5485700,29.38
2013-08-26,30.83,31.00,30.65,30.66,2896100,30.37
2013-08-23,31.13,31.16,30.69,30.85,3162400,30.56
