Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41000.00,42500.00,40900.00,41100.00,42100,41100.00
2014-03-27,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-26,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-25,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-24,2380.00,2380.00,2380.00,2380.00,000,2380.00
2014-03-21,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-20,42200.00,42400.00,41700.00,41700.00,113300,41700.00
2014-03-19,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-18,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-17,42100.00,44400.00,42100.00,42500.00,48000,42500.00
2014-03-14,43000.00,43000.00,42000.00,42200.00,199100,42200.00
2014-03-13,43000.00,44000.00,42600.00,43100.00,490900,43100.00
2014-03-12,44900.00,45300.00,44700.00,45100.00,94300,45100.00
2014-03-11,44900.00,45400.00,44600.00,44900.00,47000,44900.00
2014-03-10,44500.00,45100.00,44400.00,44900.00,61900,44900.00
2014-03-07,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-06,45000.00,45000.00,44200.00,44800.00,30900,44800.00
2014-03-05,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-03-04,43600.00,44400.00,43500.00,44000.00,50700,44000.00
2014-03-03,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-28,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-27,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-26,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-25,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-24,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-21,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-20,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-19,2575.00,532.00,532.00,2380.00,2000,2380.00
2014-02-18,2575.00,532.00,532.00,2380.00,2000,2380.00
