Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,31.01,31.29,30.78,31.03,4883900,31.03
2014-03-27,31.35,31.43,30.69,30.86,12053000,30.86
2014-03-26,32.01,32.31,31.66,31.70,9339900,31.70
2014-03-25,31.73,32.16,31.63,31.80,8941800,31.80
2014-03-24,31.35,31.95,31.32,31.60,8595600,31.60
2014-03-21,31.63,31.64,31.17,31.28,9899400,31.28
2014-03-20,30.63,31.47,30.51,31.34,5942800,31.34
2014-03-19,30.81,31.14,30.71,30.86,3886000,30.86
2014-03-18,30.40,30.89,30.30,30.82,3994200,30.82
2014-03-17,30.06,30.56,30.05,30.47,4812300,30.47
2014-03-14,30.01,30.35,29.74,29.94,4913500,29.94
2014-03-13,30.60,30.84,30.02,30.16,4221300,30.16
2014-03-12,30.49,30.85,30.49,30.61,3988100,30.61
2014-03-11,30.72,30.84,30.28,30.43,3470000,30.43
2014-03-10,30.49,30.73,30.44,30.66,3722500,30.66
2014-03-07,30.49,30.74,30.42,30.57,4735400,30.57
2014-03-06,30.39,30.59,30.22,30.33,6139200,30.33
2014-03-05,30.11,30.42,29.87,30.23,4998000,30.23
2014-03-04,30.02,30.32,30.00,30.12,5178900,30.12
2014-03-03,29.53,29.89,29.39,29.76,4569800,29.76
2014-02-28,30.25,30.25,29.53,29.71,8625300,29.71
2014-02-27,29.93,30.16,29.87,30.14,3840900,30.14
2014-02-26,30.41,30.49,29.91,30.02,7722600,30.02
2014-02-25,30.72,30.73,30.06,30.34,4670300,30.34
2014-02-24,30.91,31.06,30.52,30.74,4909900,30.74
2014-02-21,31.13,31.13,30.66,30.76,4430200,30.76
2014-02-20,30.80,31.09,30.72,30.95,6369200,30.95
2014-02-19,30.76,31.11,30.72,30.80,4974700,30.80
2014-02-18,31.27,31.30,30.78,31.15,5177500,31.15
2014-02-14,30.93,31.37,30.86,31.30,4493900,31.30
2014-02-13,30.67,31.28,30.52,31.14,4393400,31.14
2014-02-12,30.74,31.09,30.66,30.81,5502000,30.81
2014-02-11,30.68,30.91,30.47,30.79,5154600,30.67
2014-02-10,30.36,30.87,30.32,30.59,9970500,30.47
2014-02-07,29.47,30.69,29.42,30.46,13098900,30.34
2014-02-06,29.05,29.47,28.92,29.42,4416600,29.31
2014-02-05,29.00,29.29,28.75,28.99,5527400,28.88
2014-02-04,28.91,29.26,28.78,29.20,7368900,29.09
2014-02-03,29.62,29.75,28.68,28.80,10415100,28.69
2014-01-31,29.29,30.60,29.03,29.76,16486900,29.64
2014-01-30,28.86,29.26,28.65,29.21,8731000,29.10
2014-01-29,28.53,28.98,28.30,28.69,9000200,28.58
2014-01-28,29.07,29.20,28.67,28.96,8683000,28.85
2014-01-27,29.47,29.63,29.09,29.28,7152400,29.17
2014-01-24,29.55,29.76,29.33,29.39,8455700,29.28
2014-01-23,29.79,30.00,29.54,29.77,6909600,29.65
2014-01-22,29.53,30.25,29.50,30.08,8641400,29.96
2014-01-21,29.25,29.51,28.98,29.50,7394600,29.39
2014-01-17,29.30,29.51,29.00,29.00,6510200,28.89
2014-01-16,29.46,29.66,29.20,29.31,3919800,29.20
2014-01-15,29.22,29.48,29.06,29.48,7558900,29.37
2014-01-14,28.71,29.42,28.65,29.41,7229900,29.30
2014-01-09,29.67,29.67,29.18,29.35,8310100,29.24
2014-01-08,29.30,29.57,29.04,29.51,5786400,29.39
2014-01-07,28.97,29.30,28.61,29.20,6165000,29.09
2014-01-06,29.00,29.17,28.89,29.07,4829800,28.96
2014-01-03,29.03,29.14,28.68,28.97,6107800,28.86
2014-01-02,29.40,29.58,28.84,28.99,7073000,28.88
2013-12-31,29.39,29.75,29.18,29.65,5448400,29.53
2013-12-30,29.27,29.42,29.11,29.24,4829700,29.13
2013-12-27,29.25,29.39,29.15,29.29,3761900,29.18
2013-12-26,29.20,29.34,29.02,29.18,4587000,29.07
2013-12-24,29.03,29.39,29.02,29.16,3735200,29.05
2013-12-23,28.94,29.25,28.73,29.03,7907400,28.92
2013-12-20,28.87,28.93,28.42,28.57,13078800,28.46
2013-12-19,28.62,28.83,28.50,28.74,8287100,28.63
2013-12-18,28.34,28.63,28.06,28.60,9032900,28.49
2013-12-17,28.30,28.67,28.29,28.41,9157900,28.30
2013-12-16,27.80,28.86,27.80,28.38,10860900,28.27
2013-12-13,28.42,28.50,27.94,28.01,6235300,27.90
2013-12-12,28.61,28.80,27.83,28.32,12454200,28.21
2013-12-11,28.58,28.89,28.57,28.68,10740000,28.57
2013-12-10,28.41,28.90,28.11,28.51,18242800,28.40
2013-12-09,27.54,27.93,27.52,27.88,7811900,27.77
2013-12-06,27.61,28.00,27.47,27.53,9553600,27.42
2013-12-05,27.51,27.92,27.17,27.30,15927500,27.19
2013-12-04,26.89,27.45,26.63,26.87,7570100,26.77
2013-12-03,26.88,27.33,26.80,26.97,7215000,26.86
2013-12-02,26.69,27.19,26.63,26.98,9747800,26.87
2013-11-29,26.62,26.93,26.52,26.69,3270700,26.59
2013-11-27,26.45,26.62,26.21,26.59,6668200,26.49
2013-11-26,26.50,26.68,26.16,26.39,7235800,26.29
2013-11-25,26.41,26.64,26.17,26.51,6061600,26.41
2013-11-22,26.41,26.49,26.18,26.35,7454300,26.25
2013-11-21,26.21,26.52,25.96,26.48,8367500,26.38
2013-11-20,26.50,26.59,26.05,26.16,7108500,25.95
2013-11-19,26.68,26.73,26.21,26.40,8444600,26.19
2013-11-18,27.05,27.08,26.58,26.63,6918100,26.41
2013-11-15,27.11,27.20,26.91,27.05,6979800,26.83
2013-11-14,27.12,27.31,26.41,26.94,17385700,26.72
2013-11-13,27.11,27.66,27.02,27.58,6888100,27.36
2013-11-12,26.45,27.33,26.45,27.23,9724200,27.01
2013-11-11,26.53,26.71,26.17,26.57,7134800,26.36
2013-11-08,26.35,26.62,26.12,26.50,10671200,26.29
2013-11-07,26.71,26.87,26.26,26.31,7345300,26.10
2013-11-06,26.53,26.72,26.46,26.72,5693600,26.50
2013-11-05,26.57,26.78,26.41,26.47,7257800,26.26
2013-11-04,26.78,26.96,26.51,26.61,7134700,26.39
2013-11-01,26.80,27.24,26.70,26.77,7042400,26.55
2013-10-31,27.29,27.35,26.63,26.72,12685100,26.50
2013-10-30,27.68,27.92,27.36,27.46,7463700,27.24
2013-10-29,27.21,27.70,27.01,27.66,12657100,27.44
2013-10-28,26.35,27.09,26.33,27.04,9584200,26.82
2013-10-25,26.44,26.61,26.30,26.41,9085100,26.20
2013-10-24,26.36,26.62,26.12,26.29,10456300,26.08
2013-10-23,24.99,26.76,24.60,26.36,34225300,26.15
2013-10-22,27.36,27.50,26.92,27.14,15103200,26.92
2013-10-21,27.17,27.39,27.00,27.32,9679900,27.10
2013-10-18,27.09,27.18,26.91,27.16,9264700,26.94
2013-10-17,26.85,27.20,26.70,27.05,7936400,26.83
2013-10-16,26.71,27.20,26.55,27.01,6818400,26.79
2013-10-15,26.53,26.77,26.46,26.51,5402500,26.30
2013-10-14,26.16,26.70,26.13,26.68,6364600,26.46
2013-10-11,26.42,26.72,26.37,26.51,5485400,26.30
2013-10-10,26.37,26.72,26.35,26.70,5539600,26.48
2013-10-09,26.29,26.31,26.01,26.15,5978100,25.94
2013-10-08,26.63,26.71,25.91,26.08,5600000,25.87
2013-10-07,26.43,26.70,26.25,26.50,4510400,26.29
2013-10-04,26.24,26.69,26.20,26.64,8138800,26.42
2013-10-03,26.44,26.54,25.78,26.24,9149900,26.03
2013-10-02,26.33,26.71,26.12,26.40,14419500,26.19
2013-10-01,26.09,26.65,26.09,26.45,6065400,26.24
2013-09-30,25.62,26.24,25.52,26.02,6878100,25.81
2013-09-27,26.09,26.25,25.61,25.84,9345400,25.63
2013-09-26,26.96,26.97,26.21,26.37,6939000,26.16
2013-09-25,26.61,26.97,26.49,26.79,6093300,26.57
2013-09-24,26.79,26.80,26.42,26.65,9052500,26.43
2013-09-23,27.84,27.88,27.03,27.10,7369400,26.88
2013-09-20,27.92,28.23,27.32,27.34,15353800,27.12
2013-09-19,27.65,27.66,27.13,27.34,7154000,27.12
2013-09-18,27.43,27.68,27.31,27.65,7412400,27.43
2013-09-17,27.35,27.86,27.20,27.45,13778200,27.23
2013-09-16,26.41,26.96,26.35,26.91,11953000,26.69
2013-09-13,26.13,26.16,26.00,26.10,5480700,25.89
2013-09-12,26.20,26.37,26.00,26.02,6704100,25.81
2013-09-11,26.55,26.71,26.05,26.09,11473900,25.88
2013-09-10,27.05,27.24,26.46,26.76,10438300,26.54
2013-09-09,26.62,26.97,26.51,26.93,8510800,26.71
2013-09-06,26.86,27.02,26.40,26.49,10922800,26.28
2013-09-05,25.86,26.90,25.80,26.82,23114600,26.60
2013-09-04,25.31,25.98,24.94,25.92,15874400,25.71
2013-09-03,25.60,25.75,25.15,25.18,6287300,24.98
2013-08-30,25.27,25.32,25.10,25.26,6272900,25.06
2013-08-29,25.02,25.55,24.95,25.25,7545900,25.05
2013-08-28,24.97,25.25,24.79,24.92,6816600,24.72
2013-08-27,24.83,25.23,24.60,24.86,9853600,24.55
2013-08-26,25.19,25.24,24.99,25.01,5599900,24.70
2013-08-23,25.38,25.48,25.09,25.24,6152100,24.93
2013-08-22,25.16,25.48,25.15,25.32,2934700,25.00
2013-08-21,25.37,25.46,25.07,25.17,8888800,24.86
2013-08-20,25.30,25.60,25.26,25.39,5413500,25.07
2013-08-19,25.88,25.89,25.23,25.29,9278600,24.97
2013-08-16,26.14,26.22,25.89,25.91,6565400,25.59
2013-08-15,26.16,26.25,25.79,26.04,9513300,25.72
2013-08-14,26.43,26.77,26.12,26.54,8398300,26.21
2013-08-13,26.35,26.72,26.32,26.56,12959400,26.23
2013-08-12,25.67,26.40,23.25,26.06,20910300,25.73
2013-08-09,26.36,26.49,26.03,26.06,10473200,25.73
2013-08-08,26.90,26.90,26.30,26.30,9707700,25.97
2013-08-07,26.74,27.03,26.65,26.77,9672700,26.44
2013-08-06,26.99,26.99,26.66,26.81,11299200,26.48
2013-08-05,27.00,27.08,26.82,27.04,9301600,26.70
2013-08-02,27.33,27.45,26.78,26.89,17082600,26.55
2013-08-01,27.71,27.86,27.34,27.63,17881600,27.29
2013-07-31,27.85,27.98,27.53,27.57,14576900,27.23
2013-07-30,27.44,27.91,27.40,27.84,16257100,27.49
2013-07-29,27.35,27.52,27.26,27.40,13741700,27.06
2013-07-26,27.37,27.53,27.20,27.30,14576500,26.96
2013-07-25,27.30,27.59,26.58,27.46,22402100,27.12
2013-07-24,28.36,28.46,26.63,27.01,72809300,26.67
2013-07-23,32.30,32.32,31.02,31.83,30429000,31.43
2013-07-22,33.26,33.41,33.00,33.25,6513600,32.84
2013-07-19,33.64,33.90,33.27,33.69,6381100,33.27
2013-07-18,33.71,33.99,33.30,33.64,13296700,33.22
2013-07-17,34.23,34.30,32.85,33.60,20215800,33.18
2013-07-16,34.56,34.96,34.48,34.85,5904800,34.42
2013-07-15,34.49,34.78,34.39,34.45,6692400,34.02
2013-07-12,34.94,34.95,34.57,34.83,4303900,34.40
2013-07-11,34.50,34.90,34.32,34.83,5718500,34.40
2013-07-10,33.53,34.19,33.41,34.07,5944500,33.64
2013-07-09,33.60,33.77,33.38,33.70,4120200,33.28
2013-07-08,33.90,34.05,33.18,33.37,6591800,32.95
2013-07-05,33.46,33.78,33.00,33.77,3369300,33.35
2013-07-03,33.09,33.73,33.09,33.41,2188600,32.99
2013-07-02,33.21,33.56,33.07,33.35,4449300,32.93
2013-07-01,33.44,33.66,33.14,33.19,6387000,32.78
2013-06-28,33.43,34.12,33.43,33.79,7664800,33.37
2013-06-27,34.20,34.24,33.60,33.61,5845500,33.19
2013-06-26,34.19,34.25,33.44,33.87,6200300,33.45
2013-06-25,33.20,33.83,33.04,33.72,6811700,33.30
2013-06-24,33.10,33.22,32.70,32.92,6441200,32.51
2013-06-21,33.30,33.77,33.13,33.24,10016900,32.83
2013-06-20,33.80,34.11,33.43,33.43,8342700,33.01
2013-06-19,34.71,34.86,34.10,34.16,6341100,33.73
2013-06-18,34.25,34.63,34.18,34.62,6853000,34.19
2013-06-17,34.07,34.47,34.07,34.28,6624400,33.85
2013-06-14,33.76,34.24,33.37,33.79,10028700,33.37
2013-06-13,33.40,33.62,33.14,33.54,9270900,33.12
2013-06-12,34.45,34.48,33.23,33.30,9753300,32.88
2013-06-11,34.58,34.76,34.11,34.14,6461400,33.71
2013-06-10,35.40,35.40,34.81,34.89,9767500,34.45
2013-06-07,35.53,35.65,35.06,35.39,9598800,34.95
2013-06-06,35.31,35.31,34.56,34.96,6853400,34.52
2013-06-05,35.41,35.50,34.95,35.13,5820700,34.69
2013-06-04,35.94,36.20,35.43,35.63,5705300,35.19
2013-06-03,36.02,36.18,35.36,35.76,7087300,35.31
2013-05-31,36.01,36.38,35.91,35.91,5325600,35.46
2013-05-30,36.15,36.59,36.10,36.26,9743900,35.81
2013-05-29,35.90,36.17,35.62,36.01,6187500,35.56
2013-05-28,36.25,36.75,35.95,36.08,7660300,35.52
2013-05-24,36.44,36.91,36.17,36.59,4416800,36.02
2013-05-23,36.36,36.85,36.20,36.76,5471600,36.19
2013-05-22,37.38,37.48,36.44,36.70,7415600,36.13
2013-05-21,37.49,37.59,37.27,37.40,3952900,36.82
2013-05-20,37.32,37.85,37.24,37.40,5067100,36.82
2013-05-17,36.93,37.56,36.76,37.55,9991200,36.97
2013-05-16,36.79,37.21,36.50,36.57,7537500,36.00
2013-05-15,36.49,36.78,36.38,36.68,3859300,36.11
2013-05-14,36.12,36.63,36.10,36.57,5197700,36.00
2013-05-13,36.41,36.69,36.08,36.21,5226700,35.65
2013-05-10,36.65,36.74,36.50,36.62,3447500,36.05
2013-05-09,36.11,36.68,36.11,36.51,4840800,35.94
2013-05-08,36.06,36.53,36.06,36.41,5563000,35.85
2013-05-07,36.16,36.49,36.12,36.29,4647600,35.73
2013-05-06,36.00,36.53,35.90,36.17,4876600,35.61
2013-05-03,36.00,36.35,35.86,36.06,4916000,35.50
2013-05-02,35.70,35.94,35.53,35.78,4411000,35.23
2013-05-01,35.90,35.97,35.40,35.60,6053500,35.05
2013-04-30,35.38,36.01,35.18,36.00,10049600,35.44
2013-04-29,34.71,35.60,34.63,35.42,9338100,34.87
2013-04-26,34.36,34.76,34.05,34.54,6935000,34.01
2013-04-25,35.08,35.67,34.37,34.53,12860300,34.00
2013-04-24,34.75,35.49,34.43,35.09,16031800,34.55
2013-04-23,32.88,33.06,32.34,32.98,8650600,32.47
2013-04-22,32.05,32.70,31.61,32.60,5834000,32.10
2013-04-19,31.97,32.31,31.25,31.89,7730200,31.40
2013-04-18,32.77,33.10,31.77,32.03,9824900,31.53
2013-04-17,33.75,33.75,32.29,32.52,9884100,32.02
2013-04-16,33.50,34.02,33.31,33.97,4847800,33.44
2013-04-15,33.85,33.89,33.23,33.27,6053100,32.75
2013-04-12,33.81,34.11,33.52,33.87,4197700,33.35
2013-04-11,33.31,34.23,33.30,33.88,10046800,33.36
2013-04-10,33.81,34.47,33.75,34.32,4895700,33.79
2013-04-09,33.72,33.99,33.31,33.74,4117300,33.22
2013-04-08,33.15,33.59,32.82,33.56,5487100,33.04
2013-04-05,32.83,33.13,32.25,33.08,7054800,32.57
2013-04-04,33.22,33.54,33.08,33.40,4409000,32.88
