Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,13.20,13.44,13.16,13.20,6161600,13.20
2014-03-27,13.21,13.26,12.94,13.21,11154800,13.21
2014-03-26,13.31,13.47,13.21,13.23,10501900,13.23
2014-03-25,12.92,13.42,12.92,13.26,13773800,13.26
2014-03-24,13.05,13.14,12.69,12.84,11359200,12.84
2014-03-21,13.37,13.39,12.82,12.82,15490800,12.82
2014-03-20,13.10,13.18,13.04,13.10,7487000,13.10
2014-03-19,13.23,13.38,13.04,13.15,8716600,13.15
2014-03-18,13.00,13.27,12.96,13.21,6499400,13.21
2014-03-17,13.06,13.16,12.94,12.98,9973800,12.98
2014-03-14,12.75,13.21,12.68,13.01,19886300,13.01
2014-03-13,12.93,12.98,12.61,12.74,23579600,12.74
2014-03-12,13.11,13.16,12.82,12.88,20050800,12.88
2014-03-11,13.48,13.48,13.14,13.18,10731200,13.18
2014-03-10,13.73,13.84,13.43,13.46,8144900,13.46
2014-03-07,13.61,13.74,13.36,13.70,16277700,13.70
2014-03-06,13.45,13.59,13.43,13.55,9379700,13.55
2014-03-05,13.25,13.48,13.22,13.38,9877400,13.38
2014-03-04,13.12,13.26,13.11,13.23,13015200,13.23
2014-03-03,12.91,13.05,12.81,13.00,9447000,13.00
2014-02-28,13.28,13.34,12.98,13.10,10209100,13.10
2014-02-27,13.34,13.41,13.23,13.30,8489700,13.30
2014-02-26,13.41,13.58,13.27,13.34,7316800,13.34
2014-02-25,13.09,13.45,13.05,13.39,15637000,13.39
2014-02-24,13.14,13.24,13.07,13.08,6551700,13.08
2014-02-21,13.25,13.26,13.13,13.14,6452100,13.14
2014-02-20,13.06,13.24,13.00,13.23,7949100,13.23
2014-02-19,13.35,13.43,13.04,13.06,11679000,13.06
2014-02-18,13.30,13.52,13.29,13.38,10683000,13.38
2014-02-14,13.08,13.44,13.05,13.30,14839400,13.30
2014-02-13,12.92,13.08,12.84,13.03,10309600,13.03
2014-02-12,12.83,13.04,12.83,12.96,9368100,12.96
2014-02-11,12.87,12.92,12.76,12.85,18535600,12.85
2014-02-10,13.05,13.10,12.88,12.91,11969000,12.91
2014-02-07,12.92,13.18,12.88,13.10,15197400,13.10
2014-02-06,12.76,12.96,12.73,12.83,13854800,12.83
2014-02-05,12.77,12.85,12.47,12.76,22160500,12.76
2014-02-04,13.10,13.49,12.60,12.85,29029700,12.85
2014-02-03,13.55,13.55,12.96,13.01,18772400,13.01
2014-01-31,13.42,13.67,13.30,13.53,14001000,13.53
2014-01-30,13.31,13.62,13.27,13.56,11052800,13.56
2014-01-29,13.13,13.38,13.08,13.18,8557700,13.18
2014-01-28,13.26,13.36,13.21,13.28,7322500,13.28
2014-01-27,13.35,13.39,13.04,13.21,10145800,13.21
2014-01-24,13.55,13.65,13.34,13.34,10551900,13.34
2014-01-23,13.78,13.88,13.55,13.65,12427100,13.65
2014-01-22,13.98,14.08,13.73,13.87,11150200,13.87
2014-01-21,13.74,14.02,13.63,13.98,20088100,13.98
2014-01-17,13.63,13.64,13.45,13.51,11156700,13.51
2014-01-09,12.68,12.87,12.64,12.78,9473600,12.78
2014-01-08,12.51,12.93,12.44,12.79,14313600,12.79
2014-01-07,12.35,12.49,12.35,12.44,8661300,12.44
2014-01-06,12.49,12.55,12.20,12.33,14814100,12.33
2014-01-03,11.94,11.99,11.87,11.93,7278900,11.93
2014-01-02,12.02,12.02,11.85,11.91,7971600,11.91
2013-12-31,11.99,12.03,11.91,12.02,5607000,12.02
2013-12-30,12.04,12.08,11.98,12.02,7166500,12.02
2013-12-27,12.21,12.21,12.02,12.06,5538500,12.06
2013-12-26,12.00,12.28,11.91,12.17,9633000,12.17
2013-12-24,11.97,12.02,11.89,11.99,3818300,11.99
2013-12-23,11.84,11.99,11.79,11.97,8566400,11.97
2013-12-20,11.64,11.85,11.61,11.84,17398100,11.84
2013-12-19,11.48,11.63,11.47,11.62,6681000,11.62
2013-12-18,11.46,11.55,11.30,11.54,17850600,11.54
2013-12-17,11.40,11.44,11.24,11.44,8834100,11.44
2013-12-16,11.37,11.54,11.36,11.40,7348300,11.40
2013-12-13,11.49,11.55,11.27,11.39,7665700,11.39
2013-12-12,11.24,11.58,11.13,11.48,23995200,11.48
2013-12-11,11.55,11.62,11.12,11.18,17035300,11.18
2013-12-10,11.68,11.74,11.54,11.58,10056800,11.58
2013-12-09,11.75,11.89,11.62,11.72,10919800,11.72
2013-12-06,11.72,11.88,11.66,11.85,11569900,11.85
2013-12-05,11.26,11.41,11.20,11.34,8939400,11.34
2013-12-04,11.68,11.68,11.21,11.31,18412700,11.31
2013-12-03,11.59,11.82,11.54,11.82,9688400,11.82
2013-12-02,11.61,11.75,11.54,11.63,8200600,11.63
2013-11-29,11.72,11.77,11.55,11.58,4875600,11.58
2013-11-27,11.71,11.75,11.62,11.71,8575400,11.71
2013-11-26,11.87,11.92,11.73,11.73,13314500,11.73
2013-11-25,12.10,12.12,11.88,11.89,7662000,11.89
2013-11-22,11.88,12.07,11.88,12.05,10562000,12.05
2013-11-21,11.99,12.05,11.93,11.93,13839000,11.93
2013-11-20,12.15,12.15,11.92,11.97,9456900,11.97
2013-11-19,11.63,12.05,11.63,11.96,13008500,11.96
2013-11-18,11.88,11.98,11.55,11.57,12635400,11.57
2013-11-15,11.95,12.00,11.86,11.89,12014900,11.89
2013-11-14,11.94,11.99,11.89,11.96,5948300,11.96
2013-11-13,11.87,11.93,11.75,11.93,8915500,11.93
2013-11-12,12.02,12.04,11.86,11.91,8224200,11.91
2013-11-11,11.90,12.15,11.83,12.05,8259000,12.05
2013-11-08,11.67,11.88,11.65,11.88,10153400,11.88
2013-11-07,11.91,11.95,11.60,11.64,12958700,11.64
2013-11-06,12.01,12.07,11.84,11.91,10394900,11.91
2013-11-05,11.91,12.03,11.81,12.00,11376200,12.00
2013-11-04,11.77,12.03,11.75,11.99,13780500,11.99
2013-11-01,11.69,11.82,11.65,11.75,13187900,11.75
2013-10-31,11.71,11.83,11.64,11.69,18080600,11.69
2013-10-30,11.77,11.88,11.55,11.70,12683500,11.70
2013-10-29,11.63,11.82,11.61,11.79,17639300,11.79
2013-10-28,11.64,11.66,11.50,11.58,10567200,11.58
2013-10-25,11.55,11.72,11.38,11.62,16792800,11.62
2013-10-24,12.03,12.07,11.17,11.54,44734200,11.54
2013-10-23,12.31,12.40,12.10,12.29,15959000,12.29
2013-10-22,12.24,12.39,12.18,12.29,11099100,12.29
2013-10-21,12.25,12.33,12.18,12.22,9529600,12.22
2013-10-18,12.42,12.45,12.21,12.28,10329500,12.28
2013-10-17,12.36,12.48,12.25,12.38,12414400,12.38
2013-10-16,12.13,12.40,12.08,12.38,13359400,12.38
2013-10-15,12.19,12.26,11.99,12.08,12615800,12.08
2013-10-14,11.81,12.34,11.75,12.21,24445300,12.21
2013-10-11,11.82,11.90,11.78,11.87,11748000,11.87
2013-10-10,11.82,11.91,11.78,11.88,13942500,11.88
2013-10-09,11.48,11.79,11.48,11.72,15537000,11.72
2013-10-08,11.71,11.73,11.45,11.46,11560700,11.46
2013-10-07,11.62,11.69,11.51,11.63,8572100,11.63
2013-10-04,11.66,11.75,11.60,11.69,8975600,11.69
2013-10-03,11.74,11.82,11.50,11.66,10560500,11.66
2013-10-02,11.70,11.81,11.65,11.75,11106400,11.75
2013-10-01,11.78,11.79,11.61,11.76,10508700,11.76
2013-09-30,11.38,11.80,11.36,11.74,18376100,11.74
2013-09-27,11.61,11.65,11.47,11.52,6680000,11.52
2013-09-26,11.45,11.69,11.44,11.67,11577100,11.67
2013-09-25,11.49,11.54,11.37,11.45,7774400,11.45
2013-09-24,11.52,11.60,11.45,11.46,8471500,11.46
2013-09-23,11.56,11.57,11.36,11.50,9036900,11.50
2013-09-20,11.81,11.85,11.62,11.63,11114500,11.63
2013-09-19,11.95,11.98,11.72,11.74,13408900,11.74
2013-09-18,11.91,11.97,11.75,11.93,10724400,11.93
2013-09-17,11.97,12.01,11.84,11.90,12270800,11.90
2013-09-16,11.98,12.05,11.87,11.92,13696100,11.92
2013-09-13,11.95,11.98,11.82,11.84,10405500,11.84
2013-09-12,11.91,12.04,11.83,11.91,31083900,11.91
2013-09-11,11.93,11.95,11.72,11.92,26940500,11.92
2013-09-10,12.06,12.16,11.93,11.95,23858400,11.95
2013-09-09,11.51,12.02,11.46,11.99,24480100,11.99
2013-09-06,11.54,11.68,11.37,11.50,19772300,11.50
2013-09-05,10.96,11.67,10.95,11.57,39529100,11.57
2013-09-04,10.87,11.09,10.68,10.93,23567300,10.93
2013-09-03,10.77,11.08,10.75,10.90,13101300,10.90
2013-08-30,10.69,10.73,10.54,10.58,9709800,10.58
2013-08-29,10.68,10.85,10.61,10.66,10857400,10.66
2013-08-28,10.68,10.88,10.67,10.69,14307600,10.69
2013-08-27,11.20,11.20,10.66,10.70,16559400,10.70
2013-08-26,11.12,11.39,11.12,11.28,13106000,11.28
2013-08-23,11.19,11.30,11.08,11.14,12789600,11.14
2013-08-22,11.13,11.30,11.10,11.18,7762500,11.18
2013-08-21,11.01,11.19,10.98,11.10,9840300,11.10
2013-08-20,10.98,11.12,10.96,11.01,9103000,11.01
2013-08-19,11.07,11.17,10.98,10.99,9258600,10.99
2013-08-16,10.95,11.22,10.93,11.06,16074900,11.06
2013-08-15,11.16,11.21,10.92,11.00,15249300,11.00
2013-08-14,11.19,11.31,11.14,11.28,10780400,11.28
2013-08-13,11.35,11.40,11.22,11.24,10931600,11.24
2013-08-12,11.29,11.40,11.21,11.33,9141000,11.33
2013-08-09,11.28,11.44,11.27,11.35,10046200,11.35
2013-08-08,11.19,11.34,11.16,11.32,12392700,11.32
2013-08-07,11.15,11.18,11.01,11.11,8570100,11.11
2013-08-06,11.20,11.21,10.96,11.18,11857400,11.18
2013-08-05,11.16,11.38,11.12,11.22,9282600,11.22
2013-08-02,11.12,11.32,11.10,11.24,13272800,11.24
2013-08-01,10.96,11.49,10.92,11.15,34327200,11.15
2013-07-31,10.84,11.00,10.83,10.92,15118800,10.92
2013-07-30,11.00,11.02,10.81,10.83,20161500,10.83
