Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,15.97,16.38,15.96,16.12,5421300,16.12
2014-03-27,15.77,16.11,15.77,15.94,4797700,15.94
2014-03-26,16.20,16.20,15.63,15.80,7842800,15.80
2014-03-25,16.08,16.37,16.01,16.23,5476600,16.23
2014-03-24,15.84,16.14,15.76,16.04,5938000,16.04
2014-03-21,15.54,15.92,15.54,15.74,8868600,15.74
2014-03-20,15.20,15.65,15.18,15.47,8124100,15.47
2014-03-19,16.00,16.04,15.68,15.74,8538600,15.74
2014-03-18,15.74,15.99,15.59,15.87,3803100,15.87
2014-03-17,15.55,15.82,15.55,15.74,3937700,15.74
2014-03-14,15.58,15.66,15.45,15.48,4194700,15.48
2014-03-13,15.96,15.97,15.40,15.50,6511800,15.50
2014-03-12,15.74,16.04,15.71,15.83,4969600,15.83
2014-03-11,16.14,16.25,15.73,15.80,6517300,15.80
2014-03-10,16.50,16.50,15.95,16.08,9731900,16.08
2014-03-07,17.59,17.59,16.55,16.69,13037600,16.69
2014-03-06,17.27,17.71,17.22,17.63,6055500,17.63
2014-03-05,17.58,17.67,17.16,17.21,5966900,17.21
2014-03-04,17.42,17.72,17.28,17.59,6505300,17.59
2014-03-03,17.34,17.64,17.25,17.30,5118700,17.30
2014-02-28,17.58,17.64,17.27,17.56,5696200,17.56
2014-02-27,16.97,17.65,16.89,17.57,8579800,17.57
2014-02-26,17.00,17.16,16.84,16.94,4960700,16.94
2014-02-25,17.07,17.10,16.73,16.93,5627200,16.93
2014-02-24,17.01,17.37,16.87,17.11,5497400,17.11
2014-02-21,17.17,17.33,16.98,16.98,5031400,16.98
2014-02-20,17.06,17.17,16.91,17.07,6159700,17.07
2014-02-19,16.56,17.40,16.56,17.10,11741100,17.10
2014-02-18,16.67,16.84,16.50,16.63,5860500,16.63
2014-02-14,16.56,16.78,16.50,16.65,4361000,16.65
2014-02-13,16.36,16.60,16.30,16.44,4463000,16.44
2014-02-12,16.86,16.96,16.46,16.53,5474100,16.53
2014-02-11,16.45,16.76,16.44,16.68,6420000,16.68
2014-02-10,16.43,16.57,16.30,16.37,5564100,16.37
2014-02-07,16.51,16.62,16.17,16.47,6964300,16.47
2014-02-06,16.12,16.46,15.77,16.41,8074800,16.41
2014-02-05,16.52,16.55,15.93,16.03,10338200,16.03
2014-02-04,16.51,16.83,16.41,16.60,8276800,16.60
2014-02-03,17.06,17.07,16.50,16.59,7931400,16.51
2014-01-31,16.85,17.36,16.65,17.05,11859100,16.96
2014-01-30,17.03,17.27,16.35,16.89,15818800,16.80
2014-01-29,17.02,17.51,17.01,17.39,9679700,17.30
2014-01-28,17.12,17.37,16.97,17.32,5633500,17.23
2014-01-27,17.21,17.50,16.72,16.97,8317400,16.88
2014-01-24,17.32,17.40,16.75,16.87,9979900,16.78
2014-01-09,17.92,17.92,17.15,17.47,11408600,17.38
2014-01-08,18.31,18.33,17.88,17.94,6827700,17.85
2014-01-07,18.55,18.55,18.15,18.29,6219000,18.20
2014-01-06,18.75,18.80,18.29,18.48,6905100,18.39
2014-01-03,19.50,19.64,18.68,18.78,9377500,18.68
2014-01-02,19.46,19.94,19.44,19.54,6999900,19.44
2013-12-31,19.31,19.57,19.27,19.53,4340800,19.43
2013-12-30,19.38,19.53,19.05,19.23,6467100,19.13
2013-12-27,18.68,19.43,18.68,19.25,6139600,19.15
2013-12-26,18.52,18.80,18.50,18.64,3149800,18.54
2013-12-24,18.23,18.75,18.22,18.53,3059900,18.44
2013-12-23,18.23,18.45,18.13,18.26,5456900,18.17
2013-12-20,19.06,19.13,18.14,18.23,11338500,18.14
2013-12-19,18.64,19.26,18.54,19.13,5083600,19.03
2013-12-18,18.57,18.84,18.26,18.62,7401000,18.52
2013-12-17,18.50,18.58,18.12,18.43,4436700,18.34
2013-12-16,18.44,18.70,18.41,18.54,3996000,18.45
2013-12-13,18.37,18.45,18.24,18.41,4630300,18.32
2013-12-12,18.43,18.49,18.05,18.33,5111400,18.24
2013-12-11,19.05,19.11,18.37,18.49,6727300,18.40
2013-12-10,19.09,19.38,18.92,19.06,5456000,18.96
2013-12-09,18.59,19.24,18.50,19.08,8368600,18.98
2013-12-06,19.36,19.54,18.54,18.64,9724100,18.54
2013-12-05,18.37,19.06,18.24,18.97,9844600,18.87
2013-12-04,18.45,18.60,18.25,18.31,6912300,18.22
2013-12-03,18.21,18.60,18.15,18.44,6182800,18.35
2013-12-02,18.24,18.51,18.05,18.31,6909200,18.22
2013-11-29,18.28,18.38,18.12,18.20,2837700,18.11
2013-11-27,18.11,18.52,18.01,18.11,6427400,18.02
2013-11-26,18.56,18.74,18.11,18.12,6978900,18.03
2013-11-25,18.47,18.52,18.23,18.38,4700200,18.29
2013-11-22,18.64,18.64,18.22,18.45,6681800,18.36
2013-11-21,19.18,19.23,18.53,18.64,7015500,18.54
2013-11-20,19.45,19.67,19.00,19.19,3733600,19.09
2013-11-19,19.35,19.61,19.16,19.43,4747300,19.33
2013-11-18,20.05,20.21,19.23,19.36,7467500,19.26
2013-11-15,19.77,20.27,19.77,20.10,6129900,20.00
2013-11-14,20.44,20.44,19.58,19.72,8986900,19.62
2013-11-13,20.06,20.44,19.97,20.40,4911400,20.30
2013-11-12,20.57,20.63,19.89,20.18,8158300,20.08
2013-11-11,20.89,21.28,20.69,20.78,6739700,20.67
2013-11-08,20.66,20.99,20.35,20.87,7783400,20.76
2013-11-07,20.31,20.49,19.86,20.06,6068100,19.96
2013-11-06,20.35,20.48,19.95,20.19,5530300,20.09
2013-11-05,20.53,20.66,20.22,20.28,5157300,20.18
2013-11-04,20.21,20.96,20.10,20.81,9439600,20.62
2013-11-01,19.58,20.28,19.47,20.05,8212500,19.87
2013-10-31,19.89,20.31,19.47,19.48,7727700,19.30
2013-10-30,19.47,20.00,19.34,19.90,8687600,19.72
2013-10-29,19.58,19.86,19.00,19.49,6663900,19.31
2013-10-28,19.12,19.86,19.01,19.40,5787500,19.22
2013-10-25,19.26,19.28,18.90,19.16,5545800,18.98
2013-10-24,19.15,19.42,18.97,19.22,5535400,19.04
2013-10-23,18.91,19.35,18.55,19.12,7850200,18.94
2013-10-22,18.95,19.40,18.87,19.09,5238100,18.91
2013-10-21,18.54,18.90,18.35,18.85,7693500,18.68
2013-10-18,18.93,18.97,18.29,18.50,8005800,18.33
2013-10-17,18.66,19.58,18.36,18.58,19705000,18.41
2013-10-16,17.79,18.01,17.48,17.89,6045700,17.73
2013-10-15,17.92,18.16,17.66,17.69,6108600,17.53
2013-10-14,17.20,18.02,17.19,17.93,5677300,17.77
2013-10-11,17.03,17.54,17.00,17.40,5175600,17.24
2013-10-10,17.19,17.43,16.96,17.10,4795000,16.94
2013-10-09,16.99,17.18,16.84,16.95,4401800,16.79
2013-10-08,17.26,17.53,16.78,16.93,4729500,16.77
2013-10-07,17.13,17.57,16.91,17.24,3496100,17.08
2013-10-04,17.19,17.46,17.17,17.37,3118400,17.21
2013-10-03,17.53,17.77,17.14,17.21,3967200,17.05
2013-10-02,17.25,17.82,17.24,17.58,4956100,17.42
2013-10-01,17.18,17.56,17.10,17.38,3424600,17.22
2013-09-30,17.16,17.44,17.09,17.25,4664100,17.09
2013-09-27,17.75,17.84,17.29,17.49,4132900,17.33
2013-09-26,18.15,18.16,17.67,17.85,4154800,17.69
2013-09-25,18.02,18.34,17.72,17.73,4944100,17.57
2013-09-24,18.18,18.34,17.95,17.99,6833900,17.82
2013-09-23,18.14,18.40,18.08,18.22,4626700,18.05
2013-09-20,18.71,18.73,18.05,18.16,6712900,17.99
2013-09-19,18.91,19.25,18.60,18.74,6909500,18.57
2013-09-18,18.28,19.22,18.21,18.88,6906200,18.71
2013-09-17,18.07,18.48,18.05,18.28,3211000,18.11
2013-09-16,18.24,18.32,18.00,18.05,3148800,17.88
2013-09-13,18.59,18.60,17.92,17.98,7210100,17.81
2013-09-12,18.40,18.70,18.23,18.57,5922400,18.40
