Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,105.76,106.36,105.44,105.81,1203500,105.81
2014-03-27,104.23,104.51,103.90,104.25,1033400,104.25
2014-03-26,103.34,104.26,103.07,103.07,841000,103.07
2014-03-25,102.45,103.26,102.14,102.92,728600,102.92
2014-03-24,101.26,101.98,101.00,101.50,881900,101.50
2014-03-21,101.06,102.25,100.99,101.94,1157100,101.94
2014-03-20,99.66,100.73,99.40,100.53,886800,100.53
2014-03-19,100.48,101.26,99.59,100.07,1601100,100.07
2014-03-18,100.75,102.05,100.75,101.90,1621700,101.90
2014-03-17,100.02,100.97,99.96,100.53,1360700,100.53
2014-03-14,100.23,100.75,99.70,99.80,1528600,99.80
2014-03-13,102.49,103.71,100.40,100.76,2096600,100.76
2014-03-12,101.25,102.38,101.16,102.16,1375300,102.16
2014-03-11,103.30,103.86,102.99,103.07,757300,103.07
2014-03-10,102.89,103.38,102.47,103.27,647000,103.27
2014-03-07,103.55,104.17,102.82,103.39,1064100,103.39
2014-03-06,103.57,104.83,103.54,104.51,1001500,104.51
2014-03-05,103.04,103.67,102.92,103.50,1183600,103.50
2014-03-04,104.25,104.28,103.50,103.76,792000,103.76
2014-03-03,102.29,103.03,101.85,102.12,1901500,102.12
2014-02-28,104.53,105.52,104.26,104.61,1565200,104.61
2014-02-27,104.02,104.17,103.35,103.99,851300,103.99
2014-02-26,102.93,104.75,102.87,103.75,2934000,103.75
2014-02-25,102.30,102.61,101.52,102.17,2018100,102.17
2014-02-24,102.11,103.26,102.05,103.15,2210200,103.15
2014-02-21,101.50,101.83,101.27,101.48,958700,101.48
2014-02-20,101.41,101.68,100.89,101.33,824300,101.33
2014-02-19,101.35,102.02,101.09,101.36,919900,101.36
2014-02-18,101.77,101.93,100.55,100.82,1333900,100.82
2014-02-14,100.29,101.80,100.18,101.61,1214200,101.61
2014-02-13,99.21,100.28,99.04,100.25,765500,100.25
2014-02-12,99.91,100.07,99.53,99.68,1126700,99.68
2014-02-11,98.65,99.73,98.50,99.57,1570200,99.57
2014-02-10,97.93,98.00,97.18,97.55,991700,97.55
2014-02-07,97.45,97.55,96.92,97.41,1337400,97.41
2014-02-06,95.34,96.40,95.24,96.27,1266200,96.27
2014-02-05,93.92,94.43,93.85,94.17,1716100,94.17
2014-02-04,93.80,94.74,93.72,94.26,2712500,94.26
2014-02-03,95.51,95.82,94.09,94.31,3157300,94.31
2014-01-31,94.31,96.39,94.17,95.89,2385900,95.89
2014-01-30,96.51,97.00,95.90,96.59,1516200,96.59
2014-01-29,97.62,98.02,96.65,96.72,2718000,96.72
2014-01-28,98.69,98.86,98.17,98.58,1795500,98.58
2014-01-27,99.21,99.26,98.15,98.23,1499600,98.23
2014-01-24,100.18,100.25,98.01,98.05,2788200,98.05
2014-01-23,104.01,104.05,102.10,102.42,1492900,102.42
2014-01-22,104.09,104.31,103.54,103.56,959100,103.56
2014-01-21,104.57,104.63,102.66,103.75,1913500,103.75
2014-01-17,102.05,102.17,101.29,101.47,2721100,101.47
2014-01-16,103.55,103.71,102.70,103.45,911500,103.45
2014-01-15,101.97,103.62,101.75,103.11,1541900,103.11
2014-01-09,105.56,105.87,104.47,104.93,1101400,104.93
2014-01-08,104.05,105.01,103.85,104.93,965400,104.93
2014-01-07,103.77,104.60,103.74,104.48,1326600,104.48
2014-01-06,103.17,103.33,102.26,102.54,1805300,102.54
