Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,47.72,47.75,47.03,47.25,39772900,47.25
2014-03-27,47.43,48.20,47.11,47.45,112601000,47.45
2014-03-26,50.53,50.58,49.68,50.16,36784700,50.16
2014-03-25,50.21,50.56,50.05,50.30,17484200,50.30
2014-03-24,50.20,50.65,49.78,50.05,21170300,50.05
2014-03-21,51.00,51.00,49.86,50.08,38406900,50.08
2014-03-20,49.29,50.46,49.01,50.22,33885600,50.22
2014-03-19,48.22,49.52,48.02,48.94,30308800,48.94
2014-03-18,47.75,48.14,47.50,48.14,19517200,48.14
2014-03-17,47.47,47.80,47.31,47.73,18928200,47.73
2014-03-14,47.37,47.82,46.79,46.88,26135900,46.88
2014-03-13,48.17,48.30,47.07,47.33,38925400,47.33
2014-03-12,48.12,48.14,47.76,47.98,25861600,47.98
2014-03-11,49.78,49.82,48.40,48.43,33264200,48.43
2014-03-10,49.16,49.61,49.08,49.57,15397100,49.57
2014-03-07,50.21,50.41,49.37,49.62,25775500,49.62
2014-03-06,49.90,50.19,49.68,49.71,26967000,49.71
2014-03-05,49.04,49.92,48.96,49.42,23620700,49.42
2014-03-04,48.33,48.96,48.14,48.83,23940500,48.83
2014-03-03,47.80,48.25,47.55,47.61,28678000,47.61
2014-02-28,48.27,49.29,48.11,48.63,31732000,48.63
2014-02-27,48.09,48.69,47.96,48.69,18598300,48.69
2014-02-26,48.43,48.61,47.68,48.32,28822100,48.32
2014-02-25,48.94,49.06,48.30,48.40,20495500,48.40
2014-02-24,48.33,49.48,48.31,48.98,23874000,48.98
2014-02-21,48.22,48.50,48.10,48.26,26881700,48.26
2014-02-20,48.48,48.54,47.89,48.13,25234100,48.13
2014-02-19,49.01,49.31,48.19,48.19,30294400,48.19
2014-02-18,49.54,49.91,49.36,49.38,16217800,49.38
2014-02-14,49.57,49.82,49.41,49.52,18780600,49.52
2014-02-13,49.07,49.93,49.05,49.86,20639800,49.86
2014-02-12,49.78,50.15,49.65,49.96,23626300,49.96
2014-02-11,49.24,49.86,48.96,49.66,22982800,49.66
2014-02-10,49.55,49.73,48.83,49.32,19630100,49.32
2014-02-07,49.09,49.39,48.52,49.34,37875700,49.34
2014-02-06,47.40,48.27,47.27,48.25,33905600,48.25
2014-02-05,46.76,47.37,46.31,47.06,32535500,47.06
2014-02-04,47.00,47.50,46.68,46.78,31286900,46.78
2014-02-03,47.84,47.86,46.19,46.34,42977600,46.34
2014-01-31,47.51,48.20,47.29,47.43,33425100,47.43
2014-01-30,48.46,48.70,47.78,48.30,39940700,48.30
2014-01-29,48.92,49.36,47.70,48.08,54018100,48.07
2014-01-28,49.29,49.86,49.29,49.60,24780900,49.59
2014-01-09,55.00,55.28,54.76,55.20,21803700,55.19
2014-01-08,54.29,55.00,54.20,54.81,25989800,54.80
2014-01-07,54.59,54.72,53.78,54.18,28840400,54.17
2014-01-06,53.62,54.29,53.43,53.81,28503100,53.80
