Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,30.61,31.07,30.46,30.84,2163300,30.84
2014-03-27,30.60,30.80,30.47,30.53,3207100,30.53
2014-03-26,31.16,31.26,30.65,30.66,2040000,30.66
2014-03-25,31.02,31.23,30.65,30.98,3392200,30.98
2014-03-24,31.14,31.26,30.27,31.01,4856300,31.01
2014-03-21,32.63,32.69,31.05,31.11,8068700,31.11
2014-03-20,32.14,32.46,32.00,32.25,1889600,32.25
2014-03-19,31.67,32.46,31.56,32.15,2891000,32.15
2014-03-18,31.93,32.43,31.81,32.39,3283900,32.39
2014-03-17,31.56,31.96,31.56,31.85,2797400,31.85
2014-03-14,31.73,32.07,31.47,31.48,3309400,31.48
2014-03-13,32.46,32.55,31.76,31.87,4387600,31.87
2014-03-12,32.48,32.55,32.16,32.40,4795700,32.40
2014-03-11,32.80,32.82,32.53,32.65,2246400,32.65
2014-03-10,32.94,33.00,32.66,32.82,1960300,32.82
2014-03-07,33.25,33.32,32.74,32.93,2352200,32.93
2014-03-06,33.37,33.42,33.17,33.21,1806800,33.21
2014-03-05,33.22,33.39,33.13,33.25,1566000,33.25
2014-03-04,33.44,33.62,33.29,33.39,2343100,33.39
2014-03-03,33.32,33.34,32.82,33.14,2148800,33.14
2014-02-28,33.47,33.70,33.18,33.50,2544000,33.50
2014-02-27,33.02,33.44,32.82,33.39,2853200,33.39
2014-02-26,32.76,33.25,32.30,32.92,3769800,32.92
2014-02-25,32.79,32.79,32.39,32.62,2150200,32.62
2014-02-24,32.58,32.88,32.43,32.67,1868100,32.67
2014-02-21,32.81,32.89,32.41,32.42,3808200,32.42
2014-02-20,32.42,32.82,32.36,32.67,2767800,32.67
2014-02-19,32.40,32.77,32.23,32.45,3270800,32.45
2014-02-18,32.62,33.00,32.53,32.90,2225900,32.90
2014-02-14,32.90,33.15,32.83,32.99,2730400,32.74
2014-02-13,32.52,33.10,32.52,33.08,2067300,32.83
2014-02-12,32.27,32.70,32.17,32.67,3015300,32.42
2014-02-11,31.95,32.36,31.89,32.30,3127000,32.06
2014-02-10,32.08,32.19,31.86,32.07,3492700,31.83
2014-02-07,31.71,32.64,31.66,32.17,2773000,31.93
2014-02-06,31.34,31.69,31.13,31.62,2517800,31.38
2014-02-05,30.91,31.26,30.75,31.16,2652900,30.92
2014-02-04,31.26,31.41,30.97,31.22,2820300,30.98
2014-02-03,32.00,32.06,31.01,31.19,4474600,30.95
2014-01-31,31.99,32.42,31.81,32.09,3902700,31.85
2014-01-30,32.43,32.59,32.04,32.33,2396000,32.09
2014-01-29,32.40,32.52,32.05,32.20,3061200,31.96
2014-01-28,32.15,32.56,31.96,32.55,3718700,32.30
2014-01-27,32.28,32.57,32.10,32.24,4678000,32.00
2014-01-24,33.29,33.42,32.66,32.66,3773200,32.41
2014-01-23,34.07,34.21,33.28,33.65,4363600,33.39
2014-01-22,36.18,36.22,34.29,34.30,6244700,34.04
2014-01-21,34.55,34.61,34.00,34.26,4428100,34.00
2014-01-17,34.07,34.46,33.95,34.43,3719000,34.17
2014-01-16,34.12,34.52,33.95,34.05,4178700,33.79
2014-01-15,34.02,34.42,33.80,34.12,3787000,33.86
2014-01-14,33.60,34.06,33.38,34.01,2612900,33.75
2014-01-13,33.97,34.07,33.32,33.44,2557900,33.19
2014-01-09,33.63,33.86,33.40,33.85,2187200,33.59
2014-01-08,33.46,33.65,33.12,33.59,2096700,33.34
2014-01-07,33.13,33.49,33.03,33.45,2074800,33.20
2014-01-06,32.92,33.09,32.78,32.93,2892700,32.68
2014-01-03,33.09,33.25,33.00,33.11,1599200,32.86
2014-01-02,33.49,33.56,33.02,33.15,1948800,32.90
2013-12-31,33.78,33.79,33.59,33.65,1132500,33.39
2013-12-30,33.40,33.67,33.28,33.66,1247800,33.40
2013-12-27,33.45,33.57,33.38,33.43,2255800,33.18
2013-12-26,33.50,33.61,33.41,33.47,1732600,33.22
2013-12-24,33.18,33.54,33.06,33.41,1200600,33.16
2013-12-23,33.19,33.30,33.03,33.07,2743600,32.82
2013-12-20,32.83,33.19,32.53,32.93,5960500,32.68
2013-12-19,32.62,32.93,32.43,32.90,2980100,32.65
2013-12-18,32.52,32.62,31.61,32.58,4636400,32.33
2013-12-17,32.42,32.57,32.23,32.48,1984800,32.23
2013-12-16,32.40,32.76,32.07,32.52,1813900,32.27
2013-12-13,32.41,32.57,32.19,32.34,1932100,32.09
2013-12-12,32.40,32.67,32.19,32.40,2348400,32.15
2013-12-11,32.76,33.13,32.41,32.51,2910100,32.26
2013-12-10,32.81,33.20,32.70,32.98,3539700,32.73
2013-12-09,32.93,32.97,32.64,32.83,2196700,32.58
2013-12-06,32.92,32.97,32.69,32.85,1712300,32.60
2013-12-05,32.65,32.85,32.32,32.48,3759800,32.23
2013-12-04,32.70,33.07,32.45,32.63,2758400,32.38
2013-12-03,32.65,32.93,32.60,32.72,2085500,32.47
2013-12-02,32.97,33.10,32.76,32.87,2272800,32.62
2013-11-29,32.85,33.11,32.85,33.00,940200,32.75
2013-11-27,33.19,33.19,32.82,32.92,1665600,32.67
2013-11-26,32.86,33.09,32.81,33.00,2135400,32.75
2013-11-25,33.32,33.37,32.81,32.86,1993600,32.61
2013-11-22,32.71,33.14,32.62,33.13,2762300,32.88
2013-11-21,32.31,32.73,32.28,32.59,1687500,32.34
2013-11-20,32.54,32.67,32.21,32.24,2637900,32.00
2013-11-19,32.41,32.57,32.28,32.39,2731100,32.14
2013-11-18,32.90,33.01,32.69,32.75,2779000,32.25
2013-11-15,32.68,32.91,32.65,32.85,3141900,32.35
2013-11-14,32.99,33.10,32.56,32.68,2910700,32.18
2013-11-13,32.08,32.87,32.05,32.83,3334000,32.33
2013-11-12,31.89,32.19,31.89,32.13,2311500,31.64
2013-11-11,31.97,32.15,31.81,32.09,1589500,31.60
2013-11-08,31.70,31.94,31.49,31.93,2789200,31.45
2013-11-07,32.01,32.25,31.52,31.66,3237400,31.18
2013-11-06,31.86,32.05,31.73,31.99,2422400,31.51
2013-11-05,31.90,31.90,31.42,31.65,3409700,31.17
2013-11-04,31.79,31.90,31.53,31.86,2768500,31.38
2013-11-01,31.96,31.96,31.59,31.73,2666600,31.25
2013-10-31,31.77,32.06,31.65,31.76,2795800,31.28
2013-10-30,31.95,32.06,31.59,31.79,2371700,31.31
2013-10-29,31.50,31.78,31.41,31.76,2465500,31.28
2013-10-28,31.21,31.46,31.02,31.45,2811600,30.97
2013-10-25,32.86,32.95,31.14,31.40,4721000,30.92
2013-10-24,30.48,30.68,30.28,30.39,3781900,29.93
2013-10-23,30.25,30.35,30.11,30.29,2116900,29.83
2013-10-22,30.37,30.59,30.24,30.36,1970900,29.90
2013-10-21,30.04,30.42,30.03,30.16,2192600,29.70
2013-10-18,30.20,30.24,29.86,30.10,1855900,29.64
2013-10-17,29.66,30.02,29.57,30.02,2269900,29.57
2013-10-16,29.68,29.93,29.49,29.76,2382900,29.31
2013-10-15,29.76,29.85,29.42,29.49,3778900,29.04
2013-10-14,29.34,29.78,28.79,29.77,1528400,29.32
2013-10-11,29.25,29.62,29.19,29.52,1510600,29.07
2013-10-10,29.01,29.26,28.70,29.25,1743800,28.81
2013-10-09,28.97,29.00,28.56,28.70,2574400,28.27
2013-10-08,29.11,29.33,28.74,28.82,2595300,28.38
2013-10-07,29.26,29.56,29.21,29.27,1616200,28.83
2013-10-04,29.24,29.66,29.14,29.57,1682200,29.12
2013-10-03,29.75,29.75,29.08,29.23,2854200,28.79
2013-10-02,29.81,29.84,29.55,29.75,3099500,29.30
2013-10-01,29.64,30.01,29.52,29.93,2322500,29.48
2013-09-30,29.83,29.94,29.61,29.67,2784400,29.22
2013-09-27,30.04,30.30,29.94,30.06,2134900,29.60
2013-09-26,30.69,30.69,30.13,30.25,1497500,29.79
2013-09-25,30.42,30.44,30.06,30.34,2505700,29.88
2013-09-24,30.58,30.61,30.11,30.26,2588500,29.80
2013-09-23,30.52,30.79,30.35,30.48,1482000,30.02
2013-09-20,30.79,31.00,30.66,30.72,4094800,30.25
2013-09-19,30.77,30.81,30.52,30.72,2529600,30.25
2013-09-18,30.63,30.77,30.37,30.71,1954700,30.24
2013-09-17,30.52,30.75,30.45,30.60,2149900,30.14
2013-09-16,30.67,30.76,30.44,30.51,1859200,30.05
2013-09-13,30.50,30.55,30.09,30.39,1959800,29.93
2013-09-12,30.77,30.80,30.30,30.47,2728700,30.01
2013-09-11,30.61,30.98,30.58,30.71,4517100,30.24
2013-09-10,30.08,30.59,30.00,30.58,3249300,30.12
2013-09-09,29.65,30.01,29.65,29.85,1989000,29.40
2013-09-06,29.49,29.70,29.03,29.60,2432500,29.15
2013-09-05,29.55,29.57,29.39,29.44,1416200,28.99
2013-09-04,29.38,29.52,29.15,29.48,2199600,29.03
2013-09-03,29.71,29.74,29.16,29.39,2527400,28.94
2013-08-30,29.73,29.74,29.19,29.25,1659300,28.81
2013-08-29,29.24,29.78,29.21,29.64,2298800,29.19
2013-08-28,29.51,29.73,29.41,29.41,2234200,28.96
2013-08-27,29.59,29.85,29.37,29.40,3932600,28.95
2013-08-26,30.16,30.25,30.00,30.02,1296500,29.57
2013-08-23,30.17,30.42,30.09,30.24,2692900,29.78
2013-08-22,29.75,30.16,29.72,30.12,2073700,29.66
2013-08-21,30.07,30.18,29.68,29.79,2622300,29.34
2013-08-20,30.11,30.21,29.93,30.10,2733500,29.64
2013-08-19,30.45,30.62,30.20,30.27,3562700,29.57
2013-08-16,30.93,31.00,30.54,30.55,3736000,29.84
2013-08-15,31.07,31.17,30.82,30.99,3114700,30.27
2013-08-14,31.24,31.43,31.04,31.26,2297700,30.53
2013-08-13,31.28,31.43,31.00,31.24,2119700,30.51
2013-08-12,30.88,31.30,30.78,31.12,1866500,30.40
2013-08-09,30.75,31.07,30.72,30.98,2056300,30.26
2013-08-08,30.87,31.04,30.59,30.87,2872500,30.15
2013-08-07,30.73,30.89,30.45,30.60,2503200,29.89
2013-08-06,30.57,30.79,30.43,30.73,3353900,30.01
2013-08-05,30.42,30.65,30.23,30.61,1968100,29.90
2013-08-02,30.16,30.44,30.10,30.39,2602800,29.68
2013-08-01,30.10,30.20,29.80,30.12,3050100,29.42
2013-07-31,29.97,30.02,29.67,29.74,3504500,29.05
2013-07-30,29.98,29.98,29.64,29.77,2490100,29.08
2013-07-29,29.64,29.83,29.54,29.74,1592800,29.05
2013-07-26,29.58,29.72,29.26,29.68,2400700,28.99
2013-07-25,29.97,30.15,29.31,29.72,2994500,29.03
2013-07-24,29.90,30.30,29.80,29.88,6210900,29.18
2013-07-23,29.96,29.98,29.71,29.76,2676100,29.07
2013-07-22,29.92,29.96,29.58,29.89,2795200,29.19
2013-07-19,29.93,29.93,29.49,29.65,2256400,28.96
2013-07-18,29.46,29.82,29.37,29.74,2439800,29.05
