Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,69.36,70.30,69.15,69.68,1456500,69.68
2014-03-27,70.34,70.53,68.95,69.14,2182300,68.84
2014-03-26,71.46,71.75,70.30,70.32,2564700,70.01
2014-03-25,70.39,71.30,70.34,71.14,2259000,70.83
2014-03-24,70.72,71.10,69.79,70.14,2883100,69.83
2014-03-21,72.35,72.91,70.11,70.24,4115300,69.93
2014-03-20,72.07,72.12,71.50,71.75,2118600,71.44
2014-03-19,73.35,73.50,71.70,72.13,1586100,71.81
2014-03-18,72.79,73.47,72.71,73.45,1313700,73.13
2014-03-17,72.57,73.10,72.40,72.69,1311000,72.37
2014-03-14,72.26,72.78,72.11,72.29,1463700,71.97
2014-03-13,72.90,73.25,72.36,72.48,1985100,72.16
2014-03-12,72.25,73.20,72.10,72.54,1180000,72.22
2014-03-11,72.58,73.14,72.30,72.54,1050100,72.22
2014-03-10,72.23,72.63,71.70,72.47,1703800,72.15
2014-03-07,72.63,72.77,71.88,72.30,2110400,71.98
2014-03-06,73.56,73.67,72.50,72.56,1755700,72.24
2014-03-05,73.09,74.40,73.02,73.20,2105700,72.88
2014-03-04,72.23,73.64,72.23,73.54,2214000,73.22
2014-03-03,71.07,71.73,70.98,71.48,1505900,71.17
2014-02-28,72.05,72.23,70.96,71.53,1799700,71.22
2014-02-27,71.48,72.04,71.02,71.83,2095600,71.52
2014-02-26,71.99,72.57,71.35,71.61,1685700,71.30
2014-02-25,71.67,72.43,71.51,72.00,1979200,71.68
2014-02-24,71.87,72.48,71.76,71.77,1837700,71.46
2014-02-21,71.83,72.04,71.52,71.75,2140900,71.44
2014-02-20,70.98,71.81,70.58,71.51,1720600,71.20
2014-02-19,70.79,71.87,70.41,70.94,2574600,70.63
2014-02-18,70.11,71.24,70.00,70.80,1900300,70.49
2014-02-14,69.75,70.45,69.51,70.27,1487000,69.96
2014-02-13,69.16,70.36,68.68,69.92,2132500,69.61
2014-02-12,69.81,70.96,69.41,69.47,3257100,69.17
2014-02-11,66.65,69.89,66.55,69.56,5032100,69.26
2014-02-10,67.30,67.48,66.09,66.66,3884300,66.37
2014-02-07,66.54,67.59,66.31,67.54,2074600,67.24
2014-02-06,65.56,66.57,65.25,66.27,2235500,65.98
2014-02-05,65.38,65.97,64.78,65.37,2599200,65.08
2014-02-04,66.13,66.38,65.24,65.56,2076500,65.27
2014-02-03,67.96,68.02,65.62,65.76,3835000,65.47
2014-01-31,68.52,68.54,67.47,68.02,2546100,67.72
2014-01-30,68.75,69.39,67.53,68.96,3887200,68.66
