Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,87.71,88.14,87.25,88.14,1600800,88.14
2014-03-27,87.22,87.64,86.87,87.32,1648800,87.32
2014-03-26,87.44,87.83,87.18,87.25,1797100,87.25
2014-03-25,86.58,87.20,86.38,87.06,1340800,87.06
2014-03-24,86.13,86.81,86.13,86.17,1494500,86.17
2014-03-21,86.03,86.43,85.69,86.23,3759700,86.23
2014-03-20,85.62,86.20,85.19,85.38,3502700,85.38
2014-03-19,86.99,87.23,85.71,85.95,1400100,85.95
2014-03-18,87.46,87.66,86.91,86.96,1143900,86.96
2014-03-17,86.51,87.06,86.23,86.89,1212000,86.89
2014-03-14,86.00,86.64,86.00,86.13,1440800,86.13
2014-03-13,86.95,87.12,86.09,86.23,1043000,86.23
2014-03-12,86.21,86.79,85.96,86.72,1287600,86.72
2014-03-11,87.78,87.84,86.92,87.13,969800,86.63
2014-03-10,87.23,87.66,86.94,87.59,974500,87.09
2014-03-07,88.17,88.21,87.26,87.42,1092000,86.92
2014-03-06,87.87,88.10,87.40,87.79,1129100,87.29
2014-03-05,87.68,87.88,87.30,87.62,949300,87.12
2014-03-04,88.02,88.10,87.54,87.86,1354500,87.36
2014-03-03,86.96,87.15,86.38,86.89,920900,86.39
2014-02-28,87.51,87.95,87.11,87.48,1054000,86.98
2014-02-27,86.26,87.40,86.23,87.14,1268200,86.64
2014-02-26,86.85,87.06,86.11,86.33,1301300,85.83
2014-02-25,86.39,87.26,85.98,87.04,1345800,86.54
2014-02-24,86.95,87.66,86.50,86.56,1230300,86.06
2014-02-21,86.72,87.36,86.46,87.05,1373000,86.55
2014-02-20,86.12,86.69,85.55,86.49,973500,85.99
2014-02-19,86.48,87.08,86.03,86.05,1019900,85.56
2014-02-18,86.31,86.94,86.15,86.67,1139500,86.17
2014-02-14,85.17,86.20,84.98,86.12,1283700,85.63
2014-02-13,84.45,85.36,84.18,85.32,995800,84.83
2014-02-12,85.19,85.53,84.61,84.86,1719200,84.37
2014-02-11,84.85,85.89,84.72,85.65,1224500,85.16
2014-02-10,84.23,85.03,83.99,84.99,1255100,84.50
2014-02-07,84.15,84.56,83.75,84.37,1634100,83.89
2014-02-06,83.53,83.96,83.20,83.94,1302100,83.46
2014-02-05,83.20,83.94,83.07,83.24,1744500,82.76
2014-02-04,83.43,83.75,82.99,83.30,1610300,82.82
2014-02-03,84.40,84.80,82.98,83.00,2144700,82.52
2014-01-31,85.60,85.81,83.32,84.54,3030100,84.05
2014-01-30,86.90,87.00,86.28,86.76,1536800,86.26
2014-01-29,86.19,86.95,86.12,86.32,1745400,85.82
2014-01-28,86.27,87.19,86.22,86.95,1733700,86.45
2014-01-27,86.02,86.73,85.78,85.95,1997100,85.46
2014-01-24,87.10,87.78,85.92,85.93,1544200,85.44
2014-01-23,88.68,88.89,87.69,87.91,1469800,87.41
2014-01-22,89.31,89.58,89.08,89.13,1228500,88.62
2014-01-21,87.96,89.75,87.94,89.27,2718000,88.76
2014-01-17,90.04,90.14,89.59,89.77,2555100,89.25
2014-01-16,90.85,91.03,90.12,90.35,1191400,89.83
2014-01-15,91.11,91.23,90.41,90.88,1801600,90.36
