Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,23.21,23.42,22.87,23.00,94800,23.00
2014-03-27,22.47,23.02,22.47,23.02,65600,23.02
2014-03-26,22.35,22.81,22.34,22.41,113200,22.41
2014-03-25,22.21,22.38,22.06,22.30,63900,22.30
2014-03-24,22.01,22.19,21.86,22.09,67200,22.09
2014-03-21,22.35,22.60,21.90,21.91,404000,21.91
2014-03-20,22.10,22.30,21.95,22.21,125000,22.21
2014-03-19,22.17,22.54,22.04,22.06,163700,22.06
2014-03-18,21.53,22.18,21.53,22.16,191800,22.16
2014-03-17,21.53,21.69,21.48,21.57,83900,21.57
2014-03-14,21.57,21.78,21.40,21.45,102600,21.45
2014-03-13,21.60,21.69,21.45,21.59,117400,21.59
2014-03-12,21.59,21.81,21.51,21.63,119600,21.63
2014-03-11,21.89,22.17,21.62,21.69,128300,21.69
2014-03-10,22.12,22.12,21.51,21.85,196200,21.85
2014-03-07,22.56,22.64,22.04,22.20,134000,22.20
2014-03-06,22.31,22.66,22.31,22.55,150300,22.55
2014-03-05,22.33,22.52,22.11,22.24,82600,22.24
2014-03-04,22.12,22.47,22.11,22.28,164300,22.28
2014-03-03,22.29,22.29,21.84,21.92,187900,21.92
2014-02-28,22.08,22.62,22.05,22.47,186100,22.47
2014-02-27,21.98,22.12,21.80,22.08,111900,22.08
2014-02-26,21.62,22.05,21.60,21.97,132800,21.97
2014-02-25,21.55,21.66,21.35,21.58,84200,21.58
2014-02-24,21.30,21.57,21.27,21.55,110800,21.55
2014-02-21,21.72,21.73,21.19,21.26,222400,21.26
2014-02-20,21.48,21.67,21.41,21.57,65600,21.57
2014-02-19,21.69,21.69,21.39,21.45,188500,21.45
2014-02-18,21.83,21.83,21.50,21.71,116700,21.71
2014-02-14,21.45,21.88,21.39,21.83,142700,21.83
2014-02-13,21.27,21.59,21.05,21.57,128200,21.57
2014-02-12,21.51,21.63,21.27,21.45,245600,21.45
2014-02-11,21.23,21.48,21.20,21.41,303600,21.41
2014-02-10,21.42,21.53,21.13,21.27,209400,21.27
2014-02-07,20.88,21.45,20.77,21.37,186200,21.37
2014-02-06,20.68,20.95,20.66,20.71,340000,20.71
2014-02-05,21.31,21.33,20.46,20.65,383300,20.65
2014-02-04,20.95,21.53,20.93,21.42,294600,21.42
2014-02-03,21.29,21.33,20.69,20.93,299700,20.93
