Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,141.98,144.18,139.05,139.29,3766600,139.29
2014-03-27,142.00,143.68,139.70,142.22,4264600,142.22
2014-03-26,145.72,146.77,142.58,142.61,4436700,142.61
2014-03-25,142.39,146.64,142.07,144.50,4288300,144.50
2014-03-24,145.20,145.63,139.01,141.48,6348900,141.48
2014-03-21,151.27,151.49,143.10,144.40,9495800,144.40
2014-03-20,151.68,152.34,149.35,150.01,2689500,150.01
2014-03-19,155.99,155.99,150.11,150.84,2859000,150.84
2014-03-18,149.94,154.00,149.89,153.69,2801200,153.69
2014-03-17,150.82,153.69,149.85,150.23,3204400,150.23
2014-03-14,154.28,155.28,147.65,149.41,8402500,149.41
2014-03-13,158.07,159.95,154.77,156.00,2910300,156.00
2014-03-12,157.02,159.88,156.75,157.92,2704400,157.92
2014-03-11,159.25,161.11,157.64,158.39,2936300,158.39
2014-03-10,155.46,158.56,154.37,158.42,2710500,158.42
2014-03-07,158.12,158.50,151.58,156.56,5852600,156.56
2014-03-06,164.28,165.21,155.78,156.61,5436900,156.61
2014-03-05,162.55,163.77,161.30,163.24,2810400,163.24
2014-03-04,161.90,162.85,161.64,161.83,2107700,161.83
2014-03-03,159.05,161.55,158.63,160.28,2189500,160.28
2014-02-28,162.55,164.45,159.00,160.75,3271000,160.75
2014-02-27,160.36,162.06,158.64,161.67,2714600,161.67
2014-02-26,163.96,165.01,159.35,159.98,3455000,159.98
2014-02-25,164.00,165.75,162.98,164.34,2083000,164.34
2014-02-24,161.59,164.99,161.39,164.09,2871000,164.09
2014-02-21,163.93,164.74,160.23,160.97,3559900,160.97
2014-02-20,163.44,163.79,160.60,163.58,2356400,163.58
2014-02-19,165.10,166.45,162.66,163.00,2393600,163.00
2014-02-18,163.82,166.00,163.82,165.84,2210000,165.84
2014-02-14,165.42,167.26,163.23,163.93,2772500,163.93
2014-02-13,160.00,165.60,160.00,164.74,3622300,164.74
2014-02-12,160.50,163.14,159.85,160.54,2956900,160.54
2014-02-11,157.03,160.39,156.25,159.91,3657500,159.91
2014-02-10,157.01,157.83,155.64,156.62,2396300,156.62
2014-02-07,150.65,157.18,150.00,156.88,3893300,156.88
2014-02-06,151.19,152.80,149.03,149.91,3681300,149.91
2014-02-05,150.92,152.89,148.18,150.85,4063300,150.85
2014-02-04,149.08,153.21,148.86,151.51,3668300,151.51
2014-02-03,151.81,154.35,147.77,148.60,4708100,148.60
2014-01-31,150.80,153.77,147.83,151.93,5220100,151.93
2014-01-30,160.15,160.83,150.11,153.98,6835200,153.98
2014-01-29,158.40,161.19,156.28,158.46,2768100,158.46
2014-01-28,157.01,160.57,157.01,159.98,3673900,159.98
2014-01-27,160.72,161.00,154.18,156.27,5350900,156.27
2014-01-24,167.00,167.39,161.11,161.22,3949000,161.22
2014-01-23,168.94,169.80,166.78,168.55,2823300,168.55
2014-01-22,169.20,170.88,167.85,169.98,2661200,169.98
2014-01-21,168.07,168.74,165.70,168.55,2408500,168.55
2014-01-09,168.67,171.00,167.30,168.70,1796000,168.70
2014-01-08,164.90,168.55,164.04,167.46,2659000,167.46
2014-01-07,164.94,166.82,164.33,164.61,2835000,164.61
2014-01-06,165.89,166.85,160.50,162.62,4609600,162.62
2014-01-03,171.49,171.79,169.30,169.81,1589800,169.81
2014-01-02,169.01,172.34,168.17,171.94,2377700,171.94
2013-12-31,168.78,170.09,167.81,168.97,1490400,168.97
2013-12-30,168.89,169.95,168.00,168.98,1240900,168.98
2013-12-27,169.21,170.47,168.30,168.93,1257400,168.93
2013-12-26,167.39,169.84,167.38,169.14,1219400,169.14
2013-12-24,167.69,168.34,166.05,167.42,820200,167.42
2013-12-23,168.76,169.70,167.00,168.35,1748000,168.35
2013-12-20,164.70,168.00,164.61,167.48,3643500,167.48
2013-12-19,162.19,164.30,162.00,164.02,2166400,164.02
2013-12-18,161.03,162.49,157.18,162.48,3516500,162.48
2013-12-17,164.04,164.17,160.00,160.79,2621200,160.79
2013-12-16,166.00,167.79,163.29,163.38,2457700,163.38
2013-12-13,166.81,166.85,164.00,164.90,2702000,164.90
2013-12-12,165.36,168.32,165.00,165.52,2124400,165.52
2013-12-11,169.28,170.49,165.71,166.05,3076400,166.05
2013-12-10,170.53,172.95,168.24,170.77,3400300,170.77
2013-12-09,170.47,173.80,168.57,170.01,5024500,170.01
2013-12-06,167.18,167.25,163.94,166.43,2547000,166.43
2013-12-05,163.32,166.00,162.26,164.51,3280800,164.51
2013-12-04,159.50,161.45,158.05,160.07,1794100,160.07
2013-12-03,161.70,162.68,159.59,159.93,2411300,159.93
2013-12-02,161.87,163.18,160.31,163.11,1831500,163.11
2013-11-29,161.83,162.57,161.58,161.77,1078900,161.77
2013-11-27,163.72,163.95,160.71,161.52,1984100,161.52
2013-11-26,164.68,164.92,162.15,163.43,2609000,163.43
2013-11-25,164.73,165.74,162.63,163.96,3305900,163.96
2013-11-22,161.00,164.00,160.45,163.33,3620400,163.33
2013-11-21,156.18,159.43,156.00,158.61,2691400,158.61
2013-11-20,154.64,157.09,154.14,155.53,2336500,155.53
2013-11-19,153.43,154.60,152.18,154.44,3155300,154.44
2013-11-18,151.49,155.25,151.21,152.98,3244100,152.98
2013-11-15,149.90,151.45,148.09,151.11,2543900,151.11
2013-11-14,149.29,150.74,148.53,150.00,2410900,150.00
2013-11-13,147.37,149.94,147.11,149.28,3481600,149.28
2013-11-12,147.74,149.50,146.52,149.41,2586700,149.41
2013-11-11,149.00,149.97,147.40,148.48,1820500,148.48
2013-11-08,145.89,149.97,145.23,148.92,3210800,148.92
2013-11-07,147.09,149.68,142.10,144.99,5679200,144.99
2013-11-06,151.04,151.99,144.37,144.49,5065200,144.49
2013-11-05,149.63,152.19,148.60,150.74,2371200,150.74
2013-11-04,151.94,152.89,150.26,150.72,2380500,150.72
2013-11-01,149.27,151.45,149.06,151.31,2365100,151.31
2013-10-31,151.79,152.93,147.23,148.49,3290600,148.49
2013-10-30,155.90,157.00,150.31,151.32,3246600,151.32
2013-10-29,156.77,157.19,154.15,155.31,2485000,155.31
2013-10-28,156.00,157.56,155.16,156.23,2533600,156.23
2013-10-25,157.67,159.29,154.60,155.74,3225200,155.74
2013-10-24,158.89,160.00,156.04,157.96,3835800,157.96
2013-10-23,159.46,160.67,157.16,160.00,2381900,160.00
2013-10-22,160.00,161.24,157.45,160.84,2316000,160.84
2013-10-21,161.49,161.64,158.25,159.23,1949200,159.23
2013-10-18,158.65,160.58,158.33,160.55,3549200,160.55
2013-10-17,158.00,160.00,157.13,160.00,2221500,160.00
2013-10-16,156.06,158.44,156.00,158.33,2487100,158.33
2013-10-15,153.64,156.99,153.62,155.25,2503800,155.25
2013-10-14,151.67,154.45,150.52,154.34,1860200,154.34
2013-10-11,152.40,154.78,151.55,153.17,2056800,153.17
2013-10-10,150.17,153.05,149.93,152.55,2952000,152.55
2013-10-09,148.92,150.32,143.13,146.87,5363200,146.87
2013-10-08,154.47,155.24,148.24,148.53,3869900,148.53
2013-10-07,155.25,157.11,153.74,153.87,2869800,153.87
2013-10-04,152.88,157.95,152.88,157.27,2725500,157.27
2013-10-03,155.50,155.95,150.46,152.62,2798700,152.62
2013-10-02,155.75,157.50,155.00,155.93,1797900,155.93
2013-10-01,154.70,157.21,153.59,157.20,2665600,157.20
2013-09-30,152.37,156.04,151.77,154.14,3613300,154.14
2013-09-27,148.34,154.99,147.95,154.61,4194400,154.61
2013-09-26,146.14,150.05,146.02,149.89,2964300,149.89
2013-09-25,147.24,148.02,145.55,145.56,1949000,145.56
2013-09-24,146.63,147.68,144.01,146.44,2962100,146.44
2013-09-23,149.34,149.83,145.45,146.78,2420400,146.78
2013-09-20,149.00,151.95,148.11,149.86,6481400,149.86
2013-09-19,149.50,149.79,146.77,148.52,2343800,148.52
2013-09-18,146.91,150.15,145.77,148.67,3432700,148.67
2013-09-17,148.16,148.54,145.50,147.04,2652100,147.04
2013-09-16,150.80,151.20,147.37,148.04,2634200,148.04
2013-09-13,149.59,149.75,147.58,149.48,1486000,149.48
2013-09-12,149.00,150.93,148.00,149.64,1698100,149.64
2013-09-11,149.41,149.56,146.90,149.56,1815500,149.56
2013-09-10,150.29,151.00,147.82,148.74,1961700,148.74
2013-09-09,147.06,148.72,147.06,148.47,2434800,148.47
2013-09-06,146.25,148.39,143.27,146.97,3222100,146.97
2013-09-05,146.23,147.76,145.01,145.59,2136000,145.59
2013-09-04,143.37,146.21,142.15,146.07,2688600,146.07
2013-09-03,141.77,144.73,141.42,143.01,2398800,143.01
2013-08-30,143.00,143.00,139.28,139.98,2170000,139.98
2013-08-29,138.57,143.00,138.00,142.58,2441300,142.58
2013-08-28,136.79,139.82,135.51,139.10,2651900,139.10
2013-08-27,139.36,139.93,136.60,136.96,2651000,136.96
2013-08-26,138.71,142.97,137.66,141.16,2570000,141.16
2013-08-23,138.62,139.39,137.13,138.27,1681600,138.27
2013-08-22,137.96,139.00,136.65,137.91,1272900,137.91
2013-08-21,135.04,139.77,134.74,137.57,2670000,137.57
2013-08-20,132.97,136.85,132.57,135.74,2176300,135.74
2013-08-19,132.11,135.75,132.11,132.44,1765100,132.44
2013-08-16,132.87,134.45,131.52,132.49,2494800,132.49
2013-08-15,135.62,136.04,132.75,133.51,2413200,133.51
2013-08-14,138.45,139.67,137.23,137.38,1362200,137.38
2013-08-13,141.03,141.20,136.74,137.65,2918600,137.65
2013-08-12,141.44,142.07,139.66,140.83,1220200,140.83
2013-08-09,141.71,144.21,141.41,142.07,1133500,142.07
2013-08-08,143.99,144.30,141.81,142.00,1832500,142.00
2013-08-07,141.84,144.11,139.43,142.65,2812100,142.65
2013-08-06,146.13,146.47,141.00,141.74,3218700,141.74
2013-08-05,146.89,148.28,146.00,146.83,1547000,146.83
2013-08-02,148.87,149.00,145.58,147.35,2330000,147.35
2013-08-01,148.18,149.92,147.19,148.79,2455400,148.79
2013-07-31,147.10,148.98,145.63,146.86,3059300,146.86
2013-07-30,143.72,146.22,143.49,145.37,2866700,145.37
2013-07-29,142.00,143.79,141.62,142.66,1974800,142.66
2013-07-26,138.70,144.15,138.25,143.94,3914700,143.94
2013-07-25,139.02,140.79,135.81,140.65,3055500,140.65
2013-07-24,135.41,136.47,134.30,135.99,2164400,135.99
2013-07-23,138.50,138.77,135.06,135.08,2012300,135.08
2013-07-22,138.20,138.67,136.45,138.08,2233300,138.08
2013-07-19,133.00,136.45,131.91,135.89,3501700,135.89
2013-07-18,133.03,133.94,130.22,133.05,5578100,133.05
2013-07-17,135.98,137.80,135.02,136.61,2161000,136.61
2013-07-16,135.37,135.50,132.75,135.05,2580400,135.05
2013-07-15,135.19,135.54,133.52,134.94,2076100,134.94
2013-07-12,134.71,136.36,132.66,134.56,4012900,134.56
2013-07-11,133.10,136.36,131.67,134.92,6022500,134.92
2013-07-10,124.67,125.28,123.20,125.08,1864700,125.08
2013-07-09,123.18,124.88,121.55,124.65,2192900,124.65
2013-07-08,123.00,124.68,121.30,121.94,1994000,121.94
2013-07-05,121.61,122.77,121.00,122.48,1353100,122.48
2013-07-03,119.49,121.99,119.05,120.93,1231000,120.93
2013-07-02,119.00,121.13,118.93,120.26,2373600,120.26
2013-07-01,119.30,120.75,118.15,118.91,2327400,118.91
2013-06-28,117.46,119.47,116.71,116.98,2718700,116.98
2013-06-27,119.42,119.90,117.63,118.40,2064900,118.40
2013-06-26,115.83,118.88,115.00,118.13,2663900,118.13
2013-06-25,114.40,115.00,113.10,114.55,2106500,114.55
2013-06-24,112.52,114.84,110.53,113.00,3335000,113.00
2013-06-21,114.22,115.80,111.71,113.89,5116700,113.89
2013-06-20,115.86,116.31,113.07,113.51,3250300,113.51
2013-06-19,120.00,120.24,116.83,116.89,1796000,116.89
2013-06-18,118.28,120.45,117.72,120.24,1828000,120.24
2013-06-17,120.43,121.27,117.35,117.70,2220100,117.70
2013-06-14,120.19,121.31,118.47,119.36,1850100,119.36
2013-06-13,118.98,120.53,117.08,120.26,2305400,120.26
2013-06-12,122.80,123.45,118.00,118.11,3798100,118.11
2013-06-11,116.51,119.89,116.02,118.75,2330300,118.75
2013-06-10,120.91,121.00,117.71,117.83,2396200,117.83
2013-06-07,116.93,120.58,116.92,120.41,3549500,120.41
2013-06-06,112.01,115.66,111.50,115.56,4221300,115.56
2013-06-05,117.03,118.15,111.78,112.20,5320200,112.20
2013-06-04,120.92,121.44,116.76,117.77,3691200,117.77
2013-06-03,124.12,124.72,117.07,120.89,4715200,120.89
2013-05-31,124.51,127.24,123.53,123.65,5239500,123.65
2013-05-30,122.88,125.42,122.65,124.55,2550500,124.55
2013-05-29,123.60,124.28,121.57,123.09,2146700,123.09
2013-05-28,124.52,126.15,123.86,124.59,2427500,124.59
2013-05-24,122.61,123.71,121.66,122.58,2286600,122.58
2013-05-23,121.50,124.97,120.55,123.64,2368300,123.64
2013-05-22,124.11,128.35,122.56,123.44,4199900,123.44
2013-05-21,123.24,124.37,122.41,123.50,2401900,123.50
2013-05-20,124.60,125.17,122.55,123.12,2243400,123.12
2013-05-17,124.56,125.05,120.35,124.91,4122300,124.91
2013-05-16,128.29,128.83,122.61,123.48,4953700,123.48
2013-05-15,129.44,131.41,128.35,129.63,2432400,129.63
2013-05-14,129.66,131.82,129.33,130.17,3787600,130.17
2013-05-13,126.84,131.13,125.55,129.66,3424000,129.66
2013-05-10,123.43,127.47,123.24,127.46,3357100,127.46
