Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,25.91,25.98,25.45,25.67,6584500,25.67
2014-03-27,24.85,25.84,24.80,25.81,13602500,25.81
2014-03-26,25.29,25.45,24.81,24.82,7615800,24.82
2014-03-25,24.87,25.26,24.82,25.23,8469500,25.23
2014-03-24,24.74,25.08,24.64,24.71,8481900,24.71
2014-03-21,24.83,25.00,24.59,24.67,7600100,24.67
2014-03-20,24.55,24.71,24.24,24.69,7462000,24.69
2014-03-19,25.01,25.08,24.60,24.67,5236800,24.67
2014-03-18,24.74,25.00,24.64,24.95,5996900,24.95
2014-03-17,25.26,25.45,24.62,24.69,10224400,24.69
2014-03-14,25.15,25.31,24.95,25.03,6303200,25.03
2014-03-13,25.11,25.46,24.96,25.21,15356800,25.21
2014-03-12,25.08,25.25,24.91,25.14,6065500,25.14
2014-03-11,25.68,25.73,25.14,25.26,6900400,25.26
2014-03-10,25.80,25.83,25.52,25.63,7081300,25.63
2014-03-07,25.65,25.88,25.52,25.85,6003100,25.85
2014-03-06,25.49,25.63,25.33,25.52,6955800,25.52
2014-03-05,25.72,25.88,25.38,25.50,11563600,25.50
2014-03-04,25.83,25.85,25.36,25.67,9627400,25.67
2014-03-03,25.71,26.23,25.51,25.60,10144400,25.60
2014-02-28,25.84,26.29,25.76,25.91,11319400,25.91
2014-02-27,25.58,25.99,25.37,25.90,9887700,25.90
2014-02-26,26.10,26.10,24.75,25.61,27763000,25.61
2014-02-25,27.20,27.24,26.72,26.94,10356600,26.94
2014-02-24,26.78,27.46,26.78,27.29,11650600,27.29
2014-02-21,26.75,26.93,26.48,26.57,6751500,26.57
2014-02-20,26.37,26.78,26.30,26.65,7626400,26.65
2014-02-19,25.85,26.69,25.80,26.40,12528800,26.40
2014-02-18,25.28,26.04,25.18,25.83,14181100,25.83
2014-02-14,25.02,25.32,24.87,25.14,7346000,25.14
2014-02-13,24.65,25.11,24.47,24.95,8514200,24.95
2014-02-12,24.94,25.10,24.68,24.75,7450800,24.75
2014-02-11,24.72,25.18,24.65,24.82,9381200,24.82
2014-02-10,24.51,25.07,24.07,24.68,17016200,24.68
2014-02-07,24.39,24.59,23.92,24.59,15381000,24.59
