Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,51.13,51.59,50.75,50.89,1439100,50.89
2014-03-27,50.62,51.08,50.38,51.00,1835400,51.00
2014-03-26,51.26,51.40,50.64,50.65,1213600,50.65
2014-03-25,51.22,51.55,51.07,51.10,1480100,51.10
2014-03-24,51.07,51.35,50.39,50.90,1429900,50.90
2014-03-21,50.33,51.16,50.33,51.03,3075200,51.03
2014-03-20,50.47,50.71,50.21,50.63,1260300,50.63
2014-03-19,50.83,50.90,50.22,50.54,2590800,50.54
2014-03-18,51.34,51.34,50.90,50.96,1752500,50.96
2014-03-17,51.49,51.56,50.98,51.07,1727500,51.07
2014-03-14,51.85,52.22,51.02,51.14,2377900,51.14
2014-03-13,52.71,52.81,51.86,52.08,1799300,52.08
2014-03-12,52.24,52.54,51.95,52.45,1804500,52.45
2014-03-11,52.65,52.74,52.19,52.38,1189000,52.38
2014-03-10,52.35,52.67,52.04,52.57,1005000,52.57
2014-03-07,52.67,52.81,52.08,52.27,1244700,52.27
2014-03-06,52.04,52.54,51.77,52.45,1408100,52.45
2014-03-05,51.69,51.92,51.39,51.76,1620500,51.76
2014-03-04,52.10,52.43,51.97,52.18,1612900,51.83
2014-03-03,51.67,51.99,51.32,51.75,1867700,51.40
2014-02-28,52.37,52.40,51.62,51.86,1823100,51.51
2014-02-27,52.41,52.55,52.04,52.36,1491300,52.01
2014-02-26,52.47,52.77,52.25,52.52,1460500,52.17
2014-02-25,53.11,53.53,52.20,52.42,2602900,52.07
2014-02-24,54.19,54.48,53.33,53.34,1957500,52.98
2014-02-21,54.27,54.67,54.10,54.12,1539300,53.76
2014-02-20,53.72,54.36,53.45,54.16,1463600,53.80
2014-02-19,54.40,54.86,53.69,53.77,1640400,53.41
2014-02-18,54.72,55.17,54.33,54.42,1736000,54.05
2014-02-14,53.89,54.68,53.84,54.64,1366400,54.27
2014-02-13,53.59,54.08,53.50,54.03,1572800,53.67
2014-02-12,53.94,54.54,53.67,53.79,1666000,53.43
2014-02-11,52.84,54.01,52.73,53.87,2225300,53.51
2014-02-10,52.38,53.43,52.30,52.93,2233700,52.57
2014-02-07,52.91,53.15,52.01,52.39,2922600,52.04
2014-02-06,53.06,53.15,52.04,52.48,3896100,52.13
2014-02-05,53.47,54.50,52.50,53.16,10199900,52.80
2014-02-04,58.11,58.88,57.46,58.64,3252400,58.25
2014-02-03,57.91,58.54,57.11,57.73,2807400,57.34
2014-01-31,57.53,58.91,57.53,58.54,2069000,58.15
2014-01-30,57.94,58.68,57.69,58.28,1655100,57.89
2014-01-29,56.96,58.43,56.87,57.63,2240800,57.24
2014-01-28,56.92,57.49,56.84,57.45,1784500,57.06
2014-01-27,57.36,57.86,56.52,57.00,1431900,56.62
2014-01-24,58.87,58.92,57.18,57.21,2039400,56.83
2014-01-23,59.27,59.73,58.21,59.05,2290000,58.65
2014-01-22,59.84,60.31,59.73,60.23,1738200,59.83
2014-01-21,59.49,59.70,58.80,59.66,1728600,59.26
2014-01-17,59.11,59.49,58.74,59.13,1448900,58.73
2014-01-16,58.35,59.69,58.35,59.52,1567000,59.12
2014-01-15,57.97,59.45,57.74,59.34,3266200,58.94
2014-01-14,57.67,57.99,57.03,57.74,1013300,57.35
