Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,78.07,79.55,77.89,79.41,2527300,79.41
2014-03-27,80.11,80.11,76.79,77.49,3324800,77.49
2014-03-26,80.41,80.87,79.77,80.00,1682500,80.00
2014-03-25,81.61,81.62,80.10,80.31,1285700,80.31
2014-03-24,82.25,82.82,80.56,80.82,1887300,80.82
2014-03-21,83.56,84.37,82.00,82.04,3412400,82.04
2014-03-20,80.31,83.83,80.15,82.79,4128800,82.79
2014-03-19,77.90,80.94,77.73,80.28,3518600,80.28
2014-03-18,77.67,77.92,77.33,77.69,2101700,77.69
2014-03-17,76.92,77.93,76.63,77.78,2099100,77.78
2014-03-14,77.72,77.97,76.41,76.55,2504600,76.55
2014-03-13,79.63,79.78,77.67,77.68,2587000,77.68
2014-03-12,79.07,79.76,78.90,79.30,2654900,79.30
2014-03-11,79.68,80.47,79.65,79.96,1823800,79.96
2014-03-10,78.79,79.71,78.57,79.66,1441700,79.66
2014-03-07,79.33,79.52,78.68,79.05,1477000,79.01
2014-03-06,80.00,80.28,79.02,79.07,1454600,79.03
2014-03-05,79.81,80.00,78.96,79.73,1401200,79.69
2014-03-04,79.21,79.90,79.09,79.71,1654500,79.67
2014-03-03,78.77,79.34,78.17,78.61,1578900,78.57
2014-02-28,77.88,80.04,77.65,79.59,2567900,79.55
2014-02-27,78.20,78.48,77.49,77.80,1256500,77.76
2014-02-26,78.03,78.57,77.42,78.02,1380300,77.98
2014-02-25,79.00,79.17,77.85,78.16,2112300,78.12
2014-02-24,77.10,79.63,77.02,79.19,3548400,79.15
2014-02-21,76.68,78.28,76.68,77.34,2497000,77.30
2014-02-20,76.76,77.58,76.48,77.10,3099400,77.06
2014-02-19,77.50,77.84,76.37,76.44,2027500,76.40
2014-02-18,77.86,78.66,77.56,77.59,3107900,77.55
2014-02-14,75.99,78.11,75.94,77.71,4840900,77.67
2014-02-13,75.70,76.44,75.37,76.14,4297700,76.10
2014-02-12,77.39,77.63,75.68,75.94,3877600,75.90
2014-02-11,76.70,77.74,76.37,77.22,4185700,77.18
2014-02-10,77.45,77.47,76.29,76.74,4078200,76.70
2014-02-07,80.11,80.93,76.13,77.47,8994700,77.43
2014-02-06,85.51,85.57,84.68,85.37,1552000,85.33
2014-02-05,84.23,85.73,84.11,85.07,1493600,85.03
2014-02-04,84.75,85.01,83.68,84.95,1090100,84.91
2014-02-03,86.46,86.66,84.45,84.52,1367700,84.48
2014-01-31,86.70,87.13,85.98,86.31,1421300,86.27
2014-01-30,86.62,88.05,86.59,87.65,984100,87.61
2014-01-29,85.48,87.43,84.75,85.88,1425600,85.84
2014-01-28,86.96,87.48,85.90,85.94,1535000,85.90
2014-01-27,86.55,87.75,86.13,87.00,1310400,86.96
2014-01-24,89.41,89.44,86.50,86.70,1566500,86.66
2014-01-23,88.72,89.62,88.63,89.54,1122800,89.49
2014-01-22,90.35,90.48,89.29,89.66,968200,89.61
2014-01-21,89.81,90.55,89.36,90.13,1207300,90.08
2014-01-09,87.95,90.51,87.95,90.05,1980900,90.00
2014-01-08,88.25,88.35,87.74,87.91,1421600,87.87
2014-01-07,86.29,88.56,86.29,88.35,1468000,88.31
2014-01-06,86.81,86.85,86.08,86.13,1185500,86.09
2014-01-03,86.29,87.00,86.08,86.40,855400,86.36
2014-01-02,86.99,87.45,86.19,86.20,1021700,86.16
2013-12-31,86.69,87.73,86.43,87.48,770200,87.44
2013-12-30,86.53,86.75,85.72,86.61,871600,86.57
2013-12-27,86.85,87.23,86.42,86.53,365900,86.49
2013-12-26,86.31,86.98,86.21,86.81,386100,86.77
2013-12-24,86.17,86.55,85.83,86.17,246600,86.13
2013-12-23,85.80,86.18,85.47,85.99,713900,85.95
2013-12-20,85.49,85.72,84.72,85.25,2148200,85.21
2013-12-19,84.64,85.38,83.98,85.32,1122900,85.28
2013-12-18,83.99,85.05,83.16,85.04,1086700,85.00
2013-12-17,84.15,84.18,83.52,83.78,1366700,83.74
2013-12-16,84.06,84.45,83.02,83.95,1329500,83.91
2013-12-13,84.56,85.26,83.16,83.25,1141600,83.21
2013-12-12,84.86,85.32,84.02,84.28,1525500,84.24
2013-12-11,85.97,86.49,84.85,85.13,1865900,85.09
2013-12-10,86.81,87.01,86.08,86.10,1258600,86.06
2013-12-09,87.51,87.93,86.92,87.15,1394900,87.11
2013-12-06,85.32,86.63,85.21,86.50,1362600,86.46
2013-12-05,85.87,85.92,84.23,84.32,1174000,84.28
2013-12-04,85.90,86.83,85.09,85.95,1314700,85.91
2013-12-03,86.86,87.04,86.01,86.16,1760600,86.12
2013-12-02,87.37,88.09,87.01,87.17,1321200,87.13
2013-11-29,88.44,88.49,87.34,87.45,689100,87.41
2013-11-27,88.20,88.36,87.79,88.02,996700,87.98
2013-11-26,88.03,88.57,87.78,87.95,1585200,87.91
2013-11-25,86.76,88.34,86.52,88.18,1477700,88.14
2013-11-22,85.74,86.87,85.58,86.62,1561200,86.58
2013-11-21,86.40,87.42,85.68,85.73,1714300,85.69
2013-11-20,84.78,86.45,84.52,85.82,1801100,85.78
2013-11-19,84.45,84.80,84.18,84.65,1304400,84.61
2013-11-18,83.70,84.25,83.53,84.11,918900,84.07
2013-11-15,82.91,83.66,82.79,83.64,1352300,83.60
2013-11-14,82.19,83.05,82.06,83.03,1430300,82.99
2013-11-13,81.09,82.20,80.99,82.17,1703200,82.13
2013-11-12,80.99,81.25,80.58,81.10,1066900,81.06
2013-11-11,80.77,81.35,80.61,81.11,741800,81.07
2013-11-08,79.43,80.69,79.29,80.68,1434800,80.64
2013-11-07,80.73,81.14,79.22,79.28,1420000,79.24
2013-11-06,79.61,81.14,79.30,80.41,1287200,80.37
2013-11-05,79.13,80.44,78.79,79.51,3954900,79.47
2013-11-04,78.76,79.64,78.40,79.61,1806800,79.57
2013-11-01,76.99,78.50,76.61,78.38,2513800,78.34
2013-10-31,76.89,78.41,75.57,76.98,3201300,76.94
2013-10-30,74.44,75.55,74.44,74.64,2264200,74.60
2013-10-29,74.14,74.40,73.68,74.30,1768000,74.26
2013-10-28,74.10,74.58,73.73,74.23,1621000,74.19
2013-10-25,73.07,74.02,72.79,73.90,2100700,73.86
2013-10-24,74.26,74.59,72.64,73.17,2122400,73.13
2013-10-23,76.35,76.38,73.73,73.90,2680100,73.86
2013-10-22,76.10,77.41,76.10,76.47,1255600,76.43
2013-10-21,74.78,76.20,74.15,75.95,1981600,75.91
2013-10-18,77.47,77.60,74.46,74.95,4564400,74.91
2013-10-17,79.56,79.56,77.46,77.48,3150300,77.44
2013-10-16,78.83,80.51,78.65,80.47,1564500,80.43
2013-10-15,79.07,79.46,78.10,78.15,1370200,78.11
2013-10-14,79.14,79.61,78.62,79.25,1375600,79.21
2013-10-11,79.06,79.86,78.73,79.60,1083200,79.56
2013-10-10,77.88,79.51,77.78,79.08,1379700,79.04
2013-10-09,77.47,77.81,77.02,77.18,1251300,77.14
2013-10-08,78.03,78.21,77.38,77.40,1379600,77.36
2013-10-07,78.44,78.84,78.13,78.14,987800,78.10
2013-10-04,78.13,79.72,77.91,79.23,1786800,79.19
2013-10-03,78.17,78.50,77.76,78.10,1445300,78.06
2013-10-02,78.19,78.56,77.47,78.42,1286400,78.38
2013-10-01,76.90,78.89,76.74,78.55,1408300,78.51
2013-09-30,77.06,77.13,76.31,76.86,2021000,76.82
2013-09-27,77.63,78.10,77.38,77.65,1076700,77.61
2013-09-26,78.58,79.16,77.33,78.04,1546700,78.00
2013-09-25,78.52,78.84,78.03,78.32,1107400,78.28
2013-09-24,78.39,79.10,77.73,78.31,1640000,78.27
2013-09-23,78.18,78.56,76.59,78.24,2458000,78.20
2013-09-20,77.84,79.49,77.73,78.59,3270300,78.55
2013-09-19,81.25,81.43,76.83,77.72,4910400,77.68
2013-09-18,83.61,84.00,80.36,81.25,4582900,81.21
2013-09-17,84.25,84.27,83.20,83.72,1004200,83.68
2013-09-16,84.30,84.68,83.81,84.27,1161400,84.23
2013-09-13,83.06,84.14,83.05,83.65,1034700,83.61
2013-09-12,82.47,83.18,82.20,82.67,997100,82.63
2013-09-11,81.74,82.62,81.56,82.30,1226900,82.26
2013-09-10,80.93,81.75,80.83,81.69,946100,81.65
2013-09-09,80.89,81.28,80.51,80.67,1294100,80.63
2013-09-06,81.39,81.66,79.95,80.83,1275300,80.79
2013-09-05,80.31,81.75,80.31,81.25,1479000,81.21
2013-09-04,79.30,80.45,78.92,80.34,1184100,80.30
2013-09-03,79.45,80.00,78.84,79.46,1301600,79.42
2013-08-30,79.33,79.59,78.41,78.69,1135000,78.65
2013-08-29,78.11,79.62,78.04,79.04,859200,79.00
2013-08-28,78.09,78.75,77.78,78.45,1533100,78.41
2013-08-27,78.99,79.03,77.99,78.22,1298000,78.18
2013-08-26,79.44,79.99,79.00,79.53,978100,79.49
2013-08-23,78.99,79.45,78.76,79.33,734700,79.29
2013-08-22,78.01,79.45,77.91,79.08,784300,79.04
2013-08-21,78.44,78.46,77.42,77.84,986100,77.80
2013-08-20,77.34,78.78,77.16,78.57,1140200,78.53
2013-08-19,77.31,77.89,77.31,77.43,860300,77.39
2013-08-16,76.53,77.99,76.50,77.36,1159100,77.32
2013-08-15,77.38,78.06,75.79,76.71,1361700,76.67
2013-08-14,78.75,78.91,77.88,77.99,1001200,77.95
2013-08-13,78.79,79.33,77.67,78.97,1196800,78.93
2013-08-12,78.09,78.54,77.56,78.49,1316000,78.45
2013-08-09,78.90,79.25,77.96,78.44,1186700,78.40
2013-08-08,78.53,79.12,77.86,78.67,1345500,78.63
2013-08-07,77.72,78.24,77.47,77.82,1657400,77.78
2013-08-06,77.64,77.94,76.74,77.76,1943600,77.72
2013-08-05,77.19,78.47,76.63,77.84,1352500,77.80
2013-08-02,77.14,77.55,76.54,77.30,1382200,77.26
2013-08-01,78.06,78.49,76.17,77.27,2298600,77.23
2013-07-31,76.29,78.65,76.25,77.83,1832100,77.79
2013-07-30,77.66,77.74,76.07,76.45,1792200,76.41
2013-07-29,77.49,77.78,77.06,77.20,881200,77.16
2013-07-26,77.57,78.20,76.74,77.57,1308600,77.53
2013-07-25,77.86,78.10,77.30,78.00,1042800,77.96
2013-07-24,78.54,79.25,77.81,78.11,1347500,78.07
2013-07-23,78.54,78.80,77.98,78.16,1144600,78.12
2013-07-22,77.84,78.87,77.55,78.40,952600,78.36
2013-07-19,77.71,77.88,76.63,77.84,991600,77.80
2013-07-18,76.03,78.68,76.03,77.55,1730200,77.51
2013-07-17,75.34,76.15,75.25,75.49,1239100,75.45
2013-07-16,75.83,75.86,74.48,74.95,1615500,74.91
2013-07-15,75.86,76.29,75.74,75.89,1179900,75.85
2013-07-12,76.70,76.77,75.65,76.03,1334600,75.99
2013-07-11,75.71,76.47,75.27,76.14,1986200,76.10
2013-07-10,74.66,75.45,74.59,74.88,1525200,74.84
2013-07-09,74.08,74.99,73.84,74.65,1784200,74.61
2013-07-08,74.21,74.65,73.59,73.83,1808300,73.79
2013-07-05,72.96,73.95,72.70,73.94,1263800,73.90
2013-07-03,71.55,72.94,71.12,72.92,1086400,72.88
2013-07-02,72.61,72.82,71.90,72.12,1765900,72.08
2013-07-01,73.17,73.59,72.54,72.81,1753800,72.77
2013-06-28,72.41,73.13,72.29,72.49,1865400,72.45
2013-06-27,71.67,72.81,71.64,72.56,1850700,72.52
2013-06-26,71.29,71.70,70.70,71.37,1829600,71.33
2013-06-25,71.24,71.34,70.36,70.67,2426000,70.63
2013-06-24,70.63,71.90,70.29,70.84,4413700,70.80
2013-06-21,69.94,71.40,69.79,71.04,3838900,71.00
2013-06-20,68.46,70.03,68.02,69.24,3062500,69.20
2013-06-19,69.75,69.93,68.93,68.93,1561500,68.90
2013-06-18,68.21,69.78,68.05,69.66,1636000,69.62
