Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,48.70,49.28,48.46,48.84,742900,48.84
2014-03-27,48.88,49.04,48.39,48.62,1443800,48.62
2014-03-26,49.83,49.90,49.00,49.04,826800,49.04
2014-03-25,49.80,49.91,49.51,49.57,1031400,49.57
2014-03-24,49.74,49.90,49.34,49.55,1413600,49.55
2014-03-21,50.00,50.23,49.39,49.55,1508200,49.55
2014-03-20,49.02,50.00,48.90,49.88,1323200,49.88
2014-03-19,48.83,49.29,48.63,49.07,952800,49.07
2014-03-18,48.44,48.96,48.44,48.82,1075400,48.82
2014-03-17,48.58,48.92,48.08,48.43,959400,48.43
2014-03-14,47.86,48.45,47.75,48.29,1150500,48.29
2014-03-13,48.93,49.07,48.11,48.16,852800,48.16
2014-03-12,48.60,48.79,48.36,48.76,941200,48.76
2014-03-11,48.53,49.05,48.15,48.84,2233100,48.84
2014-03-10,48.44,48.57,48.08,48.41,736500,48.41
2014-03-07,48.80,49.19,48.52,48.56,933000,48.56
2014-03-06,48.53,48.94,48.41,48.62,888200,48.62
2014-03-05,48.52,48.74,48.18,48.31,1069100,48.31
2014-03-04,48.80,49.16,48.59,48.59,1222000,48.59
2014-03-03,48.32,48.50,47.89,48.30,1029600,48.30
2014-02-28,48.40,48.77,48.12,48.68,871300,48.68
2014-02-27,47.80,48.32,47.59,48.31,958300,48.31
2014-02-26,47.64,47.86,47.42,47.81,975000,47.81
2014-02-25,47.92,48.00,47.46,47.56,1029900,47.56
2014-02-24,47.72,48.40,47.69,47.90,1049500,47.90
2014-02-21,47.80,47.90,47.48,47.75,1126300,47.75
2014-02-20,47.13,47.82,47.00,47.77,843900,47.77
2014-02-19,47.70,47.92,47.10,47.13,928300,47.13
2014-02-18,47.80,48.09,47.48,47.80,719300,47.80
2014-02-14,47.87,47.99,47.73,47.86,498200,47.86
2014-02-13,47.70,48.00,47.38,47.94,837200,47.94
2014-02-12,47.62,48.20,47.50,48.14,1239100,48.14
2014-02-11,47.42,47.82,47.11,47.64,1018500,47.54
