Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,88.33,88.37,87.86,88.09,904700,88.09
2014-03-27,87.98,90.40,87.80,88.05,1700800,88.05
2014-03-26,87.55,88.20,87.31,87.90,1277400,87.90
2014-03-25,88.36,88.38,87.17,87.25,1228300,87.25
2014-03-24,87.94,88.56,87.62,88.03,963600,88.03
2014-03-21,87.94,88.57,87.47,87.54,1533000,87.54
2014-03-20,87.25,87.65,87.03,87.37,562400,87.37
2014-03-19,88.18,88.48,86.98,87.28,582000,87.28
2014-03-18,87.84,88.55,87.81,88.23,614300,88.23
2014-03-17,87.58,88.04,87.51,87.83,578400,87.83
2014-03-14,86.74,87.49,86.63,87.37,1008800,87.37
2014-03-13,86.98,87.94,86.77,86.82,1076500,86.82
2014-03-12,86.13,86.91,86.12,86.79,702600,86.79
2014-03-11,86.94,87.23,86.48,86.58,604000,86.58
2014-03-10,86.42,86.87,86.32,86.71,670500,86.71
2014-03-07,86.74,86.95,86.13,86.44,844800,86.44
2014-03-06,86.54,87.13,86.41,86.63,785000,86.63
2014-03-05,87.27,87.41,86.41,86.56,949500,86.56
2014-03-04,86.98,87.65,86.69,87.56,1390500,87.56
2014-03-03,86.61,86.72,86.06,86.66,1136200,86.66
2014-02-28,86.80,87.72,86.50,87.28,1036000,87.28
2014-02-27,86.21,86.91,85.89,86.77,980100,86.77
2014-02-26,87.28,87.40,86.30,86.47,1059900,86.47
2014-02-25,87.24,87.60,86.70,86.81,1231200,86.81
2014-02-24,86.83,87.76,86.75,87.06,970200,87.06
2014-02-21,87.28,87.79,86.98,87.01,879800,87.01
2014-02-20,86.99,87.83,86.83,86.95,1260200,86.95
2014-02-19,87.10,87.57,86.66,86.87,798400,86.87
2014-02-18,88.07,88.12,86.98,87.35,1065100,87.35
2014-02-14,86.94,88.57,86.78,88.11,1010700,88.11
2014-02-13,86.07,87.29,86.07,86.96,761100,86.96
2014-02-12,86.92,87.22,86.34,86.54,786900,86.54
2014-02-11,86.23,87.09,85.95,86.83,1194200,86.83
2014-02-10,85.44,86.12,85.12,86.12,1190700,86.12
2014-02-07,85.33,85.68,85.04,85.63,1014700,85.63
2014-02-06,84.58,85.15,84.17,85.06,1110900,85.06
2014-02-05,84.62,85.13,83.70,84.56,2126800,84.56
