Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,144.22,147.78,144.22,146.00,1367700,146.00
2014-03-27,143.72,144.78,142.36,144.08,1152600,144.08
2014-03-26,145.48,147.47,143.92,143.99,1465400,143.99
2014-03-25,143.89,145.20,143.26,144.34,1318800,144.34
2014-03-24,144.51,145.12,141.48,142.36,1496400,142.36
2014-03-21,144.76,145.45,143.39,144.35,1374300,144.35
2014-03-20,142.40,143.96,142.03,143.55,703100,143.55
2014-03-19,142.45,143.30,141.58,142.76,1084600,142.76
2014-03-18,142.55,143.74,142.12,142.68,879300,142.68
2014-03-17,140.86,143.31,140.86,142.79,1197100,142.79
2014-03-14,140.24,141.24,139.16,139.36,1063100,139.36
2014-03-13,143.52,143.96,139.79,140.62,1077700,140.62
2014-03-12,141.80,143.11,140.58,143.07,1598200,143.07
2014-03-11,145.43,145.85,142.37,142.90,1355200,142.90
2014-03-10,144.40,145.33,143.06,143.90,978400,143.90
2014-03-07,146.80,146.98,144.95,145.62,891100,145.62
2014-03-06,145.93,146.89,145.86,146.12,886800,146.12
2014-03-05,146.09,147.00,144.83,145.26,1104800,145.26
2014-03-04,144.69,146.33,144.51,145.70,1596900,145.70
2014-03-03,144.17,144.17,142.09,143.00,1800900,143.00
2014-02-28,145.59,146.76,145.12,145.92,1193800,145.92
2014-02-27,145.33,145.57,143.49,145.30,1734100,145.30
2014-02-26,145.00,147.33,144.55,145.90,1365000,145.90
2014-02-25,144.69,146.58,143.07,145.63,1828200,145.63
2014-02-24,143.87,148.60,143.76,146.01,2489100,146.01
2014-02-21,142.45,143.83,141.84,142.83,1889800,142.83
2014-02-20,140.38,141.77,139.82,141.75,2298300,141.75
2014-02-19,141.39,143.03,139.76,139.98,2056400,139.98
2014-02-18,142.42,143.20,141.58,143.10,1582700,142.48
2014-02-14,140.90,143.60,140.65,142.12,2220600,141.50
2014-02-13,136.94,141.23,136.89,140.92,2298100,140.30
2014-02-12,135.69,139.05,135.56,138.59,2335500,137.98
2014-02-11,133.12,136.45,132.90,135.52,2141600,134.93
2014-02-10,133.91,133.99,132.40,133.02,1505400,132.44
2014-02-07,132.50,135.57,131.94,134.33,2566900,133.74
2014-02-06,123.50,131.49,123.50,130.78,3444100,130.21
2014-02-05,126.24,127.14,125.48,126.67,2486900,126.12
2014-02-04,123.76,126.70,122.64,126.40,2494400,125.85
2014-02-03,127.13,127.92,123.15,123.70,2321800,123.16
2014-01-31,126.73,128.01,126.06,126.98,1886900,126.43
2014-01-30,129.65,129.92,128.04,128.48,1419300,127.92
2014-01-29,126.87,130.02,126.50,128.59,2103200,128.03
2014-01-28,126.61,128.71,126.53,128.63,1567700,128.07
2014-01-27,128.32,128.68,124.03,125.95,2528900,125.40
2014-01-24,131.10,131.22,126.06,126.31,3021900,125.76
2014-01-23,134.50,135.49,131.52,132.08,2392800,131.50
2014-01-22,136.50,136.55,134.80,134.88,1585800,134.29
2014-01-21,138.04,138.50,135.76,136.41,1625000,135.81
2014-01-17,138.96,139.07,137.51,137.74,1319100,137.14
2014-01-16,137.05,138.55,137.05,137.84,931200,137.24
2014-01-15,137.49,138.25,137.36,137.79,1105400,137.19
2014-01-14,137.00,137.49,136.37,137.13,1095800,136.53
2014-01-13,137.59,138.42,135.76,136.15,1400400,135.56
2014-01-09,140.15,140.62,137.94,138.67,866900,138.06
2014-01-08,139.59,140.23,138.83,139.35,976900,138.74
2014-01-07,138.87,140.25,138.80,139.89,879500,139.28
2014-01-06,140.22,141.67,138.25,138.72,1353700,138.11
2014-01-03,138.77,140.00,138.34,139.16,1092300,138.55
2014-01-02,140.43,140.98,138.28,138.56,1533500,137.95
2013-12-31,140.00,141.39,139.96,140.97,762700,140.35
2013-12-30,139.81,140.49,139.30,139.93,714000,139.32
2013-12-27,140.43,140.43,139.29,139.83,616000,139.22
2013-12-26,139.48,140.22,139.14,139.85,625000,139.24
2013-12-24,138.99,139.84,138.13,139.40,407400,138.79
2013-12-23,138.76,139.50,138.16,138.66,1286400,138.05
2013-12-20,136.75,138.47,136.56,137.75,1856800,137.15
2013-12-19,137.13,138.00,136.28,137.20,2284000,136.60
2013-12-18,133.26,136.31,133.00,136.03,1515600,135.44
2013-12-17,132.86,133.89,132.67,133.25,1128000,132.67
