Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.22,41.51,39.66,39.75,3034500,39.75
2014-03-27,40.75,41.22,40.48,41.15,2364500,41.15
2014-03-26,40.75,40.95,39.85,40.78,3349100,40.78
2014-03-25,40.68,41.18,40.52,41.06,1910600,41.06
2014-03-24,40.73,41.34,40.37,40.53,2272000,40.53
2014-03-21,40.56,41.03,40.38,40.70,3438800,40.70
2014-03-20,39.43,40.26,39.38,40.22,2165500,40.22
2014-03-19,40.14,40.40,39.64,40.03,1494400,40.03
2014-03-18,39.67,40.37,39.22,40.20,2132200,40.20
2014-03-17,38.70,39.77,38.62,39.75,2130200,39.75
2014-03-14,38.46,38.90,38.37,38.59,1261600,38.59
2014-03-13,39.33,39.60,38.21,38.56,2030800,38.56
2014-03-12,38.92,39.58,38.84,39.04,1422000,39.04
2014-03-11,39.53,39.74,39.00,39.09,1325100,39.09
2014-03-10,39.61,39.72,38.91,39.46,1588100,39.46
2014-03-07,40.49,40.54,39.43,39.93,2071700,39.93
2014-03-06,39.97,40.69,39.84,40.64,1655300,40.64
2014-03-05,40.38,40.51,39.73,39.81,1178100,39.81
2014-03-04,40.36,40.56,39.89,40.51,1640000,40.51
2014-03-03,39.99,40.16,39.61,39.93,1366900,39.93
2014-02-28,40.10,40.17,39.41,40.10,1647300,40.10
2014-02-27,38.95,40.21,38.71,40.11,2088400,40.11
2014-02-26,39.49,39.77,38.66,38.89,1707600,38.89
2014-02-25,40.14,40.21,38.91,39.57,2241700,39.57
2014-02-24,39.70,40.90,39.70,40.30,2075500,40.30
2014-02-21,40.00,40.55,39.66,39.69,2019000,39.69
2014-02-20,39.84,40.19,39.49,39.92,1927000,39.92
2014-02-19,39.05,41.01,39.05,39.79,5326300,39.79
2014-02-18,38.40,39.33,37.91,39.10,1880300,39.10
2014-02-14,37.94,38.75,37.94,38.43,1732100,38.43
2014-02-13,37.38,38.30,37.38,37.78,2092900,37.78
2014-02-12,38.25,38.63,37.78,37.87,1749300,37.87
2014-02-11,37.50,38.25,37.44,38.12,2100700,38.06
2014-02-10,36.54,37.22,36.38,37.21,1966900,37.15
2014-02-07,37.21,37.38,36.20,36.50,1898800,36.44
2014-02-06,36.05,37.27,36.05,37.11,1262900,37.05
2014-02-05,37.71,37.71,36.40,36.67,2490200,36.61
2014-02-04,37.00,38.10,36.88,37.75,2322100,37.69
2014-02-03,37.72,37.72,36.53,36.88,2669600,36.82
2014-01-31,37.67,38.75,37.01,37.35,3863700,37.29
2014-01-30,37.80,38.14,36.99,37.90,3605500,37.84
2014-01-29,37.27,37.70,37.02,37.55,2857500,37.49
2014-01-28,37.41,37.77,37.14,37.66,2029900,37.60
2014-01-27,37.40,38.19,36.93,37.25,2896700,37.19
2014-01-24,38.46,38.46,37.24,37.47,4121800,37.41
2014-01-09,37.00,37.06,35.72,36.26,2507900,36.20
2014-01-08,36.11,37.50,35.95,36.90,2595500,36.84
2014-01-07,38.06,38.29,37.04,37.43,2069900,37.37
2014-01-06,37.82,38.59,37.63,37.99,1543600,37.93
2014-01-03,37.70,38.05,37.51,37.81,1509000,37.75
2014-01-02,37.84,38.35,37.57,37.68,1171100,37.62
2013-12-31,37.83,38.10,37.68,38.04,1152400,37.98
2013-12-30,38.54,38.68,37.69,37.76,1259300,37.70
2013-12-27,37.90,38.53,37.74,38.39,2023600,38.33
2013-12-26,37.94,38.13,37.47,37.85,1285100,37.79
2013-12-24,37.50,38.16,37.46,37.86,841800,37.80
2013-12-23,38.13,38.45,37.05,37.51,2857700,37.45
2013-12-20,38.53,38.56,37.82,37.84,2414000,37.78
2013-12-19,37.48,38.59,37.35,38.40,2630300,38.34
2013-12-18,37.27,37.59,36.75,37.56,2175100,37.50
2013-12-17,37.16,37.51,36.63,37.43,1792200,37.37
2013-12-16,37.25,37.84,37.25,37.28,1862200,37.22
2013-12-13,36.88,37.25,36.65,37.18,1340700,37.12
2013-12-12,36.97,37.32,36.60,36.84,1517200,36.78
2013-12-11,37.80,38.00,36.84,36.97,2080600,36.91
2013-12-10,36.68,38.27,36.68,37.93,2978700,37.87
2013-12-09,36.59,37.34,36.55,37.10,2274900,37.04
2013-12-06,37.59,37.95,36.34,36.59,1659700,36.53
2013-12-05,36.75,37.60,36.52,37.28,2665300,37.22
2013-12-04,36.40,37.09,36.35,36.75,1787400,36.69
2013-12-03,35.93,36.98,35.88,36.48,2302700,36.42
2013-12-02,35.71,36.47,35.35,36.16,2271900,36.10
2013-11-29,35.53,35.97,35.10,35.58,1226900,35.52
2013-11-27,35.11,35.90,34.93,35.44,2789700,35.38
2013-11-26,34.89,35.41,34.62,35.08,2024300,35.02
2013-11-25,35.33,35.36,34.81,35.02,1455800,34.96
2013-11-22,34.77,35.50,34.40,35.31,2019900,35.25
2013-11-21,34.64,34.98,34.36,34.57,1896000,34.51
2013-11-20,34.46,34.95,34.26,34.57,1817300,34.51
2013-11-19,34.49,34.78,33.67,34.30,2242400,34.24
2013-11-18,35.67,35.81,34.33,34.56,3272500,34.50
2013-11-15,35.87,36.47,35.59,35.98,2776900,35.92
2013-11-14,35.93,36.17,35.15,35.68,1718300,35.62
2013-11-13,35.18,36.02,34.96,36.02,1784000,35.96
2013-11-12,35.72,36.03,35.31,35.49,1544100,35.31
2013-11-11,36.32,36.72,36.09,36.19,1342700,36.00
2013-11-08,35.78,36.68,35.74,36.41,2586800,36.22
2013-11-07,36.14,36.42,35.24,35.73,2741100,35.55
2013-11-06,36.81,37.08,35.53,35.97,2291300,35.78
2013-11-05,37.47,37.49,36.66,36.76,2432200,36.57
2013-11-04,37.05,38.28,36.54,37.76,3830700,37.56
2013-11-01,36.86,36.91,35.71,36.64,4122000,36.45
2013-10-31,37.28,37.50,36.40,36.50,4081500,36.31
2013-10-30,37.50,38.24,36.40,36.84,3611300,36.65
2013-10-29,38.08,38.95,36.83,37.74,4417800,37.54
2013-10-28,36.96,38.75,36.50,37.95,10546800,37.75
2013-10-25,38.37,38.40,37.87,38.14,1752200,37.94
2013-10-24,37.93,38.47,37.58,38.24,1501000,38.04
2013-10-23,37.96,38.00,37.14,37.71,2729900,37.52
2013-10-22,38.37,38.90,38.02,38.37,2137500,38.17
2013-10-21,38.12,38.45,37.37,37.99,2494800,37.79
2013-10-18,38.15,38.27,37.64,38.00,2449500,37.80
2013-10-17,37.72,38.39,37.38,37.77,2296600,37.57
2013-10-16,38.63,38.89,37.41,37.75,3453800,37.55
2013-10-15,38.32,38.85,37.99,38.35,3326800,38.15
2013-10-14,37.91,38.74,37.56,38.42,3333300,38.22
2013-10-11,36.57,39.23,36.24,38.17,10227000,37.97
2013-10-10,35.49,36.87,35.37,36.79,3937100,36.60
2013-10-09,35.19,35.40,34.93,35.07,1860300,34.89
2013-10-08,35.40,36.11,34.97,35.10,2091400,34.92
2013-10-07,35.85,36.11,35.33,35.33,1769400,35.15
2013-10-04,35.44,36.58,35.34,36.33,2963000,36.14
2013-10-03,34.53,35.52,34.44,35.42,3364500,35.24
2013-10-02,33.76,34.57,33.56,34.53,1776600,34.35
2013-10-01,33.54,34.01,33.23,33.99,3026700,33.81
2013-09-30,33.02,34.03,32.96,33.65,2191000,33.48
2013-09-27,34.15,34.24,33.33,33.50,1786400,33.33
2013-09-26,33.87,34.25,33.62,33.77,1260300,33.60
2013-09-25,34.24,34.47,33.49,33.57,2379400,33.40
2013-09-24,34.74,34.79,34.02,34.14,2494900,33.96
2013-09-23,34.66,35.34,34.62,34.76,1260200,34.58
2013-09-20,35.33,35.34,34.50,34.89,2173300,34.71
2013-09-19,35.60,36.56,35.26,35.34,2818100,35.16
2013-09-18,34.48,35.93,34.14,35.56,1874600,35.38
2013-09-17,33.95,34.81,33.94,34.46,1713500,34.28
2013-09-16,34.28,34.41,33.88,33.91,1362900,33.73
2013-09-13,34.50,34.58,33.69,33.80,1489700,33.63
2013-09-12,34.90,35.17,34.53,34.56,1834700,34.38
2013-09-11,34.48,35.29,33.92,35.17,1589600,34.99
2013-09-10,34.86,34.95,34.14,34.48,1357100,34.30
2013-09-09,33.60,34.76,33.60,34.71,1885300,34.53
2013-09-06,33.47,33.88,33.01,33.45,1420500,33.28
2013-09-05,32.64,33.71,32.61,33.31,1517100,33.14
2013-09-04,31.99,32.70,31.61,32.67,1376000,32.50
2013-09-03,31.82,32.37,31.78,32.05,1634200,31.88
2013-08-30,31.19,31.51,31.07,31.23,1188700,31.07
2013-08-29,32.06,32.12,31.09,31.22,1755800,31.06
2013-08-28,31.89,32.13,31.61,32.11,1761000,31.94
2013-08-27,32.60,32.68,31.86,31.90,2043700,31.74
2013-08-26,33.26,33.98,33.00,33.08,1563800,32.91
2013-08-23,32.91,33.38,32.72,33.23,1312300,33.06
2013-08-22,31.73,33.06,31.67,32.78,1763100,32.61
2013-08-21,31.52,31.91,31.28,31.48,1578700,31.32
2013-08-20,30.25,32.01,30.24,31.73,2093800,31.57
2013-08-19,30.75,30.81,30.18,30.25,1096800,30.09
2013-08-16,31.17,31.23,30.34,30.75,1990900,30.59
2013-08-15,31.06,31.57,30.85,31.34,1114900,31.18
2013-08-14,31.33,31.86,31.31,31.52,1445900,31.36
2013-08-13,31.96,31.96,31.14,31.35,1011200,31.19
2013-08-12,32.05,32.51,31.50,31.58,1711500,31.42
2013-08-09,30.93,32.27,30.84,32.06,1858500,31.89
2013-08-08,30.63,31.22,30.33,30.83,1754900,30.67
2013-08-07,30.98,31.00,30.32,30.37,1454700,30.21
2013-08-06,31.00,31.43,30.86,31.15,2251600,30.86
2013-08-05,30.90,31.42,30.83,31.28,2031300,30.99
2013-08-02,31.17,31.18,30.77,31.02,1870300,30.74
2013-08-01,31.20,31.54,31.02,31.19,1838600,30.90
2013-07-31,31.28,31.59,30.93,31.03,3061600,30.75
2013-07-30,31.18,31.30,30.84,31.03,2358000,30.75
2013-07-29,31.10,31.36,30.98,31.23,3325200,30.94
2013-07-26,30.37,31.39,30.04,31.35,4324600,31.06
2013-07-25,28.83,30.65,28.83,30.49,6463300,30.21
2013-07-24,29.26,29.26,28.15,28.30,2597300,28.04
2013-07-23,29.16,29.71,28.89,29.25,2031100,28.98
2013-07-22,28.99,29.19,28.59,28.78,1714400,28.52
2013-07-19,29.41,29.65,28.90,29.01,2534700,28.74
2013-07-18,28.82,30.13,28.82,29.53,3247600,29.26
2013-07-17,28.59,28.91,28.35,28.71,2479900,28.45
2013-07-16,28.24,28.61,28.09,28.60,2343800,28.34
2013-07-15,27.71,28.23,27.60,28.07,2354700,27.81
2013-07-12,28.07,28.38,27.34,27.67,1595400,27.42
2013-07-11,27.86,28.50,27.86,28.23,2188900,27.97
2013-07-10,27.91,28.15,27.16,27.34,2035400,27.09
2013-07-09,27.82,28.09,27.61,27.83,1997200,27.58
2013-07-08,26.67,27.77,26.60,27.56,2743500,27.31
2013-07-05,26.61,26.72,26.25,26.51,1423400,26.27
2013-07-03,26.94,26.94,26.31,26.56,2220400,26.32
2013-07-02,27.46,27.93,26.81,27.12,3247700,26.87
2013-07-01,27.19,27.90,27.01,27.51,2462000,27.26
2013-06-28,27.25,27.59,26.84,27.10,2433600,26.85
2013-06-27,27.39,27.86,27.12,27.35,3318600,27.10
2013-06-26,28.04,28.16,27.02,27.10,4001500,26.85
2013-06-25,28.38,28.46,26.96,27.93,5387700,27.67
