Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,76.02,76.61,75.66,76.09,2019300,76.09
2014-03-27,75.58,76.40,75.07,75.88,3924500,75.88
2014-03-26,75.64,76.09,74.92,74.96,2836400,74.96
2014-03-25,75.51,75.97,75.10,75.32,2884100,75.32
2014-03-24,75.51,75.86,74.88,75.20,2245600,75.20
2014-03-21,75.14,76.93,74.69,75.40,7080600,75.40
2014-03-20,72.88,74.35,72.83,74.28,2724800,74.28
2014-03-19,73.64,74.25,72.83,73.11,2864800,73.11
2014-03-18,73.97,74.03,73.34,73.55,1796900,73.55
2014-03-17,73.91,73.95,72.84,73.83,1911100,73.83
2014-03-14,72.53,73.31,72.06,72.19,2321200,72.19
2014-03-13,74.64,74.77,72.54,72.73,2876700,72.73
2014-03-12,73.87,74.36,73.74,74.19,1936400,74.19
2014-03-11,75.52,75.52,74.16,74.36,2075200,74.36
2014-03-10,74.76,75.29,74.48,75.15,1939100,75.15
2014-03-07,75.33,75.86,74.73,75.01,2487000,75.01
2014-03-06,74.51,75.23,74.26,75.03,2879600,75.03
2014-03-05,73.65,74.60,73.31,74.36,2438900,74.36
2014-03-04,73.08,73.79,72.64,73.67,2573000,73.67
2014-03-03,72.69,72.81,71.97,72.24,2040100,72.24
2014-02-28,72.83,74.07,72.82,73.43,2753900,73.43
2014-02-27,71.36,72.73,71.22,72.62,2609400,72.62
2014-02-26,71.18,71.62,70.79,71.33,2298700,71.33
2014-02-25,71.81,71.86,70.72,71.04,3350700,71.04
2014-02-24,70.97,72.10,70.97,71.73,2823400,71.73
2014-02-21,70.84,71.54,70.58,70.97,2969900,70.97
2014-02-20,70.89,70.99,70.21,70.84,2789400,70.84
2014-02-19,72.14,72.59,70.90,70.95,2275300,70.95
2014-02-18,72.68,73.10,72.23,72.42,1850100,72.42
2014-02-14,72.20,72.54,72.08,72.40,1587100,72.40
2014-02-13,70.81,72.42,70.81,72.37,2839800,72.37
2014-02-12,71.40,72.10,71.28,71.66,2378700,71.66
2014-02-11,71.32,71.88,71.04,71.26,3026200,71.26
2014-02-10,71.40,71.97,70.91,71.37,2091900,71.37
2014-02-07,70.12,71.42,70.12,71.40,3471600,71.40
2014-02-06,68.66,69.98,68.56,69.92,2295900,69.92
2014-02-05,68.61,68.84,67.86,68.66,2667900,68.36
2014-02-04,69.12,69.66,68.36,68.72,3110800,68.42
2014-02-03,70.52,70.61,68.59,68.87,3856900,68.57
2014-01-31,69.94,70.99,69.72,70.61,3228800,70.30
2014-01-30,70.61,71.31,70.29,70.96,2205800,70.65
2014-01-29,70.08,70.92,69.78,69.87,2906200,69.56
2014-01-28,69.97,71.11,69.93,70.87,2293300,70.56
2014-01-27,70.55,70.75,69.72,69.95,3277800,69.64
2014-01-24,71.24,71.78,70.57,70.57,3768800,70.26
