Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,78.73,79.46,78.65,79.01,385300,79.01
2014-03-27,78.96,79.11,78.29,78.53,587600,78.53
2014-03-26,80.70,80.78,78.93,78.96,638000,78.96
2014-03-25,80.73,80.97,79.81,80.27,1064700,80.27
2014-03-24,80.57,80.72,79.74,80.04,616700,80.04
2014-03-21,81.08,81.30,80.24,80.41,1187100,80.41
2014-03-20,80.02,80.25,79.63,80.17,452000,80.17
2014-03-19,81.00,81.39,79.46,80.02,395500,80.02
2014-03-18,80.83,81.20,80.67,80.94,472300,80.94
2014-03-17,80.03,80.80,79.93,80.68,621900,80.68
2014-03-14,79.46,80.38,79.46,79.70,662700,79.70
2014-03-13,80.54,80.93,79.28,79.65,703800,79.65
2014-03-12,80.36,80.46,79.74,80.27,1323900,80.27
2014-03-11,81.77,81.92,80.48,80.66,642200,80.66
2014-03-10,81.84,81.90,81.20,81.70,599400,81.70
2014-03-07,82.77,82.93,80.91,82.18,1423000,82.18
2014-03-06,83.16,83.34,82.07,82.35,919600,82.35
2014-03-05,83.73,84.06,82.80,83.01,958600,83.01
2014-03-04,83.25,83.96,83.04,83.47,912000,83.47
2014-03-03,82.02,83.07,81.78,82.77,680000,82.77
2014-02-28,82.60,83.17,81.99,82.54,611900,82.54
2014-02-27,82.27,82.49,81.63,82.47,584700,82.47
2014-02-26,82.57,83.00,81.91,81.97,883700,81.97
2014-02-25,82.48,82.93,82.06,82.42,1086500,82.42
2014-02-24,81.69,83.80,81.57,82.82,1236100,82.82
2014-02-21,81.00,82.38,80.98,81.97,1305100,81.97
2014-02-20,78.94,81.18,78.86,80.98,1355900,80.98
2014-02-19,78.74,80.09,78.56,78.80,1073000,78.80
2014-02-18,78.44,78.94,78.11,78.75,958400,78.75
2014-02-14,77.77,78.53,77.49,78.52,723400,78.52
2014-02-13,77.05,77.84,76.84,77.84,488700,77.84
2014-02-12,77.32,77.86,77.20,77.56,807700,77.56
2014-02-11,76.83,77.42,76.61,77.02,675200,77.02
2014-02-10,77.01,77.45,76.60,76.82,953200,76.82
2014-02-07,76.29,77.21,76.29,77.18,644800,77.18
2014-02-06,75.74,76.14,75.00,76.10,1138300,76.10
2014-02-05,74.35,75.00,73.76,74.91,848900,74.61
2014-02-04,74.79,75.02,73.51,74.82,1332200,74.52
2014-02-03,75.67,75.96,74.53,74.57,1822800,74.27
2014-01-31,74.94,76.21,74.76,75.56,940500,75.26
2014-01-30,76.02,76.19,75.54,75.97,693100,75.67
2014-01-29,75.47,75.76,74.94,75.42,1036300,75.12
2014-01-28,76.62,76.73,75.78,76.37,833900,76.06
2014-01-27,77.05,77.60,76.34,76.60,990300,76.29
2014-01-24,78.46,78.55,77.06,77.07,1159800,76.76
2014-01-23,79.09,79.59,78.84,79.29,1265100,78.97
2014-01-22,78.75,79.40,77.34,79.19,1575400,78.87
2014-01-21,78.00,79.57,76.81,78.22,1975700,77.91
2014-01-17,77.37,78.36,77.32,77.58,2003300,77.27
2014-01-16,76.04,77.23,75.86,77.05,1071600,76.74
2014-01-15,76.13,76.56,75.71,75.99,835100,75.69
2014-01-14,75.52,76.11,74.87,76.11,931400,75.81
2014-01-13,75.78,76.21,75.08,75.14,806300,74.84
2014-01-09,76.25,76.64,75.71,76.19,429800,75.88
2014-01-08,75.78,76.20,75.02,76.01,1068900,75.71
2014-01-07,75.75,76.06,75.59,75.78,890900,75.48
2014-01-06,74.79,76.62,74.32,75.67,2243500,75.37
2014-01-03,73.08,73.88,73.06,73.81,567200,73.51
2014-01-02,74.00,74.00,72.95,73.11,731200,72.82
2013-12-31,73.79,74.22,73.57,73.92,316800,73.62
2013-12-30,74.11,74.21,73.54,73.78,266400,73.48
2013-12-27,74.21,74.43,73.88,74.00,224800,73.70
2013-12-26,73.92,74.27,73.55,74.04,171300,73.74
2013-12-24,73.26,73.79,73.14,73.73,111300,73.43
2013-12-23,73.61,73.61,72.93,73.07,427700,72.78
2013-12-20,71.82,73.10,71.81,72.87,723200,72.58
