Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,112.35,112.79,111.15,111.66,2782700,111.66
2014-03-27,112.50,112.94,111.82,112.03,2039500,112.03
2014-03-26,114.28,114.47,112.46,112.49,1905900,112.49
2014-03-25,113.82,114.46,113.79,113.93,2199400,113.93
2014-03-24,113.99,114.00,112.89,113.37,2501700,113.37
2014-03-21,114.41,114.58,113.30,113.83,4442300,113.83
2014-03-20,112.56,113.22,112.13,113.16,1408200,113.16
2014-03-19,113.54,114.25,112.46,112.85,1635600,112.85
2014-03-18,113.90,114.12,113.02,113.85,2501000,113.85
2014-03-17,114.14,114.46,113.39,113.46,2189200,113.46
2014-03-14,114.95,114.95,113.33,113.45,2290000,113.45
2014-03-13,115.66,115.79,114.19,114.41,2519600,114.41
2014-03-12,114.39,115.62,114.25,115.21,2178000,115.21
2014-03-11,114.56,114.75,113.92,114.71,2201800,114.71
2014-03-10,113.21,114.59,113.00,114.59,2319100,114.59
2014-03-07,113.80,114.01,113.14,113.50,2905600,113.50
2014-03-06,113.15,114.64,112.27,113.26,8921900,113.26
2014-03-05,116.57,116.95,115.81,116.47,2305700,116.47
2014-03-04,116.61,116.91,115.85,116.65,1808300,116.65
2014-03-03,116.22,117.07,115.11,115.75,1667000,115.75
2014-02-28,116.50,117.47,115.89,116.80,2103000,116.80
2014-02-27,116.03,116.42,115.28,116.22,1374400,116.22
2014-02-26,115.50,116.83,115.37,115.88,1924500,115.88
2014-02-25,114.00,115.89,114.00,115.46,1920800,115.46
2014-02-24,113.46,114.81,113.20,113.94,2281900,113.94
2014-02-21,115.40,115.49,112.92,113.19,3654300,113.19
2014-02-20,114.57,115.55,113.88,115.06,1837100,115.06
2014-02-19,115.11,115.30,114.27,114.91,1802600,114.91
2014-02-18,116.30,116.41,114.92,115.36,2056500,115.36
2014-02-14,115.16,116.49,114.50,116.10,1517900,116.10
2014-02-13,114.14,115.93,114.14,115.81,1583300,115.81
2014-02-12,114.88,115.43,114.30,114.81,1737700,114.81
2014-02-11,113.91,115.15,113.50,114.99,1768900,114.68
2014-02-10,114.04,114.10,112.58,113.85,1871700,113.54
2014-02-07,114.08,114.61,113.38,114.04,2194100,113.73
2014-02-06,113.01,114.58,113.00,114.26,3738900,113.95
2014-02-05,110.22,110.80,109.80,110.51,2374200,110.21
2014-02-04,110.73,111.33,109.50,110.89,2529600,110.59
2014-02-03,112.96,113.00,110.05,110.18,3111900,109.88
2014-01-31,111.29,113.28,111.13,112.36,2143600,112.06
2014-01-30,112.75,113.49,112.09,112.73,1625800,112.43
2014-01-29,114.05,114.19,112.11,112.23,2356000,111.93
2014-01-28,113.53,114.76,113.44,114.38,2362100,114.07
2014-01-27,112.56,113.73,112.03,113.08,3784900,112.78
2014-01-24,112.69,112.87,111.92,112.13,3183100,111.83
2014-01-23,113.50,113.53,112.40,112.80,2162300,112.50
2014-01-22,115.01,115.16,113.69,113.75,2501600,113.44
2014-01-21,115.61,116.11,114.84,114.93,2110800,114.62
2014-01-09,116.20,119.10,114.05,118.51,5759400,118.19
2014-01-08,116.04,116.04,113.92,114.05,4600000,113.74
2014-01-07,116.39,116.56,115.38,115.86,2292500,115.55
2014-01-06,117.49,117.75,115.89,116.40,2120200,116.09
2014-01-03,118.21,118.36,117.13,117.29,1293500,116.97
2014-01-02,118.71,119.30,117.74,117.81,1618400,117.49
2013-12-31,119.19,119.71,118.71,119.02,1181700,118.70
2013-12-30,118.95,119.37,118.57,118.77,812800,118.45
2013-12-27,118.87,119.31,118.25,118.53,995100,118.21
2013-12-26,118.68,119.11,118.59,118.63,1169900,118.31
2013-12-24,118.69,118.85,118.18,118.69,612500,118.37
2013-12-23,119.10,119.13,118.13,118.69,1181600,118.37
2013-12-20,117.69,119.05,117.69,118.53,3007000,118.21
2013-12-19,117.84,118.44,117.25,117.99,2339400,117.67
2013-12-18,117.78,118.60,115.85,118.50,3167600,118.18
2013-12-17,118.17,118.36,117.02,117.55,1722800,117.23
2013-12-16,117.92,118.90,117.53,118.00,2069500,117.68
2013-12-13,119.01,119.05,117.41,117.91,1722600,117.59
2013-12-12,118.52,119.40,118.10,118.22,2023600,117.90
2013-12-11,118.10,120.30,116.97,118.57,6113600,118.25
2013-12-10,121.19,121.48,119.97,120.04,3163300,119.72
2013-12-09,122.82,122.84,121.38,121.66,2192500,121.33
2013-12-06,122.00,122.15,121.02,122.06,1734800,121.73
2013-12-05,121.50,122.35,120.50,120.95,3329000,120.62
2013-12-04,123.26,124.46,122.36,122.97,1644000,122.64
2013-12-03,123.72,123.97,122.97,123.82,1767900,123.49
2013-12-02,125.66,125.69,123.45,123.69,1444900,123.36
2013-11-29,125.70,126.03,125.14,125.43,725400,125.09
2013-11-27,125.65,125.89,125.20,125.38,873400,125.04
2013-11-26,125.21,126.12,125.04,125.18,1597700,124.84
2013-11-25,125.67,126.12,124.90,125.17,1391900,124.83
2013-11-22,124.26,125.35,124.00,125.21,1502000,124.87
2013-11-21,122.95,124.20,122.31,123.89,1164200,123.56
2013-11-20,124.00,124.21,122.43,122.76,1135900,122.43
2013-11-19,123.54,124.10,123.12,123.63,1233600,123.30
2013-11-18,124.66,124.66,122.92,123.31,1327600,122.98
2013-11-15,123.66,124.69,123.39,124.29,1784200,123.95
2013-11-14,123.39,124.06,122.85,123.74,1488000,123.41
2013-11-13,121.91,123.17,121.60,123.17,1679300,122.84
2013-11-12,121.61,122.73,121.52,122.45,1588000,121.81
2013-11-11,122.74,123.67,122.10,123.02,1275700,122.38
2013-11-08,122.21,122.89,121.12,122.78,2314300,122.14
2013-11-07,124.74,124.74,122.51,122.78,2459500,122.14
