Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,44.27,44.63,44.14,44.56,944500,44.56
2014-03-27,44.10,44.34,43.96,44.15,612200,44.15
2014-03-26,44.41,44.50,44.00,44.05,650700,44.05
2014-03-25,44.59,44.64,44.03,44.32,1244600,44.32
2014-03-24,44.56,44.74,44.04,44.25,1901200,44.25
2014-03-21,44.93,44.99,44.44,44.54,1892900,44.54
2014-03-20,43.97,44.64,43.91,44.64,1730600,44.64
2014-03-19,44.33,44.45,43.87,43.99,1268200,43.99
2014-03-18,44.04,44.58,43.73,44.37,1186000,44.37
2014-03-17,44.18,44.22,43.68,43.89,1045500,43.89
2014-03-14,43.81,44.50,43.80,44.05,1513900,44.05
2014-03-13,44.32,44.60,43.81,44.02,1324300,44.02
2014-03-12,43.40,44.24,43.39,44.21,1019100,44.21
2014-03-11,43.85,44.16,43.50,43.62,1104100,43.62
2014-03-10,43.88,43.93,43.67,43.87,1183600,43.87
2014-03-07,43.76,44.02,43.48,43.91,1018800,43.91
2014-03-06,43.85,43.89,43.52,43.72,1133300,43.72
2014-03-05,43.96,44.06,43.54,43.78,1156800,43.78
2014-03-04,43.42,44.04,43.41,43.99,2189200,43.99
2014-03-03,42.93,43.34,42.85,43.03,1429300,43.03
2014-02-28,43.21,43.55,43.08,43.31,1317500,43.31
2014-02-27,43.22,43.52,42.97,43.13,2566100,43.13
2014-02-26,44.05,44.14,43.25,43.25,2601600,43.25
2014-02-25,44.30,44.44,43.76,43.94,2155800,43.94
2014-02-24,44.05,44.44,44.03,44.19,1559100,44.19
2014-02-21,43.76,44.06,43.57,43.98,4120500,43.98
2014-02-20,43.46,43.76,43.35,43.69,1633100,43.69
2014-02-19,43.22,43.63,43.16,43.55,2421100,43.55
2014-02-18,43.05,43.36,42.61,43.25,2728200,43.25
2014-02-14,42.50,43.75,42.00,43.01,5164300,43.01
2014-02-13,40.60,41.17,40.60,40.97,2355300,40.97
2014-02-12,40.90,41.29,40.69,40.86,1666000,40.86
2014-02-11,40.50,40.92,40.41,40.90,1559500,40.90
2014-02-10,40.24,40.74,40.15,40.65,1135200,40.65
2014-02-07,40.11,40.49,39.89,40.32,1011900,40.32
2014-02-06,39.95,40.08,39.62,40.02,1463400,40.02
2014-02-05,39.66,40.12,39.60,39.84,1478600,39.84
2014-02-04,40.10,40.14,39.65,40.05,1329500,40.05
2014-02-03,41.38,41.38,39.78,39.88,2059400,39.88
2014-01-31,40.69,41.62,40.65,41.21,1681700,41.21
2014-01-30,41.35,41.45,41.01,41.16,1223400,41.16
2014-01-29,41.50,41.50,40.54,41.10,2643500,41.10
2014-01-28,41.98,42.28,41.70,41.97,1423800,41.97
2014-01-27,42.28,42.38,41.77,41.93,1921000,41.93
2014-01-24,41.80,42.89,41.74,42.29,3984400,42.29
2014-01-23,41.99,42.10,41.59,41.86,1781400,41.86
2014-01-22,42.33,42.60,42.23,42.32,1060400,42.32
2014-01-21,42.15,42.37,41.76,42.10,2230700,42.10
2014-01-17,42.67,42.74,41.62,41.79,3204600,41.79
2014-01-16,42.30,43.01,42.22,42.85,1398700,42.85
2014-01-15,42.78,42.78,42.15,42.31,1558900,42.31
2014-01-14,42.39,42.83,42.25,42.63,1777400,42.63
2014-01-09,42.50,42.56,42.01,42.49,1955800,42.49
2014-01-08,42.84,42.90,42.30,42.59,2115300,42.59
2014-01-07,42.70,42.99,42.56,42.87,2032900,42.87
2014-01-06,42.68,42.83,42.24,42.40,2519100,42.40
2014-01-03,42.66,42.78,42.36,42.42,2342700,42.42
2014-01-02,43.08,43.23,42.68,43.04,2169200,42.73
2013-12-31,43.35,43.50,43.12,43.28,1307000,42.97
2013-12-30,43.25,43.44,43.02,43.37,1168800,43.06
2013-12-27,42.67,43.70,42.67,43.30,1985000,42.99
2013-12-26,42.83,43.05,42.59,42.82,1254400,42.51
2013-12-24,42.90,42.91,42.56,42.83,712300,42.52
2013-12-23,42.80,42.89,42.44,42.79,1814500,42.48
2013-12-20,43.23,43.30,42.43,42.70,7044500,42.39
2013-12-19,43.28,43.43,42.81,43.20,3002500,42.89
2013-12-18,42.72,43.33,42.04,43.33,4878400,43.02
2013-12-17,41.08,42.98,41.05,42.74,6191700,42.43
2013-12-16,40.95,41.54,40.80,40.97,3037700,40.67
2013-12-13,40.81,40.90,40.43,40.75,2167800,40.45
2013-12-12,40.63,40.92,40.31,40.81,3336100,40.51
2013-12-11,40.88,41.12,40.53,40.64,3239000,40.35
2013-12-10,42.44,42.62,40.84,40.96,5033700,40.66
2013-12-09,42.48,43.12,42.21,42.55,6171700,42.24
2013-12-06,40.12,42.67,40.12,42.43,8138300,42.12
2013-12-05,40.02,40.89,39.74,40.10,6828100,39.81
2013-12-04,38.75,40.31,38.63,40.04,6807300,39.75
2013-12-03,38.42,38.95,38.42,38.81,1993600,38.53
2013-12-02,38.66,38.86,38.37,38.62,1677200,38.34
2013-11-29,38.84,38.99,38.65,38.73,699200,38.45
2013-11-27,38.81,38.98,38.63,38.72,1564400,38.44
2013-11-26,38.59,39.23,38.50,38.77,4463200,38.49
2013-11-25,39.08,39.23,38.68,38.80,3030900,38.52
2013-11-22,38.91,39.41,38.77,39.37,2150900,39.08
2013-11-21,38.63,38.98,38.40,38.89,2605000,38.61
2013-11-20,39.13,39.13,38.30,38.60,5343900,38.32
2013-11-19,39.70,39.80,38.88,39.20,7039300,38.92
2013-11-18,42.55,42.55,41.73,41.81,1846200,41.51
2013-11-15,42.52,42.67,42.00,42.42,1167200,42.11
2013-11-14,42.18,42.73,42.11,42.54,1093000,42.23
2013-11-13,41.64,42.20,41.47,42.18,816100,41.87
2013-11-12,41.75,41.88,41.36,41.61,1644600,41.31
2013-11-11,41.93,42.23,41.73,41.97,1194200,41.67
2013-11-08,41.85,42.04,41.44,41.93,1136800,41.63
2013-11-07,42.65,42.79,41.78,41.80,1246600,41.50
2013-11-06,42.58,42.80,42.52,42.77,1398300,42.46
2013-11-05,42.13,42.63,42.01,42.34,1138500,42.03
2013-11-04,42.85,42.92,42.15,42.31,1243100,42.00
2013-11-01,42.49,42.80,42.49,42.69,1233900,42.38
2013-10-31,42.97,43.12,42.56,42.57,1375600,42.26
2013-10-30,43.38,43.38,42.85,42.97,888300,42.66
2013-10-29,42.86,43.35,42.86,43.26,1282700,42.95
2013-10-28,42.44,43.20,42.44,42.86,2359400,42.55
2013-10-25,42.35,42.66,42.22,42.56,1152900,42.25
2013-10-24,42.80,42.84,42.01,42.40,3082200,42.09
2013-10-23,42.65,42.97,42.56,42.65,2038400,42.34
2013-10-22,41.73,42.75,41.73,42.69,1808500,42.38
2013-10-21,41.66,41.84,41.40,41.84,1055400,41.54
2013-10-18,41.71,41.78,41.42,41.59,1454600,41.29
2013-10-17,41.36,41.65,41.27,41.63,1257900,41.33
2013-10-16,41.09,41.61,41.09,41.53,1471400,41.23
2013-10-15,40.80,41.32,40.70,40.87,1532500,40.57
2013-10-14,40.83,40.90,40.50,40.82,790900,40.52
2013-10-11,40.88,41.03,40.68,40.88,1195300,40.58
2013-10-10,40.40,41.06,40.32,41.00,1654200,40.70
2013-10-09,40.20,40.32,39.87,40.08,1740600,39.79
2013-10-08,40.26,40.64,40.00,40.00,1315700,39.71
2013-10-07,40.23,40.50,40.12,40.24,1005100,39.95
2013-10-04,40.50,40.81,40.39,40.52,1591100,40.23
2013-10-03,40.95,41.14,40.78,40.87,2214000,40.26
2013-10-02,40.97,41.07,40.31,40.96,2247100,40.35
2013-10-01,40.56,41.35,40.55,41.21,1865000,40.60
2013-09-30,40.73,41.00,40.51,40.71,1494600,40.11
2013-09-27,41.16,41.31,40.69,40.96,992100,40.35
2013-09-26,41.49,41.65,41.13,41.37,1332900,40.76
2013-09-25,41.59,41.66,41.24,41.28,823000,40.67
2013-09-24,41.64,41.72,41.35,41.50,1715700,40.88
2013-09-23,41.70,41.82,41.43,41.76,1232100,41.14
2013-09-20,42.20,42.29,41.75,41.80,1721200,41.18
2013-09-19,42.57,42.82,42.06,42.20,1817000,41.57
2013-09-18,41.88,42.60,41.65,42.60,1287700,41.97
2013-09-17,42.37,42.51,41.90,41.96,1860500,41.34
2013-09-16,42.75,42.89,42.37,42.42,1411200,41.79
2013-09-13,41.44,42.42,41.44,42.28,2475900,41.65
2013-09-12,41.46,41.90,41.17,41.22,2033800,40.61
2013-09-11,41.33,41.69,41.11,41.47,1897100,40.86
2013-09-10,42.01,42.16,41.10,41.24,3073200,40.63
2013-09-09,42.11,42.30,41.89,41.99,1577600,41.37
2013-09-06,42.10,42.18,41.77,41.99,2238100,41.37
2013-09-05,42.82,42.97,41.50,41.88,3822300,41.26
2013-09-04,42.79,43.17,42.48,42.92,3898700,42.28
2013-09-03,43.30,43.39,42.63,42.75,2675500,42.12
2013-08-30,43.29,43.29,42.65,43.18,1797800,42.54
2013-08-29,43.72,43.72,42.87,43.33,3092700,42.69
2013-08-28,44.91,44.93,44.67,44.71,1303500,44.05
2013-08-27,45.05,45.36,44.98,45.07,1191600,44.40
2013-08-26,46.40,46.50,45.39,45.40,1389900,44.73
2013-08-23,46.03,46.44,46.00,46.39,983700,45.70
2013-08-22,45.43,46.03,45.25,45.85,697000,45.17
2013-08-21,45.99,46.06,45.41,45.43,535800,44.76
2013-08-20,46.15,46.36,46.04,46.07,577400,45.39
2013-08-19,46.00,46.29,45.85,46.04,751100,45.36
2013-08-16,46.06,46.20,45.74,46.00,1373100,45.32
2013-08-15,46.70,46.85,46.13,46.14,1244900,45.46
2013-08-14,47.83,47.92,47.02,47.03,786600,46.33
2013-08-13,47.98,48.08,47.68,47.89,759400,47.18
2013-08-12,47.28,47.85,47.11,47.83,930800,47.12
2013-08-09,47.54,47.87,47.39,47.74,1184100,47.03
2013-08-08,47.28,47.87,47.08,47.61,1005400,46.90
2013-08-07,47.38,47.54,47.06,47.08,805700,46.38
2013-08-06,47.32,47.80,47.13,47.48,659600,46.78
2013-08-05,47.24,47.71,46.98,47.51,561500,46.81
2013-08-02,47.49,47.54,47.07,47.41,789200,46.71
2013-08-01,47.16,47.59,47.13,47.52,820000,46.82
2013-07-31,46.52,47.05,46.51,46.80,816000,46.11
2013-07-30,47.30,47.43,46.53,46.55,827200,45.86
2013-07-29,46.88,47.28,46.87,47.09,655000,46.39
2013-07-26,46.70,47.08,46.11,47.07,783500,46.37
2013-07-25,46.31,46.73,46.19,46.64,820500,45.95
2013-07-24,47.23,47.32,46.39,46.41,1046200,45.72
2013-07-23,47.30,47.46,46.77,47.33,1423500,46.63
2013-07-22,47.20,47.52,47.02,47.35,1317100,46.65
2013-07-19,46.55,47.33,46.51,47.27,1408900,46.57
2013-07-18,46.01,46.55,46.01,46.38,570700,45.69
2013-07-17,46.19,46.24,45.90,46.01,643300,45.33
2013-07-16,46.10,46.27,45.84,46.10,889400,45.42
2013-07-15,45.67,46.34,45.62,46.22,1240200,45.53
2013-07-12,46.33,46.39,45.58,45.73,1356700,45.05
