Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,10.34,10.46,10.27,10.32,1101100,10.32
2014-03-27,10.27,10.36,10.19,10.33,1585400,10.33
2014-03-26,10.43,10.47,10.26,10.27,1832300,10.27
2014-03-25,10.49,10.57,10.36,10.41,1096800,10.41
2014-03-24,10.50,10.55,10.35,10.45,1931900,10.45
2014-03-21,10.69,10.72,10.47,10.52,3096400,10.52
2014-03-20,10.45,10.58,10.41,10.56,778000,10.56
2014-03-19,10.56,10.58,10.42,10.45,1303000,10.45
2014-03-18,10.45,10.61,10.45,10.56,1111700,10.56
2014-03-17,10.38,10.45,10.30,10.43,972800,10.43
2014-03-14,10.42,10.57,10.28,10.35,2164800,10.35
2014-03-13,10.64,10.67,10.35,10.45,3083800,10.45
2014-03-12,10.52,10.62,10.48,10.60,1305200,10.60
2014-03-11,10.67,10.71,10.55,10.56,655200,10.56
2014-03-10,10.69,10.75,10.65,10.67,695000,10.67
2014-03-07,10.84,10.89,10.64,10.69,1963200,10.69
2014-03-06,10.79,10.89,10.79,10.84,1367800,10.84
2014-03-05,11.00,11.02,10.85,10.89,1571900,10.77
2014-03-04,11.00,11.10,10.95,11.01,1207300,10.88
2014-03-03,10.80,10.91,10.75,10.89,1589700,10.77
2014-02-28,10.94,11.06,10.85,10.95,2298800,10.82
2014-02-27,10.75,10.92,10.75,10.92,1649300,10.79
2014-02-26,10.67,10.85,10.63,10.78,2360300,10.66
2014-02-25,10.64,10.68,10.59,10.67,1016600,10.55
2014-02-24,10.60,10.64,10.56,10.62,1171800,10.50
2014-02-21,10.55,10.63,10.55,10.59,1905900,10.47
2014-02-20,10.47,10.57,10.45,10.55,753900,10.43
2014-02-19,10.49,10.58,10.44,10.49,1113300,10.37
2014-02-18,10.52,10.57,10.37,10.51,701400,10.39
2014-02-14,10.48,10.55,10.43,10.55,1279500,10.43
2014-02-13,10.28,10.49,10.28,10.47,1602900,10.35
2014-02-12,10.38,10.41,10.32,10.38,1630900,10.26
2014-02-11,10.06,10.41,10.04,10.38,3325400,10.26
2014-02-10,10.00,10.07,9.99,10.05,725600,9.93
2014-02-07,9.86,10.05,9.81,10.04,3308600,9.92
2014-02-06,9.84,9.96,9.81,9.83,1594700,9.72
2014-02-05,9.75,9.85,9.66,9.82,1714500,9.71
2014-02-04,9.88,9.95,9.76,9.83,3159500,9.72
2014-02-03,10.16,10.24,9.81,9.84,3348200,9.73
2014-01-31,9.94,10.21,9.85,10.14,3120200,10.02
2014-01-30,10.09,10.16,9.99,10.01,2049000,9.90
2014-01-29,10.09,10.35,10.00,10.07,2200800,9.95
2014-01-28,10.13,10.22,10.12,10.12,1514600,10.00
2014-01-27,10.22,10.22,10.10,10.14,2435000,10.02
2014-01-24,10.57,10.57,10.19,10.24,4198300,10.12
2014-01-23,10.48,10.59,10.46,10.55,2506300,10.43
2014-01-22,10.60,10.61,10.46,10.52,2703900,10.40
2014-01-21,10.77,10.78,10.57,10.59,2168900,10.47
2014-01-17,10.70,10.78,10.68,10.73,640100,10.61
2014-01-16,10.67,10.78,10.67,10.72,2329100,10.60
2014-01-15,10.68,10.76,10.63,10.69,1851300,10.57
2014-01-14,10.57,10.74,10.48,10.63,5245200,10.51
2014-01-09,11.11,11.12,10.78,10.84,4383000,10.72
2014-01-08,11.04,11.25,11.03,11.10,3497400,10.97
