Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,28.39,28.69,28.38,28.58,3964300,28.58
2014-03-27,28.62,28.73,28.24,28.27,6112500,28.27
2014-03-26,29.18,29.22,28.65,28.65,5405300,28.65
2014-03-25,29.45,29.45,28.98,29.07,7333100,29.07
2014-03-24,28.87,29.05,28.48,28.69,5906600,28.69
2014-03-21,28.96,29.11,28.72,28.76,5600700,28.76
2014-03-20,28.48,28.85,28.45,28.63,4055300,28.63
2014-03-19,28.78,28.94,28.43,28.55,4981200,28.55
2014-03-18,28.69,28.84,28.65,28.74,3192000,28.74
2014-03-17,28.57,28.86,28.48,28.63,3883200,28.63
2014-03-14,28.55,28.57,28.26,28.38,5340800,28.38
2014-03-13,29.00,29.19,28.30,28.46,9000200,28.46
2014-03-12,28.64,28.89,28.41,28.89,10274000,28.89
2014-03-11,28.98,29.06,28.68,28.84,6129200,28.84
2014-03-10,28.88,28.97,28.59,28.89,5571500,28.89
2014-03-07,29.02,29.10,28.78,28.87,5385100,28.87
2014-03-06,28.61,28.87,28.57,28.73,4993500,28.73
2014-03-05,28.44,28.66,28.34,28.54,6080600,28.54
2014-03-04,27.96,28.40,27.94,28.30,7274900,28.30
2014-03-03,27.52,27.75,27.35,27.60,5742800,27.60
2014-02-28,27.49,27.97,27.49,27.71,5997300,27.71
2014-02-27,27.15,27.49,27.08,27.46,5116500,27.46
2014-02-26,27.28,27.55,27.15,27.21,5581100,27.21
2014-02-25,27.66,27.72,27.25,27.31,6721100,27.16
2014-02-24,27.33,27.85,27.33,27.69,6525600,27.54
2014-02-21,27.43,27.62,27.31,27.32,5603300,27.17
2014-02-20,27.17,27.40,27.06,27.35,8478800,27.20
2014-02-19,27.29,27.59,27.06,27.09,7563800,26.94
2014-02-18,27.52,27.54,27.17,27.41,4357300,27.26
2014-02-14,27.31,27.59,27.28,27.53,5811500,27.38
2014-02-13,27.19,27.37,27.04,27.37,5536700,27.22
2014-02-12,27.38,27.55,27.23,27.39,4672900,27.24
2014-02-11,27.17,27.44,27.14,27.31,4183100,27.16
2014-02-10,27.19,27.22,26.90,27.07,4643900,26.92
2014-02-07,27.18,27.45,27.02,27.25,5693600,27.10
2014-02-06,26.64,27.07,26.60,27.03,5257900,26.88
2014-02-05,26.27,26.56,26.19,26.51,6735300,26.36
2014-02-04,26.08,26.54,26.00,26.35,8696600,26.21
2014-02-03,26.93,27.06,25.84,26.02,9549000,25.88
2014-01-31,26.41,27.06,26.27,26.91,7427100,26.76
2014-01-30,26.41,26.87,26.38,26.77,5531500,26.62
2014-01-29,26.19,26.38,26.02,26.13,7285700,25.99
2014-01-28,26.20,26.70,26.20,26.52,4908800,26.37
2014-01-27,26.09,26.37,25.89,26.14,7424700,26.00
2014-01-24,26.74,26.84,26.19,26.20,9372900,26.06
2014-01-23,27.17,27.32,26.88,27.02,8602900,26.87
2014-01-22,27.20,27.38,27.16,27.22,7842500,27.07
2014-01-21,27.35,27.52,26.91,27.04,9569800,26.89
2014-01-17,27.39,27.39,27.06,27.23,11725900,27.08
2014-01-09,28.30,28.68,28.22,28.66,4581300,28.50
2014-01-08,28.27,28.41,28.05,28.23,5024000,28.07
2014-01-07,28.30,28.43,28.20,28.35,3842500,28.19
2014-01-06,28.56,28.74,28.08,28.22,5073200,28.07
2014-01-03,28.27,28.78,28.26,28.43,4632500,28.27
2014-01-02,28.61,28.67,28.19,28.25,4479900,28.09
2013-12-31,28.43,28.80,28.43,28.77,4025200,28.61
2013-12-30,28.32,28.46,28.26,28.34,3721800,28.18
2013-12-27,28.53,28.56,28.22,28.29,3043300,28.13
2013-12-26,28.37,28.50,28.33,28.43,2574000,28.27
2013-12-24,28.28,28.39,28.27,28.36,1590400,28.20
2013-12-23,28.30,28.40,28.18,28.24,3221500,28.08
2013-12-20,27.85,28.26,27.77,28.08,9628100,27.93
2013-12-19,27.87,27.97,27.77,27.88,6828500,27.73
2013-12-18,27.72,28.02,27.40,27.93,9028000,27.78
2013-12-17,27.93,27.96,27.54,27.67,4254800,27.52
2013-12-16,27.73,27.94,27.73,27.84,7021800,27.69
2013-12-13,27.43,27.88,27.40,27.57,6276200,27.42
2013-12-12,27.25,27.44,27.25,27.28,4254300,27.13
2013-12-11,27.97,27.98,27.32,27.35,6214100,27.20
2013-12-10,28.03,28.25,27.98,27.99,4781400,27.84
2013-12-09,27.85,28.13,27.85,28.08,4215200,27.93
2013-12-06,27.77,27.90,27.67,27.75,5065100,27.60
2013-12-05,27.24,27.68,27.20,27.58,5863500,27.43
