Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,58.87,59.29,58.63,58.99,455200,58.99
2014-03-27,58.86,59.05,58.47,58.71,458100,58.71
2014-03-26,59.59,59.83,58.69,58.72,350300,58.72
2014-03-25,59.48,59.68,59.19,59.42,408800,59.42
2014-03-24,59.58,60.00,58.88,59.15,685700,59.15
2014-03-21,61.29,61.29,59.65,59.71,1544100,59.71
2014-03-20,61.69,62.00,59.79,60.59,981500,60.59
2014-03-19,60.23,60.62,59.28,59.59,500900,59.59
2014-03-18,59.74,60.65,59.55,60.23,550400,60.23
2014-03-17,59.60,60.06,59.46,59.66,577800,59.66
2014-03-14,59.45,59.91,59.35,59.39,371000,59.39
2014-03-13,60.44,60.55,59.42,59.62,598400,59.62
2014-03-12,60.13,60.45,59.81,60.18,577300,60.18
2014-03-11,61.04,61.26,60.20,60.37,392400,60.37
2014-03-10,61.23,61.56,60.76,60.85,667400,60.85
2014-03-07,61.16,61.61,61.01,61.37,379700,61.37
2014-03-06,60.73,61.08,60.49,60.96,441900,60.96
2014-03-05,60.79,61.00,60.19,60.55,369100,60.55
2014-03-04,60.60,61.11,60.17,60.92,565400,60.92
2014-03-03,60.00,60.30,59.42,60.03,419400,60.03
2014-02-28,60.36,60.72,60.19,60.66,525400,60.66
2014-02-27,60.25,60.34,59.70,60.33,403200,60.33
2014-02-26,59.95,60.46,59.80,60.22,477000,60.22
2014-02-25,59.64,60.01,59.29,59.96,707500,59.96
2014-02-24,61.87,63.28,58.91,59.52,2822100,59.52
2014-02-21,61.50,62.70,60.70,61.66,2852300,61.66
2014-02-20,59.07,59.53,58.45,59.30,681600,59.30
2014-02-19,59.42,59.56,58.84,58.93,468600,58.93
2014-02-18,59.44,59.71,59.06,59.52,876500,59.52
2014-02-14,58.87,59.31,58.64,59.18,423300,59.18
2014-02-13,58.26,58.98,58.13,58.85,326100,58.85
2014-02-12,58.10,58.68,58.01,58.49,627200,58.49
2014-02-11,57.61,58.31,57.19,58.10,682600,58.10
2014-02-10,58.03,58.23,57.07,57.68,854500,57.68
2014-02-07,56.81,58.20,56.30,58.13,769000,58.13
2014-02-06,56.34,56.82,55.97,56.47,347000,56.47
2014-02-05,55.60,56.51,55.45,56.38,426100,56.38
2014-02-04,55.66,56.35,55.35,55.92,523700,55.92
2014-02-03,57.13,57.34,55.47,55.62,572200,55.62
2014-01-31,57.06,57.35,56.78,57.07,457200,57.07
2014-01-30,57.37,57.80,56.99,57.65,413400,57.65
