Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,32.62,32.94,32.54,32.68,4094000,32.68
2014-03-27,32.53,32.65,32.16,32.59,5038700,32.59
2014-03-26,31.96,32.49,31.96,32.29,7412900,32.29
2014-03-25,31.61,31.94,31.45,31.91,4335700,31.91
2014-03-24,31.52,31.82,31.42,31.54,5063400,31.54
2014-03-21,31.51,31.58,31.24,31.34,10315900,31.34
2014-03-20,31.12,31.55,31.08,31.37,5199400,31.37
2014-03-19,31.35,31.50,31.08,31.25,5326400,31.25
2014-03-18,30.91,31.43,30.90,31.40,4314200,31.40
2014-03-17,30.70,30.91,30.64,30.84,3353200,30.84
2014-03-14,30.42,30.95,30.42,30.62,4715700,30.62
2014-03-13,30.78,30.97,30.38,30.49,3516600,30.49
2014-03-12,30.60,30.68,30.34,30.68,3206400,30.68
2014-03-11,30.90,30.92,30.59,30.69,4331900,30.69
2014-03-10,31.19,31.26,30.66,30.83,4681200,30.83
2014-03-07,31.21,31.34,31.11,31.32,4463000,31.32
2014-03-06,31.20,31.36,31.03,31.19,6461800,31.19
2014-03-05,31.47,32.01,31.31,31.86,10213900,31.32
2014-03-04,31.39,31.55,31.30,31.53,4637600,31.00
2014-03-03,31.02,31.25,30.98,31.11,5041600,30.58
2014-02-28,31.07,31.38,31.05,31.26,5196900,30.73
2014-02-27,30.81,31.10,30.67,31.08,6072500,30.55
2014-02-26,31.18,31.20,30.75,30.80,5624600,30.28
2014-02-25,31.22,31.37,31.02,31.14,5218200,30.61
2014-02-24,31.27,31.48,31.12,31.19,4717200,30.66
2014-02-21,31.11,31.28,30.94,31.09,6094500,30.56
2014-02-20,30.93,31.19,30.83,31.12,3587900,30.59
2014-02-19,30.90,31.22,30.83,30.90,4886500,30.38
2014-02-18,30.77,30.98,30.57,30.95,5995000,30.43
2014-02-14,30.82,30.93,30.63,30.65,6892700,30.13
2014-02-13,30.05,31.25,30.02,30.77,12193100,30.25
2014-02-12,29.71,30.24,29.64,30.19,8305100,29.68
2014-02-11,29.22,29.89,29.10,29.73,8400200,29.23
2014-02-10,28.81,29.00,28.70,28.93,4284300,28.44
2014-02-07,28.39,28.80,28.35,28.79,4051500,28.30
2014-02-06,28.34,28.46,28.07,28.30,8104700,27.82
2014-02-05,28.05,28.36,28.03,28.27,4115600,27.79
2014-02-04,28.18,28.25,27.93,28.09,5374900,27.61
2014-02-03,28.90,28.90,28.10,28.13,6612900,27.65
2014-01-31,28.90,29.07,28.80,28.86,6519100,28.37
2014-01-30,28.68,29.20,28.53,29.16,7070500,28.67
2014-01-29,28.89,28.91,28.31,28.59,7558700,28.11
2014-01-28,29.16,29.21,28.87,28.95,6374800,28.46
2014-01-27,29.20,29.32,29.04,29.08,7468100,28.59
2014-01-24,29.43,29.55,29.14,29.15,6053400,28.66
2014-01-23,29.42,29.47,29.29,29.45,6163600,28.95
2014-01-22,29.98,29.98,29.49,29.50,4476000,29.00
2014-01-21,30.13,30.18,29.56,29.85,6060400,29.34
2014-01-17,30.36,30.37,29.98,30.00,6205300,29.49
2014-01-16,30.48,30.57,30.19,30.33,4404400,29.82
2014-01-09,31.25,31.28,30.70,30.79,4052200,30.27
2014-01-08,31.35,31.41,31.14,31.24,4356800,30.71
2014-01-07,31.76,31.80,31.37,31.41,5032100,30.88
2014-01-06,31.73,31.79,31.53,31.67,2925100,31.13
2014-01-03,31.78,31.81,31.50,31.60,2137300,31.06
2014-01-02,31.74,31.82,31.51,31.65,4443900,31.11
2013-12-31,31.94,32.07,31.73,31.85,5122800,31.31
2013-12-30,31.84,32.10,31.79,31.96,4185700,31.42
2013-12-27,31.83,32.04,31.63,32.01,3690800,31.47
2013-12-26,31.81,31.92,31.64,31.85,3547200,31.31
2013-12-24,31.27,31.84,31.27,31.69,2965900,31.15
2013-12-23,31.06,31.40,31.06,31.36,5691000,30.83
2013-12-20,31.43,31.43,30.92,31.04,9155800,30.51
2013-12-19,31.62,31.69,30.40,31.36,13237300,30.83
2013-12-18,31.54,31.93,31.26,31.84,7107300,31.30
2013-12-17,31.00,31.61,30.96,31.44,6360800,30.91
2013-12-16,30.80,31.07,30.80,30.95,5267500,30.43
2013-12-13,30.75,30.93,30.38,30.73,6050400,30.21
2013-12-12,30.65,30.80,30.32,30.76,5381300,30.24
2013-12-11,31.50,31.55,30.65,30.71,7108700,30.19
2013-12-10,31.54,31.82,31.49,31.51,6332600,30.98
2013-12-09,31.07,31.67,31.01,31.52,5799500,30.99
2013-12-06,30.99,31.27,30.95,31.07,5759000,30.54
2013-12-05,30.47,30.87,30.39,30.65,5890700,30.13
2013-12-04,30.20,30.98,30.05,30.84,6771700,30.32
2013-12-03,30.16,30.43,29.93,30.37,5753200,29.86
2013-12-02,30.63,30.70,30.24,30.30,5119300,29.79
2013-11-29,30.71,31.03,30.66,30.70,2340600,30.18
2013-11-27,30.70,30.92,30.55,30.72,4176500,30.20
