Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.05,50.63,48.68,49.69,7295300,49.69
2014-03-27,49.14,49.19,47.42,47.58,6515700,47.58
2014-03-26,48.94,49.72,48.47,49.10,5637300,49.10
2014-03-25,49.29,49.36,48.35,48.59,3647400,48.59
2014-03-24,49.14,49.52,48.16,49.07,4366100,49.07
2014-03-21,50.70,50.70,48.69,48.76,6296200,48.76
2014-03-20,49.50,49.81,49.24,49.62,4011400,49.62
2014-03-19,51.33,51.33,49.22,49.61,4412500,49.61
2014-03-18,51.22,51.41,50.91,51.09,2412600,51.09
2014-03-17,50.40,51.32,50.40,51.05,2532900,51.05
2014-03-14,50.45,51.12,50.18,50.25,2881700,50.25
2014-03-13,51.84,51.94,50.23,50.58,2627800,50.58
2014-03-12,51.97,52.03,50.51,51.59,4410700,51.59
2014-03-11,52.71,52.99,51.94,52.33,3082100,52.33
2014-03-10,53.48,53.61,52.76,52.90,1695400,52.90
2014-03-07,107.63,107.70,106.39,107.22,3919200,53.61
2014-03-06,105.46,108.00,105.46,107.09,5816200,53.54
2014-03-05,104.90,105.67,104.50,105.64,3434200,52.82
2014-03-04,103.71,105.46,103.71,105.31,2620200,52.65
2014-03-03,103.00,103.51,101.96,102.90,2391400,51.45
2014-02-28,103.80,104.59,103.21,104.06,2773800,52.03
2014-02-27,103.33,103.62,102.58,103.20,2457000,51.60
2014-02-26,103.79,104.69,103.07,103.30,4107000,51.65
2014-02-25,103.93,104.51,102.53,103.27,4193400,51.63
2014-02-24,103.24,105.30,102.91,104.24,4089600,52.12
2014-02-21,101.68,103.36,101.07,102.73,4563800,51.37
2014-02-20,99.78,101.16,98.94,100.66,2855400,50.33
2014-02-19,100.17,100.59,99.63,99.99,2461000,49.99
2014-02-18,100.17,100.74,99.56,100.07,2652200,50.03
2014-02-14,99.43,100.47,98.87,100.34,2735600,50.17
2014-02-13,97.92,99.96,97.78,99.77,2953200,49.88
2014-02-12,98.14,99.29,97.93,98.45,3423800,49.22
2014-02-11,96.52,98.18,95.61,97.74,3343400,48.87
2014-02-10,96.82,97.23,95.43,96.05,3660600,48.03
2014-02-07,95.70,97.25,95.01,97.00,4164800,48.50
2014-02-06,92.81,95.56,92.81,95.49,6004800,47.74
2014-02-05,93.00,94.48,89.91,92.85,12964600,46.42
2014-02-04,95.30,97.27,94.79,97.01,4032600,48.51
2014-02-03,97.14,98.33,94.67,95.18,4659400,47.59
2014-01-31,96.74,97.76,96.21,96.91,7392200,48.46
2014-01-30,96.50,98.84,96.30,98.60,3540000,49.30
2014-01-29,96.25,97.29,95.43,95.82,3214800,47.91
2014-01-28,96.23,97.28,95.82,96.75,5636800,48.38
2014-01-27,97.23,97.93,95.67,95.86,5086400,47.93
2014-01-24,97.90,97.99,96.73,97.28,3799200,48.64
2014-01-23,99.53,100.28,98.28,98.55,3306200,49.28
2014-01-22,99.06,101.47,98.40,100.54,4030000,50.27
2014-01-21,99.92,101.62,98.10,98.92,4941200,49.46
2014-01-17,99.87,100.47,99.08,99.34,3760400,49.67
2014-01-16,100.69,101.09,100.09,100.30,3421600,50.15
2014-01-15,100.33,101.17,100.02,101.03,3721600,50.51
2014-01-14,98.76,101.05,98.54,100.33,3911200,50.17
2014-01-13,99.80,100.92,97.96,98.21,4476000,49.10
2014-01-10,99.78,100.79,99.61,100.47,2776400,50.24
2014-01-09,100.47,100.47,99.03,99.53,3069200,49.76
2014-01-08,99.16,99.96,98.62,99.95,5613600,49.97
2014-01-07,98.56,99.50,98.56,99.12,3064800,49.56
2014-01-06,98.67,99.16,97.26,97.87,4933800,48.94
2014-01-03,98.87,99.84,98.21,98.32,3261000,49.16
2014-01-02,100.25,100.75,98.43,98.84,5559600,49.42
2013-12-31,100.42,101.13,99.62,100.98,1861200,50.49
2013-12-30,99.64,100.25,98.57,100.09,1909800,50.04
2013-12-27,99.54,99.60,98.82,99.15,1445200,49.58
2013-12-26,98.61,99.64,98.16,99.44,1269400,49.72
2013-12-24,98.64,98.91,98.04,98.84,801200,49.42
2013-12-23,98.46,98.66,97.22,98.64,2646600,49.32
2013-12-20,97.33,98.61,96.70,98.16,5732000,49.08
2013-12-19,97.34,97.88,96.41,97.02,3495600,48.51
2013-12-18,94.66,96.61,93.82,96.58,3295400,48.29
2013-12-17,94.09,94.73,93.84,94.21,2228400,47.10
2013-12-16,93.66,94.43,93.23,94.32,2767200,47.16
2013-12-13,94.09,94.35,93.16,93.54,3074000,46.77
2013-12-12,93.06,93.83,92.59,93.24,2653600,46.62
2013-12-11,95.08,95.20,93.16,93.50,2401000,46.75
2013-12-10,94.38,95.30,94.33,94.69,3115400,47.35
2013-12-09,96.34,96.59,94.06,94.80,3262400,47.40
2013-12-06,95.33,96.47,94.28,96.20,6319000,48.10
2013-12-05,93.35,94.36,92.89,93.78,1927000,46.89
2013-12-04,93.11,93.94,92.66,93.35,2559000,46.67
2013-12-03,93.44,94.42,93.05,93.85,3212600,46.92
2013-12-02,93.14,94.21,93.14,93.56,3081800,46.78
2013-11-29,94.18,94.39,93.55,93.89,1527200,46.94
2013-11-27,93.81,95.25,93.81,94.42,2629000,47.21
2013-11-26,92.60,94.18,92.38,94.03,3294000,47.01
2013-11-25,93.12,93.60,92.43,92.63,3433400,46.31
2013-11-22,95.75,95.75,92.94,93.12,4296800,46.56
2013-11-21,93.40,94.03,93.15,93.74,4415200,46.87
2013-11-20,93.30,94.21,92.49,92.96,2505800,46.48
2013-11-19,93.80,94.20,93.09,93.42,4125200,46.71
2013-11-18,95.65,95.65,93.22,93.54,3544200,46.77
2013-11-15,93.85,94.72,93.27,94.37,4593000,47.19
2013-11-14,92.80,93.58,92.51,93.44,3065400,46.72
2013-11-13,91.17,92.84,91.14,92.83,3781200,46.42
2013-11-12,90.92,91.70,90.42,91.65,3870400,45.83
2013-11-11,90.01,91.00,90.01,90.72,2211400,45.36
2013-11-08,89.70,90.46,89.38,90.23,2799600,45.12
2013-11-07,90.49,91.65,89.27,89.50,3006000,44.75
2013-11-06,90.49,91.00,89.96,90.68,4600600,45.34
2013-11-05,90.67,90.70,87.21,89.59,7823400,44.79
2013-11-04,87.74,87.85,86.14,86.85,3886600,43.42
2013-11-01,87.29,87.60,86.28,87.54,3512800,43.77
2013-10-31,87.47,88.01,86.88,86.93,3465200,43.47
2013-10-30,89.12,89.53,87.29,87.46,3027600,43.73
2013-10-29,88.95,90.01,88.74,89.37,4252200,44.69
2013-10-28,86.87,88.87,86.48,88.84,4701200,44.42
2013-10-25,87.04,87.05,86.13,86.68,3263600,43.34
2013-10-24,86.19,86.85,85.72,86.61,2298600,43.31
2013-10-23,86.09,86.71,85.51,86.08,2434000,43.04
2013-10-22,86.94,87.74,86.25,86.59,3701000,43.29
2013-10-21,86.00,87.04,85.99,86.71,3025600,43.35
2013-10-18,85.95,86.01,85.33,85.77,3334400,42.88
2013-10-17,83.98,86.02,83.78,85.95,4425600,42.97
2013-10-16,86.72,86.91,83.80,84.69,8629000,42.35
2013-10-15,87.43,88.14,85.70,85.91,6986400,42.96
2013-10-14,88.28,88.48,86.99,88.22,4874600,44.11
2013-10-11,85.25,88.89,85.10,88.85,9412000,44.42
2013-10-10,82.34,84.32,82.10,84.20,3367000,42.10
2013-10-09,82.79,83.02,81.24,81.98,5343600,40.99
2013-10-08,84.10,84.30,82.03,82.18,3317800,41.09
2013-10-07,83.95,84.85,83.67,84.10,2864600,42.05
2013-10-04,83.66,84.97,83.21,84.85,4035800,42.42
2013-10-03,83.67,83.85,82.93,83.53,3332600,41.76
2013-10-02,83.16,83.90,82.85,83.76,2589800,41.88
2013-10-01,81.78,83.25,81.64,83.23,2856200,41.62
2013-09-30,81.55,82.48,79.50,82.12,4924400,41.06
2013-09-27,82.16,82.82,81.91,82.70,2437400,41.35
2013-09-26,83.47,83.47,82.39,82.99,2328800,41.49
2013-09-25,82.73,83.39,82.23,83.14,2988600,41.57
2013-09-24,82.63,83.37,82.17,82.89,3623000,41.44
2013-09-23,82.03,82.68,81.62,82.43,3342400,41.22
2013-09-20,82.68,83.35,82.25,82.30,5392000,41.15
2013-09-19,84.03,84.17,82.61,82.64,5210000,41.32
2013-09-18,81.92,83.75,81.80,83.59,7063600,41.79
2013-09-17,81.04,81.83,80.63,81.10,3937200,40.55
2013-09-16,80.43,81.14,80.43,80.85,4256400,40.42
2013-09-13,78.77,79.79,78.75,79.69,3280400,39.85
2013-09-12,79.60,79.70,78.73,78.81,3493400,39.40
2013-09-11,79.03,80.23,79.03,79.86,5789000,39.93
2013-09-10,79.00,79.49,78.69,79.26,3539200,39.63
2013-09-09,77.81,78.50,77.53,78.32,4956200,39.16
2013-09-06,76.56,77.99,76.11,77.50,8171400,38.75
2013-09-05,75.54,76.30,75.42,76.00,5453600,38.00
2013-09-04,74.50,76.29,74.17,75.70,6542800,37.85
2013-09-03,74.00,74.90,73.58,74.49,4129600,37.24
2013-08-30,74.21,74.21,73.15,73.30,3742400,36.65
2013-08-29,73.60,74.25,73.03,74.02,3337600,37.01
2013-08-28,72.41,74.00,72.19,73.78,6092800,36.89
2013-08-27,72.89,73.08,72.01,72.19,3561400,36.10
2013-08-26,73.59,73.80,73.09,73.62,3672400,36.81
2013-08-23,72.76,74.00,71.78,73.75,3345800,36.88
2013-08-22,72.26,72.97,72.26,72.76,2584200,36.38
2013-08-21,70.26,72.93,70.00,72.50,5787800,36.25
2013-08-20,71.07,71.18,70.44,70.65,2366000,35.33
2013-08-19,71.24,72.28,70.79,70.99,3453000,35.49
2013-08-16,70.80,71.81,70.37,71.46,4347400,35.73
2013-08-15,71.65,71.84,70.37,70.86,3787000,35.43
2013-08-14,72.99,73.24,72.37,72.38,2954600,36.19
2013-08-13,73.49,73.84,72.69,73.34,2700800,36.67
2013-08-12,72.78,73.63,72.78,73.39,3178000,36.69
2013-08-09,72.74,73.70,72.74,73.16,2518400,36.58
2013-08-08,73.80,73.97,72.87,72.89,3658400,36.44
2013-08-07,74.38,74.38,72.83,73.81,6501400,36.90
2013-08-06,75.72,76.08,73.81,74.01,15187800,37.01
2013-08-05,74.26,74.26,73.04,73.41,6487600,36.71
2013-08-02,73.90,73.90,73.00,73.51,3794800,36.76
2013-08-01,72.73,74.20,72.73,73.48,4023400,36.74
2013-07-31,72.83,73.51,72.32,72.39,4185000,36.19
2013-07-30,72.90,73.10,72.23,72.37,5170600,36.19
2013-07-29,72.59,73.22,72.30,72.57,3353000,36.28
2013-07-26,72.10,72.76,72.02,72.74,3098000,36.37
2013-07-25,71.70,73.15,71.61,72.62,4395400,36.31
2013-07-24,72.89,73.21,71.69,71.75,4038600,35.88
2013-07-23,73.05,73.05,72.24,72.30,3871800,36.15
2013-07-22,74.91,74.92,72.71,72.87,4741000,36.44
2013-07-19,72.32,72.75,71.64,72.36,7941800,36.18
2013-07-18,71.96,73.32,71.95,72.49,6752600,36.24
2013-07-17,71.11,71.68,70.94,71.21,5977200,35.60
2013-07-16,71.15,71.76,70.63,71.01,5490000,35.51
2013-07-15,71.41,71.70,70.67,70.95,5550400,35.47
2013-07-12,72.52,72.71,71.01,71.43,7590000,35.72
2013-07-11,70.43,71.19,70.01,71.05,10913800,35.53
2013-07-10,66.74,69.78,66.65,69.69,9873400,34.85
2013-07-09,66.31,66.81,65.97,66.55,3668400,33.28
2013-07-08,65.04,66.37,64.95,66.07,4407000,33.03
2013-07-05,65.22,65.50,64.61,65.26,2007200,32.63
2013-07-03,64.00,65.20,63.95,64.76,2107400,32.38
2013-07-02,64.30,64.57,63.68,64.35,4322400,32.17
2013-07-01,63.40,64.83,63.14,64.07,6092800,32.03
2013-06-28,61.54,63.37,61.47,62.64,9464600,31.32
2013-06-27,64.13,64.29,62.86,63.10,6733000,31.55
2013-06-26,63.32,64.15,62.95,63.85,5124000,31.92
2013-06-25,62.12,62.89,61.46,62.80,4826400,31.40
2013-06-24,61.87,62.11,60.92,61.70,4097000,30.85
2013-06-21,62.76,63.25,61.99,62.31,8958400,31.16
2013-06-20,62.58,63.40,62.41,62.71,6857400,31.35
2013-06-19,64.17,64.67,63.39,63.54,6154200,31.77
2013-06-18,63.64,64.45,63.25,64.04,6617600,32.02
2013-06-17,63.60,64.21,63.37,63.46,6664000,31.73
2013-06-14,63.75,64.15,62.49,62.98,6040800,31.49
2013-06-13,63.85,64.27,63.18,63.91,6217400,31.95
2013-06-12,64.73,65.14,63.85,64.00,5435200,32.00
2013-06-11,63.40,64.73,63.25,64.43,4157400,32.22
2013-06-10,66.61,66.64,64.00,64.11,7069200,32.06
2013-06-07,65.79,66.66,65.60,66.58,7185400,33.29
2013-06-06,64.20,65.36,63.44,65.35,8197400,32.67
2013-06-05,64.49,64.76,63.30,63.88,4851400,31.94
2013-06-04,65.30,65.89,64.73,64.82,5869200,32.41
2013-06-03,64.86,65.20,64.20,64.87,5266200,32.44
2013-05-31,64.72,65.17,64.13,64.65,4702600,32.33
2013-05-30,64.37,65.00,63.78,64.80,5071800,32.40
2013-05-29,63.29,64.71,62.86,64.28,7384200,32.14
2013-05-28,64.69,64.69,63.50,63.74,6430000,31.87
2013-05-24,63.77,63.85,62.91,63.77,5861000,31.89
2013-05-23,64.89,65.20,63.68,64.11,9318400,32.06
2013-05-22,63.89,66.40,63.85,65.15,16925200,32.58
2013-05-21,64.74,64.89,64.07,64.61,11978400,32.31
2013-05-20,65.50,66.43,64.05,64.53,9405400,32.26
2013-05-17,63.72,65.57,62.83,65.50,11365400,32.75
2013-05-16,64.23,64.57,63.14,63.22,5756400,31.61
2013-05-15,62.34,64.90,62.01,64.44,16701200,32.22
2013-05-14,63.12,63.63,61.89,62.39,11703200,31.19
2013-05-13,65.05,65.18,62.63,62.88,15485200,31.44
2013-05-10,68.71,68.73,64.21,65.03,11786600,32.51
2013-05-09,68.48,68.67,67.69,68.45,11530400,34.22
2013-05-08,68.00,68.23,65.16,68.15,13004800,34.08
2013-05-07,65.74,66.40,64.16,64.88,9751400,32.44
2013-05-06,66.78,66.78,65.55,65.65,7358000,32.83
2013-05-03,65.10,66.67,64.75,66.61,9763600,33.31
2013-05-02,63.60,64.41,62.94,64.34,7686000,32.17
2013-05-01,64.46,64.85,63.41,63.49,5536800,31.75
