Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,21.54,21.84,21.39,21.52,348800,21.52
2014-03-27,21.60,21.70,21.41,21.53,486700,21.53
2014-03-26,21.78,21.90,21.58,21.61,625600,21.61
2014-03-25,21.47,21.81,21.35,21.70,687100,21.70
2014-03-24,21.30,21.38,20.78,21.00,449400,21.00
2014-03-21,21.47,21.63,21.22,21.23,638000,21.23
2014-03-20,21.11,21.42,21.05,21.34,437700,21.34
2014-03-19,21.29,21.51,21.01,21.14,399900,21.14
2014-03-18,20.94,21.43,20.94,21.35,497500,21.29
2014-03-17,20.68,21.04,20.57,20.80,364900,20.74
2014-03-14,20.45,20.72,20.40,20.52,295800,20.46
2014-03-13,20.76,20.88,20.47,20.50,525100,20.44
2014-03-12,20.61,20.76,20.56,20.70,428800,20.64
2014-03-11,20.88,20.97,20.55,20.76,387900,20.70
2014-03-10,20.77,20.98,20.73,20.78,304100,20.72
2014-03-07,20.77,20.88,20.66,20.82,302200,20.76
2014-03-06,20.60,20.73,20.50,20.62,245700,20.56
2014-03-05,20.60,20.64,20.46,20.53,310000,20.47
2014-03-04,20.64,20.83,20.38,20.69,770800,20.63
2014-03-03,20.22,20.37,19.98,20.14,289700,20.08
2014-02-28,20.58,20.69,20.33,20.47,328700,20.41
2014-02-27,20.47,20.59,20.32,20.52,318300,20.46
2014-02-26,20.39,21.15,20.31,20.57,1003300,20.51
2014-02-25,20.20,20.40,20.11,20.37,602900,20.31
2014-02-24,20.00,20.32,19.89,20.18,507500,20.12
2014-02-21,19.99,20.12,19.93,20.00,647900,19.94
2014-02-20,19.74,19.97,19.54,19.90,532700,19.84
2014-02-19,19.75,19.96,19.70,19.70,398100,19.64
2014-02-18,19.80,19.97,19.71,19.85,420700,19.79
2014-02-14,19.85,19.92,19.58,19.80,246800,19.74
2014-02-13,19.43,19.88,19.41,19.86,299500,19.80
2014-02-12,19.51,19.78,19.42,19.66,494900,19.60
2014-02-11,19.31,19.53,19.20,19.44,338300,19.39
2014-02-10,19.54,19.59,19.13,19.33,421300,19.28
2014-02-07,19.57,19.73,19.51,19.59,533700,19.53
2014-02-06,19.39,19.58,19.12,19.54,695600,19.49
2014-02-05,19.49,19.52,18.83,19.41,762300,19.36
2014-02-04,19.55,19.74,19.29,19.66,779300,19.60
2014-02-03,20.38,20.53,19.33,19.48,1069600,19.43
2014-01-31,20.41,20.63,20.34,20.37,425500,20.31
2014-01-30,20.69,20.93,20.52,20.84,366900,20.78
2014-01-29,20.58,20.90,20.45,20.54,357300,20.48
2014-01-28,20.66,20.77,20.54,20.76,570800,20.70
2014-01-27,20.87,20.88,20.58,20.59,509300,20.53
2014-01-24,21.44,21.44,20.75,20.81,450200,20.75
2014-01-23,21.75,21.79,21.54,21.65,329500,21.59
2014-01-22,21.77,21.87,21.60,21.81,416100,21.75
2014-01-21,21.84,21.92,21.68,21.77,361100,21.71
2014-01-17,21.69,21.76,21.60,21.71,464200,21.65
2014-01-16,21.53,21.79,21.50,21.67,322800,21.61
2014-01-15,21.54,21.74,21.46,21.61,290800,21.55
2014-01-14,21.44,21.57,21.07,21.46,575100,21.40
2014-01-13,21.56,21.79,21.23,21.34,386300,21.28
2014-01-09,22.00,22.28,21.79,21.96,466700,21.90
2014-01-08,22.45,22.45,21.80,21.97,684900,21.91
2014-01-07,24.43,24.43,21.87,22.39,2275000,22.33
2014-01-06,21.10,21.13,20.79,20.86,414600,20.80
2014-01-03,20.83,21.09,20.81,21.02,256900,20.96
2014-01-02,21.00,21.02,20.73,20.81,337400,20.75
2013-12-31,21.17,21.19,21.01,21.05,285500,20.99
2013-12-30,21.09,21.22,20.95,21.11,267100,21.05
2013-12-27,21.14,21.23,21.03,21.09,255900,21.03
2013-12-26,21.34,21.40,20.99,21.04,486700,20.98
2013-12-24,21.03,21.34,20.99,21.20,340700,21.14
2013-12-23,21.15,21.26,20.96,21.22,475300,21.10
2013-12-20,20.90,21.17,20.75,21.07,892500,20.95
2013-12-19,20.80,20.95,20.66,20.75,458800,20.63
2013-12-18,20.42,20.90,20.35,20.88,603300,20.76
2013-12-17,20.48,20.52,20.26,20.35,359100,20.24
2013-12-16,20.00,20.52,19.91,20.49,473100,20.37
2013-12-13,19.82,20.07,19.70,19.94,556300,19.83
2013-12-12,19.81,19.84,19.63,19.72,327400,19.61
2013-12-11,20.06,20.11,19.73,19.77,487800,19.66
2013-12-10,20.13,20.24,19.95,20.03,308400,19.92
2013-12-09,20.52,20.52,20.11,20.22,492300,20.11
2013-12-06,20.47,20.61,20.32,20.51,377700,20.39
2013-12-05,20.36,20.36,19.99,20.21,405700,20.10
2013-12-04,20.34,20.62,20.09,20.43,438700,20.31
2013-12-03,20.21,20.48,20.18,20.46,408300,20.34
2013-12-02,20.46,20.58,19.96,20.25,794600,20.14
2013-11-29,20.68,20.70,20.48,20.52,200600,20.40
2013-11-27,20.62,20.79,20.48,20.62,302700,20.50
2013-11-26,20.28,20.60,20.07,20.56,349000,20.44
2013-11-25,20.44,20.55,20.17,20.22,338400,20.11
2013-11-22,20.29,20.49,20.20,20.42,357800,20.31
2013-11-21,20.10,20.34,20.07,20.24,354400,20.13
2013-11-20,20.03,20.16,19.84,19.97,266500,19.86
2013-11-19,20.12,20.31,19.89,20.00,342500,19.89
2013-11-18,20.27,20.41,20.00,20.17,333500,20.06
2013-11-15,20.11,20.23,19.98,20.20,380600,20.09
2013-11-14,20.15,20.18,19.89,20.15,284000,20.04
2013-11-13,19.82,20.22,19.72,20.19,359800,20.08
2013-11-12,19.94,20.00,19.77,19.91,300000,19.80
2013-11-11,19.91,20.07,19.79,20.03,325900,19.92
2013-11-08,19.41,19.90,19.41,19.90,493000,19.79
2013-11-07,20.35,20.61,19.26,19.41,646700,19.30
2013-11-06,19.67,19.71,19.47,19.60,312400,19.49
2013-11-05,19.46,19.65,19.36,19.52,367300,19.41
2013-11-04,19.66,19.78,19.55,19.60,480100,19.49
2013-11-01,19.72,19.77,19.43,19.61,600100,19.50
2013-10-31,20.02,20.15,19.74,19.74,493700,19.63
2013-10-30,20.19,20.31,20.00,20.04,344300,19.93
2013-10-29,20.18,20.34,19.99,20.19,327100,20.08
2013-10-28,19.93,20.19,19.84,20.18,637500,20.07
2013-10-25,19.94,19.99,19.80,19.95,268400,19.84
2013-10-24,19.79,19.96,19.75,19.86,314700,19.75
2013-10-23,19.47,19.88,19.45,19.72,331400,19.61
2013-10-22,19.67,19.81,19.49,19.55,393700,19.44
2013-10-21,19.51,19.63,19.34,19.62,402900,19.51
2013-10-18,19.46,19.61,19.33,19.50,550200,19.39
2013-10-17,19.07,19.31,19.07,19.30,325800,19.19
2013-10-16,18.99,19.18,18.87,19.15,454600,19.04
2013-10-15,18.99,19.01,18.80,18.82,351600,18.71
2013-10-14,18.88,19.09,18.88,19.09,406400,18.98
2013-10-11,18.70,19.14,18.61,19.09,462100,18.98
2013-10-10,18.49,18.76,18.37,18.75,347600,18.64
2013-10-09,18.34,18.43,18.12,18.23,548100,18.13
2013-10-08,18.48,18.67,18.28,18.28,444000,18.18
2013-10-07,18.50,18.66,18.43,18.54,409000,18.44
2013-10-04,18.34,18.76,18.34,18.67,275700,18.56
2013-10-03,18.59,18.75,18.25,18.38,506800,18.28
2013-10-02,18.79,18.80,18.54,18.68,295000,18.57
2013-10-01,18.75,19.19,18.66,18.91,771600,18.80
2013-09-30,18.60,18.97,18.60,18.75,654100,18.64
2013-09-27,18.50,18.91,18.50,18.87,351300,18.76
2013-09-26,18.58,18.75,18.45,18.67,238600,18.56
2013-09-25,18.54,18.75,18.48,18.53,399300,18.43
2013-09-24,18.54,18.71,18.32,18.55,620600,18.45
2013-09-23,18.91,18.95,18.55,18.55,538200,18.45
2013-09-20,18.99,19.09,18.89,18.89,858000,18.78
2013-09-19,19.02,19.06,18.85,18.88,294500,18.77
2013-09-18,18.82,19.03,18.60,18.98,322200,18.87
2013-09-17,18.65,18.86,18.62,18.85,366400,18.68
2013-09-16,18.66,18.73,18.55,18.65,384700,18.49
2013-09-13,18.19,18.37,18.18,18.37,350000,18.21
2013-09-12,18.39,18.45,18.05,18.10,504600,17.94
2013-09-11,18.41,18.56,18.35,18.41,264200,18.25
2013-09-10,18.37,18.60,18.22,18.41,505200,18.25
2013-09-09,17.98,18.32,17.92,18.27,323900,18.11
2013-09-06,17.88,18.11,17.64,17.88,355100,17.72
2013-09-05,17.73,17.93,17.60,17.79,359000,17.63
2013-09-04,17.44,17.83,17.39,17.71,410000,17.55
2013-09-03,17.83,18.12,17.16,17.43,968800,17.28
2013-08-30,18.14,18.17,17.57,17.63,478600,17.47
2013-08-29,18.01,18.21,18.00,18.17,189300,18.01
