Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,74.30,74.50,73.85,74.26,5219200,74.26
2014-03-27,74.69,75.15,74.01,74.13,5315700,74.13
2014-03-26,75.78,76.36,75.12,75.30,7771800,75.30
2014-03-25,74.72,75.05,74.46,74.95,5216500,74.95
2014-03-24,74.51,74.67,73.73,74.35,8511600,74.35
2014-03-21,74.56,74.95,73.85,74.95,14439400,74.95
2014-03-20,73.36,74.12,73.26,73.99,3550500,73.99
2014-03-19,73.80,74.24,73.06,73.51,4331600,73.51
2014-03-18,74.42,74.45,73.42,73.69,5064000,73.69
2014-03-17,72.80,74.41,72.80,74.36,6306200,74.36
2014-03-14,72.30,73.51,72.30,72.75,5486000,72.75
2014-03-13,73.08,73.28,72.36,72.50,5119400,72.50
2014-03-12,72.37,72.88,72.05,72.88,4015700,72.88
2014-03-11,73.67,73.70,72.50,72.70,4723800,72.70
2014-03-10,73.42,73.70,73.13,73.57,4067700,73.57
2014-03-07,73.49,73.78,73.13,73.48,3726600,73.48
2014-03-06,73.89,73.89,72.98,73.22,3713900,73.22
2014-03-05,73.15,73.58,73.03,73.18,4611200,73.18
2014-03-04,73.27,73.39,72.88,73.10,5744700,73.10
2014-03-03,72.59,73.10,72.26,72.59,5767500,72.59
2014-02-28,72.25,73.62,72.14,73.14,7556300,73.14
2014-02-27,72.13,72.30,71.69,72.16,4999500,72.16
2014-02-26,72.18,72.63,72.00,72.20,5260200,72.20
2014-02-25,71.48,72.20,71.37,72.16,4868100,72.16
2014-02-24,71.47,72.12,71.35,71.37,4915900,71.37
2014-02-21,71.18,71.66,71.13,71.20,4908400,71.20
2014-02-20,70.21,71.38,70.07,71.31,5607900,71.31
2014-02-19,70.16,70.72,69.92,70.10,5624400,70.10
2014-02-18,70.48,70.55,70.04,70.32,6868500,70.32
2014-02-14,69.35,70.19,69.12,69.90,5127000,69.90
2014-02-13,68.20,69.57,68.09,69.48,6027800,69.48
2014-02-12,68.65,69.10,68.39,68.54,5947700,68.54
2014-02-11,69.71,69.71,68.21,68.77,13618000,68.77
2014-02-10,66.42,67.00,66.36,66.94,8584200,66.94
2014-02-07,66.01,66.98,65.96,66.44,6206000,66.44
2014-02-06,65.47,66.14,65.31,66.11,5927800,66.11
2014-02-05,65.06,66.00,64.95,65.44,10092700,65.44
2014-02-04,66.45,66.77,65.71,66.11,6137800,66.11
2014-02-03,67.52,67.67,65.68,65.79,7016400,65.79
2014-01-31,66.79,68.07,66.07,67.72,7388500,67.72
2014-01-30,67.79,68.24,67.33,67.65,5060500,67.65
2014-01-29,68.00,68.06,67.16,67.35,8339300,67.35
2014-01-28,67.66,68.78,67.66,68.52,5159100,68.52
2014-01-27,67.66,67.95,67.07,67.53,7289100,67.53
2014-01-24,68.37,68.43,67.63,67.63,5717100,67.63
2014-01-23,68.71,68.78,68.10,68.47,5633800,68.47
2014-01-22,68.65,69.66,68.60,69.17,6294500,69.17
2014-01-21,68.61,68.62,68.06,68.32,6548600,68.32
2014-01-17,68.21,68.26,67.82,67.97,4551300,67.70
2014-01-16,68.19,68.28,67.76,68.13,5865400,67.85
2014-01-09,70.45,70.59,69.33,69.92,4960900,69.64
2014-01-08,69.78,69.93,69.15,69.77,5067700,69.49
2014-01-07,69.53,69.75,69.22,69.67,4524200,69.39
2014-01-06,70.75,70.83,69.30,69.31,6345100,69.03
2014-01-03,70.55,70.78,70.26,70.55,3885500,70.26
2014-01-02,71.16,71.37,70.18,70.40,4485800,70.12
2013-12-31,71.80,71.97,71.30,71.57,2301600,71.28
2013-12-30,71.39,71.85,71.39,71.58,2513600,71.29
2013-12-27,71.35,71.99,71.31,71.56,2440400,71.27
2013-12-26,71.00,71.40,70.99,71.28,2371500,70.99
2013-12-24,70.56,71.29,70.56,70.98,1698200,70.69
2013-12-23,70.50,70.74,70.12,70.52,3847700,70.23
2013-12-20,69.95,70.87,69.77,70.06,14986500,69.78
2013-12-19,69.64,70.41,69.38,70.14,5950000,69.86
2013-12-18,67.12,69.69,67.12,69.69,10322500,69.41
2013-12-17,67.85,67.91,66.77,66.81,5943300,66.54
2013-12-16,67.65,68.36,67.44,67.79,4879600,67.52
2013-12-13,67.72,67.90,67.00,67.31,3883000,67.04
2013-12-12,68.28,68.30,67.48,67.57,4907400,67.30
2013-12-11,68.02,68.73,67.93,68.14,7210300,67.86
2013-12-10,66.60,68.60,66.23,67.99,9875700,67.71
2013-12-09,66.88,67.09,66.21,66.73,5023400,66.46
2013-12-06,66.32,66.97,66.27,66.75,4028600,66.48
2013-12-05,66.06,66.53,65.77,65.87,4088300,65.60
2013-12-04,66.48,66.66,65.45,66.12,5261300,65.85
2013-12-03,66.08,66.95,66.06,66.75,4513400,66.48
2013-12-02,67.10,67.50,66.24,66.65,4813000,66.38
2013-11-29,67.09,67.64,66.90,66.96,3940100,66.69
2013-11-27,66.38,66.96,66.22,66.76,4943600,66.49
2013-11-26,66.66,67.20,66.06,66.09,5557500,65.82
2013-11-25,66.71,66.99,66.56,66.78,3546600,66.51
2013-11-22,65.98,66.71,65.98,66.68,4491400,66.41
2013-11-21,65.43,66.18,65.40,66.09,4072100,65.82
2013-11-20,65.34,65.74,65.15,65.42,3642300,65.16
2013-11-19,65.54,65.75,65.16,65.22,4042200,64.96
2013-11-18,65.60,65.69,65.24,65.44,4680200,65.18
2013-11-15,65.11,65.70,65.04,65.62,3816100,65.35
2013-11-14,64.43,65.45,64.28,65.27,4630900,65.01
2013-11-13,64.44,64.49,63.68,64.38,4085000,64.12
2013-11-12,63.74,64.04,63.55,63.96,4380700,63.70
2013-11-11,63.87,64.16,63.74,63.93,2994100,63.67
2013-11-08,63.54,63.90,63.29,63.78,6221000,63.52
2013-11-07,63.84,64.00,63.29,63.54,6027200,63.28
2013-11-06,63.78,63.97,63.50,63.87,6826300,63.61
2013-11-05,63.48,64.44,62.61,63.22,10424900,62.96
2013-11-04,62.71,62.84,61.93,61.98,6774100,61.73
2013-11-01,62.42,62.90,62.42,62.59,5112300,62.34
2013-10-31,62.20,62.64,61.87,62.26,5156500,62.01
2013-10-30,62.55,62.66,61.90,62.22,4007900,61.97
2013-10-29,61.87,62.65,61.85,62.55,5547600,62.30
2013-10-28,61.68,62.42,61.45,61.74,6443100,61.49
2013-10-25,61.99,62.12,61.08,61.41,5447800,61.16
2013-10-24,61.43,62.22,61.29,62.07,5585700,61.82
2013-10-23,61.08,61.78,60.92,61.46,6285100,61.21
2013-10-22,60.58,62.91,60.38,61.38,10257700,61.13
2013-10-21,60.86,61.21,60.29,60.38,4524000,60.14
2013-10-18,60.41,61.23,60.21,61.01,8490100,60.76
2013-10-17,58.54,60.07,57.85,60.00,5550400,59.76
2013-10-16,59.43,59.43,58.95,59.16,7629800,58.70
2013-10-15,59.55,59.60,58.95,59.06,5212100,58.60
2013-10-14,59.15,59.79,59.00,59.69,3496500,59.22
2013-10-11,58.71,59.60,58.70,59.57,4879100,59.10
2013-10-10,58.56,58.91,58.28,58.72,6285400,58.26
2013-10-09,57.11,58.29,56.95,58.04,9597600,57.59
2013-10-08,57.02,57.99,57.01,57.05,8410300,56.60
2013-10-07,56.35,57.12,56.34,56.73,4334100,56.29
2013-10-04,56.52,57.08,56.32,56.88,5045400,56.43
2013-10-03,57.19,57.28,56.44,56.64,7581900,56.20
2013-10-02,57.16,57.20,56.60,57.10,6636800,56.65
2013-10-01,56.76,57.93,56.76,57.54,7224600,57.09
2013-09-30,57.47,57.65,56.67,56.75,7556700,56.31
2013-09-27,58.08,58.08,57.66,57.80,3481200,57.35
2013-09-26,57.90,58.69,57.87,58.17,4841300,57.71
2013-09-25,57.96,58.62,57.64,57.78,5034400,57.33
2013-09-24,58.25,58.35,57.85,57.92,5337800,57.47
2013-09-23,58.35,58.40,57.81,58.20,6487700,57.74
2013-09-20,59.69,59.72,58.29,58.53,9886000,58.07
2013-09-19,60.58,60.61,59.67,59.80,7510700,59.33
2013-09-18,60.96,61.33,59.53,60.56,10955500,60.09
2013-09-17,60.94,61.08,60.70,61.01,4811600,60.53
2013-09-16,60.39,61.17,60.39,60.95,5386200,60.47
2013-09-13,59.61,60.02,59.54,59.90,3499800,59.43
2013-09-12,59.72,60.00,59.47,59.51,4700200,59.04
2013-09-11,59.24,59.82,59.24,59.60,4281300,59.13
2013-09-10,59.11,59.40,58.86,59.22,4715900,58.76
2013-09-09,58.73,58.88,58.34,58.77,4849700,58.31
2013-09-06,58.59,59.03,57.95,58.63,4880400,58.17
2013-09-05,58.18,58.87,58.02,58.46,4080900,58.00
2013-09-04,58.52,58.80,58.24,58.62,3855500,58.16
2013-09-03,58.44,58.69,58.19,58.52,4350500,58.06
2013-08-30,57.97,58.29,57.62,58.05,4560900,57.60
2013-08-29,57.11,58.36,57.07,57.82,4047300,57.37
2013-08-28,57.58,58.02,57.21,57.28,6158400,56.83
2013-08-27,57.77,58.07,57.54,57.69,5495900,57.24
2013-08-26,57.95,58.79,57.95,58.24,4200100,57.78
