Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,70.82,71.13,70.60,71.09,1866300,71.09
2014-03-27,70.42,71.02,70.08,70.95,1819800,70.95
2014-03-26,70.13,70.97,69.97,70.36,2189500,70.36
2014-03-25,69.95,70.21,69.52,70.07,1658300,70.07
2014-03-24,70.04,70.39,69.45,69.77,2236100,69.77
2014-03-21,70.82,70.96,69.93,70.06,4528700,70.06
2014-03-20,70.08,70.08,68.97,69.77,2537600,69.77
2014-03-19,70.64,71.23,69.38,69.83,3163500,69.83
2014-03-18,70.60,70.87,70.21,70.50,2411100,70.50
2014-03-17,70.23,70.65,69.68,70.60,3800700,70.60
2014-03-14,69.42,70.09,69.13,69.89,4787500,69.89
2014-03-13,69.04,69.68,68.86,69.50,3369800,69.50
2014-03-12,68.01,69.01,67.85,68.98,2711200,68.98
2014-03-11,68.43,68.43,67.75,68.05,2223000,68.05
2014-03-10,68.31,68.66,67.97,68.35,2016900,68.35
2014-03-07,67.89,68.51,67.59,68.44,3006800,68.44
2014-03-06,68.75,68.90,67.79,67.97,2294500,67.97
2014-03-05,69.26,69.30,68.35,68.52,2721300,68.52
2014-03-04,69.30,69.52,68.86,69.29,2891000,69.29
2014-03-03,68.97,69.45,68.39,68.59,2861700,68.59
2014-02-28,69.47,69.81,69.09,69.40,4112500,69.40
2014-02-27,69.76,70.13,69.25,69.58,1652600,69.58
2014-02-26,70.95,71.02,69.60,69.76,2633900,69.76
2014-02-25,71.39,71.96,71.11,71.26,1893800,70.66
2014-02-24,71.40,72.22,71.27,71.29,1514400,70.69
2014-02-21,71.60,72.07,71.32,71.39,1549200,70.79
2014-02-20,70.73,71.73,70.61,71.50,2032000,70.90
2014-02-19,70.82,71.73,70.47,70.64,2125000,70.05
2014-02-18,71.15,71.31,70.68,70.86,2094900,70.26
2014-02-14,70.49,71.17,70.10,71.11,2225000,70.51
2014-02-13,69.06,70.75,69.00,70.69,2736000,70.09
2014-02-12,69.00,69.52,68.76,69.36,1846600,68.78
2014-02-11,68.69,69.59,68.36,69.14,3114000,68.56
2014-02-10,67.27,68.57,66.93,68.49,3972400,67.91
2014-02-07,66.08,66.98,65.95,66.93,2138000,66.37
2014-02-06,65.65,66.10,65.11,65.93,1735000,65.37
2014-02-05,65.60,65.85,65.06,65.70,2684100,65.15
2014-02-04,67.13,67.35,65.76,65.85,3507300,65.30
2014-02-03,67.84,68.86,66.92,67.12,3096300,66.55
2014-01-31,65.62,68.45,65.08,67.91,4436900,67.34
2014-01-30,66.45,67.17,66.33,67.05,2184200,66.49
2014-01-29,66.08,66.46,65.87,66.28,2646200,65.72
2014-01-28,66.42,66.64,66.06,66.26,2380500,65.70
2014-01-27,65.96,66.75,65.85,66.42,2171700,65.86
2014-01-24,66.09,66.82,65.86,65.93,2383200,65.37
2014-01-23,66.72,67.00,66.07,66.40,2643500,65.84
2014-01-22,66.88,67.24,66.79,67.12,2148200,66.55
2014-01-21,66.49,66.94,66.38,66.88,2775200,66.32
2014-01-17,66.32,66.55,66.05,66.29,1947600,65.73
2014-01-16,66.24,66.55,65.85,66.48,1779500,65.92
2014-01-15,67.10,67.16,66.56,66.63,1613700,66.07
2014-01-14,67.20,67.43,66.82,67.11,1750500,66.54
2014-01-09,65.50,66.44,65.16,66.32,2961600,65.76
2014-01-08,64.53,65.13,64.28,64.76,2935500,64.21
2014-01-07,63.81,64.74,63.70,64.69,2196600,64.15
2014-01-06,63.64,63.81,63.25,63.52,1889000,62.99
2014-01-03,63.58,63.87,63.14,63.51,1739100,62.98
2014-01-02,64.61,64.64,63.44,63.58,2282100,63.04
2013-12-31,64.40,64.86,64.34,64.69,1386300,64.15
2013-12-30,64.39,64.83,64.13,64.39,1229800,63.85
2013-12-27,64.59,64.70,64.13,64.41,957700,63.87
2013-12-26,64.65,64.88,64.10,64.43,1077100,63.89
2013-12-24,64.31,64.92,63.93,64.65,916800,64.11
2013-12-23,64.60,65.07,64.05,64.12,2215800,63.58
2013-12-20,64.82,64.95,64.26,64.55,3804600,64.01
2013-12-19,64.67,64.67,63.70,64.50,1766200,63.96
2013-12-18,63.99,64.85,63.13,64.78,2489000,64.23
2013-12-17,63.80,64.15,63.51,63.88,1759000,63.34
2013-12-16,63.65,64.42,63.58,63.86,1654400,63.32
2013-12-13,63.47,63.91,63.38,63.58,1918400,63.04
2013-12-12,63.18,63.87,63.09,63.50,2525300,62.97
2013-12-11,63.50,63.68,63.06,63.25,1889200,62.72
2013-12-10,63.73,63.84,63.00,63.50,2476500,62.97
2013-12-09,64.42,64.42,63.52,63.74,1638000,63.20
2013-12-06,63.86,64.73,63.75,64.42,1765000,63.88
2013-12-05,63.90,63.90,63.26,63.45,2452700,62.92
2013-12-04,63.85,64.36,63.44,64.13,2141900,63.59
2013-12-03,64.29,64.86,64.00,64.79,3696700,63.69
2013-12-02,64.80,64.88,63.77,64.31,2912100,63.21
2013-11-29,65.00,65.62,64.77,64.91,1396200,63.80
2013-11-27,65.89,66.00,64.62,65.05,2885100,63.94
2013-11-26,66.50,66.57,65.53,65.90,3993100,64.78
2013-11-25,66.80,66.87,66.32,66.35,9847400,65.22
2013-11-22,66.75,66.91,66.43,66.62,8747500,65.49
2013-11-21,66.72,67.11,66.39,66.74,6287700,65.60
2013-11-20,67.72,67.83,66.48,66.63,2505100,65.49
2013-11-19,67.70,67.96,67.43,67.72,2120700,66.57
2013-11-18,67.49,67.97,67.19,67.80,2442000,66.64
2013-11-15,66.91,67.52,66.85,67.52,2078500,66.37
2013-11-14,66.51,67.25,66.30,67.06,1961700,65.92
2013-11-13,65.29,66.36,64.82,66.33,3555000,65.20
2013-11-12,65.52,65.90,65.25,65.65,2080400,64.53
2013-11-11,65.53,66.25,65.20,65.88,1990500,64.76
2013-11-08,65.12,65.47,64.01,65.41,3464300,64.30
2013-11-07,66.13,66.48,65.17,65.34,2786400,64.23
2013-11-06,64.90,66.05,64.76,66.03,3075900,64.91
2013-11-05,64.42,65.67,64.04,64.57,3635200,63.47
2013-11-04,64.37,64.37,63.64,63.99,2513200,62.90
2013-11-01,63.96,64.35,63.72,64.09,1881900,63.00
2013-10-31,64.13,64.34,63.22,63.75,1812900,62.66
2013-10-30,64.66,65.03,63.97,64.03,1561400,62.94
2013-10-29,64.51,64.81,64.24,64.70,1499100,63.60
2013-10-28,64.52,64.94,64.05,64.34,2149000,63.24
2013-10-25,64.00,64.69,63.74,64.66,1793800,63.56
2013-10-24,64.31,64.53,63.77,64.16,1151800,63.07
2013-10-23,64.24,64.72,63.92,64.23,1940700,63.14
2013-10-22,63.69,64.63,63.65,64.35,2111500,63.25
2013-10-21,63.68,63.76,63.13,63.62,1587600,62.54
2013-10-18,64.01,64.29,63.45,63.68,2331600,62.60
2013-10-17,62.81,63.97,62.41,63.85,2243300,62.76
2013-10-16,62.19,63.20,62.00,63.17,2414500,62.09
2013-10-15,62.37,62.48,61.80,61.80,1799400,60.75
2013-10-14,62.66,62.78,61.65,62.61,2180800,61.54
2013-10-11,62.63,63.24,62.41,62.95,1577100,61.88
2013-10-10,61.80,62.59,61.52,62.59,2379000,61.52
2013-10-09,61.80,62.44,61.41,61.51,3198100,60.46
2013-10-08,61.60,62.40,61.50,61.61,1878000,60.56
2013-10-07,61.84,62.19,61.62,61.65,1008600,60.60
2013-10-04,61.96,62.35,61.70,62.22,1526400,61.16
2013-10-03,62.04,62.25,61.37,61.96,2243600,60.90
2013-10-02,62.26,62.38,61.36,62.34,3059600,61.28
2013-10-01,62.92,63.27,62.23,62.51,3267400,61.45
2013-09-30,62.03,62.74,61.82,62.48,2847300,61.42
2013-09-27,62.58,62.95,62.01,62.43,1673800,61.37
2013-09-26,62.65,63.03,62.47,62.81,1560700,61.74
2013-09-25,62.58,63.05,62.40,62.42,2708400,61.36
2013-09-24,62.65,62.68,62.10,62.45,2714100,61.39
2013-09-23,62.18,62.90,61.70,62.64,3349000,61.57
2013-09-20,63.40,63.50,62.19,62.27,4126200,61.21
2013-09-19,63.35,64.04,62.93,63.21,2394400,62.13
2013-09-18,61.76,63.58,61.29,63.39,3471200,62.31
2013-09-17,61.11,61.76,60.89,61.75,2839800,60.70
2013-09-16,61.93,62.24,60.95,61.11,3667400,60.07
2013-09-13,60.46,61.62,60.27,61.28,4241600,60.24
2013-09-12,61.62,61.94,59.72,59.78,7915800,58.76
2013-09-11,58.42,59.02,57.72,58.61,4980000,57.61
2013-09-10,58.23,58.44,57.88,58.41,2502500,57.41
2013-09-09,57.60,58.08,57.50,58.02,2364400,57.03
2013-09-06,57.62,58.27,57.51,57.53,2313300,56.55
2013-09-05,57.48,57.72,56.99,57.51,2220900,56.53
2013-09-04,57.28,57.84,56.58,57.62,2861500,56.64
2013-09-03,58.89,59.00,57.67,57.78,1881800,56.24
2013-08-30,58.49,58.76,58.09,58.35,1698100,56.80
2013-08-29,58.58,58.74,58.31,58.53,1592600,56.97
2013-08-28,58.47,58.86,58.08,58.74,1648800,57.18
2013-08-27,57.92,58.78,57.76,58.51,2352600,56.95
2013-08-26,58.90,59.27,58.33,58.34,2035500,56.79
2013-08-23,57.77,58.99,57.61,58.86,7678300,57.29
2013-08-22,57.54,57.99,57.24,57.76,6963700,56.22
2013-08-21,57.78,57.82,57.03,57.29,2463800,55.77
2013-08-20,57.38,58.37,57.38,57.88,2775400,56.34
2013-08-19,57.36,58.02,57.26,57.38,2658900,55.85
2013-08-16,57.79,57.95,57.19,57.44,2850300,55.91
2013-08-15,58.56,58.72,57.86,57.91,2280300,56.37
2013-08-14,60.07,60.22,58.74,58.86,2703900,57.29
2013-08-13,60.02,60.30,59.94,60.25,3826200,58.65
2013-08-12,60.02,60.11,59.78,60.07,2277000,58.47
2013-08-09,60.23,60.44,59.97,60.33,2498200,58.72
2013-08-08,59.95,60.33,59.34,60.29,3037900,58.69
2013-08-07,59.01,60.29,58.76,59.87,2901300,58.28
2013-08-06,59.28,59.59,58.51,59.32,2711300,57.74
2013-08-05,59.38,59.96,58.90,59.60,2554500,58.01
2013-08-02,59.51,59.56,59.14,59.43,2237800,57.85
2013-08-01,59.68,59.89,58.90,59.44,2532300,57.86
2013-07-31,59.58,59.79,59.07,59.31,2966400,57.73
2013-07-30,59.64,59.85,59.12,59.40,2785400,57.82
2013-07-29,59.48,59.65,59.23,59.36,1819800,57.78
2013-07-26,59.04,59.55,58.65,59.52,2209800,57.94
2013-07-25,58.77,59.57,58.75,59.36,2263100,57.78
2013-07-24,59.75,59.92,58.49,58.85,2348200,57.28
2013-07-23,59.89,60.06,59.71,59.86,1198700,58.27
