Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,16.29,16.53,16.26,16.32,2373600,16.32
2014-03-27,16.14,16.27,16.03,16.24,2349400,16.24
2014-03-26,16.52,16.52,16.17,16.17,2216600,16.17
2014-03-25,16.35,16.52,16.30,16.47,2087400,16.47
2014-03-24,16.43,16.44,16.15,16.25,3499300,16.25
2014-03-21,16.26,16.49,16.25,16.35,2184600,16.35
2014-03-20,16.13,16.27,15.98,16.25,2468200,16.25
2014-03-19,16.60,16.72,16.18,16.19,1984700,16.19
2014-03-18,16.47,16.66,16.35,16.61,3491400,16.61
2014-03-17,16.45,16.56,16.39,16.45,3863400,16.45
2014-03-14,16.26,16.46,16.26,16.35,3907300,16.35
2014-03-13,16.36,16.39,16.20,16.27,2723800,16.27
2014-03-12,16.16,16.35,16.16,16.34,5322400,16.34
2014-03-11,16.31,16.36,16.23,16.23,3199400,16.23
2014-03-10,16.35,16.43,16.30,16.41,3788400,16.25
2014-03-07,16.54,16.60,16.21,16.33,1950100,16.18
2014-03-06,16.76,16.82,16.53,16.59,3084500,16.43
2014-03-05,16.73,16.88,16.55,16.72,2190900,16.56
2014-03-04,16.61,16.75,16.59,16.72,3192000,16.56
2014-03-03,16.55,16.60,16.32,16.48,1866400,16.32
2014-02-28,16.26,16.64,16.26,16.62,5218300,16.46
2014-02-27,16.49,16.56,16.25,16.28,3289300,16.13
2014-02-26,16.50,16.68,16.43,16.49,2723600,16.33
2014-02-25,16.42,16.64,16.38,16.49,3257000,16.33
2014-02-24,16.62,16.71,16.35,16.37,3494700,16.22
2014-02-21,16.63,16.71,16.49,16.61,2234500,16.45
2014-02-20,16.58,16.71,16.45,16.58,2431400,16.42
2014-02-19,16.46,16.73,16.46,16.61,4008800,16.45
2014-02-18,16.38,16.51,16.28,16.50,3983100,16.34
2014-02-14,16.06,16.32,16.03,16.32,2482000,16.17
2014-02-13,15.80,16.16,15.67,16.06,4880900,15.91
2014-02-12,15.90,15.92,15.82,15.90,3139200,15.75
2014-02-11,15.98,16.00,15.87,15.90,3052400,15.75
2014-02-10,15.59,15.98,15.54,15.94,5225800,15.79
2014-02-07,15.37,15.64,15.36,15.56,8302900,15.41
2014-02-06,15.06,15.33,15.03,15.28,8153400,15.14
2014-02-05,15.22,15.28,14.97,15.06,8428100,14.92
2014-02-04,15.34,15.43,15.23,15.31,3956600,15.17
2014-02-03,15.62,15.64,15.32,15.35,1963000,15.21
2014-01-31,15.41,15.69,15.33,15.67,1889800,15.52
2014-01-30,15.45,15.60,15.44,15.55,1630100,15.40
2014-01-29,15.32,15.40,15.22,15.35,1922800,15.21
2014-01-28,15.20,15.43,15.18,15.37,2400300,15.22
2014-01-27,15.48,15.57,15.14,15.15,2999000,15.01
2014-01-24,15.63,15.64,15.42,15.47,2437400,15.32
2014-01-23,15.71,15.81,15.60,15.69,3324200,15.54
2014-01-22,15.70,15.80,15.54,15.75,4044600,15.60
2014-01-21,15.67,15.69,15.35,15.67,3886600,15.52
2014-01-17,15.73,15.75,15.50,15.57,1745400,15.42
2014-01-16,15.62,15.72,15.48,15.71,2783400,15.56
2014-01-15,15.61,15.77,15.60,15.65,1899400,15.50
2014-01-14,15.57,15.66,15.51,15.63,2804500,15.48
2014-01-13,15.68,15.74,15.46,15.51,1721300,15.36
2014-01-09,15.71,15.73,15.44,15.68,2641600,15.53
2014-01-08,15.57,15.73,15.37,15.67,4740300,15.52
2014-01-07,15.54,15.61,15.45,15.54,4315900,15.39
2014-01-06,15.46,15.62,15.45,15.50,2866900,15.35
2014-01-03,15.30,15.47,15.28,15.46,2685000,15.31
2014-01-02,15.31,15.39,15.21,15.32,1941400,15.18
2013-12-31,15.42,15.51,15.30,15.37,1667200,15.22
2013-12-30,15.38,15.51,15.38,15.43,2152700,15.28
2013-12-27,15.34,15.42,15.26,15.39,1359400,15.24
2013-12-26,15.46,15.50,15.30,15.36,1678400,15.21
2013-12-24,15.40,15.49,15.31,15.39,752800,15.24
2013-12-23,15.39,15.46,15.30,15.40,2558200,15.25
2013-12-20,15.18,15.39,15.09,15.35,3930900,15.21
2013-12-19,15.15,15.28,14.95,15.15,3977000,15.01
2013-12-18,15.00,15.32,14.89,15.23,2872600,15.09
2013-12-17,14.97,15.14,14.90,15.03,2696800,14.89
2013-12-16,15.12,15.13,14.95,14.95,3729500,14.81
2013-12-13,15.23,15.45,15.05,15.09,2454400,14.95
2013-12-12,15.40,15.44,15.24,15.30,2185000,15.02
2013-12-11,15.97,15.99,15.38,15.40,2982300,15.12
2013-12-10,16.03,16.22,15.89,15.96,2246900,15.67
2013-12-09,15.98,16.11,15.90,16.04,2115200,15.75
2013-12-06,16.02,16.10,15.93,16.01,2521700,15.72
2013-12-05,15.82,15.99,15.66,15.91,1724100,15.62
2013-12-04,15.92,15.94,15.69,15.84,2720200,15.55
2013-12-03,15.81,15.88,15.73,15.85,3195700,15.56
2013-12-02,16.01,16.11,15.75,15.89,3233400,15.60
2013-11-29,16.21,16.26,15.97,15.99,841100,15.70
2013-11-27,16.09,16.23,16.04,16.20,2146000,15.91
2013-11-26,16.13,16.18,16.01,16.02,5419000,15.73
2013-11-25,16.28,16.33,16.13,16.16,2396600,15.87
2013-11-22,16.16,16.28,16.02,16.28,5931900,15.98
2013-11-21,16.26,16.28,16.13,16.23,3185300,15.93
2013-11-20,16.44,16.65,16.14,16.18,3758300,15.89
2013-11-19,16.79,16.79,16.27,16.44,2469400,16.14
2013-11-18,16.69,16.79,16.44,16.47,4171800,16.17
2013-11-15,16.51,16.64,16.44,16.60,2792400,16.30
2013-11-14,16.38,16.58,16.36,16.52,1752900,16.22
2013-11-13,16.12,16.35,16.08,16.33,2276300,16.03
2013-11-12,16.24,16.24,15.99,16.16,2238100,15.87
2013-11-11,16.17,16.37,16.11,16.25,2083600,15.95
2013-11-08,16.17,16.24,15.87,16.17,3853400,15.88
2013-11-07,16.47,16.56,16.24,16.25,2946200,15.95
2013-11-06,16.70,16.76,16.42,16.47,3163700,16.17
2013-11-05,16.94,17.05,16.48,16.66,3855000,16.36
2013-11-04,17.10,17.32,16.90,17.06,3096900,16.75
2013-11-01,17.06,17.11,16.84,17.09,2576400,16.78
2013-10-31,17.07,17.15,16.84,16.95,5037500,16.64
2013-10-30,16.83,17.12,16.81,17.07,5869600,16.76
2013-10-29,16.98,17.02,16.81,16.85,3006200,16.54
2013-10-28,17.18,17.18,16.92,16.99,2497400,16.68
2013-10-25,16.99,17.26,16.89,17.18,3151300,16.87
2013-10-24,16.89,16.99,16.83,16.99,2098800,16.68
2013-10-23,16.85,17.01,16.81,16.90,2872100,16.59
2013-10-22,16.79,16.94,16.69,16.91,3800700,16.60
2013-10-21,16.75,16.75,16.57,16.66,1867300,16.36
2013-10-18,16.80,16.81,16.51,16.71,2232200,16.41
2013-10-17,16.22,16.75,16.17,16.73,4317100,16.43
2013-10-16,16.40,16.53,16.34,16.37,3556600,16.07
2013-10-15,16.16,16.35,16.14,16.34,5281200,16.04
2013-10-14,16.13,16.26,15.98,16.20,2952200,15.91
2013-10-11,15.94,16.20,15.91,16.20,2849300,15.91
2013-10-10,15.79,16.10,15.78,16.04,2034400,15.75
2013-10-09,15.68,15.81,15.63,15.66,2934000,15.38
2013-10-08,15.84,15.89,15.59,15.62,2246400,15.34
2013-10-07,15.65,15.91,15.61,15.81,2351100,15.52
2013-10-04,15.86,15.96,15.69,15.76,1742400,15.47
2013-10-03,16.19,16.25,15.77,15.84,5284100,15.55
2013-10-02,16.02,16.28,15.89,16.23,4771600,15.93
2013-10-01,15.72,16.33,15.67,16.10,3619300,15.81
2013-09-30,15.85,15.98,15.71,15.71,3078500,15.42
2013-09-27,15.99,16.09,15.87,16.00,1864600,15.71
2013-09-26,15.99,16.11,15.86,16.00,1857700,15.71
2013-09-25,15.81,16.04,15.80,16.02,3566600,15.73
2013-09-24,15.93,16.02,15.81,15.82,2273300,15.53
2013-09-23,15.98,16.16,15.85,15.92,3316100,15.63
2013-09-20,16.36,16.36,15.90,16.02,3537600,15.73
2013-09-18,16.04,16.47,15.79,16.46,3111100,16.03
2013-09-17,16.05,16.15,15.97,16.04,2285200,15.62
2013-09-16,16.00,16.20,15.92,16.00,3433800,15.58
2013-09-13,15.59,15.78,15.59,15.77,1183700,15.36
2013-09-12,15.68,15.92,15.63,15.63,2180000,15.22
2013-09-11,15.73,15.82,15.61,15.77,1687800,15.36
2013-09-10,15.88,15.88,15.55,15.73,2725400,15.32
2013-09-09,15.50,15.75,15.37,15.75,3927000,15.34
2013-09-06,15.46,15.59,15.39,15.44,2284400,15.03
2013-09-05,15.51,15.53,15.25,15.27,1649000,14.87
2013-09-04,15.41,15.60,15.30,15.47,2645100,15.06
2013-09-03,15.76,15.76,15.24,15.37,3745800,14.97
2013-08-30,15.68,15.85,15.43,15.52,10254200,15.11
2013-08-29,15.80,15.84,15.54,15.71,3089100,15.30
2013-08-28,15.87,15.88,15.72,15.77,2704400,15.36
2013-08-27,15.86,16.02,15.82,15.87,2266500,15.45
2013-08-26,16.00,16.06,15.90,15.97,2533700,15.55
2013-08-23,15.84,16.10,15.83,16.03,2639100,15.61
2013-08-22,15.88,15.94,15.72,15.86,3347900,15.44
2013-08-21,15.88,16.11,15.57,15.85,2367200,15.43
2013-08-20,15.58,16.03,15.58,15.95,2628400,15.53
2013-08-19,15.76,15.89,15.56,15.59,4133100,15.18
2013-08-16,16.26,16.30,15.76,15.76,5048500,15.35
2013-08-15,16.41,16.41,16.12,16.32,2015900,15.89
2013-08-14,16.35,16.56,16.32,16.51,1979900,16.08
2013-08-13,16.51,16.51,16.31,16.35,2330300,15.92
2013-08-12,16.62,16.64,16.44,16.52,1573700,16.09
2013-08-09,16.55,16.76,16.53,16.61,1273100,16.17
2013-08-08,16.71,16.74,16.54,16.57,1892400,16.13
2013-08-07,16.73,16.76,16.54,16.66,1708000,16.22
2013-08-06,16.71,16.84,16.66,16.75,1456000,16.31
2013-08-05,16.93,17.02,16.74,16.75,2274100,16.31
2013-08-02,17.20,17.34,16.99,17.00,1732700,16.55
2013-08-01,16.73,17.38,16.67,17.25,3434500,16.80
2013-07-31,17.25,17.35,16.96,17.08,3845700,16.63
2013-07-30,17.28,17.38,17.16,17.20,1739800,16.75
