Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,90.21,91.95,89.73,91.83,401700,91.83
2014-03-27,89.26,90.18,88.95,89.90,483500,89.90
2014-03-26,88.76,90.09,88.29,89.48,478100,89.42
2014-03-25,88.53,88.89,87.81,88.52,519100,88.46
2014-03-24,90.64,90.96,88.34,88.50,509900,88.44
2014-03-21,90.64,91.98,90.59,90.95,560900,90.89
2014-03-20,89.41,90.42,88.88,90.27,345000,90.21
2014-03-19,91.29,91.49,89.49,89.74,383900,89.68
2014-03-18,91.18,91.73,90.84,91.23,347900,91.17
2014-03-17,91.00,92.63,90.92,91.00,427800,90.94
2014-03-14,91.80,92.56,90.48,90.61,426100,90.55
2014-03-13,93.06,93.69,91.58,92.01,323000,91.95
2014-03-12,92.11,92.89,91.80,92.84,318500,92.78
2014-03-11,91.84,94.00,91.84,92.55,455300,92.49
2014-03-10,91.57,92.50,91.15,92.29,434100,92.23
2014-03-07,90.49,92.01,90.36,91.75,399700,91.69
2014-03-06,90.21,90.73,89.70,90.28,481800,90.22
2014-03-05,89.67,91.03,89.52,90.09,824200,90.03
2014-03-04,92.70,92.73,91.20,91.27,522500,91.21
2014-03-03,91.85,92.36,90.56,91.96,413800,91.90
2014-02-28,91.86,93.31,91.66,92.58,527100,92.52
2014-02-27,92.31,93.18,91.54,91.90,751400,91.84
2014-02-26,89.53,94.28,89.53,92.76,1558300,92.70
2014-02-25,83.63,90.48,83.62,90.17,2293100,90.11
2014-02-24,83.89,86.35,82.75,83.60,3893800,83.54
2014-02-21,87.86,89.56,87.29,89.33,626000,89.27
2014-02-20,87.44,88.34,87.12,88.04,561600,87.98
2014-02-19,87.21,88.89,86.30,87.28,579500,87.22
2014-02-18,89.98,90.15,88.28,88.53,639200,88.47
2014-02-14,89.76,90.02,88.47,89.70,603100,89.64
2014-02-13,88.35,90.14,87.21,89.98,535800,89.92
2014-02-12,89.09,89.44,88.07,88.73,547100,88.67
2014-02-11,87.44,89.12,87.44,89.01,559700,88.95
2014-02-10,88.80,89.47,86.42,87.90,568200,87.84
2014-02-07,90.77,91.33,88.90,89.07,400100,89.01
2014-02-06,86.03,90.39,86.03,90.29,870300,90.23
2014-02-05,85.51,86.05,84.47,85.76,335900,85.70
2014-02-04,85.50,86.64,85.23,85.66,550700,85.60
2014-02-03,87.36,88.07,83.86,85.23,804300,85.17
2014-01-31,89.02,89.21,87.15,87.30,579600,87.24
2014-01-30,88.10,89.69,88.10,89.50,488800,89.44
2014-01-29,90.05,90.31,87.78,87.90,610200,87.84
2014-01-28,90.26,91.50,90.26,90.70,279800,90.64
2014-01-27,90.77,91.34,89.54,90.27,381600,90.21
2014-01-24,89.94,91.35,89.48,90.70,397700,90.64
2014-01-23,91.55,91.82,90.58,90.69,659300,90.63
2014-01-22,90.31,90.31,89.23,89.68,487800,89.62
2014-01-21,91.13,92.16,89.99,90.05,643500,89.99
2014-01-17,91.30,91.49,89.13,90.65,1001100,90.59
2014-01-16,91.55,91.55,89.90,90.16,421400,90.10
2014-01-15,92.25,92.25,91.42,91.86,196500,91.80
2014-01-14,90.21,92.10,90.21,91.98,368900,91.92
2014-01-13,93.15,93.93,90.21,90.29,465300,90.23
2014-01-09,95.47,95.47,92.15,93.20,609300,93.14
2014-01-08,94.34,94.64,92.40,92.54,476900,92.48
2014-01-07,96.08,96.35,93.97,94.48,395600,94.42
2014-01-06,96.97,97.26,95.68,95.82,371600,95.76
2014-01-03,96.74,97.35,96.50,96.68,317700,96.62
2014-01-02,96.87,97.57,96.55,96.85,636000,96.79
2013-12-31,96.64,97.33,96.06,97.21,224300,97.14
2013-12-30,96.21,96.86,96.11,96.62,218900,96.56
2013-12-27,96.02,96.36,95.34,96.31,253400,96.25
2013-12-26,96.70,96.87,95.56,95.63,324600,95.51
2013-12-24,96.27,96.82,96.17,96.75,165300,96.62
2013-12-23,95.86,97.87,95.85,96.29,481300,96.17
2013-12-20,92.65,95.69,92.49,95.58,882700,95.46
2013-12-19,92.41,92.79,91.54,92.44,381400,92.32
2013-12-18,92.19,92.85,91.02,92.39,528000,92.27
2013-12-17,92.48,92.55,91.64,92.00,403100,91.88
2013-12-16,92.47,93.10,92.22,92.58,326700,92.46
2013-12-13,91.02,92.56,91.02,92.22,481100,92.10
2013-12-12,91.35,91.69,90.54,91.00,496100,90.88
2013-12-11,91.64,92.72,91.32,91.75,585900,91.63
2013-12-10,92.81,93.04,91.25,91.41,582300,91.29
2013-12-09,91.02,93.75,90.70,93.13,765500,93.01
2013-12-06,91.08,91.92,90.71,90.93,503100,90.81
2013-12-05,90.88,91.47,89.93,90.46,667900,90.34
2013-12-04,90.79,92.01,90.13,90.98,801100,90.86
2013-12-03,90.49,92.12,89.79,91.02,387100,90.90
2013-12-02,91.39,91.65,89.84,90.87,416500,90.75
2013-11-29,91.67,93.33,91.20,91.50,204800,91.38
2013-11-27,92.93,93.01,91.57,91.75,330700,91.63
2013-11-26,92.16,93.34,91.92,92.64,289600,92.52
2013-11-25,91.32,92.06,90.68,91.80,452300,91.68
2013-11-22,91.94,92.21,90.54,91.19,396600,91.07
2013-11-21,90.03,92.68,89.65,92.17,708500,92.05
2013-11-20,89.59,89.59,88.67,89.22,463300,89.10
2013-11-19,89.87,91.29,89.20,89.23,835700,89.11
2013-11-18,90.27,90.44,89.60,90.16,545200,90.04
2013-11-15,91.43,91.43,89.39,89.84,979900,89.72
2013-11-14,90.00,92.48,90.00,91.84,1739700,91.72
2013-11-13,85.26,89.74,85.23,89.55,1324700,89.43
2013-11-12,83.46,84.92,83.09,84.00,833300,83.89
2013-11-11,82.48,83.48,80.88,83.43,379100,83.32
2013-11-08,82.43,82.94,81.97,82.46,203500,82.35
2013-11-07,83.36,83.50,82.54,82.63,506800,82.52
2013-11-06,82.74,83.33,82.35,82.71,730400,82.60
2013-11-05,82.01,82.94,81.05,82.17,501400,82.06
2013-11-04,82.77,83.50,81.97,81.97,905700,81.86
2013-11-01,81.87,82.27,81.61,82.18,762300,82.07
2013-10-31,82.88,83.00,81.97,81.98,381600,81.87
2013-10-30,83.45,83.46,82.44,83.05,190200,82.94
2013-10-29,83.54,85.09,82.97,83.19,478600,83.08
2013-10-28,82.77,83.88,82.42,83.57,401700,83.46
2013-10-25,82.00,82.88,81.78,82.61,467600,82.50
2013-10-24,80.90,81.83,80.38,81.81,380400,81.70
2013-10-23,79.62,80.72,79.62,80.65,386400,80.55
2013-10-22,80.08,80.95,79.39,79.96,320600,79.86
2013-10-21,81.60,81.60,80.05,80.16,259900,80.06
2013-10-18,81.03,81.67,79.93,81.45,370000,81.34
2013-10-17,78.81,80.58,78.63,80.53,394500,80.43
2013-10-16,77.35,79.29,76.33,79.16,686000,79.06
2013-10-15,76.66,77.13,75.76,76.65,754300,76.55
2013-10-14,76.45,77.08,75.97,76.95,1084000,76.85
2013-10-11,77.15,77.31,76.46,76.71,863100,76.61
2013-10-10,77.30,77.40,76.89,77.21,392300,77.11
2013-10-09,76.92,77.60,76.25,76.49,578100,76.39
2013-10-08,77.05,77.39,76.28,76.97,835600,76.87
2013-10-07,78.32,78.46,77.24,77.24,559000,77.14
2013-10-04,79.11,79.50,78.69,79.11,493000,79.01
2013-10-03,78.75,79.27,78.02,78.99,546900,78.89
2013-10-02,78.58,79.07,77.88,78.79,324800,78.69
2013-10-01,78.46,79.62,78.46,79.10,296400,79.00
2013-09-30,78.34,79.01,78.13,78.30,350700,78.20
2013-09-27,78.99,79.16,78.51,79.12,317900,79.02
2013-09-26,79.50,80.00,79.03,79.20,305600,79.10
2013-09-25,80.02,80.04,77.89,79.08,800400,78.92
2013-09-24,80.47,81.14,79.95,80.02,789400,79.86
2013-09-23,82.00,82.31,80.49,80.52,372700,80.35
