Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,88.01,88.79,87.99,88.75,2021300,88.75
2014-03-27,87.76,88.27,86.80,87.86,2211700,87.86
2014-03-26,89.14,89.60,88.32,88.33,2592600,87.82
2014-03-25,88.77,89.54,88.51,89.10,2784600,88.59
2014-03-24,88.92,89.03,88.04,88.51,3975100,88.00
2014-03-21,88.21,89.84,87.88,89.84,6953100,89.32
2014-03-20,87.13,87.90,86.82,87.57,1940700,87.06
2014-03-19,87.44,87.99,86.74,87.29,2366200,86.79
2014-03-18,87.23,88.00,87.20,87.67,1542000,87.16
2014-03-17,87.55,88.14,87.38,87.49,1893400,86.98
2014-03-14,87.93,88.40,87.14,87.20,2881700,86.70
2014-03-13,88.97,88.97,87.58,87.98,2302500,87.47
2014-03-12,88.63,89.06,88.32,88.84,2468700,88.33
2014-03-11,88.63,89.67,88.41,89.11,3434500,88.60
2014-03-10,88.53,88.58,87.56,88.52,2499400,88.01
2014-03-07,88.77,89.24,88.35,88.80,2841400,88.29
2014-03-06,87.16,88.41,86.97,88.23,3797700,87.72
2014-03-05,86.50,87.21,85.91,86.92,2267600,86.42
2014-03-04,87.42,87.44,86.26,86.63,3301200,86.13
2014-03-03,85.63,87.46,85.30,86.96,5401000,86.46
2014-02-28,84.63,86.72,84.56,85.93,3316600,85.43
2014-02-27,84.37,85.29,84.17,84.97,2711700,84.48
2014-02-26,84.22,84.66,83.95,84.35,1884900,83.86
2014-02-25,84.78,84.87,84.00,84.05,3002300,83.56
2014-02-24,84.94,85.35,84.71,84.80,2659300,84.31
2014-02-21,85.16,85.44,84.68,84.69,2225800,84.20
2014-02-20,84.79,85.34,84.29,85.12,3241400,84.63
2014-02-19,84.59,85.49,84.20,84.29,2876200,83.80
2014-02-18,85.99,86.08,84.71,85.10,3450400,84.61
2014-02-14,85.47,86.17,85.28,85.84,2716800,85.34
2014-02-13,86.05,86.27,85.17,85.85,4414300,85.35
2014-02-12,86.92,87.95,86.05,86.90,5472500,86.40
2014-02-11,87.44,88.06,87.08,87.46,3674000,86.96
2014-02-10,86.68,87.64,86.61,87.36,3844000,86.86
2014-02-07,85.76,86.88,85.74,86.56,2085400,86.06
2014-02-06,84.95,85.95,84.70,85.43,3198500,84.94
2014-02-05,84.53,84.91,83.41,84.70,3157500,84.21
2014-02-04,84.69,85.41,83.77,85.11,3013800,84.62
2014-02-03,85.79,86.33,84.60,84.78,3381800,84.29
2014-01-31,85.72,86.79,85.61,85.96,3384900,85.46
2014-01-30,86.33,86.80,85.30,86.58,1997600,86.08
2014-01-29,85.86,86.67,85.61,85.93,2400100,85.43
2014-01-28,86.10,86.94,86.01,86.59,2097800,86.09
2014-01-27,86.74,86.80,85.58,86.01,3365500,85.51
2014-01-24,87.44,87.68,85.29,85.55,4671300,85.06
2014-01-23,88.15,88.73,87.71,87.88,2719100,87.37
2014-01-22,89.59,89.63,88.46,88.66,2269300,88.15
2014-01-21,89.70,89.90,88.76,89.38,2277500,88.86
2014-01-17,90.06,90.13,89.34,89.35,3241600,88.83
2014-01-16,90.11,90.25,89.56,89.83,2436000,89.31
2014-01-15,89.82,90.51,89.70,89.80,4435500,89.28
2014-01-14,89.88,90.56,89.31,89.70,3467800,89.18
2014-01-09,89.46,89.94,88.43,88.98,3136500,88.47
2014-01-08,89.75,90.20,89.07,89.34,2901400,88.82
2014-01-07,90.09,90.80,89.90,90.31,2293500,89.79
2014-01-06,91.06,91.20,89.50,89.91,2914500,89.39
2014-01-03,90.46,91.25,90.10,90.66,2419600,90.14
2014-01-02,90.95,91.30,90.13,90.26,2462000,89.74
2013-12-31,90.98,91.49,90.70,91.33,1850900,90.80
2013-12-30,90.74,91.02,90.51,90.82,1659100,90.30
2013-12-27,90.89,91.21,90.36,90.70,2014000,90.18
2013-12-26,91.09,91.58,90.88,91.12,1971500,90.09
2013-12-24,90.79,91.36,90.68,90.86,1051300,89.83
2013-12-23,90.38,90.85,90.10,90.64,2271900,89.61
2013-12-20,89.56,90.19,89.54,90.08,4404800,89.06
2013-12-19,89.36,89.59,88.82,89.41,2517800,88.40
2013-12-18,88.49,89.47,88.03,89.41,3559400,88.40
2013-12-17,88.79,89.08,88.17,88.30,3097800,87.30
2013-12-16,87.59,89.19,87.58,88.87,4249700,87.86
2013-12-13,87.08,87.53,86.74,87.18,2353200,86.19
2013-12-12,87.05,87.57,86.65,86.84,2497500,85.86
2013-12-11,87.77,87.90,87.02,87.28,3873100,86.29
2013-12-10,87.26,88.89,87.26,88.04,5907900,87.04
2013-12-09,86.03,87.41,85.75,87.20,4939400,86.21
2013-12-06,85.65,85.85,84.93,85.32,2583800,84.35
