Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,14.78,15.25,14.75,15.24,1722700,15.24
2014-03-27,15.09,15.09,14.71,14.71,1641100,14.71
2014-03-26,14.76,15.13,14.61,15.10,2280600,15.10
2014-03-25,14.92,15.02,14.72,14.76,2666500,14.76
2014-03-24,15.26,15.34,14.80,14.86,2350400,14.86
2014-03-21,15.31,15.40,15.13,15.15,1743600,15.15
2014-03-20,14.86,15.20,14.81,15.19,1572600,15.19
2014-03-19,15.19,15.20,14.65,14.75,1659400,14.75
2014-03-18,14.96,15.19,14.91,15.16,1380700,15.16
2014-03-17,14.87,15.06,14.86,14.99,1239200,14.99
2014-03-14,14.53,14.91,14.53,14.82,1329000,14.82
2014-03-13,14.94,15.03,14.55,14.61,2597200,14.61
2014-03-12,14.68,14.99,14.68,14.97,1982500,14.90
2014-03-11,14.75,14.95,14.69,14.78,1288600,14.71
2014-03-10,14.89,14.92,14.70,14.74,2453200,14.67
2014-03-07,14.85,14.89,14.67,14.84,1851000,14.77
2014-03-06,14.81,14.96,14.55,14.85,1738100,14.78
2014-03-05,15.03,15.07,14.75,14.79,1990900,14.72
2014-03-04,14.94,15.06,14.91,15.01,1676800,14.94
2014-03-03,14.71,14.99,14.64,14.78,2384500,14.71
2014-02-28,14.62,14.91,14.60,14.79,1085800,14.72
2014-02-27,14.62,14.74,14.45,14.65,1443800,14.58
2014-02-26,14.60,14.79,14.51,14.62,1548300,14.55
2014-02-25,14.52,14.72,14.50,14.56,1128900,14.49
2014-02-24,14.56,14.67,14.49,14.50,1785700,14.43
2014-02-21,14.59,14.66,14.37,14.43,1599200,14.36
2014-02-20,14.31,14.70,14.31,14.56,1804700,14.49
2014-02-19,14.28,14.38,14.20,14.28,1941100,14.21
2014-02-18,14.81,14.82,14.28,14.29,2139100,14.22
2014-02-14,14.22,14.76,14.15,14.68,2681000,14.61
2014-02-13,14.04,14.31,14.01,14.15,3075300,14.08
2014-02-12,13.99,14.24,13.82,14.19,5867900,14.12
2014-02-11,13.82,14.24,13.59,14.08,18108600,14.01
2014-02-10,15.06,15.25,14.94,15.20,2404000,15.13
2014-02-07,15.30,15.43,15.07,15.08,1255900,15.01
2014-02-06,14.90,15.36,14.87,15.30,2056000,15.23
2014-02-05,15.02,15.11,14.71,14.84,1763600,14.77
2014-02-04,15.03,15.13,14.95,15.02,2000900,14.95
2014-02-03,15.80,15.86,14.88,14.90,3556200,14.83
2014-01-31,15.90,16.11,15.77,15.80,1564200,15.73
2014-01-30,16.19,16.25,15.94,16.05,2478400,15.97
2014-01-29,16.65,16.65,15.97,15.98,2786000,15.91
2014-01-28,16.77,16.92,16.65,16.78,1692300,16.70
2014-01-27,16.74,16.84,16.47,16.70,2777200,16.62
2014-01-24,17.22,17.27,16.50,16.51,3134800,16.43
2014-01-23,17.49,17.49,17.10,17.31,1710500,17.23
2014-01-22,17.50,17.72,17.43,17.52,1046400,17.44
2014-01-21,17.51,17.70,17.30,17.47,1963600,17.39
2014-01-17,17.33,17.38,17.01,17.01,769700,16.93
2014-01-16,17.37,17.47,17.25,17.37,950600,17.29
2014-01-15,17.55,17.63,17.35,17.38,972800,17.30
2014-01-14,17.12,17.48,17.12,17.45,1074000,17.37
2014-01-09,17.28,17.36,17.04,17.21,1275200,17.13
2014-01-08,17.41,17.50,17.11,17.25,2933900,17.17
2014-01-07,17.64,18.06,17.64,17.95,2731600,17.87
2014-01-06,17.62,17.73,17.26,17.61,8089200,17.53
2014-01-03,17.21,17.83,17.19,17.58,3474400,17.50
2014-01-02,17.17,17.19,16.96,17.06,1416100,16.98
2013-12-31,17.31,17.31,17.11,17.19,1094800,17.11
2013-12-30,17.17,17.35,17.02,17.26,1869000,17.18
2013-12-27,16.94,17.25,16.92,17.15,1361000,17.07
2013-12-26,17.02,17.07,16.76,16.90,1135000,16.82
2013-12-24,16.93,17.08,16.93,17.03,413500,16.95
2013-12-23,17.00,17.10,16.83,16.97,916400,16.89
2013-12-20,16.85,17.00,16.76,16.97,2785200,16.89
2013-12-19,16.70,16.90,16.60,16.87,1714100,16.79
2013-12-18,16.64,16.91,16.49,16.77,2615400,16.69
2013-12-17,16.76,16.77,16.36,16.64,3282100,16.56
2013-12-16,17.10,17.17,16.60,16.72,3046000,16.64
2013-12-13,17.08,17.12,16.94,17.00,1496500,16.92
2013-12-12,17.44,17.48,16.98,17.02,2069700,16.94
2013-12-11,17.87,18.01,17.44,17.44,1788100,17.36
2013-12-10,17.97,18.01,17.57,17.83,1921400,17.75
2013-12-09,17.99,18.14,17.90,18.08,2102200,18.00
2013-12-06,18.41,18.63,18.36,18.43,1789200,18.34
2013-12-05,18.25,18.41,18.12,18.29,1650000,18.20
2013-12-04,18.05,18.70,18.01,18.31,3305200,18.22
2013-12-03,18.00,18.31,17.96,18.09,2232800,18.01
2013-12-02,17.99,18.24,17.91,18.06,1487800,17.98
2013-11-29,18.03,18.20,17.95,17.98,697900,17.90
2013-11-27,18.00,18.07,17.88,18.05,1122600,17.97
2013-11-26,18.11,18.27,17.98,18.00,1618900,17.92
2013-11-25,18.22,18.27,18.06,18.09,2271300,18.01
2013-11-22,18.10,18.23,18.00,18.14,1243200,18.06
2013-11-21,17.98,18.28,17.91,18.11,1265500,18.03
2013-11-20,18.06,18.16,17.87,17.94,1939000,17.86
2013-11-19,18.08,18.27,17.87,18.06,2706500,17.98
2013-11-18,18.25,18.37,17.99,18.08,1596500,18.00
2013-11-15,18.15,18.30,18.06,18.26,1806000,18.17
2013-11-14,18.00,18.32,17.99,18.16,2683900,18.08
2013-11-13,17.74,18.16,17.71,18.03,3986600,17.95
2013-11-12,18.63,18.67,17.71,18.20,5052500,18.11
2013-11-11,19.38,19.71,19.38,19.71,1279800,19.62
2013-11-08,19.27,19.52,19.19,19.39,934000,19.30
2013-11-07,19.68,19.70,19.26,19.31,1494600,19.22
2013-11-06,19.55,19.67,19.39,19.56,738100,19.47
2013-11-05,19.41,19.63,19.36,19.49,1007600,19.40
2013-11-04,19.58,19.67,19.45,19.53,1009200,19.44
2013-11-01,19.56,19.63,19.36,19.55,1592900,19.46
2013-10-31,19.50,19.61,19.31,19.50,1167600,19.41
2013-10-30,19.84,19.87,19.48,19.53,834900,19.44
2013-10-29,19.72,19.88,19.66,19.85,731300,19.76
2013-10-28,19.67,19.88,19.60,19.72,1314300,19.63
2013-10-25,19.28,19.60,19.22,19.60,1406500,19.51
2013-10-24,19.10,19.29,18.96,19.27,1072200,19.18
2013-10-23,19.06,19.22,18.95,19.01,1006000,18.92
2013-10-22,18.58,19.22,18.57,19.15,1580800,19.06
2013-10-21,18.90,19.21,18.42,18.42,2313400,18.33
2013-10-18,18.48,18.48,18.05,18.28,1184200,18.19
2013-10-17,17.92,18.39,17.82,18.32,2201600,18.23
2013-10-16,17.94,18.13,17.88,17.94,903600,17.86
2013-10-15,17.86,18.14,17.75,17.89,1104400,17.81
2013-10-14,17.76,18.00,17.71,17.95,1061900,17.87
2013-10-11,18.10,18.10,17.87,17.95,1256700,17.87
2013-10-10,17.90,18.12,17.85,18.10,1197200,18.02
2013-10-09,17.62,17.86,17.40,17.79,1625600,17.71
2013-10-08,17.92,18.08,17.50,17.55,2095800,17.47
2013-10-07,18.03,18.31,17.86,17.97,1379800,17.89
2013-10-04,18.33,18.37,18.14,18.26,1669900,18.17
2013-10-03,18.61,18.77,18.29,18.31,2472500,18.22
2013-10-02,19.01,19.10,18.60,18.74,2563100,18.65
2013-10-01,19.23,19.63,19.14,19.20,2494500,19.11
