Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,57.89,58.29,57.32,57.80,1643300,57.80
2014-03-27,57.95,58.01,56.77,57.88,3433800,57.88
2014-03-26,58.50,60.50,56.99,57.99,6962600,57.99
2014-03-25,55.77,55.99,54.62,54.94,2350600,54.94
2014-03-24,55.88,55.90,55.22,55.52,1897600,55.52
2014-03-21,55.96,56.09,55.50,55.77,2820400,55.77
2014-03-20,55.70,56.28,55.50,55.68,2168400,55.68
2014-03-19,55.25,56.20,55.20,55.81,2554300,55.81
2014-03-18,54.05,55.20,54.05,55.15,1902100,55.15
2014-03-17,53.63,54.09,53.63,54.08,1267400,54.08
2014-03-14,54.00,54.13,53.41,53.59,2218800,53.59
2014-03-13,54.03,54.65,53.89,54.04,2929100,54.04
2014-03-12,53.79,54.22,53.70,53.91,2839800,53.91
2014-03-11,53.13,54.50,53.07,54.13,4496100,54.13
2014-03-10,52.43,52.70,51.86,52.66,2358900,52.66
2014-03-07,52.66,53.02,52.54,52.58,1281300,52.58
2014-03-06,52.31,52.77,52.26,52.40,1193900,52.40
2014-03-05,52.26,52.40,52.03,52.10,1800600,52.10
2014-03-04,52.82,53.08,52.20,52.26,1964300,52.26
2014-03-03,52.90,53.18,52.32,52.38,1182000,52.38
2014-02-28,52.94,53.53,52.76,53.00,1956800,53.00
2014-02-27,53.05,53.19,52.64,52.76,1238400,52.76
2014-02-26,53.09,53.42,52.86,53.04,1441300,53.04
2014-02-25,53.59,53.67,53.01,53.16,2338000,53.16
2014-02-24,53.05,54.01,53.01,53.81,2032000,53.81
2014-02-21,52.97,53.09,52.80,53.05,2007200,53.05
2014-02-20,52.84,53.07,52.61,52.97,1161900,52.97
2014-02-19,52.71,52.95,52.12,52.77,2324600,52.77
2014-02-18,52.49,53.25,52.45,52.91,1635800,52.91
2014-02-14,52.20,52.97,52.14,52.60,1917700,52.60
2014-02-13,51.77,52.56,51.77,52.20,3066600,52.20
