Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,73.88,74.42,73.59,73.87,2020600,73.87
2014-03-27,73.11,73.74,72.95,73.44,3387900,73.44
2014-03-26,74.91,75.01,73.36,73.36,3014900,73.36
2014-03-25,74.76,75.07,74.06,74.43,1764800,74.33
2014-03-24,75.57,75.59,73.93,74.32,1677000,74.22
2014-03-21,75.36,76.12,75.03,75.30,4110900,75.20
2014-03-20,74.30,74.98,74.04,74.75,1583400,74.65
2014-03-19,75.22,75.47,73.94,74.37,1889600,74.27
2014-03-18,75.02,75.45,74.97,75.26,1411400,75.16
2014-03-17,74.31,75.13,74.28,74.85,2479800,74.75
2014-03-14,74.31,74.66,73.71,73.79,2782100,73.69
2014-03-13,76.18,76.20,74.31,74.43,2489900,74.33
2014-03-12,75.89,76.07,75.49,75.82,2178900,75.72
2014-03-11,77.27,77.36,76.32,76.43,2098900,76.33
2014-03-10,77.40,77.40,76.79,77.15,2241200,77.05
2014-03-07,77.39,77.56,76.93,77.43,2820600,77.33
2014-03-06,76.57,77.09,76.44,76.88,2290900,76.78
2014-03-05,76.43,76.69,76.03,76.38,2517300,76.28
2014-03-04,76.46,76.70,76.20,76.37,3198900,76.27
2014-03-03,75.74,76.10,75.35,75.59,2751600,75.49
2014-02-28,77.00,77.54,76.24,76.49,3804000,76.39
2014-02-27,76.36,77.13,76.33,77.03,2558100,76.93
2014-02-26,76.85,77.20,76.55,76.82,2674800,76.72
2014-02-25,76.44,77.07,76.21,76.82,2655800,76.72
2014-02-24,76.38,77.09,76.30,76.56,2665200,76.46
2014-02-21,75.99,76.32,75.67,76.15,2675800,76.05
2014-02-20,75.49,76.33,75.04,76.11,2379400,76.01
2014-02-19,75.75,76.49,75.20,75.28,2599800,75.18
2014-02-18,76.15,76.58,75.84,75.94,2353400,75.84
2014-02-14,76.16,76.60,75.83,76.43,2254400,76.33
2014-02-13,74.92,76.32,74.78,76.22,2407100,76.12
2014-02-12,75.70,75.98,75.36,75.55,2094200,75.45
2014-02-11,75.37,75.88,75.13,75.39,2520900,75.29
2014-02-10,75.26,75.26,74.57,75.07,3140100,74.97
2014-02-07,74.29,75.29,73.85,75.12,3152700,75.02
2014-02-06,72.30,73.73,72.14,73.71,2980400,73.61
2014-02-05,72.60,72.91,71.89,72.49,2724400,72.39
2014-02-04,72.82,73.37,72.32,72.93,3430900,72.83
2014-02-03,74.53,75.13,72.50,72.56,4224200,72.46
2014-01-31,74.27,75.01,73.93,74.39,3219900,74.29
2014-01-30,75.44,75.68,74.85,75.30,3309400,75.20
2014-01-29,74.52,75.77,74.51,75.13,3833000,75.03
2014-01-28,74.97,76.57,74.14,75.21,4370400,75.11
2014-01-27,74.39,74.79,73.65,74.10,3594100,74.00
2014-01-24,76.34,76.59,74.12,74.13,4018500,74.03
2014-01-23,77.20,77.36,76.70,77.11,1823700,77.01
2014-01-22,78.05,78.21,77.10,77.94,2602800,77.84
2014-01-21,78.60,78.80,77.67,78.00,4901200,77.90
